Ingredient,Amount,Unit,Grams,Source,ConversionClass
Bread wheat,1,tbsp,8.5,https://www.allrecipes.com/article/cup-to-gram-conversions/,ingredient_specific_candidate
Rye,1,tbsp,8.5,https://www.allrecipes.com/article/cup-to-gram-conversions/,ingredient_specific_candidate
Soft wheat,1,tbsp,8.5,https://www.allrecipes.com/article/cup-to-gram-conversions/,ingredient_specific_candidate
Wheat,1,tbsp,8.5,https://www.allrecipes.com/article/cup-to-gram-conversions/,ingredient_specific_candidate
Wheat and rye bread,1,tbsp,8.5,https://www.allrecipes.com/article/cup-to-gram-conversions/,ingredient_specific_candidate
Wheat bread,1,tbsp,8.5,https://www.allrecipes.com/article/cup-to-gram-conversions/,ingredient_specific_candidate
Wheat flour,1,tbsp,8.5,https://www.allrecipes.com/article/cup-to-gram-conversions/,ingredient_specific_candidate
Bread wheat,1,cup,136,https://www.allrecipes.com/article/cup-to-gram-conversions/,ingredient_specific_candidate
Rye,1,cup,136,https://www.allrecipes.com/article/cup-to-gram-conversions/,ingredient_specific_candidate
Soft wheat,1,cup,136,https://www.allrecipes.com/article/cup-to-gram-conversions/,ingredient_specific_candidate
Wheat,1,cup,136,https://www.allrecipes.com/article/cup-to-gram-conversions/,ingredient_specific_candidate
Wheat and rye bread,1,cup,136,https://www.allrecipes.com/article/cup-to-gram-conversions/,ingredient_specific_candidate
Wheat bread,1,cup,136,https://www.allrecipes.com/article/cup-to-gram-conversions/,ingredient_specific_candidate
Wheat flour,1,cup,136,https://www.allrecipes.com/article/cup-to-gram-conversions/,ingredient_specific_candidate
Bagel,1,unit,95,https://kaynutrition.com/are-bagels-healthy/,ingredient_specific_candidate
Bran grain bread,1,slice,40,https://weighschool.com/how-much-does-slice-bread-weigh/,ingredient_specific_candidate
"Bread, French bread, baguette",1,unit,250,https://tastepursuits.com/2658/how-much-does-baguette-weigh/,ingredient_specific_candidate
"Bread, gluten free",1,slice,40,https://weighschool.com/how-much-does-slice-bread-weigh/,ingredient_specific_candidate
Brioche,1,slice,40,https://weighschool.com/how-much-does-slice-bread-weigh/,ingredient_specific_candidate
Chocolate croissant,1,unit,50,"https://weighschool.com/how-much-does-croissant-weigh/#:~:text=The%20average%20weight%20of%20a%20standard-sized%20or%20multipack,of%20this%20size%20is%20around%20160-180kcal%20per%20pastry.",ingredient_specific_candidate
"Corn tortilla wrap, to be filled",1,unit,45,https://thetortillachannel.com/tortilla-sizes-which-tortilla-should-you-choose/,ingredient_specific_candidate
"Crispbread, extruded and grilled",1,unit,14,https://www.eatthis.com/best-crispbreads/,ingredient_specific_candidate
Croissant,1,unit,50,"https://weighschool.com/how-much-does-croissant-weigh/#:~:text=The%20average%20weight%20of%20a%20standard-sized%20or%20multipack,of%20this%20size%20is%20around%20160-180kcal%20per%20pastry.",ingredient_specific_candidate
"English muffin, prepacked",1,unit,57,https://www.nutritionix.com/food/english-muffins,ingredient_specific_candidate
Grissini or bread stick,1,unit,25,https://www.italianrecipebook.com/grissini-italian-breadsticks/,ingredient_specific_candidate
"Milk roll, prepacked",1,slice,40,https://weighschool.com/how-much-does-slice-bread-weigh/,ingredient_specific_candidate
Panini bread,1,unit,31,https://www.nutritionix.com/food/panini-bread,ingredient_specific_candidate
Pita bread,1,unit,39,https://www.nutritionix.com/food/pita-bread,ingredient_specific_candidate
"Rolls for hamburger/hotdog (buns), prepacked",1,unit,43,https://www.carbmanager.com/food-detail/cc:b3226be2b1f8fd619aa56aa66c46f8e4/hamburger-bun-white/,ingredient_specific_candidate
Rusk,1,unit,10,https://www.nutritionix.com/food/rusk,ingredient_specific_candidate
"Rye bread, and wheat",1,slice,40,https://weighschool.com/how-much-does-slice-bread-weigh/,ingredient_specific_candidate
Sandwich loaf,1,slice,40,https://weighschool.com/how-much-does-slice-bread-weigh/,ingredient_specific_candidate
"Wheat tortilla wrap, to be filled",1,unit,45,https://thetortillachannel.com/tortilla-sizes-which-tortilla-should-you-choose/,ingredient_specific_candidate
Maize,1,unit,102,"https://weighschool.com/sweet-corn-weights-servings/#:~:text=Weight%20of%20Corn%20on%20the%20Cob%3A%20The%20weight,one%20102g%2F3.6oz%2C%20and%20a%20large%20ear%20about%20143g%2F5oz.",ingredient_specific_candidate
Maize flour,1,cup,180,https://www.womensweeklyfood.com.au/foodie-facts/cup-grams-ingredient-weight-conversion-1315/,ingredient_specific_candidate
Barley,1,dl,100,"https://www.convertunits.com/from/deciliters/to/grams#:~:text=Do%20a%20quick%20conversion%3A%201%20deciliters%20%3D%20100,grams%20using%20the%20online%20calculator%20for%20metric%20conversions.",generic_water_fallback
Beer,1,dl,100,"https://www.convertunits.com/from/deciliters/to/grams#:~:text=Do%20a%20quick%20conversion%3A%201%20deciliters%20%3D%20100,grams%20using%20the%20online%20calculator%20for%20metric%20conversions.",generic_water_fallback
