id,landuse,blue,green,p_application,n_application,CH4,CO2,N2O,landuse_bd,water_bd,P_bd,N_bd,CH4_bd,CO2_bd,N2O_bd
1_c001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c002,4819.15217190828,38.4427965593982,1225.11651165902,0.0578072700951773,9.95778063114553,3.14431015069063,973.786744253091,4.16733441753866,2.4613950505595898e-11,1.60167817435091e-13,3.79192255763067e-15,3.86151781852992e-14,7.549963385543069e-13,6.93837103195381e-14,8.591821150868899e-13
1_c003,6220.98863993276,376.742344507735,2191.30540277114,0.0241822661308693,4.44296674168369,0.0068655368558464,133.062262251194,0.559722312315385,3.2719669990747896e-11,4.59239338456711e-13,1.2622194070667701e-15,1.6605348943528e-14,1.03165833168596e-13,1.5149791132707899e-16,1.15398322278271e-13
1_c004,1920.51956084738,1.0,839.0,0.0001920519560847,3.26488325344054,0.0024823760520502,0.29260411128057,0.001825805266442,1.0315712111114399e-11,9.88557167838913e-16,0.0,1.23005557010918e-14,2.26861819558052e-16,5.47771856608293e-17,3.76427488985873e-16
1_c005,5139.86013986014,0.0,1867.0,0.000513986013986,8.22377622377622,1.9368465978844e-06,0.0143520332903234,0.0001308016973721,2.7607798730670004e-11,0.0,0.0,3.09833490699167e-14,1.11274184506536e-17,4.2739296329109704e-20,2.69674731483386e-17
1_c006,6153.56811820331,202.129076647607,2660.38377781262,0.0938447295657902,7.49450915415423,0.0024000161616442,55.8487991444981,0.252776828615334,3.1133113647373e-11,5.884357924621109e-13,5.99097154605718e-15,2.97443760607517e-14,4.3300690952712204e-14,5.2959796629845704e-17,5.2115167273509204e-14
1_c007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c009,6941.19869029145,266.592815965291,2416.45069152435,0.0766642116798279,1.82815514219058,0.0010691924566199,20.6624535073406,0.0439478057330896,3.5896195475845794e-11,2.57497492676104e-12,1.4375253603862e-13,1.3592666094311101e-14,1.60200134533113e-14,2.3593264064506202e-17,9.06074840652825e-15
1_c010,576.413966382621,308.989684472613,185.581208279424,0.0017179798069765,1.39006798547702,0.0004367467834495,3.8368925427631,0.0588445687157738,3.09251186182338e-12,3.08864514516823e-13,2.24517175923309e-16,5.445297729413221e-15,2.9748195262550802e-15,9.63744378053809e-18,1.21320239618436e-14
1_c011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c016,659.115249868395,0.0,161.0,0.0001318230499736,1.31823049973679,0.0001116670814124,0.827453073266361,0.0032721975296182,3.54031445672315e-12,0.0,0.0,4.96647703154563e-15,6.41540916764875e-16,2.46409420751605e-18,6.74631146146405e-16
1_c017,4336.40880056778,0.0,893.0,0.0008672817601135,3.46912704045422,3.42656198456769e-06,0.0253908243056466,0.0008903913339467,2.3292209928350097e-11,0.0,0.0,1.30700509276412e-14,1.96860139006539e-17,7.56120015949973e-20,1.83572574914032e-16
1_c018,8981.48148148148,0.0,1930.0,0.0026944444444444,8.08333333333333,2.42082217468869e-07,0.0017938292314443,1.85304385214407e-05,4.82423502384888e-11,0.0,0.0,3.0454225832540703e-14,1.3907916797234098e-18,5.3418911129622905e-21,3.82043286359111e-18
1_c019,4969.23076923077,0.0,4190.0,0.0009938461538461,3.47846153846154,1.40165296165246e-06,0.0103862484458447,0.000628317689162,2.6691294936073597e-11,0.0,0.0,1.3105218957787401e-14,8.05266614503231e-18,3.09294816347732e-20,1.29540676852989e-16
1_c020,3659.12913474117,0.0,0.0,0.0003659129134741,0.731825826948234,4.33334899500225e-05,0.316149662604685,0.0002861671740729,1.9654328704012898e-11,0.0,0.0,2.7571780211093703e-15,2.45117156410664e-16,9.562155670828421e-19,5.89992770567329e-17
1_c021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c030,8384.27947598253,0.0,0.0,0.0,0.0,1.40293448317757e-06,0.010395254597226,0.0001010290297088,4.5034591209890695e-11,0.0,0.0,0.0,8.059648794321269e-18,3.0957760244072303e-20,2.0829222407770003e-17
1_c031,257.599764778909,125.0,77.0,7.72799294336726e-05,0.772799294336726,0.0007048864959932,5.22320893531023,0.0062719303573985,1.3836490226517299e-12,1.23569645979864e-13,0.0,2.9115469154175803e-15,4.049658351724731e-15,1.5554330871402702e-17,1.2930880630717702e-15
1_c032,326.111796700032,182.0,165.0,6.52223593400064e-05,0.750057132410074,0.0001690864127354,1.2529303183698,0.0023383324413529,1.75164860560518e-12,1.79917404546682e-13,0.0,2.8258650677597e-15,9.71421934438472e-16,3.7311340541996296e-18,4.82095558322038e-16
1_c033,391.622913564768,952.0,1325.0,7.83245827129535e-05,0.979057283911919,0.0012926172764971,9.56388293878738,0.0218524597772309,2.10352933383687e-12,9.41106423782645e-13,0.0,3.68863071677289e-15,7.415069720100631e-15,2.8523452957338603e-17,4.505336200578221e-15
1_c034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c040,1201.04870329255,460.0,594.0,0.0003603146109877,3.24283149888989,0.0001085387381366,0.804272049592514,0.0103995261439833,6.4512087807772895e-12,4.5473629720589993e-13,0.0,1.22174749860704e-14,6.23568205490068e-16,2.39506282917632e-18,2.14407723812247e-15
1_c041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c043,527.886054854108,310.0,377.0,0.0001583658164562,1.37250374262068,0.0005381481802392,3.93881516282237,0.0268397991816438,2.8354413463741098e-12,3.06452722030063e-13,0.0,5.17095327015805e-15,3.05384217203944e-15,1.1875010942704e-17,5.53357929047895e-15
