id,landuse,blue,green,p_application,n_application,CH4,CO2,N2O,landuse_bd,water_bd,P_bd,N_bd,CH4_bd,CO2_bd,N2O_bd
1_c001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c002,4438.92050837053,35,1024,0.0008877841016741,9.32173306757812,51.9081321449798,6827.12720872941,95.3377175468495,2.38428324199249E-11,3.45995008743619E-14,0,3.51199378132808E-14,5.29320826747209E-12,1.14542733743505E-12,1.96558407851123E-11
1_c003,5564.31000377837,343,1934,0.0005564310003778,3.89501700264486,0.755327454608508,5596.97643864905,35.5851032623536,2.98876518969925E-11,3.39075108568747E-13,0,1.4674605454037E-14,4.33944777241338E-12,1.6667382921955E-14,7.33660446300162E-12
1_c004,1920.51956084738,1,839,0.0001920519560847,3.26488325344054,2.48237605205022,292.60411128057,1.82580526644207,1.03157121111144E-11,9.88557167838913E-16,0,1.23005557010918E-14,2.26861819558052E-13,5.47771856608293E-14,3.76427488985873E-13
1_c005,5139.86013986014,0,1867,0.000513986013986,8.22377622377622,0.0019368465978844,14.3520332903234,0.130801697372106,2.760779873067E-11,0,0,3.09833490699167E-14,1.11274184506536E-14,4.27392963291097E-17,2.69674731483386E-14
1_c006,5126.25445127873,174,2208,0.0005126254451278,6.15150534153448,0.0352871417652127,261.477720480226,2.63631169859489,2.75347183156924E-11,1.72008947203971E-13,0,2.31759999440625E-14,2.02728906242729E-13,7.78661361285949E-16,5.4353014044044E-13
1_c007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c009,6328.38745800672,242,1955,0,1.26567749160134,0.0549811342514978,406.050297078764,0.504597173980063,3.39917512298496E-11,2.39230834617017E-13,0,4.76848183427517E-15,3.14818916331107E-13,1.21323753355173E-15,1.04033135757586E-13
1_c010,469.368244340456,252,151,9.38736488680911E-05,1.12648378641709,0.329691549295573,2396.52768453966,43.682861949316,2.52112385701449E-12,2.49116406295406E-13,0,4.24406494370001E-15,1.85807584437729E-12,7.27511659309415E-15,9.00612476999846E-12
1_c011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c016,659.115249868395,0,161,0.0001318230499736,1.31823049973679,0.111667081412464,827.453073266361,3.27219752961821,3.54031445672315E-12,0,0,4.96647703154563E-15,6.41540916764875E-13,2.46409420751605E-15,6.74631146146406E-13
1_c017,4336.40880056778,0,893,0.0008672817601135,3.46912704045422,0.0034265619845676,25.3908243056466,0.890391333946788,2.32922099283501E-11,0,0,1.30700509276412E-14,1.96860139006539E-14,7.56120015949973E-17,1.83572574914032E-13
1_c018,8981.48148148148,0,1930,0.0026944444444444,8.08333333333333,0.0002420822174688,1.79382923144432,0.0185304385214407,4.82423502384888E-11,0,0,3.04542258325407E-14,1.39079167972341E-15,5.3418911129623E-18,3.82043286359111E-15
1_c019,4969.23076923077,0,4190,0.0009938461538461,3.47846153846154,0.0014016529616524,10.3862484458447,0.628317689162,2.66912949360736E-11,0,0,1.31052189577874E-14,8.05266614503231E-15,3.09294816347732E-17,1.29540676852989E-13
1_c020,3659.12913474117,0,0,0.0003659129134741,0.731825826948234,0.0433334899500225,316.149662604685,0.286167174072934,1.96543287040129E-11,0,0,2.75717802110937E-15,2.45117156410664E-13,9.56215567082842E-16,5.89992770567329E-14
1_c021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c030,8384.27947598253,0,0,0,0,0.0014029344831775,10.395254597226,0.101029029708898,4.50345912098907E-11,0,0,0,8.05964879432127E-15,3.09577602440723E-17,2.082922240777E-14
1_c031,257.599764778909,125,77,7.72799294336726E-05,0.772799294336726,0.704886495993283,5223.20893531023,6.27193035739858,1.38364902265173E-12,1.23569645979864E-13,0,2.91154691541758E-15,4.04965835172473E-12,1.55543308714027E-14,1.29308806307177E-12
1_c032,326.111796700032,182,165,6.52223593400064E-05,0.750057132410074,0.169086412735465,1252.9303183698,2.33833244135298,1.75164860560518E-12,1.79917404546682E-13,0,2.8258650677597E-15,9.71421934438473E-13,3.73113405419963E-15,4.82095558322038E-13
1_c033,391.622913564768,952,1325,7.83245827129535E-05,0.979057283911919,1.29261727649712,9563.88293878738,21.8524597772309,2.10352933383687E-12,9.41106423782645E-13,0,3.68863071677289E-15,7.41506972010063E-12,2.85234529573386E-14,4.50533620057822E-12
1_c034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c040,1201.04870329255,460,594,0.0003603146109877,3.24283149888989,0.108538738136641,804.272049592514,10.3995261439833,6.45120878077729E-12,4.547362972059E-13,0,1.22174749860704E-14,6.23568205490068E-13,2.39506282917632E-15,2.14407723812247E-12
1_c041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c043,527.886054854108,310,377,0.0001583658164562,1.37250374262068,0.538148180239249,3938.81516282237,26.8397991816438,2.83544134637411E-12,3.06452722030063E-13,0,5.17095327015805E-15,3.05384217203944E-12,1.1875010942704E-14,5.53357929047895E-12
1_c044,1437.0096908168,5968,7642,0.0001437009690816,1.00590678357176,1.04282642027551,7613.5772661522,12.5501726634376,7.71862915304384E-12,5.89970917766263E-12,0,3.78978709526338E-15,5.90295872599313E-12,2.30114596812481E-14,2.58747746480271E-12
1_c045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c059,3952.51396648045,0,0,0.000790502793296,7.1145251396648,0.0004583671972339,3.32228273091863,0.0603866725668891,2.12301905299944E-11,0,0,2.68042089024297E-14,2.57583224693583E-15,1.01145291999504E-17,1.24499605408972E-14
1_c060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c061,799.461633411878,0,609884802,0.0002398384900235,1.35908477680019,1.04930200001607,7775.32782011911,193.800183223785,4.29415884237045E-12,0,0,5.12039687235975E-15,6.02836716549475E-12,2.3154352629888E-14,3.99559129753699E-11
1_c062,631.114649170296,0,672775693,0,0,0,0,0,3.38991445995747E-12,0,0,0,0,0,0
1_c063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c066,0,0,0,0,0,15.2674045273567,5337.65375814769,0.0975833908365401,0,0,0,0,4.13838971176707E-12,3.36897164175948E-13,2.01188327443634E-14
1_c067,0,0,0,0,0,54.2900159522908,18980.3910126572,0.347000948045989,0,0,0,0,1.47158767599334E-11,1.19798701767683E-12,7.15414167926068E-14
1_c068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c070,0,0,0,0,0,0.0529265000632056,18.5036907525293,0.0003382858777353,0,0,0,0,1.4346281514251E-14,1.16789908521139E-15,6.97446249366216E-17
1_c071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_c083,0,0,0,0,0,0.0401301667468164,14.0299508647606,0.0002564966257999,0,0,0,0,1.08777015044662E-14,8.85529649174174E-16,5.28820803389294E-17
1_c084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
