"id","landuse","blue","green","p_application","n_application","Emissions (CH4) (Enteric)","Emissions (CH4) (Rice cultivation)","Emissions (CH4) (Burning crop residues)","Emissions (CH4) (Manure management)","Direct emissions (CH4) (On farm - Energy use)","Direct emissions (CH4) (Food - Energy use)","Emissions (CH4) (Savanna fires)","Emissions (CO2) (Drained organic soils (CO2))","Direct emissions (CO2) (On farm - Energy use)","Direct emissions (CO2) (Food - Energy use)","Direct emissions (N2O) (On farm - Energy use)","Direct emissions (N2O) (Food - Energy use)","Direct emissions (N2O) (Manure management)","Indirect emissions (N2O) (Manure management)","Emissions (N2O) (Savanna fires)","Direct emissions (N2O) (Crop residues)","Indirect emissions (N2O) (Crop residues)","Emissions (N2O) (Burning crop residues)","Direct emissions (N2O) (Manure on pasture)","Indirect emissions (N2O that leaches) (Manure on pasture)","Indirect emissions (N2O that volatilises) (Manure on pasture)","Emissions (N2O) (Drained organic soils (N2O))","Direct emissions (N2O) (Manure applied)","Indirect emissions (N2O) (Manure applied)","Direct emissions (N2O) (Synthetic fertilizers)","Indirect emissions (N2O that leaches) (Synthetic fertilizers)"
"1_c001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1_c002",4438.92050837053,35,1024,0.000887784101674106,9.32173306757812,0,0,50.9867924406978,0,0.921339704281971,0,0,0,6827.12720872941,0,0.0552803822569183,0,0,0,0,30.089789219185,6.77612576117081,1.32679385533414,0,0,0,0,8.21603396292499,3.51401148185985,37.0259438076601,8.33373907645766
"1_c003",5564.31000377837,343,1934,0.000556431000377837,3.89501700264486,0,0,0,0,0.755327454608508,0,0,0,5596.97643864905,0,0.0453196472765105,0,0,0,0,17.838148305062,4.00153056573013,0,0,0,0,0,3.11232426026785,1.33114629700954,7.55595267567917,1.70068151132841
"1_c004",1920.51956084738,1,839,0.000192051956084738,3.26488325344054,0,0,2.44288831773435,0,0.0394877343158664,0,0,0,292.60411128057,0,0.00236926405895199,0,0,0,0,0.785214102128898,0.174492022695311,0.0581640075651035,0,0,0,0,0.0695265026090188,0.0297366015725027,0.576536802185567,0.12976596362672
"1_c005",5139.86013986014,0,1867,0.000513986013986014,8.22377622377622,0,0,0,0,0.0019368465978844,0,0,0,14.3520332903234,0,0.000116210795873064,0,0,0,0,0.0583673469387755,0,0,0,0,0,0,0.00303987841309369,0.00130016108687873,0.0554887767243031,0.0124893234131817
"1_c006",5126.25445127873,174,2208,0.000512625445127873,6.15150534153448,0,0,0,0,0.0352871417652127,0,0,0,261.477720480226,0,0.00211722850591276,0,0,0,0,1.00131710237478,0.250329275593694,0,0,0,0,0,0.0444858484344681,0.0190266718570556,1.07669485008558,0.2423407217434
"1_c007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1_c008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1_c009",6328.38745800672,242,1955,0,1.26567749160134,0,0,0,0,0.0549811342514978,0,0,0,406.050297078764,0,0.00329886805508987,0,0,0,0,0,0,0,0,0,0,0,0.12338466462493,0.0527718276401906,0.265404909307813,0.0597369043520406
"1_c010",469.368244340456,252,151,9.38736488680911e-05,1.12648378641709,0,0,0,0,0.329691549295573,0,0,0,2396.52768453966,0,0.0197814929577344,0,0,0,0,13.7583452636511,3.12387549464543,0,0,0,0,0,3.43701824477987,1.470018457813,17.8550397532103,4.01878324225861
