Ingredient,Food group,Food and Waste,Land Use (m2) Arable,Land Use (m2) Fallow,Land Use (m2) Perm Past,"GHG (kg CO2eq, IPCC 2013) LUC","GHG (kg CO2eq, IPCC 2013) Feed","GHG (kg CO2eq, IPCC 2013) Farm","GHG (kg CO2eq, IPCC 2013) Processing","GHG (kg CO2eq, IPCC 2013) Transport","GHG (kg CO2eq, IPCC 2013) Packging","GHG (kg CO2eq, IPCC 2013) Retail",Acid.(kg SO2eq),Eutr. (kg PO43-eq),Freshwater (L),Str-Wt WU (L eq),Datasource
Bread wheat,Wheat & Rye (Bread),482152,2.55,0.932,0,0.1,0,0.847,0.217,0.129,0.09,0.058,0.01209,0.00706,567,28918,Poore&Nemecek
Rye,Wheat & Rye (Bread),482152,2.55,0.932,0,0.1,0,0.847,0.217,0.129,0.09,0.058,0.01209,0.00706,567,28918,Poore&Nemecek
Soft wheat,Wheat & Rye (Bread),482152,2.55,0.932,0,0.1,0,0.847,0.217,0.129,0.09,0.058,0.01209,0.00706,567,28918,Poore&Nemecek
Wheat,Wheat & Rye (Bread),482152,2.55,0.932,0,0.1,0,0.847,0.217,0.129,0.09,0.058,0.01209,0.00706,567,28918,Poore&Nemecek
Wheat and rye bread,Wheat & Rye (Bread),482152,2.55,0.932,0,0.1,0,0.847,0.217,0.129,0.09,0.058,0.01209,0.00706,567,28918,Poore&Nemecek
Wheat bread,Wheat & Rye (Bread),482152,2.55,0.932,0,0.1,0,0.847,0.217,0.129,0.09,0.058,0.01209,0.00706,567,28918,Poore&Nemecek
Wheat flour,Wheat & Rye (Bread),482152,2.55,0.932,0,0.1,0,0.847,0.217,0.129,0.09,0.058,0.01209,0.00706,567,28918,Poore&Nemecek
Bagel,Wheat & Rye (Bread),482152,2.55,0.932,0,0.1,0,0.847,0.217,0.129,0.09,0.058,0.01209,0.00706,567,28918,PA based on AGRIBALYSE
Bran grain bread,Wheat & Rye (Bread),482152,2.55,0.932,0,0.1,0,0.847,0.217,0.129,0.09,0.058,0.01209,0.00706,567,28918,PA based on AGRIBALYSE
"Bread, French bread, baguette",Wheat & Rye (Bread),482152,2.55,0.932,0,0.1,0,0.847,0.217,0.129,0.09,0.058,0.01209,0.00706,567,28918,PA based on AGRIBALYSE
"Bread, gluten free",Wheat & Rye (Bread),482152,2.55,0.932,0,0.1,0,0.847,0.217,0.129,0.09,0.058,0.01209,0.00706,567,28918,PA based on AGRIBALYSE
Brioche,Wheat & Rye (Bread),482152,2.55,0.932,0,0.1,0,0.847,0.217,0.129,0.09,0.058,0.01209,0.00706,567,28918,PA based on AGRIBALYSE
Chocolate croissant,Wheat & Rye (Bread),482152,2.55,0.932,0,0.1,0,0.847,0.217,0.129,0.09,0.058,0.01209,0.00706,567,28918,PA based on AGRIBALYSE
"Corn tortilla wrap, to be filled",Wheat & Rye (Bread),482152,2.55,0.932,0,0.1,0,0.847,0.217,0.129,0.09,0.058,0.01209,0.00706,567,28918,PA based on AGRIBALYSE
"Crispbread, extruded and grilled",Wheat & Rye (Bread),482152,2.55,0.932,0,0.1,0,0.847,0.217,0.129,0.09,0.058,0.01209,0.00706,567,28918,PA based on AGRIBALYSE
Croissant,Wheat & Rye (Bread),482152,2.55,0.932,0,0.1,0,0.847,0.217,0.129,0.09,0.058,0.01209,0.00706,567,28918,PA based on AGRIBALYSE
Croutons,Wheat & Rye (Bread),482152,2.55,0.932,0,0.1,0,0.847,0.217,0.129,0.09,0.058,0.01209,0.00706,567,28918,PA based on AGRIBALYSE
