Country,Commodity,Export_Value,Rank
Afghanistan,c001,24695.0,1
India,c001,10494.0,2
Viet Nam,c001,4349.0,3
Thailand,c001,3911.0,4
Pakistan,c001,2815.0,5
United States of America,c001,1721.0,6
"China, mainland",c001,1701.0,7
Myanmar,c001,1344.0,8
Brazil,c001,784.0,9
Uruguay,c001,665.0,10
Paraguay,c001,566.0,11
Cambodia,c001,523.0,12
Italy,c001,452.0,13
Guyana,c001,423.0,14
United Republic of Tanzania,c001,250.0,15
Argentina,c001,236.0,16
Spain,c001,151.0,17
"China, Taiwan Province of",c001,148.0,18
Turkey,c001,103.0,19
Kazakhstan,c001,85.0,20
Afghanistan,c002,828373.0,1
Russian Federation,c002,62132.0,2
Canada,c002,42529.0,3
United States of America,c002,39534.0,4
France,c002,33182.0,5
Ukraine,c002,28009.0,6
Argentina,c002,18153.0,7
Australia,c002,16486.0,8
Germany,c002,16322.0,9
Kazakhstan,c002,11033.0,10
Poland,c002,8747.0,11
Lithuania,c002,6726.0,12
Romania,c002,5605.0,13
Bulgaria,c002,5464.0,14
Hungary,c002,5274.0,15
Turkey,c002,5212.0,16
Czech Republic,c002,4362.0,17
Latvia,c002,4016.0,18
Italy,c002,3552.0,19
India,c002,2482.0,20
Afghanistan,c003,110663.0,1
France,c003,980.0,2
Russian Federation,c003,622.0,3
Australia,c003,616.0,4
Ukraine,c003,542.0,5
Canada,c003,414.0,6
Germany,c003,353.0,7
Argentina,c003,338.0,8
United Kingdom,c003,214.0,9
Kazakhstan,c003,116.0,10
Denmark,c003,110.0,11
Hungary,c003,101.0,12
Romania,c003,90.0,13
Czech Republic,c003,72.0,14
United States of America,c003,69.0,15
Sweden,c003,65.0,16
Uruguay,c003,61.0,17
Lithuania,c003,50.0,18
Poland,c003,43.0,19
Slovakia,c003,43.0,20
Afghanistan,c004,174722.0,1
United States of America,c004,13387.0,2
Argentina,c004,9387.0,3
Brazil,c004,8758.0,4
Ukraine,c004,5546.0,5
Romania,c004,1278.0,6
France,c004,1107.0,7
Hungary,c004,1032.0,8
Serbia,c004,940.0,9
South Africa,c004,859.0,10
Bulgaria,c004,658.0,11
India,c004,607.0,12
Russian Federation,c004,589.0,13
Paraguay,c004,539.0,14
Poland,c004,374.0,15
Croatia,c004,296.0,16
Canada,c004,287.0,17
"China, mainland",c004,256.0,18
Myanmar,c004,239.0,19
Slovakia,c004,150.0,20
Germany,c005,2828047.0,1
Poland,c005,1639520.0,2
Russian Federation,c005,1197160.0,3
Belarus,c005,887290.0,4
Denmark,c005,674173.0,5
"China, mainland",c005,421000.0,6
Spain,c005,353710.0,7
Canada,c005,286023.0,8
Argentina,c005,220999.0,9
Ukraine,c005,168958.0,10
United States of America,c005,156225.0,11
Latvia,c005,127881.0,12
Austria,c005,120007.0,13
France,c005,101516.0,14
Turkey,c005,95960.0,15
Hungary,c005,68247.0,16
Czech Republic,c005,64890.0,17
Lithuania,c005,64831.0,18
Sweden,c005,47123.0,19
Estonia,c005,44666.0,20
Russian Federation,c006,3863945.0,1
Canada,c006,2707425.0,2
Poland,c006,1483855.0,3
Spain,c006,1327958.0,4
Australia,c006,1004897.0,5
Finland,c006,829611.0,6
Sweden,c006,634473.0,7
Argentina,c006,550929.0,8
United Kingdom,c006,472876.0,9
"China, mainland",c006,436828.0,10
Ukraine,c006,427371.0,11
United States of America,c006,358808.0,12
Denmark,c006,347410.0,13
Belarus,c006,328425.0,14
Germany,c006,318260.0,15
France,c006,304269.0,16
Chile,c006,296623.0,17
Norway,c006,281980.0,18
Turkey,c006,251304.0,19
Lithuania,c006,223426.0,20
India,c007,2081585.0,1
"China, mainland",c007,1437741.0,2
Niger,c007,1051135.0,3
Senegal,c007,552999.0,4
Mali,c007,494798.0,5
United Republic of Tanzania,c007,300731.0,6
Sudan,c007,293821.0,7
Nigeria,c007,280651.0,8
Russian Federation,c007,235905.0,9
Ukraine,c007,228251.0,10
Guinea,c007,205705.0,11
United States of America,c007,187190.0,12
Pakistan,c007,147616.0,13
Burkina Faso,c007,144710.0,14
Myanmar,c007,125089.0,15
Chad,c007,110376.0,16
Ethiopia,c007,93143.0,17
Ghana,c007,58956.0,18
Uzbekistan,c007,55047.0,19
Kenya,c007,54306.0,20
United States of America,c008,5650230.0,1
Mexico,c008,4602643.0,2
Brazil,c008,2765373.0,3
Argentina,c008,1568238.0,4
"China, mainland",c008,1157842.0,5
Sudan,c008,958600.0,6
Bolivia (Plurinational State of),c008,916807.0,7
India,c008,885616.0,8
Nigeria,c008,718536.0,9
United Republic of Tanzania,c008,686113.0,10
Burkina Faso,c008,621026.0,11
Mali,c008,565306.0,12
Niger,c008,548230.0,13
Cameroon,c008,445189.0,14
France,c008,433698.0,15
Australia,c008,423036.0,16
Egypt,c008,400915.0,17
Ethiopia,c008,366054.0,18
Italy,c008,364603.0,19
Senegal,c008,178000.0,20
Poland,c009,8350897.0,1
Germany,c009,2276712.0,2
France,c009,2006143.0,3
Belarus,c009,1549796.0,4
"China, mainland",c009,1527161.0,5
Spain,c009,1260269.0,6
Russian Federation,c009,897105.0,7
Lithuania,c009,597095.0,8
Turkey,c009,539734.0,9
Hungary,c009,498892.0,10
Canada,c009,472574.0,11
Ethiopia,c009,433131.0,12
Austria,c009,390099.0,13
Kazakhstan,c009,384368.0,14
Thailand,c009,327800.0,15
Czech Republic,c009,292489.0,16
Romania,c009,254244.0,17
Sweden,c009,239393.0,18
Argentina,c009,199000.0,19
Belgium,c009,175233.0,20
Afghanistan,c010,81793.0,1
Netherlands,c010,1028.0,2
Germany,c010,995.0,3
United States of America,c010,729.0,4
Belgium,c010,686.0,5
France,c010,631.0,6
Canada,c010,494.0,7
Poland,c010,252.0,8
Egypt,c010,147.0,9
"China, mainland",c010,134.0,10
Argentina,c010,110.0,11
India,c010,102.0,12
Pakistan,c010,90.0,13
Belarus,c010,88.0,14
United Kingdom,c010,72.0,15
Denmark,c010,68.0,16
Spain,c010,54.0,17
South Africa,c010,48.0,18
Turkey,c010,47.0,19
Iran (Islamic Republic of),c010,34.0,20
Thailand,c011,22678995.0,1
Nigeria,c011,21039326.0,2
Ghana,c011,11579357.0,3
Brazil,c011,10573364.0,4
Viet Nam,c011,6840555.0,5
Malawi,c011,3715710.0,6
"China, mainland",c011,3520447.0,7
Democratic Republic of the Congo,c011,3335893.0,8
Cambodia,c011,3135737.0,9
Cameroon,c011,2740600.0,10
Côte d'Ivoire,c011,2245267.0,11
Paraguay,c011,2151278.0,12
Benin,c011,1889265.0,13
Angola,c011,1651695.0,14
Philippines,c011,1551750.0,15
Lao People's Democratic Republic,c011,1464794.0,16
United Republic of Tanzania,c011,1391993.0,17
Indonesia,c011,1041543.0,18
Mozambique,c011,1023788.0,19
Senegal,c011,815755.0,20
"China, mainland",c012,22586277.0,1
Malawi,c012,6132732.0,2
Nigeria,c012,1067609.0,3
Viet Nam,c012,877188.0,4
United Republic of Tanzania,c012,666727.0,5
Madagascar,c012,558992.0,6
Brazil,c012,517879.0,7
Angola,c012,504690.0,8
Japan,c012,325318.0,9
Rwanda,c012,308768.0,10
United States of America,c012,302613.0,11
Mali,c012,213712.0,12
Egypt,c012,155700.0,13
"China, Taiwan Province of",c012,151412.0,14
Ethiopia,c012,148589.0,15
India,c012,115685.0,16
Democratic Republic of the Congo,c012,111999.0,17
Indonesia,c012,97442.0,18
Papua New Guinea,c012,96993.0,19
Uganda,c012,84819.0,20
Lao People's Democratic Republic,c013,3577530.0,1
Nigeria,c013,961874.0,2
Cameroon,c013,915038.0,3
Ethiopia,c013,823441.0,4
Ghana,c013,403943.0,5
"China, mainland",c013,334663.0,6
Democratic Republic of the Congo,c013,217546.0,7
Madagascar,c013,113432.0,8
Namibia,c013,84362.0,9
Colombia,c013,72940.0,10
Peru,c013,67152.0,11
Cuba,c013,66876.0,12
Indonesia,c013,60145.0,13
Mexico,c013,58359.0,14
Papua New Guinea,c013,50001.0,15
Pakistan,c013,48395.0,16
Nicaragua,c013,47170.0,17
Guinea,c013,42963.0,18
Japan,c013,39204.0,19
Gabon,c013,38836.0,20
Nigeria,c014,25143059.0,1
Côte d'Ivoire,c014,2597759.0,2
Ghana,c014,2151594.0,3
Benin,c014,1395408.0,4
Togo,c014,216560.0,5
Chad,c014,157002.0,6
Cameroon,c014,139996.0,7
Brazil,c014,120704.0,8
Central African Republic,c014,81000.0,9
Gabon,c014,70738.0,10
Guinea,c014,62950.0,11
Colombia,c014,44500.0,12
Papua New Guinea,c014,28000.0,13
Jamaica,c014,26804.0,14
Haiti,c014,24620.0,15
Japan,c014,21788.0,16
Democratic Republic of the Congo,c014,19873.0,17
Burkina Faso,c014,15999.0,18
Mali,c014,13152.0,19
Rwanda,c014,13001.0,20
Afghanistan,c015,36777.0,1
Afghanistan,c016,5000.0,1
Myanmar,c017,1583450.0,1
India,c017,883259.0,2
"China, mainland",c017,571819.0,3
Brazil,c017,280293.0,4
Belarus,c017,236939.0,5
United Republic of Tanzania,c017,196279.0,6
Mozambique,c017,186464.0,7
Kenya,c017,145808.0,8
Togo,c017,136037.0,9
Angola,c017,119039.0,10
Burundi,c017,118777.0,11
Argentina,c017,116582.0,12
Mexico,c017,114832.0,13
Malawi,c017,106391.0,14
Mali,c017,97000.0,15
Kazakhstan,c017,94426.0,16
United States of America,c017,91399.0,17
Cameroon,c017,77177.0,18
Uganda,c017,67809.0,19
Canada,c017,66521.0,20
Canada,c018,3893.0,1
Russian Federation,c018,737.0,2
United States of America,c018,487.0,3
Ukraine,c018,392.0,4
France,c018,236.0,5
Lithuania,c018,142.0,6
Estonia,c018,71.0,7
Kazakhstan,c018,59.0,8
Argentina,c018,58.0,9
Australia,c018,53.0,10
Germany,c018,26.0,11
Czech Republic,c018,26.0,12
Latvia,c018,25.0,13
Sweden,c018,21.0,14
Malawi,c018,20.0,15
Hungary,c018,17.0,16
New Zealand,c018,17.0,17
United Kingdom,c018,12.0,18
Denmark,c018,11.0,19
Poland,c018,11.0,20
Afghanistan,c019,4356.0,1
Canada,c019,2169.0,2
Australia,c019,957.0,3
United States of America,c019,355.0,4
Turkey,c019,265.0,5
India,c019,255.0,6
Russian Federation,c019,232.0,7
United Republic of Tanzania,c019,220.0,8
Lithuania,c019,96.0,9
Argentina,c019,90.0,10
Latvia,c019,60.0,11
Mexico,c019,59.0,12
France,c019,43.0,13
Germany,c019,43.0,14
Ethiopia,c019,43.0,15
United Kingdom,c019,39.0,16
"China, mainland",c019,33.0,17
Kazakhstan,c019,32.0,18
Kenya,c019,30.0,19
Poland,c019,24.0,20
Afghanistan,c020,2591.0,1
United States of America,c020,87.0,2
Côte d'Ivoire,c020,53.0,3
Turkey,c020,34.0,4
Viet Nam,c020,26.0,5
United Republic of Tanzania,c020,23.0,6
"China, mainland",c020,19.0,7
Spain,c020,18.0,8
Chile,c020,12.0,9
India,c020,12.0,10
Indonesia,c020,11.0,11
Australia,c020,10.0,12
Iran (Islamic Republic of),c020,9.0,13
Mexico,c020,9.0,14
Nigeria,c020,8.0,15
Ghana,c020,7.0,16
Guinea-Bissau,c020,7.0,17
Benin,c020,6.0,18
Myanmar,c020,5.0,19
Italy,c020,5.0,20
Brazil,c021,1227.0,1
United States of America,c021,1098.0,2
Paraguay,c021,122.0,3
Argentina,c021,107.0,4
Canada,c021,77.0,5
Uruguay,c021,33.0,6
Ukraine,c021,25.0,7
Russian Federation,c021,14.0,8
Croatia,c021,5.0,9
Serbia,c021,5.0,10
France,c021,2.0,11
India,c021,2.0,12
Romania,c021,2.0,13
Slovakia,c021,2.0,14
Ethiopia,c021,1.0,15
"China, mainland",c022,8272004.0,1
India,c022,3180620.0,2
Nigeria,c022,2648499.0,3
Sudan,c022,1205009.0,4
Myanmar,c022,1203906.0,5
United States of America,c022,857113.0,6
Senegal,c022,789218.0,7
Chad,c022,696242.0,8
Argentina,c022,523376.0,9
Guinea,c022,486474.0,10
Cameroon,c022,391489.0,11
Brazil,c022,318424.0,12
Malawi,c022,301193.0,13
Burkina Faso,c022,239911.0,14
Niger,c022,224242.0,15
Mali,c022,207512.0,16
Ghana,c022,202499.0,17
Viet Nam,c022,180163.0,18
Central African Republic,c022,163737.0,19
United Republic of Tanzania,c022,163215.0,20
Romania,c023,1979.0,1
Bulgaria,c023,836.0,2
"China, mainland",c023,683.0,3
Republic of Moldova,c023,542.0,4
France,c023,525.0,5
Afghanistan,c023,504.0,6
Hungary,c023,472.0,7
Kazakhstan,c023,337.0,8
Argentina,c023,296.0,9
Serbia,c023,204.0,10
Slovakia,c023,143.0,11
Turkey,c023,124.0,12
United States of America,c023,87.0,13
Croatia,c023,75.0,14
Canada,c023,52.0,15
Spain,c023,39.0,16
Greece,c023,30.0,17
Austria,c023,14.0,18
Lithuania,c023,11.0,19
Mozambique,c023,6.0,20
Canada,c024,22423843.0,1
"China, mainland",c024,8862388.0,2
India,c024,8198610.0,3
Germany,c024,3651268.0,4
France,c024,3352801.0,5
Poland,c024,2858633.0,6
Russian Federation,c024,2603025.0,7
Australia,c024,2552004.0,8
Ukraine,c024,2447586.0,9
United States of America,c024,1669381.0,10
Czech Republic,c024,1241122.0,11
United Kingdom,c024,1160152.0,12
Lithuania,c024,961420.0,13
Hungary,c024,860039.0,14
Romania,c024,807390.0,15
Belarus,c024,747033.0,16
Denmark,c024,645504.0,17
Pakistan,c024,568434.0,18
Latvia,c024,474073.0,19
Slovakia,c024,431951.0,20
Afghanistan,c025,74062.0,1
Indonesia,c026,459.0,1
Philippines,c026,211.0,2
Papua New Guinea,c026,49.0,3
Viet Nam,c026,46.0,4
Thailand,c026,45.0,5
Sri Lanka,c026,42.0,6
Dominican Republic,c026,14.0,7
Malaysia,c026,12.0,8
Vanuatu,c026,12.0,9
Ghana,c026,5.0,10
Costa Rica,c026,2.0,11
Guyana,c026,2.0,12
Côte d'Ivoire,c026,2.0,13
Mexico,c026,2.0,14
Afghanistan,c027,10910.0,1
Indonesia,c028,250039391.0,1
Malaysia,c028,96081856.0,2
Thailand,c028,13025435.0,3
Nigeria,c028,9986154.0,4
Colombia,c028,6166162.0,5
Cameroon,c028,3030895.0,6
Guatemala,c028,2893542.0,7
Papua New Guinea,c028,2747356.0,8
Ghana,c028,2680152.0,9
Honduras,c028,2532326.0,10
Ecuador,c028,2478628.0,11
Brazil,c028,2348009.0,12
Côte d'Ivoire,c028,2102950.0,13
Democratic Republic of the Congo,c028,2011213.0,14
Mexico,c028,1556027.0,15
Costa Rica,c028,1135187.0,16
