Country,Commodity,Export_Value,Rank
India,c001,159811.0,1
Viet Nam,c001,66232.0,2
Thailand,c001,59556.0,3
Pakistan,c001,42859.0,4
United States of America,c001,26223.0,5
"China, mainland",c001,25903.0,6
Myanmar,c001,20479.0,7
Brazil,c001,11940.0,8
Uruguay,c001,10108.0,9
Paraguay,c001,8634.0,10
Cambodia,c001,7984.0,11
Italy,c001,6878.0,12
Guyana,c001,6432.0,13
United Republic of Tanzania,c001,3838.0,14
Argentina,c001,3596.0,15
Spain,c001,2304.0,16
"China, Taiwan Province of",c001,2249.0,17
Turkey,c001,1564.0,18
Kazakhstan,c001,1323.0,19
Russian Federation,c001,1254.0,20
Russian Federation,c002,76942.0,1
Canada,c002,52667.0,2
United States of America,c002,48957.0,3
France,c002,41092.0,4
Ukraine,c002,34686.0,5
Argentina,c002,22479.0,6
Australia,c002,20415.0,7
Germany,c002,20212.0,8
Kazakhstan,c002,13662.0,9
Poland,c002,10832.0,10
Lithuania,c002,8331.0,11
Romania,c002,6940.0,12
Bulgaria,c002,6766.0,13
Hungary,c002,6531.0,14
Turkey,c002,6454.0,15
Czech Republic,c002,5402.0,16
Latvia,c002,4974.0,17
Italy,c002,4398.0,18
India,c002,3074.0,19
United Kingdom,c002,3023.0,20
France,c003,66887.0,1
Russian Federation,c003,42384.0,2
Australia,c003,42033.0,3
Ukraine,c003,36958.0,4
Canada,c003,28273.0,5
Germany,c003,24052.0,6
Argentina,c003,23105.0,7
United Kingdom,c003,14571.0,8
Kazakhstan,c003,7991.0,9
Denmark,c003,7523.0,10
Hungary,c003,6930.0,11
Romania,c003,6243.0,12
Czech Republic,c003,4814.0,13
United States of America,c003,4681.0,14
Sweden,c003,4528.0,15
Uruguay,c003,4233.0,16
Lithuania,c003,3519.0,17
Slovakia,c003,2991.0,18
Poland,c003,2859.0,19
Belgium,c003,2858.0,20
United States of America,c004,162021.0,1
Argentina,c004,113626.0,2
Brazil,c004,105990.0,3
Ukraine,c004,67119.0,4
United Arab Emirates,c004,30559.0,5
Romania,c004,15476.0,6
France,c004,13419.0,7
Hungary,c004,12488.0,8
Serbia,c004,11384.0,9
South Africa,c004,10402.0,10
Bulgaria,c004,7964.0,11
India,c004,7354.0,12
Russian Federation,c004,7149.0,13
Paraguay,c004,6523.0,14
Poland,c004,4537.0,15
Croatia,c004,3588.0,16
Canada,c004,3464.0,17
"China, mainland",c004,3088.0,18
Myanmar,c004,2876.0,19
Slovakia,c004,1807.0,20
Germany,c005,2828047.0,1
Poland,c005,1639520.0,2
Russian Federation,c005,1197160.0,3
Belarus,c005,887290.0,4
Denmark,c005,674173.0,5
"China, mainland",c005,421000.0,6
Spain,c005,353710.0,7
Canada,c005,286023.0,8
Argentina,c005,220999.0,9
Ukraine,c005,168958.0,10
United States of America,c005,156225.0,11
Latvia,c005,127881.0,12
Austria,c005,120007.0,13
France,c005,101516.0,14
Turkey,c005,95960.0,15
Hungary,c005,68247.0,16
Czech Republic,c005,64890.0,17
Lithuania,c005,64831.0,18
Sweden,c005,47123.0,19
Estonia,c005,44666.0,20
Canada,c006,9570.0,1
Finland,c006,1738.0,2
Australia,c006,1453.0,3
Chile,c006,1181.0,4
United Kingdom,c006,735.0,5
Sweden,c006,705.0,6
Germany,c006,591.0,7
Poland,c006,591.0,8
Latvia,c006,524.0,9
Russian Federation,c006,486.0,10
Lithuania,c006,363.0,11
Estonia,c006,269.0,12
France,c006,245.0,13
Spain,c006,214.0,14
Denmark,c006,177.0,15
Czech Republic,c006,153.0,16
United States of America,c006,129.0,17
Ukraine,c006,121.0,18
Bulgaria,c006,105.0,19
Ireland,c006,92.0,20
Ukraine,c007,4245.0,1
United States of America,c007,3625.0,2
India,c007,2780.0,3
Russian Federation,c007,1537.0,4
France,c007,801.0,5
Myanmar,c007,438.0,6
Pakistan,c007,438.0,7
Uzbekistan,c007,330.0,8
Burkina Faso,c007,220.0,9
Austria,c007,213.0,10
"China, mainland",c007,146.0,11
Poland,c007,140.0,12
Australia,c007,129.0,13
Argentina,c007,110.0,14
Mali,c007,110.0,15
United Republic of Tanzania,c007,110.0,16
Kazakhstan,c007,108.0,17
Turkey,c007,96.0,18
Nigeria,c007,73.0,19
Uganda,c007,73.0,20
United States of America,c008,7531.0,1
Argentina,c008,528.0,2
Australia,c008,207.0,3
France,c008,189.0,4
Kenya,c008,75.0,5
Hungary,c008,69.0,6
Ukraine,c008,60.0,7
Burkina Faso,c008,48.0,8
India,c008,41.0,9
"China, mainland",c008,31.0,10
Uganda,c008,30.0,11
Russian Federation,c008,19.0,12
Bolivia (Plurinational State of),c008,14.0,13
Brazil,c008,13.0,14
Republic of Moldova,c008,13.0,15
United Republic of Tanzania,c008,13.0,16
Paraguay,c008,8.0,17
Romania,c008,7.0,18
South Africa,c008,7.0,19
Botswana,c008,6.0,20
Poland,c009,57646.0,1
Canada,c009,16748.0,2
Germany,c009,12832.0,3
Lithuania,c009,10615.0,4
Thailand,c009,9543.0,5
Russian Federation,c009,8075.0,6
Turkey,c009,7855.0,7
France,c009,7620.0,8
Argentina,c009,5951.0,9
Spain,c009,4560.0,10
Czech Republic,c009,4470.0,11
Belgium,c009,3538.0,12
United States of America,c009,3506.0,13
Denmark,c009,2991.0,14
Peru,c009,2586.0,15
Italy,c009,2187.0,16
Austria,c009,2177.0,17
Bolivia (Plurinational State of),c009,1940.0,18
Bulgaria,c009,1867.0,19
Kazakhstan,c009,1765.0,20
Netherlands,c010,10839.0,1
Germany,c010,10499.0,2
United States of America,c010,7690.0,3
Belgium,c010,7237.0,4
France,c010,6651.0,5
Canada,c010,5206.0,6
Poland,c010,2658.0,7
Egypt,c010,1550.0,8
"China, mainland",c010,1416.0,9
Argentina,c010,1161.0,10
India,c010,1073.0,11
Pakistan,c010,948.0,12
Belarus,c010,919.0,13
United Kingdom,c010,760.0,14
Denmark,c010,725.0,15
Spain,c010,562.0,16
South Africa,c010,508.0,17
Turkey,c010,501.0,18
Iran (Islamic Republic of),c010,356.0,19
Kazakhstan,c010,329.0,20
Thailand,c011,22678995.0,1
Nigeria,c011,21039326.0,2
Ghana,c011,11579357.0,3
Brazil,c011,10573364.0,4
Viet Nam,c011,6840555.0,5
Malawi,c011,3715710.0,6
"China, mainland",c011,3520447.0,7
Democratic Republic of the Congo,c011,3335893.0,8
Cambodia,c011,3135737.0,9
Cameroon,c011,2740600.0,10
Côte d'Ivoire,c011,2245267.0,11
Paraguay,c011,2151278.0,12
Benin,c011,1889265.0,13
Angola,c011,1651695.0,14
Philippines,c011,1551750.0,15
Lao People's Democratic Republic,c011,1464794.0,16
United Republic of Tanzania,c011,1391993.0,17
Indonesia,c011,1041543.0,18
Mozambique,c011,1023788.0,19
Senegal,c011,815755.0,20
United States of America,c012,432.0,1
Egypt,c012,117.0,2
Viet Nam,c012,78.0,3
Spain,c012,75.0,4
Lao People's Democratic Republic,c012,74.0,5
"China, mainland",c012,38.0,6
Portugal,c012,28.0,7
Honduras,c012,24.0,8
Indonesia,c012,20.0,9
Brazil,c012,17.0,10
Peru,c012,17.0,11
Dominican Republic,c012,13.0,12
South Africa,c012,11.0,13
Mali,c012,9.0,14
Japan,c012,8.0,15
Mexico,c012,8.0,16
Israel,c012,6.0,17
Argentina,c012,1.0,18
Australia,c012,1.0,19
Costa Rica,c012,1.0,20
"China, mainland",c013,1764.0,1
Indonesia,c013,621.0,2
Mexico,c013,374.0,3
Nicaragua,c013,156.0,4
Ethiopia,c013,156.0,5
Thailand,c013,139.0,6
Togo,c013,93.0,7
Côte d'Ivoire,c013,78.0,8
Lao People's Democratic Republic,c013,78.0,9
Costa Rica,c013,62.0,10
Ecuador,c013,62.0,11
India,c013,48.0,12
Spain,c013,48.0,13
Honduras,c013,43.0,14
Egypt,c013,31.0,15
Fiji,c013,31.0,16
Saint Vincent and the Grenadines,c013,31.0,17
Uganda,c013,31.0,18
Jamaica,c013,16.0,19
Madagascar,c013,16.0,20
Ghana,c014,1705.0,1
Côte d'Ivoire,c014,870.0,2
Jamaica,c014,418.0,3
Colombia,c014,347.0,4
Brazil,c014,209.0,5
Japan,c014,209.0,6
Costa Rica,c014,105.0,7
Nigeria,c014,36.0,8
Togo,c014,36.0,9
RoW,c014,36.0,10
Myanmar,c015,234.0,1
Uganda,c015,150.0,2
Morocco,c015,60.0,3
Malaysia,c015,30.0,4
Thailand,c015,13.0,5
Costa Rica,c015,7.0,6
Viet Nam,c015,3.0,7
Russian Federation,c016,39353891.0,1
Germany,c016,28206564.0,2
United States of America,c016,26460729.0,3
France,c016,25996243.0,4
Turkey,c016,21405334.0,5
Poland,c016,14719223.0,6
Egypt,c016,11805000.0,7
"China, mainland",c016,10029888.0,8
Ukraine,c016,9149999.0,9
Netherlands,c016,6806893.0,10
United Kingdom,c016,5635000.0,11
Iran (Islamic Republic of),c016,5420058.0,12
Belgium,c016,4816410.0,13
Belarus,c016,4526922.0,14
Japan,c016,3889223.0,15
Czech Republic,c016,3601236.0,16
Morocco,c016,3083052.0,17
Denmark,c016,2438616.0,18
Austria,c016,2116000.0,19
Spain,c016,2037889.0,20
Myanmar,c017,3093.0,1
Argentina,c017,1106.0,2
United States of America,c017,1064.0,3
Canada,c017,884.0,4
"China, mainland",c017,711.0,5
Ethiopia,c017,390.0,6
Brazil,c017,371.0,7
Kyrgyzstan,c017,258.0,8
Nicaragua,c017,253.0,9
Uganda,c017,189.0,10
Turkey,c017,183.0,11
United Republic of Tanzania,c017,175.0,12
Australia,c017,151.0,13
Egypt,c017,129.0,14
India,c017,121.0,15
Indonesia,c017,90.0,16
Madagascar,c017,90.0,17
Mozambique,c017,73.0,18
Kenya,c017,63.0,19
Thailand,c017,52.0,20
Canada,c018,606.0,1
Russian Federation,c018,114.0,2
United States of America,c018,75.0,3
Ukraine,c018,61.0,4
France,c018,37.0,5
Lithuania,c018,23.0,6
Estonia,c018,11.0,7
Kazakhstan,c018,9.0,8
Argentina,c018,8.0,9
Australia,c018,8.0,10
Czech Republic,c018,5.0,11
Germany,c018,4.0,12
Latvia,c018,3.0,13
Malawi,c018,3.0,14
Sweden,c018,3.0,15
Hungary,c018,2.0,16
New Zealand,c018,2.0,17
Denmark,c018,1.0,18
Poland,c018,1.0,19
United Kingdom,c018,1.0,20
Canada,c019,5217.0,1
Australia,c019,2301.0,2
United Arab Emirates,c019,1266.0,3
United States of America,c019,855.0,4
Turkey,c019,637.0,5
India,c019,615.0,6
Russian Federation,c019,559.0,7
United Republic of Tanzania,c019,529.0,8
Lithuania,c019,233.0,9
Argentina,c019,217.0,10
Latvia,c019,145.0,11
Mexico,c019,143.0,12
Germany,c019,107.0,13
Ethiopia,c019,107.0,14
France,c019,102.0,15
United Kingdom,c019,97.0,16
"China, mainland",c019,80.0,17
Kazakhstan,c019,78.0,18
Kenya,c019,73.0,19
Poland,c019,59.0,20
United States of America,c020,204.0,1
Côte d'Ivoire,c020,124.0,2
Turkey,c020,79.0,3
Viet Nam,c020,61.0,4
United Republic of Tanzania,c020,53.0,5
"China, mainland",c020,45.0,6
Spain,c020,43.0,7
United Arab Emirates,c020,37.0,8
India,c020,29.0,9
Chile,c020,28.0,10
Indonesia,c020,26.0,11
Australia,c020,23.0,12
Mexico,c020,22.0,13
Iran (Islamic Republic of),c020,20.0,14
Nigeria,c020,18.0,15
Guinea-Bissau,c020,17.0,16
Ghana,c020,16.0,17
Benin,c020,14.0,18
Mozambique,c020,13.0,19
Myanmar,c020,12.0,20
United Arab Emirates,c021,4421.0,1
Brazil,c021,710.0,2
United States of America,c021,635.0,3
Paraguay,c021,70.0,4
Argentina,c021,63.0,5
Canada,c021,44.0,6
Uruguay,c021,20.0,7
Ukraine,c021,15.0,8
Russian Federation,c021,9.0,9
Croatia,c021,3.0,10
Serbia,c021,2.0,11
Austria,c021,1.0,12
France,c021,1.0,13
India,c021,1.0,14
Romania,c021,1.0,15
Slovakia,c021,1.0,16
Ethiopia,c021,1.0,17
"China, mainland",c022,8272004.0,1
India,c022,3180620.0,2
Nigeria,c022,2648499.0,3
Sudan,c022,1205009.0,4
Myanmar,c022,1203906.0,5
United States of America,c022,857113.0,6
Senegal,c022,789218.0,7
Chad,c022,696242.0,8
Argentina,c022,523376.0,9
Guinea,c022,486474.0,10
Cameroon,c022,391489.0,11
Brazil,c022,318424.0,12
Malawi,c022,301193.0,13
Burkina Faso,c022,239911.0,14
Niger,c022,224242.0,15
Mali,c022,207512.0,16
Ghana,c022,202499.0,17
Viet Nam,c022,180163.0,18
Central African Republic,c022,163737.0,19
United Republic of Tanzania,c022,163215.0,20
Romania,c023,302.0,1
Bulgaria,c023,128.0,2
"China, mainland",c023,105.0,3
Republic of Moldova,c023,84.0,4
France,c023,80.0,5
Hungary,c023,72.0,6
Kazakhstan,c023,51.0,7
Argentina,c023,45.0,8
Serbia,c023,31.0,9
Slovakia,c023,22.0,10
Turkey,c023,18.0,11
United States of America,c023,13.0,12
Croatia,c023,11.0,13
Canada,c023,8.0,14
Greece,c023,6.0,15
Spain,c023,6.0,16
Austria,c023,2.0,17
Lithuania,c023,1.0,18
Canada,c024,649988.0,1
Ukraine,c024,123561.0,2
Australia,c024,91091.0,3
Russian Federation,c024,39862.0,4
Hungary,c024,36809.0,5
Lithuania,c024,35971.0,6
Romania,c024,27091.0,7
Poland,c024,20468.0,8
Latvia,c024,19915.0,9
Czech Republic,c024,14666.0,10
France,c024,12044.0,11
Slovakia,c024,11847.0,12
Bulgaria,c024,9154.0,13
Belgium,c024,8954.0,14
United States of America,c024,8595.0,15
United Kingdom,c024,4559.0,16
Serbia,c024,3730.0,17
Croatia,c024,3400.0,18
Spain,c024,3342.0,19
Uruguay,c024,3143.0,20
"China, mainland",c025,17910606.0,1
India,c025,17731050.0,2
United States of America,c025,9204679.0,3
Brazil,c025,7070136.0,4
Pakistan,c025,3454334.0,5
Uzbekistan,c025,3063998.0,6
Turkey,c025,1773646.0,7
Turkmenistan,c025,1280220.0,8
Argentina,c025,1046043.0,9
Greece,c025,900746.0,10
Benin,c025,731057.0,11
Burkina Faso,c025,696636.0,12
Mexico,c025,674706.0,13
Cameroon,c025,600000.0,14
Côte d'Ivoire,c025,490442.0,15
Tajikistan,c025,450335.0,16
United Republic of Tanzania,c025,348958.0,17
Azerbaijan,c025,336792.0,18
Kazakhstan,c025,326582.0,19
Australia,c025,290000.0,20
Indonesia,c026,3490.0,1
Philippines,c026,1604.0,2
Papua New Guinea,c026,381.0,3
Viet Nam,c026,361.0,4
Thailand,c026,354.0,5
Sri Lanka,c026,321.0,6
Dominican Republic,c026,108.0,7
Vanuatu,c026,99.0,8
Malaysia,c026,90.0,9
Ghana,c026,33.0,10
Mexico,c026,24.0,11
Costa Rica,c026,17.0,12
Guyana,c026,17.0,13
Côte d'Ivoire,c026,11.0,14
Nicaragua,c026,8.0,15
Venezuela (Bolivarian Republic of),c026,7.0,16
Kiribati,c026,6.0,17
Timor-Leste,c026,6.0,18
Peru,c026,3.0,19
Brazil,c026,1.0,20
Sudan,c027,548439.0,1
United Republic of Tanzania,c027,474258.0,2
Myanmar,c027,362444.0,3
India,c027,353933.0,4
Nigeria,c027,281582.0,5
"China, mainland",c027,265195.0,6
Ethiopia,c027,166717.0,7
Central African Republic,c027,146000.0,8
Burkina Faso,c027,114979.0,9
Mozambique,c027,105488.0,10
Uganda,c027,92748.0,11
South Sudan,c027,82914.0,12
Chad,c027,72348.0,13
Mexico,c027,52800.0,14
Brazil,c027,50277.0,15
Pakistan,c027,38051.0,16
Bangladesh,c027,26078.0,17
Paraguay,c027,23221.0,18
Cameroon,c027,22507.0,19
Venezuela (Bolivarian Republic of),c027,22000.0,20
Indonesia,c028,250039391.0,1
Malaysia,c028,96081856.0,2
Thailand,c028,13025435.0,3
Nigeria,c028,9986154.0,4
Colombia,c028,6166162.0,5
Cameroon,c028,3030895.0,6
Guatemala,c028,2893542.0,7
Papua New Guinea,c028,2747356.0,8
Ghana,c028,2680152.0,9
Honduras,c028,2532326.0,10
Ecuador,c028,2478628.0,11
Brazil,c028,2348009.0,12
Côte d'Ivoire,c028,2102950.0,13
Democratic Republic of the Congo,c028,2011213.0,14
Mexico,c028,1556027.0,15
Costa Rica,c028,1135187.0,16
Peru,c028,945058.0,17
Guinea,c028,885400.0,18
"China, mainland",c028,667135.0,19
Benin,c028,666667.0,20
Spain,c029,7646702.0,1
Greece,c029,2107151.0,2
Italy,c029,2048434.0,3
Tunisia,c029,1968000.0,4
Morocco,c029,1393711.0,5
Turkey,c029,1286646.0,6
Algeria,c029,780459.0,7
Syrian Arab Republic,c029,664890.0,8
Portugal,c029,597363.0,9
Argentina,c029,251931.0,10
Egypt,c029,135208.0,11
Jordan,c029,132046.0,12
Chile,c029,114485.0,13
Albania,c029,100534.0,14
Lebanon,c029,90667.0,15
Libya,c029,89419.0,16
Israel,c029,75778.0,17
