Country,Commodity,Export_Value,Rank
India,c001,44820.0,1
Australia,c001,34933.0,2
Viet Nam,c001,18575.0,3
Thailand,c001,16703.0,4
Pakistan,c001,12020.0,5
United States of America,c001,7355.0,6
"China, mainland",c001,7264.0,7
Myanmar,c001,5743.0,8
Brazil,c001,3349.0,9
Uruguay,c001,2835.0,10
Paraguay,c001,2421.0,11
Cambodia,c001,2238.0,12
Italy,c001,1928.0,13
Guyana,c001,1804.0,14
United Republic of Tanzania,c001,1075.0,15
Argentina,c001,1009.0,16
Spain,c001,647.0,17
"China, Taiwan Province of",c001,631.0,18
Turkey,c001,439.0,19
Kazakhstan,c001,371.0,20
Australia,c002,3754378.0,1
Russian Federation,c002,54056.0,2
Canada,c002,36997.0,3
United States of America,c002,34383.0,4
France,c002,28867.0,5
Ukraine,c002,24368.0,6
Argentina,c002,15793.0,7
Germany,c002,14194.0,8
Kazakhstan,c002,9599.0,9
Poland,c002,7608.0,10
Lithuania,c002,5851.0,11
Romania,c002,4875.0,12
Bulgaria,c002,4754.0,13
Hungary,c002,4587.0,14
Turkey,c002,4531.0,15
Czech Republic,c002,3795.0,16
Latvia,c002,3494.0,17
Italy,c002,3090.0,18
India,c002,2160.0,19
United Kingdom,c002,2122.0,20
Australia,c003,4174301.0,1
France,c003,874.0,2
Russian Federation,c003,555.0,3
Ukraine,c003,481.0,4
Canada,c003,370.0,5
Germany,c003,314.0,6
Argentina,c003,300.0,7
United Kingdom,c003,190.0,8
Kazakhstan,c003,105.0,9
Denmark,c003,97.0,10
Hungary,c003,92.0,11
Romania,c003,82.0,12
Czech Republic,c003,64.0,13
United States of America,c003,61.0,14
Sweden,c003,59.0,15
Uruguay,c003,56.0,16
Lithuania,c003,44.0,17
Slovakia,c003,38.0,18
Poland,c003,37.0,19
Belgium,c003,37.0,20
Australia,c004,149511.0,1
United States of America,c004,9400.0,2
Argentina,c004,6592.0,3
Brazil,c004,6149.0,4
Ukraine,c004,3893.0,5
Romania,c004,897.0,6
France,c004,778.0,7
Hungary,c004,726.0,8
Serbia,c004,662.0,9
South Africa,c004,602.0,10
Bulgaria,c004,464.0,11
India,c004,425.0,12
Russian Federation,c004,413.0,13
Paraguay,c004,377.0,14
Poland,c004,263.0,15
Croatia,c004,206.0,16
Canada,c004,201.0,17
"China, mainland",c004,180.0,18
Myanmar,c004,167.0,19
Slovakia,c004,105.0,20
Australia,c005,27967.0,1
Australia,c006,831223.0,1
Canada,c006,1960.0,2
Finland,c006,356.0,3
Chile,c006,242.0,4
United Kingdom,c006,151.0,5
Sweden,c006,146.0,6
Poland,c006,122.0,7
Germany,c006,121.0,8
Latvia,c006,108.0,9
Russian Federation,c006,100.0,10
Lithuania,c006,74.0,11
Estonia,c006,56.0,12
France,c006,50.0,13
Spain,c006,44.0,14
Denmark,c006,36.0,15
Czech Republic,c006,30.0,16
United States of America,c006,26.0,17
Ukraine,c006,24.0,18
Bulgaria,c006,21.0,19
Ireland,c006,18.0,20
Australia,c007,32747.0,1
Ukraine,c007,1146.0,2
United States of America,c007,979.0,3
India,c007,752.0,4
Russian Federation,c007,414.0,5
France,c007,217.0,6
Myanmar,c007,119.0,7
Pakistan,c007,118.0,8
Uzbekistan,c007,89.0,9
Austria,c007,58.0,10
Burkina Faso,c007,58.0,11
"China, mainland",c007,39.0,12
Poland,c007,38.0,13
Argentina,c007,30.0,14
Mali,c007,30.0,15
United Republic of Tanzania,c007,30.0,16
Kazakhstan,c007,29.0,17
Turkey,c007,24.0,18
Nigeria,c007,20.0,19
Uganda,c007,20.0,20
Australia,c008,347957.0,1
Australia,c009,73527.0,1
Poland,c009,2632.0,2
Canada,c009,764.0,3
Germany,c009,585.0,4
Lithuania,c009,485.0,5
Thailand,c009,436.0,6
Russian Federation,c009,368.0,7
Turkey,c009,358.0,8
France,c009,349.0,9
Argentina,c009,271.0,10
Spain,c009,209.0,11
Czech Republic,c009,204.0,12
United States of America,c009,161.0,13
Belgium,c009,161.0,14
Denmark,c009,137.0,15
Peru,c009,119.0,16
Austria,c009,101.0,17
Italy,c009,101.0,18
Bolivia (Plurinational State of),c009,88.0,19
Bulgaria,c009,84.0,20
Australia,c010,125381.0,1
Netherlands,c010,5740.0,2
Germany,c010,5560.0,3
United States of America,c010,4075.0,4
Belgium,c010,3832.0,5
France,c010,3524.0,6
Canada,c010,2758.0,7
Poland,c010,1408.0,8
Egypt,c010,820.0,9
"China, mainland",c010,751.0,10
Argentina,c010,616.0,11
India,c010,570.0,12
Pakistan,c010,502.0,13
Belarus,c010,486.0,14
United Kingdom,c010,402.0,15
Denmark,c010,384.0,16
Spain,c010,300.0,17
South Africa,c010,269.0,18
Turkey,c010,267.0,19
Iran (Islamic Republic of),c010,190.0,20
Thailand,c011,3965.0,1
Viet Nam,c011,1898.0,2
Lao People's Democratic Republic,c011,397.0,3
Indonesia,c011,93.0,4
Cambodia,c011,62.0,5
Brazil,c011,29.0,6
Paraguay,c011,25.0,7
Costa Rica,c011,16.0,8
United Republic of Tanzania,c011,9.0,9
India,c011,8.0,10
Nicaragua,c011,8.0,11
Uganda,c011,6.0,12
Sri Lanka,c011,5.0,13
Peru,c011,5.0,14
"China, mainland",c011,3.0,15
Ghana,c011,3.0,16
Nigeria,c011,3.0,17
Cameroon,c011,2.0,18
Rwanda,c011,2.0,19
Fiji,c011,1.0,20
Australia,c012,12841.0,1
United States of America,c012,69.0,2
Egypt,c012,20.0,3
Spain,c012,13.0,4
Viet Nam,c012,13.0,5
Lao People's Democratic Republic,c012,12.0,6
"China, mainland",c012,6.0,7
Portugal,c012,5.0,8
Honduras,c012,3.0,9
Brazil,c012,2.0,10
Indonesia,c012,2.0,11
Peru,c012,2.0,12
Dominican Republic,c012,1.0,13
Japan,c012,1.0,14
Mali,c012,1.0,15
Mexico,c012,1.0,16
South Africa,c012,1.0,17
"China, mainland",c013,446.0,1
Indonesia,c013,157.0,2
Mexico,c013,96.0,3
Nicaragua,c013,39.0,4
Ethiopia,c013,39.0,5
Thailand,c013,36.0,6
Togo,c013,23.0,7
Côte d'Ivoire,c013,19.0,8
Lao People's Democratic Republic,c013,19.0,9
Costa Rica,c013,16.0,10
Ecuador,c013,16.0,11
Honduras,c013,12.0,12
India,c013,12.0,13
Spain,c013,12.0,14
Egypt,c013,7.0,15
Fiji,c013,7.0,16
Saint Vincent and the Grenadines,c013,7.0,17
Uganda,c013,7.0,18
Dominican Republic,c013,4.0,19
Jamaica,c013,4.0,20
Nigeria,c014,25143059.0,1
Côte d'Ivoire,c014,2597759.0,2
Ghana,c014,2151594.0,3
Benin,c014,1395408.0,4
Togo,c014,216560.0,5
Chad,c014,157002.0,6
Cameroon,c014,139996.0,7
Brazil,c014,120704.0,8
Central African Republic,c014,81000.0,9
Gabon,c014,70738.0,10
Guinea,c014,62950.0,11
Colombia,c014,44500.0,12
Papua New Guinea,c014,28000.0,13
Jamaica,c014,26804.0,14
Haiti,c014,24620.0,15
Japan,c014,21788.0,16
Democratic Republic of the Congo,c014,19873.0,17
Burkina Faso,c014,15999.0,18
Mali,c014,13152.0,19
Rwanda,c014,13001.0,20
Australia,c015,28722750.0,1
Russian Federation,c016,39353891.0,1
Germany,c016,28206564.0,2
United States of America,c016,26460729.0,3
France,c016,25996243.0,4
Turkey,c016,21405334.0,5
Poland,c016,14719223.0,6
Egypt,c016,11805000.0,7
"China, mainland",c016,10029888.0,8
Ukraine,c016,9149999.0,9
Netherlands,c016,6806893.0,10
United Kingdom,c016,5635000.0,11
Iran (Islamic Republic of),c016,5420058.0,12
Belgium,c016,4816410.0,13
Belarus,c016,4526922.0,14
Japan,c016,3889223.0,15
Czech Republic,c016,3601236.0,16
Morocco,c016,3083052.0,17
Denmark,c016,2438616.0,18
Austria,c016,2116000.0,19
Spain,c016,2037889.0,20
Australia,c017,7364.0,1
Myanmar,c017,202.0,2
Argentina,c017,72.0,3
United States of America,c017,68.0,4
Canada,c017,58.0,5
"China, mainland",c017,47.0,6
Ethiopia,c017,26.0,7
Brazil,c017,25.0,8
Kyrgyzstan,c017,16.0,9
Nicaragua,c017,16.0,10
United Republic of Tanzania,c017,12.0,11
Turkey,c017,12.0,12
Uganda,c017,12.0,13
Egypt,c017,9.0,14
India,c017,7.0,15
Indonesia,c017,5.0,16
Madagascar,c017,5.0,17
Bolivia (Plurinational State of),c017,3.0,18
Kenya,c017,3.0,19
Mozambique,c017,3.0,20
Australia,c018,105602.0,1
Canada,c018,860.0,2
Russian Federation,c018,163.0,3
United States of America,c018,108.0,4
Ukraine,c018,85.0,5
France,c018,51.0,6
Lithuania,c018,31.0,7
Estonia,c018,16.0,8
Argentina,c018,13.0,9
Kazakhstan,c018,13.0,10
Germany,c018,6.0,11
Latvia,c018,6.0,12
Czech Republic,c018,6.0,13
Hungary,c018,4.0,14
Malawi,c018,4.0,15
New Zealand,c018,4.0,16
Sweden,c018,4.0,17
United Kingdom,c018,2.0,18
Myanmar,c018,1.0,19
Denmark,c018,1.0,20
Australia,c019,625064.0,1
Canada,c019,1467.0,2
United States of America,c019,240.0,3
Turkey,c019,179.0,4
India,c019,172.0,5
Russian Federation,c019,157.0,6
United Republic of Tanzania,c019,148.0,7
Lithuania,c019,66.0,8
Argentina,c019,59.0,9
Latvia,c019,41.0,10
Mexico,c019,40.0,11
Germany,c019,31.0,12
Ethiopia,c019,31.0,13
France,c019,28.0,14
United Kingdom,c019,26.0,15
"China, mainland",c019,22.0,16
Kazakhstan,c019,22.0,17
Kenya,c019,19.0,18
Poland,c019,17.0,19
Myanmar,c019,14.0,20
Australia,c020,6517.0,1
United States of America,c020,105.0,2
Côte d'Ivoire,c020,64.0,3
Turkey,c020,41.0,4
Viet Nam,c020,32.0,5
United Republic of Tanzania,c020,27.0,6
"China, mainland",c020,23.0,7
Spain,c020,22.0,8
India,c020,15.0,9
Chile,c020,14.0,10
Indonesia,c020,13.0,11
Mexico,c020,11.0,12
Iran (Islamic Republic of),c020,10.0,13
Nigeria,c020,9.0,14
Guinea-Bissau,c020,9.0,15
Ghana,c020,8.0,16
Benin,c020,7.0,17
Mozambique,c020,7.0,18
Myanmar,c020,6.0,19
Italy,c020,6.0,20
Australia,c021,15164.0,1
Brazil,c021,3525.0,2
United States of America,c021,3147.0,3
Paraguay,c021,349.0,4
Argentina,c021,312.0,5
Canada,c021,222.0,6
Uruguay,c021,95.0,7
Ukraine,c021,73.0,8
Russian Federation,c021,44.0,9
Croatia,c021,12.0,10
Serbia,c021,12.0,11
France,c021,4.0,12
India,c021,4.0,13
Romania,c021,4.0,14
Slovakia,c021,4.0,15
Austria,c021,3.0,16
Ethiopia,c021,3.0,17
"China, mainland",c021,2.0,18
Hungary,c021,2.0,19
Myanmar,c021,1.0,20
Australia,c022,817.0,1
India,c022,620.0,2
Argentina,c022,575.0,3
United States of America,c022,476.0,4
"China, mainland",c022,400.0,5
Sudan,c022,282.0,6
Brazil,c022,225.0,7
Senegal,c022,221.0,8
Myanmar,c022,62.0,9
Nicaragua,c022,58.0,10
Malawi,c022,43.0,11
Viet Nam,c022,41.0,12
United Republic of Tanzania,c022,39.0,13
Benin,c022,24.0,14
Egypt,c022,24.0,15
Madagascar,c022,21.0,16
Uzbekistan,c022,10.0,17
Bolivia (Plurinational State of),c022,9.0,18
Lao People's Democratic Republic,c022,8.0,19
Mexico,c022,7.0,20
Australia,c023,12577.0,1
Romania,c023,3480.0,2
Bulgaria,c023,1472.0,3
"China, mainland",c023,1200.0,4
Republic of Moldova,c023,952.0,5
France,c023,923.0,6
Hungary,c023,828.0,7
Kazakhstan,c023,593.0,8
Argentina,c023,519.0,9
Serbia,c023,359.0,10
Slovakia,c023,252.0,11
Turkey,c023,218.0,12
United States of America,c023,153.0,13
Croatia,c023,132.0,14
Canada,c023,91.0,15
Spain,c023,69.0,16
Greece,c023,52.0,17
Austria,c023,25.0,18
Lithuania,c023,20.0,19
Germany,c023,10.0,20
Australia,c024,989903.0,1
Canada,c024,2518.0,2
Ukraine,c024,479.0,3
Russian Federation,c024,154.0,4
Hungary,c024,142.0,5
Lithuania,c024,139.0,6
Romania,c024,105.0,7
Poland,c024,80.0,8
Latvia,c024,77.0,9
Czech Republic,c024,58.0,10
France,c024,47.0,11
Slovakia,c024,46.0,12
Bulgaria,c024,35.0,13
Belgium,c024,35.0,14
United States of America,c024,32.0,15
United Kingdom,c024,18.0,16
Serbia,c024,15.0,17
Croatia,c024,13.0,18
Spain,c024,13.0,19
Uruguay,c024,13.0,20
Australia,c025,290000.0,1
Indonesia,c026,9943665.0,1
Philippines,c026,7215750.0,2
India,c026,4687828.0,3
Viet Nam,c026,1317864.0,4
Mexico,c026,1042920.0,5
Sri Lanka,c026,673050.0,6
Papua New Guinea,c026,419732.0,7
Brazil,c026,344537.0,8
Malaysia,c026,312948.0,9
Thailand,c026,256634.0,10
Vanuatu,c026,227214.0,11
United Republic of Tanzania,c026,173973.0,12
Ghana,c026,173315.0,13
Venezuela (Bolivarian Republic of),c026,164165.0,14
RoW,c026,151722.0,15
Bangladesh,c026,134617.0,16
Nigeria,c026,132753.0,17
Côte d'Ivoire,c026,121868.0,18
Mozambique,c026,117052.0,19
"China, mainland",c026,93586.0,20
Sudan,c027,1681.0,1
Nigeria,c027,924.0,2
Ethiopia,c027,841.0,3
India,c027,801.0,4
United Republic of Tanzania,c027,547.0,5
Myanmar,c027,471.0,6
Brazil,c027,234.0,7
Burkina Faso,c027,207.0,8
Chad,c027,190.0,9
Mozambique,c027,180.0,10
Paraguay,c027,119.0,11
Pakistan,c027,112.0,12
Mali,c027,109.0,13
Uganda,c027,98.0,14
"China, mainland",c027,78.0,15
Egypt,c027,61.0,16
Somalia,c027,58.0,17
Bangladesh,c027,48.0,18
Guatemala,c027,39.0,19
Bolivia (Plurinational State of),c027,34.0,20
Indonesia,c028,250039391.0,1
Malaysia,c028,96081856.0,2
Thailand,c028,13025435.0,3
Nigeria,c028,9986154.0,4
Colombia,c028,6166162.0,5
Cameroon,c028,3030895.0,6
Guatemala,c028,2893542.0,7
Papua New Guinea,c028,2747356.0,8
Ghana,c028,2680152.0,9
Honduras,c028,2532326.0,10
Ecuador,c028,2478628.0,11
Brazil,c028,2348009.0,12
Côte d'Ivoire,c028,2102950.0,13
Democratic Republic of the Congo,c028,2011213.0,14
Mexico,c028,1556027.0,15
Costa Rica,c028,1135187.0,16
Peru,c028,945058.0,17
Guinea,c028,885400.0,18
"China, mainland",c028,667135.0,19
Benin,c028,666667.0,20
Australia,c029,31257.0,1
Spain,c029,7703.0,2
Greece,c029,4035.0,3
Morocco,c029,1300.0,4
Peru,c029,1118.0,5
Turkey,c029,1109.0,6
Portugal,c029,780.0,7
Argentina,c029,759.0,8
Italy,c029,449.0,9
Jordan,c029,144.0,10
Syrian Arab Republic,c029,132.0,11
Albania,c029,123.0,12
Lebanon,c029,28.0,13
North Macedonia,c029,25.0,14
France,c029,15.0,15
Egypt,c029,14.0,16
Iraq,c029,9.0,17
Australia,c030,11599.0,1
Russian Federation,c030,2878.0,2
Kazakhstan,c030,2680.0,3
Canada,c030,2409.0,4
Italy,c030,744.0,5
Burkina Faso,c030,557.0,6
Bolivia (Plurinational State of),c030,401.0,7
"China, mainland",c030,394.0,8
India,c030,362.0,9
Benin,c030,334.0,10
Sudan,c030,284.0,11
United States of America,c030,137.0,12
Serbia,c030,113.0,13
Austria,c030,100.0,14
Poland,c030,94.0,15
Ukraine,c030,88.0,16
United Kingdom,c030,87.0,17
Czech Republic,c030,75.0,18
Ethiopia,c030,63.0,19
France,c030,58.0,20
Australia,c031,9084.0,1
Italy,c031,3974.0,2
"China, mainland",c031,2368.0,3
Spain,c031,2222.0,4
Mexico,c031,1198.0,5
Turkey,c031,985.0,6
Portugal,c031,847.0,7
United States of America,c031,771.0,8
Iran (Islamic Republic of),c031,628.0,9
Morocco,c031,392.0,10
Chile,c031,346.0,11
Netherlands,c031,337.0,12
Greece,c031,193.0,13
Ukraine,c031,171.0,14
Azerbaijan,c031,128.0,15
Jordan,c031,127.0,16
Egypt,c031,85.0,17
France,c031,67.0,18
India,c031,66.0,19
Syrian Arab Republic,c031,66.0,20
Australia,c032,22677.0,1
Netherlands,c032,61.0,2
India,c032,57.0,3
"China, mainland",c032,34.0,4
Iran (Islamic Republic of),c032,19.0,5
Mexico,c032,16.0,6
Egypt,c032,15.0,7
Spain,c032,13.0,8
United States of America,c032,13.0,9
Pakistan,c032,11.0,10
Peru,c032,10.0,11
Turkey,c032,9.0,12
Uzbekistan,c032,8.0,13
Argentina,c032,7.0,14
Poland,c032,5.0,15
South Africa,c032,5.0,16
France,c032,4.0,17
Afghanistan,c032,3.0,18
Niger,c032,3.0,19
Yemen,c032,3.0,20
Australia,c033,53428.0,1
"China, mainland",c033,4122.0,2
Spain,c033,2389.0,3
Mexico,c033,2338.0,4
United States of America,c033,971.0,5
Netherlands,c033,860.0,6
Italy,c033,569.0,7
India,c033,549.0,8
Iran (Islamic Republic of),c033,484.0,9
Belgium,c033,443.0,10
Turkey,c033,439.0,11
France,c033,393.0,12
Guatemala,c033,316.0,13
Morocco,c033,313.0,14
Poland,c033,309.0,15
Egypt,c033,278.0,16
Hungary,c033,203.0,17
Germany,c033,198.0,18
New Zealand,c033,181.0,19
Thailand,c033,181.0,20
Australia,c034,4524.0,1
Brazil,c034,192.0,2
Spain,c034,69.0,3
South Africa,c034,37.0,4
Egypt,c034,36.0,5
Turkey,c034,24.0,6
"China, mainland",c034,16.0,7
United States of America,c034,14.0,8
Morocco,c034,12.0,9
Greece,c034,11.0,10
Pakistan,c034,11.0,11
Mexico,c034,8.0,12
Italy,c034,6.0,13
Chile,c034,5.0,14
Peru,c034,5.0,15
Argentina,c034,4.0,16
Costa Rica,c034,4.0,17
Israel,c034,4.0,18
India,c034,3.0,19
Belize,c034,2.0,20
India,c035,311848.0,1
"China, mainland",c035,297374.0,2
Mexico,c035,280625.0,3
Brazil,c035,242889.0,4
Argentina,c035,196460.0,5
Turkey,c035,84881.0,6
Spain,c035,80644.0,7
South Africa,c035,73529.0,8
Peru,c035,45774.0,9
Iran (Islamic Republic of),c035,40843.0,10
Egypt,c035,32638.0,11
Sudan,c035,29077.0,12
Colombia,c035,26406.0,13
United States of America,c035,22525.0,14
Chile,c035,18452.0,15
Guatemala,c035,17168.0,16
Italy,c035,16852.0,17
Thailand,c035,12915.0,18
Syrian Arab Republic,c035,9718.0,19
Lebanon,c035,9120.0,20
"China, mainland",c036,543380.0,1
South Africa,c036,47636.0,2
United States of America,c036,45701.0,3
Mexico,c036,42870.0,4
Viet Nam,c036,25657.0,5
Thailand,c036,24910.0,6
Sudan,c036,22000.0,7
Turkey,c036,15267.0,8
Brazil,c036,12000.0,9
Israel,c036,10332.0,10
Iran (Islamic Republic of),c036,8000.0,11
Tunisia,c036,8000.0,12
Argentina,c036,7757.0,13
Bangladesh,c036,7000.0,14
"China, Taiwan Province of",c036,6790.0,15
Spain,c036,5649.0,16
Paraguay,c036,4335.0,17
Eswatini,c036,4324.0,18
Syrian Arab Republic,c036,4007.0,19
Haiti,c036,4000.0,20
"China, mainland",c037,642288.0,1
Nigeria,c037,333018.0,2
Iran (Islamic Republic of),c037,51915.0,3
Colombia,c037,47930.0,4
Angola,c037,36000.0,5
India,c037,34196.0,6
Mexico,c037,22860.0,7
Guinea,c037,20000.0,8
Peru,c037,12000.0,9
Tunisia,c037,12000.0,10
Guatemala,c037,9000.0,11
Sierra Leone,c037,9000.0,12
Philippines,c037,8952.0,13
Kenya,c037,8000.0,14
"China, Taiwan Province of",c037,5945.0,15
Japan,c037,4460.0,16
Côte d'Ivoire,c037,4000.0,17
United Republic of Tanzania,c037,4000.0,18
Thailand,c037,3335.0,19
Italy,c037,2772.0,20
Australia,c038,25950.0,1
Cameroon,c039,2919089.0,1
Democratic Republic of the Congo,c039,943564.0,2
Uganda,c039,942406.0,3
Colombia,c039,473947.0,4
Côte d'Ivoire,c039,379662.0,5
Ghana,c039,376156.0,6
Philippines,c039,260035.0,7
Nigeria,c039,258000.0,8
Myanmar,c039,218022.0,9
United Republic of Tanzania,c039,165183.0,10
Bolivia (Plurinational State of),c039,155251.0,11
Dominican Republic,c039,99343.0,12
Venezuela (Bolivarian Republic of),c039,98777.0,13
Sri Lanka,c039,82739.0,14
Gabon,c039,80000.0,15
Haiti,c039,79863.0,16
Rwanda,c039,76000.0,17
Nicaragua,c039,74092.0,18
Central African Republic,c039,53856.0,19
Guinea,c039,41000.0,20
Australia,c040,3554.0,1
Poland,c040,284.0,2
"China, mainland",c040,190.0,3
Italy,c040,145.0,4
Chile,c040,115.0,5
Turkey,c040,99.0,6
South Africa,c040,61.0,7
United States of America,c040,60.0,8
Republic of Moldova,c040,55.0,9
Iran (Islamic Republic of),c040,52.0,10
New Zealand,c040,48.0,11
France,c040,38.0,12
Argentina,c040,30.0,13
Spain,c040,29.0,14
Germany,c040,26.0,15
Austria,c040,21.0,16
Serbia,c040,21.0,17
Hungary,c040,19.0,18
Brazil,c040,13.0,19
Portugal,c040,13.0,20
Australia,c041,2526.0,1
Philippines,c041,1166.0,2
Costa Rica,c041,1118.0,3
Thailand,c041,378.0,4
Indonesia,c041,254.0,5
Kenya,c041,91.0,6
Guatemala,c041,48.0,7
South Africa,c041,48.0,8
Honduras,c041,45.0,9
Ecuador,c041,43.0,10
Lebanon,c041,43.0,11
Viet Nam,c041,36.0,12
"China, Taiwan Province of",c041,24.0,13
Brazil,c041,23.0,14
Ghana,c041,23.0,15
Mexico,c041,22.0,16
"China, mainland",c041,18.0,17
Malaysia,c041,17.0,18
Côte d'Ivoire,c041,13.0,19
Benin,c041,11.0,20
Iraq,c042,209800.0,1
Egypt,c042,171806.0,2
Iran (Islamic Republic of),c042,160693.0,3
United Arab Emirates,c042,137894.0,4
Tunisia,c042,94562.0,5
Libya,c042,68883.0,6
Algeria,c042,58223.0,7
Sudan,c042,50892.0,8
Oman,c042,42589.0,9
Saudi Arabia,c042,35807.0,10
Morocco,c042,33770.0,11
Pakistan,c042,27063.0,12
"China, mainland",c042,16651.0,13
Kuwait,c042,11210.0,14
Israel,c042,5653.0,15
United States of America,c042,4171.0,16
Yemen,c042,4119.0,17
Turkey,c042,3437.0,18
Qatar,c042,3007.0,19
Mauritania,c042,2542.0,20
Australia,c043,1330321.0,1
Turkey,c043,15954.0,2
