Country,Commodity,Export_Value,Rank
India,c001,16352.0,1
Viet Nam,c001,6776.0,2
Thailand,c001,6094.0,3
Pakistan,c001,4386.0,4
United States of America,c001,2681.0,5
"China, mainland",c001,2649.0,6
Myanmar,c001,2094.0,7
Brazil,c001,1221.0,8
Uruguay,c001,1034.0,9
Paraguay,c001,883.0,10
Cambodia,c001,816.0,11
Italy,c001,702.0,12
Guyana,c001,658.0,13
United Republic of Tanzania,c001,391.0,14
Argentina,c001,367.0,15
Spain,c001,236.0,16
"China, Taiwan Province of",c001,230.0,17
Turkey,c001,161.0,18
Kazakhstan,c001,135.0,19
Russian Federation,c001,128.0,20
Belgium,c002,797148.0,1
Russian Federation,c002,463129.0,2
Canada,c002,317002.0,3
United States of America,c002,294655.0,4
France,c002,247330.0,5
Ukraine,c002,208781.0,6
Argentina,c002,135311.0,7
Australia,c002,122878.0,8
Germany,c002,121651.0,9
Kazakhstan,c002,82235.0,10
Poland,c002,65196.0,11
Lithuania,c002,50136.0,12
Romania,c002,41777.0,13
Bulgaria,c002,40730.0,14
Hungary,c002,39309.0,15
Turkey,c002,38844.0,16
Czech Republic,c002,32510.0,17
Latvia,c002,29933.0,18
Italy,c002,26471.0,19
India,c002,18503.0,20
Belgium,c003,416458.0,1
France,c003,180841.0,2
Russian Federation,c003,114591.0,3
Australia,c003,113647.0,4
Ukraine,c003,99921.0,5
Canada,c003,76440.0,6
Germany,c003,65014.0,7
Argentina,c003,62473.0,8
United Kingdom,c003,39395.0,9
Kazakhstan,c003,21603.0,10
Denmark,c003,20342.0,11
Hungary,c003,18737.0,12
Romania,c003,16876.0,13
Czech Republic,c003,13017.0,14
United States of America,c003,12658.0,15
Sweden,c003,12240.0,16
Uruguay,c003,11444.0,17
Lithuania,c003,9513.0,18
Slovakia,c003,8088.0,19
Poland,c003,7731.0,20
United States of America,c004,597020.0,1
Argentina,c004,418695.0,2
Brazil,c004,390556.0,3
Belgium,c004,308523.0,4
Ukraine,c004,247319.0,5
Romania,c004,57025.0,6
France,c004,49450.0,7
Hungary,c004,46015.0,8
Serbia,c004,41952.0,9
South Africa,c004,38328.0,10
Bulgaria,c004,29347.0,11
India,c004,27098.0,12
Russian Federation,c004,26344.0,13
Paraguay,c004,24031.0,14
Poland,c004,16721.0,15
Croatia,c004,13215.0,16
Canada,c004,12761.0,17
"China, mainland",c004,11382.0,18
Myanmar,c004,10598.0,19
Slovakia,c004,6658.0,20
Poland,c005,19102.0,1
Germany,c005,6443.0,2
Latvia,c005,2362.0,3
Canada,c005,2246.0,4
Belgium,c005,2019.0,5
Sweden,c005,796.0,6
Lithuania,c005,719.0,7
Estonia,c005,687.0,8
Czech Republic,c005,459.0,9
Slovakia,c005,399.0,10
Austria,c005,295.0,11
Denmark,c005,291.0,12
France,c005,288.0,13
Russian Federation,c005,176.0,14
Hungary,c005,134.0,15
Finland,c005,130.0,16
Spain,c005,118.0,17
Belarus,c005,102.0,18
Ukraine,c005,74.0,19
United States of America,c005,44.0,20
Canada,c006,34189.0,1
Belgium,c006,8303.0,2
Finland,c006,6207.0,3
Australia,c006,5188.0,4
Chile,c006,4214.0,5
United Kingdom,c006,2622.0,6
Sweden,c006,2522.0,7
Poland,c006,2118.0,8
Germany,c006,2111.0,9
Latvia,c006,1873.0,10
Russian Federation,c006,1739.0,11
Lithuania,c006,1302.0,12
Estonia,c006,963.0,13
France,c006,876.0,14
Spain,c006,765.0,15
Denmark,c006,638.0,16
Czech Republic,c006,545.0,17
United States of America,c006,464.0,18
Ukraine,c006,429.0,19
Bulgaria,c006,377.0,20
Ukraine,c007,7226.0,1
United States of America,c007,6170.0,2
India,c007,4735.0,3
Russian Federation,c007,2616.0,4
France,c007,1364.0,5
Myanmar,c007,747.0,6
Pakistan,c007,746.0,7
Uzbekistan,c007,560.0,8
Burkina Faso,c007,375.0,9
Austria,c007,364.0,10
"China, mainland",c007,249.0,11
Poland,c007,238.0,12
