Country,Commodity,Export_Value,Rank
Benin,c001,38844.0,1
India,c001,38757.0,2
Viet Nam,c001,16063.0,3
Thailand,c001,14445.0,4
Pakistan,c001,10394.0,5
United States of America,c001,6360.0,6
"China, mainland",c001,6281.0,7
Myanmar,c001,4967.0,8
Brazil,c001,2897.0,9
Uruguay,c001,2450.0,10
Paraguay,c001,2094.0,11
Cambodia,c001,1936.0,12
Italy,c001,1667.0,13
Guyana,c001,1560.0,14
United Republic of Tanzania,c001,930.0,15
Argentina,c001,871.0,16
Spain,c001,559.0,17
"China, Taiwan Province of",c001,544.0,18
Turkey,c001,379.0,19
Kazakhstan,c001,320.0,20
Russian Federation,c002,1993.0,1
Canada,c002,1364.0,2
United States of America,c002,1268.0,3
France,c002,1064.0,4
Ukraine,c002,899.0,5
Argentina,c002,583.0,6
Australia,c002,527.0,7
Germany,c002,524.0,8
Kazakhstan,c002,353.0,9
Poland,c002,280.0,10
Lithuania,c002,217.0,11
Romania,c002,181.0,12
Bulgaria,c002,175.0,13
Hungary,c002,169.0,14
Turkey,c002,167.0,15
Czech Republic,c002,140.0,16
Latvia,c002,129.0,17
Italy,c002,113.0,18
India,c002,81.0,19
United Kingdom,c002,77.0,20
France,c003,2187.0,1
Russian Federation,c003,1386.0,2
Australia,c003,1374.0,3
Ukraine,c003,1208.0,4
Canada,c003,924.0,5
Germany,c003,786.0,6
Argentina,c003,755.0,7
United Kingdom,c003,476.0,8
Kazakhstan,c003,261.0,9
Denmark,c003,246.0,10
Hungary,c003,227.0,11
Romania,c003,204.0,12
Czech Republic,c003,157.0,13
United States of America,c003,153.0,14
Sweden,c003,148.0,15
Uruguay,c003,138.0,16
Lithuania,c003,115.0,17
Slovakia,c003,98.0,18
Poland,c003,93.0,19
Belgium,c003,93.0,20
Benin,c004,1159336.0,1
United States of America,c004,727.0,2
Argentina,c004,509.0,3
Brazil,c004,476.0,4
Ukraine,c004,302.0,5
Romania,c004,70.0,6
France,c004,61.0,7
Hungary,c004,55.0,8
Serbia,c004,52.0,9
South Africa,c004,46.0,10
Bulgaria,c004,34.0,11
India,c004,32.0,12
Russian Federation,c004,31.0,13
Paraguay,c004,29.0,14
Poland,c004,20.0,15
Croatia,c004,16.0,16
Canada,c004,15.0,17
"China, mainland",c004,15.0,18
Myanmar,c004,13.0,19
Slovakia,c004,9.0,20
Germany,c005,2828047.0,1
Poland,c005,1639520.0,2
Russian Federation,c005,1197160.0,3
Belarus,c005,887290.0,4
Denmark,c005,674173.0,5
"China, mainland",c005,421000.0,6
Spain,c005,353710.0,7
Canada,c005,286023.0,8
Argentina,c005,220999.0,9
Ukraine,c005,168958.0,10
United States of America,c005,156225.0,11
Latvia,c005,127881.0,12
Austria,c005,120007.0,13
France,c005,101516.0,14
Turkey,c005,95960.0,15
Hungary,c005,68247.0,16
Czech Republic,c005,64890.0,17
Lithuania,c005,64831.0,18
Sweden,c005,47123.0,19
Estonia,c005,44666.0,20
Russian Federation,c006,3863945.0,1
Canada,c006,2707425.0,2
Poland,c006,1483855.0,3
Spain,c006,1327958.0,4
Australia,c006,1004897.0,5
Finland,c006,829611.0,6
Sweden,c006,634473.0,7
Argentina,c006,550929.0,8
United Kingdom,c006,472876.0,9
"China, mainland",c006,436828.0,10
Ukraine,c006,427371.0,11
United States of America,c006,358808.0,12
Denmark,c006,347410.0,13
Belarus,c006,328425.0,14
Germany,c006,318260.0,15
France,c006,304269.0,16
Chile,c006,296623.0,17
Norway,c006,281980.0,18
Turkey,c006,251304.0,19
Lithuania,c006,223426.0,20
Benin,c007,9999.0,1
Benin,c008,44232.0,1
Poland,c009,8350897.0,1
Germany,c009,2276712.0,2
France,c009,2006143.0,3
Belarus,c009,1549796.0,4
"China, mainland",c009,1527161.0,5
Spain,c009,1260269.0,6
Russian Federation,c009,897105.0,7
Lithuania,c009,597095.0,8
Turkey,c009,539734.0,9
Hungary,c009,498892.0,10
Canada,c009,472574.0,11
Ethiopia,c009,433131.0,12
Austria,c009,390099.0,13
Kazakhstan,c009,384368.0,14
Thailand,c009,327800.0,15
Czech Republic,c009,292489.0,16
Romania,c009,254244.0,17
Sweden,c009,239393.0,18
Argentina,c009,199000.0,19
Belgium,c009,175233.0,20
"China, mainland",c010,20017472.0,1
India,c010,16014152.0,2
Ukraine,c010,14661424.0,3
Russian Federation,c010,9319851.0,4
Belarus,c010,3619017.0,5
France,c010,3452719.0,6
Germany,c010,3044953.0,7
Peru,c010,2603977.0,8
United States of America,c010,2454050.0,9
Poland,c010,2414438.0,10
Egypt,c010,2096586.0,11
Netherlands,c010,2002202.0,12
Denmark,c010,1943597.0,13
Kazakhstan,c010,1838419.0,14
Algeria,c010,1494366.0,15
United Kingdom,c010,1464793.0,16
Canada,c010,1388250.0,17
Bangladesh,c010,1207512.0,18
Belgium,c010,1153463.0,19
Pakistan,c010,957886.0,20
Benin,c011,1889265.0,1
Benin,c012,5999.0,1
Lao People's Democratic Republic,c013,3577530.0,1
Nigeria,c013,961874.0,2
Cameroon,c013,915038.0,3
Ethiopia,c013,823441.0,4
Ghana,c013,403943.0,5
"China, mainland",c013,334663.0,6
Democratic Republic of the Congo,c013,217546.0,7
Madagascar,c013,113432.0,8
Namibia,c013,84362.0,9
Colombia,c013,72940.0,10
Peru,c013,67152.0,11
Cuba,c013,66876.0,12
Indonesia,c013,60145.0,13
Mexico,c013,58359.0,14
Papua New Guinea,c013,50001.0,15
Pakistan,c013,48395.0,16
Nicaragua,c013,47170.0,17
Guinea,c013,42963.0,18
Japan,c013,39204.0,19
Gabon,c013,38836.0,20
Benin,c014,1395408.0,1
Benin,c015,76000.0,1
Russian Federation,c016,39353891.0,1
Germany,c016,28206564.0,2
United States of America,c016,26460729.0,3
France,c016,25996243.0,4
Turkey,c016,21405334.0,5
Poland,c016,14719223.0,6
Egypt,c016,11805000.0,7
"China, mainland",c016,10029888.0,8
Ukraine,c016,9149999.0,9
Netherlands,c016,6806893.0,10
United Kingdom,c016,5635000.0,11
