Country,Commodity,Export_Value,Rank
Burkina Faso,c001,119447.0,1
India,c001,54601.0,2
Viet Nam,c001,22629.0,3
Thailand,c001,20349.0,4
Pakistan,c001,14642.0,5
United States of America,c001,8960.0,6
"China, mainland",c001,8851.0,7
Myanmar,c001,6998.0,8
Brazil,c001,4080.0,9
Uruguay,c001,3454.0,10
Paraguay,c001,2951.0,11
Cambodia,c001,2726.0,12
Italy,c001,2352.0,13
Guyana,c001,2198.0,14
United Republic of Tanzania,c001,1311.0,15
Argentina,c001,1229.0,16
Spain,c001,787.0,17
"China, Taiwan Province of",c001,769.0,18
Turkey,c001,532.0,19
Kazakhstan,c001,450.0,20
Russian Federation,c002,4171.0,1
Canada,c002,2855.0,2
United States of America,c002,2652.0,3
France,c002,2226.0,4
Ukraine,c002,1880.0,5
Argentina,c002,1220.0,6
Australia,c002,1107.0,7
Germany,c002,1096.0,8
Kazakhstan,c002,739.0,9
Poland,c002,585.0,10
Lithuania,c002,451.0,11
Romania,c002,375.0,12
Bulgaria,c002,366.0,13
Hungary,c002,355.0,14
Turkey,c002,351.0,15
Czech Republic,c002,294.0,16
Latvia,c002,270.0,17
Italy,c002,237.0,18
India,c002,166.0,19
United Kingdom,c002,163.0,20
France,c003,5205.0,1
Russian Federation,c003,3298.0,2
Australia,c003,3271.0,3
Ukraine,c003,2876.0,4
Canada,c003,2200.0,5
Germany,c003,1872.0,6
Argentina,c003,1798.0,7
United Kingdom,c003,1134.0,8
Kazakhstan,c003,622.0,9
Denmark,c003,586.0,10
Hungary,c003,539.0,11
Romania,c003,486.0,12
Czech Republic,c003,375.0,13
United States of America,c003,364.0,14
Sweden,c003,352.0,15
Uruguay,c003,329.0,16
Lithuania,c003,274.0,17
Slovakia,c003,233.0,18
Poland,c003,223.0,19
Belgium,c003,222.0,20
Burkina Faso,c004,600174.0,1
United States of America,c004,795.0,2
Argentina,c004,559.0,3
Brazil,c004,520.0,4
Ukraine,c004,329.0,5
Romania,c004,76.0,6
France,c004,65.0,7
Hungary,c004,61.0,8
Serbia,c004,55.0,9
South Africa,c004,51.0,10
Bulgaria,c004,39.0,11
India,c004,35.0,12
Russian Federation,c004,35.0,13
Paraguay,c004,33.0,14
Poland,c004,22.0,15
Canada,c004,17.0,16
Croatia,c004,17.0,17
"China, mainland",c004,15.0,18
Myanmar,c004,14.0,19
Slovakia,c004,9.0,20
Germany,c005,2828047.0,1
Poland,c005,1639520.0,2
Russian Federation,c005,1197160.0,3
Belarus,c005,887290.0,4
Denmark,c005,674173.0,5
"China, mainland",c005,421000.0,6
Spain,c005,353710.0,7
Canada,c005,286023.0,8
Argentina,c005,220999.0,9
Ukraine,c005,168958.0,10
United States of America,c005,156225.0,11
Latvia,c005,127881.0,12
Austria,c005,120007.0,13
France,c005,101516.0,14
Turkey,c005,95960.0,15
Hungary,c005,68247.0,16
Czech Republic,c005,64890.0,17
Lithuania,c005,64831.0,18
Sweden,c005,47123.0,19
Estonia,c005,44666.0,20
Russian Federation,c006,3863945.0,1
Canada,c006,2707425.0,2
Poland,c006,1483855.0,3
Spain,c006,1327958.0,4
Australia,c006,1004897.0,5
Finland,c006,829611.0,6
Sweden,c006,634473.0,7
Argentina,c006,550929.0,8
United Kingdom,c006,472876.0,9
"China, mainland",c006,436828.0,10
Ukraine,c006,427371.0,11
United States of America,c006,358808.0,12
Denmark,c006,347410.0,13
Belarus,c006,328425.0,14
Germany,c006,318260.0,15
France,c006,304269.0,16
Chile,c006,296623.0,17
Norway,c006,281980.0,18
Turkey,c006,251304.0,19
Lithuania,c006,223426.0,20
Burkina Faso,c007,140576.0,1
Ukraine,c007,114.0,2
United States of America,c007,100.0,3
India,c007,75.0,4
Russian Federation,c007,41.0,5
France,c007,21.0,6
Myanmar,c007,11.0,7
Pakistan,c007,11.0,8
Uzbekistan,c007,8.0,9
Austria,c007,5.0,10
"China, mainland",c007,3.0,11
Poland,c007,3.0,12
Argentina,c007,2.0,13
Australia,c007,2.0,14
Kazakhstan,c007,2.0,15
Mali,c007,2.0,16
United Republic of Tanzania,c007,2.0,17
Turkey,c007,2.0,18
Bulgaria,c007,1.0,19
Belarus,c007,1.0,20
Burkina Faso,c008,603618.0,1
Burkina Faso,c009,5122.0,1
Poland,c009,271.0,2
Canada,c009,78.0,3
Germany,c009,60.0,4
Lithuania,c009,49.0,5
Thailand,c009,43.0,6
Russian Federation,c009,38.0,7
Turkey,c009,36.0,8
France,c009,35.0,9
Argentina,c009,30.0,10
Czech Republic,c009,21.0,11
Spain,c009,21.0,12
United States of America,c009,17.0,13
Belgium,c009,17.0,14
Denmark,c009,13.0,15
Italy,c009,12.0,16
Peru,c009,12.0,17
Austria,c009,11.0,18
Bolivia (Plurinational State of),c009,10.0,19
Bulgaria,c009,7.0,20
Burkina Faso,c010,1467.0,1
Netherlands,c010,88.0,2
Germany,c010,85.0,3
United States of America,c010,63.0,4
Belgium,c010,59.0,5
France,c010,54.0,6
Canada,c010,42.0,7
Poland,c010,22.0,8
Egypt,c010,13.0,9
"China, mainland",c010,12.0,10
Argentina,c010,9.0,11
India,c010,9.0,12
Pakistan,c010,8.0,13
Belarus,c010,7.0,14
Denmark,c010,6.0,15
United Kingdom,c010,6.0,16
Spain,c010,5.0,17
South Africa,c010,4.0,18
Turkey,c010,4.0,19
Iran (Islamic Republic of),c010,3.0,20
Thailand,c011,6433.0,1
Burkina Faso,c011,5381.0,2
Viet Nam,c011,3081.0,3
Lao People's Democratic Republic,c011,645.0,4
Indonesia,c011,150.0,5
Cambodia,c011,101.0,6
Brazil,c011,47.0,7
Paraguay,c011,41.0,8
Costa Rica,c011,27.0,9
United Republic of Tanzania,c011,15.0,10
India,c011,12.0,11
Nicaragua,c011,12.0,12
Uganda,c011,11.0,13
Sri Lanka,c011,7.0,14
Peru,c011,7.0,15
Ghana,c011,5.0,16
Nigeria,c011,5.0,17
"China, mainland",c011,4.0,18
Cameroon,c011,3.0,19
Rwanda,c011,3.0,20
Burkina Faso,c012,12000.0,1
Lao People's Democratic Republic,c013,3577530.0,1
Nigeria,c013,961874.0,2
Cameroon,c013,915038.0,3
Ethiopia,c013,823441.0,4
Ghana,c013,403943.0,5
"China, mainland",c013,334663.0,6
Democratic Republic of the Congo,c013,217546.0,7
Madagascar,c013,113432.0,8
Namibia,c013,84362.0,9
Colombia,c013,72940.0,10
Peru,c013,67152.0,11
Cuba,c013,66876.0,12
Indonesia,c013,60145.0,13
Mexico,c013,58359.0,14
Papua New Guinea,c013,50001.0,15
Pakistan,c013,48395.0,16
Nicaragua,c013,47170.0,17
Guinea,c013,42963.0,18
Japan,c013,39204.0,19
Gabon,c013,38836.0,20
Burkina Faso,c014,15999.0,1
Burkina Faso,c015,418999.0,1
Russian Federation,c016,39353891.0,1
Germany,c016,28206564.0,2
United States of America,c016,26460729.0,3
France,c016,25996243.0,4
Turkey,c016,21405334.0,5
Poland,c016,14719223.0,6
Egypt,c016,11805000.0,7
"China, mainland",c016,10029888.0,8
Ukraine,c016,9149999.0,9
Netherlands,c016,6806893.0,10
United Kingdom,c016,5635000.0,11
Iran (Islamic Republic of),c016,5420058.0,12
Belgium,c016,4816410.0,13
Belarus,c016,4526922.0,14
Japan,c016,3889223.0,15
Czech Republic,c016,3601236.0,16
Morocco,c016,3083052.0,17
Denmark,c016,2438616.0,18
Austria,c016,2116000.0,19
Spain,c016,2037889.0,20
Myanmar,c017,1583450.0,1
India,c017,883259.0,2
"China, mainland",c017,571819.0,3
Brazil,c017,280293.0,4
Belarus,c017,236939.0,5
United Republic of Tanzania,c017,196279.0,6
Mozambique,c017,186464.0,7
Kenya,c017,145808.0,8
Togo,c017,136037.0,9
Angola,c017,119039.0,10
Burundi,c017,118777.0,11
Argentina,c017,116582.0,12
Mexico,c017,114832.0,13
Malawi,c017,106391.0,14
Mali,c017,97000.0,15
Kazakhstan,c017,94426.0,16
United States of America,c017,91399.0,17
Cameroon,c017,77177.0,18
Uganda,c017,67809.0,19
Canada,c017,66521.0,20
Canada,c018,2153815.0,1
Russian Federation,c018,1895694.0,2
"China, mainland",c018,981118.0,3
United States of America,c018,499267.0,4
France,c018,435266.0,5
Germany,c018,249042.0,6
Ukraine,c018,231227.0,7
Spain,c018,179649.0,8
Australia,c018,128732.0,9
India,c018,108267.0,10
United Kingdom,c018,90303.0,11
Lithuania,c018,85791.0,12
Romania,c018,78097.0,13
Belarus,c018,75828.0,14
Kazakhstan,c018,58261.0,15
Estonia,c018,40458.0,16
Argentina,c018,40281.0,17
Czech Republic,c018,37878.0,18
Sweden,c018,33804.0,19
Finland,c018,27525.0,20
Burkina Faso,c019,49943.0,1
Canada,c019,23.0,2
Australia,c019,10.0,3
United States of America,c019,4.0,4
Turkey,c019,3.0,5
India,c019,2.0,6
Russian Federation,c019,2.0,7
United Republic of Tanzania,c019,2.0,8
Argentina,c019,1.0,9
Latvia,c019,1.0,10
Lithuania,c019,1.0,11
Mexico,c019,1.0,12
Burkina Faso,c020,13833.0,1
United States of America,c020,36.0,2
Côte d'Ivoire,c020,22.0,3
Turkey,c020,14.0,4
Viet Nam,c020,11.0,5
United Republic of Tanzania,c020,9.0,6
"China, mainland",c020,8.0,7
Spain,c020,8.0,8
Chile,c020,5.0,9
India,c020,5.0,10
Australia,c020,4.0,11
Indonesia,c020,4.0,12
Iran (Islamic Republic of),c020,4.0,13
Mexico,c020,4.0,14
Ghana,c020,3.0,15
Nigeria,c020,3.0,16
Guinea-Bissau,c020,3.0,17
Myanmar,c020,2.0,18
Benin,c020,2.0,19
Italy,c020,2.0,20
Burkina Faso,c021,6939.0,1
Brazil,c021,28.0,2
United States of America,c021,26.0,3
Argentina,c021,1.0,4
Canada,c021,1.0,5
Paraguay,c021,1.0,6
Burkina Faso,c022,239669.0,1
India,c022,64.0,2
Argentina,c022,60.0,3
United States of America,c022,51.0,4
"China, mainland",c022,41.0,5
Sudan,c022,28.0,6
Brazil,c022,23.0,7
Senegal,c022,23.0,8
Myanmar,c022,6.0,9
Nicaragua,c022,5.0,10
Malawi,c022,3.0,11
United Republic of Tanzania,c022,3.0,12
Viet Nam,c022,3.0,13
Benin,c022,2.0,14
Egypt,c022,2.0,15
Russian Federation,c023,13538985.0,1
Ukraine,c023,12150079.0,2
Argentina,c023,3021746.0,3
"China, mainland",c023,2834651.0,4
Romania,c023,2649551.0,5
Turkey,c023,2295119.0,6
Hungary,c023,1866275.0,7
Bulgaria,c023,1815657.0,8
France,c023,1533095.0,9
United Republic of Tanzania,c023,1055548.0,10
United States of America,c023,1037911.0,11
Spain,c023,975099.0,12
Kazakhstan,c023,908905.0,13
South Africa,c023,849289.0,14
Republic of Moldova,c023,623969.0,15
Serbia,c023,586524.0,16
Italy,c023,335168.0,17
Greece,c023,296673.0,18
India,c023,213891.0,19
Uganda,c023,198992.0,20
Canada,c024,22423843.0,1
"China, mainland",c024,8862388.0,2
India,c024,8198610.0,3
Germany,c024,3651268.0,4
France,c024,3352801.0,5
Poland,c024,2858633.0,6
Russian Federation,c024,2603025.0,7
Australia,c024,2552004.0,8
Ukraine,c024,2447586.0,9
United States of America,c024,1669381.0,10
Czech Republic,c024,1241122.0,11
United Kingdom,c024,1160152.0,12
Lithuania,c024,961420.0,13
Hungary,c024,860039.0,14
Romania,c024,807390.0,15
Belarus,c024,747033.0,16
Denmark,c024,645504.0,17
Pakistan,c024,568434.0,18
Latvia,c024,474073.0,19
Slovakia,c024,431951.0,20
Burkina Faso,c025,696636.0,1
Indonesia,c026,9943665.0,1
Philippines,c026,7215750.0,2
India,c026,4687828.0,3
Viet Nam,c026,1317864.0,4
Mexico,c026,1042920.0,5
Sri Lanka,c026,673050.0,6
Papua New Guinea,c026,419732.0,7
Brazil,c026,344537.0,8
Malaysia,c026,312948.0,9
Thailand,c026,256634.0,10
Vanuatu,c026,227214.0,11
United Republic of Tanzania,c026,173973.0,12
Ghana,c026,173315.0,13
Venezuela (Bolivarian Republic of),c026,164165.0,14
RoW,c026,151722.0,15
Bangladesh,c026,134617.0,16
Nigeria,c026,132753.0,17
Côte d'Ivoire,c026,121868.0,18
Mozambique,c026,117052.0,19
"China, mainland",c026,93586.0,20
Burkina Faso,c027,79815.0,1
Sudan,c027,47.0,2
Nigeria,c027,24.0,3
India,c027,22.0,4
Ethiopia,c027,22.0,5
United Republic of Tanzania,c027,14.0,6
Myanmar,c027,12.0,7
Brazil,c027,6.0,8
Chad,c027,4.0,9
Mozambique,c027,4.0,10
Mali,c027,2.0,11
Pakistan,c027,2.0,12
Paraguay,c027,2.0,13
Uganda,c027,2.0,14
Bangladesh,c027,1.0,15
"China, mainland",c027,1.0,16
Egypt,c027,1.0,17
Somalia,c027,1.0,18
Indonesia,c028,250039391.0,1
Malaysia,c028,96081856.0,2
Thailand,c028,13025435.0,3
Nigeria,c028,9986154.0,4
Colombia,c028,6166162.0,5
Cameroon,c028,3030895.0,6
Guatemala,c028,2893542.0,7
Papua New Guinea,c028,2747356.0,8
Ghana,c028,2680152.0,9
Honduras,c028,2532326.0,10
Ecuador,c028,2478628.0,11
Brazil,c028,2348009.0,12
Côte d'Ivoire,c028,2102950.0,13
Democratic Republic of the Congo,c028,2011213.0,14
Mexico,c028,1556027.0,15
Costa Rica,c028,1135187.0,16
Peru,c028,945058.0,17
Guinea,c028,885400.0,18
"China, mainland",c028,667135.0,19
Benin,c028,666667.0,20
Spain,c029,7646702.0,1
Greece,c029,2107151.0,2
Italy,c029,2048434.0,3
Tunisia,c029,1968000.0,4
Morocco,c029,1393711.0,5
Turkey,c029,1286646.0,6
Algeria,c029,780459.0,7
Syrian Arab Republic,c029,664890.0,8
Portugal,c029,597363.0,9
Argentina,c029,251931.0,10
Egypt,c029,135208.0,11
Jordan,c029,132046.0,12
Chile,c029,114485.0,13
Albania,c029,100534.0,14
Lebanon,c029,90667.0,15
Libya,c029,89419.0,16
Israel,c029,75778.0,17
RoW,c029,72040.0,18
Iran (Islamic Republic of),c029,48000.0,19
Peru,c029,40037.0,20
Burkina Faso,c030,26878.0,1
Russian Federation,c030,29.0,2
Kazakhstan,c030,27.0,3
Canada,c030,25.0,4
Italy,c030,8.0,5
Bolivia (Plurinational State of),c030,4.0,6
"China, mainland",c030,4.0,7
