Country,Commodity,Export_Value,Rank
Bangladesh,c001,5834062.0,1
India,c001,61325.0,2
Viet Nam,c001,25413.0,3
Thailand,c001,22853.0,4
Pakistan,c001,16445.0,5
United States of America,c001,10062.0,6
"China, mainland",c001,9939.0,7
Myanmar,c001,7858.0,8
Brazil,c001,4582.0,9
Uruguay,c001,3878.0,10
Paraguay,c001,3314.0,11
Cambodia,c001,3063.0,12
Italy,c001,2640.0,13
Guyana,c001,2469.0,14
United Republic of Tanzania,c001,1473.0,15
Argentina,c001,1380.0,16
Spain,c001,884.0,17
"China, Taiwan Province of",c001,864.0,18
Turkey,c001,600.0,19
Kazakhstan,c001,507.0,20
Bangladesh,c002,268310.0,1
Russian Federation,c002,227354.0,2
Canada,c002,155622.0,3
United States of America,c002,144659.0,4
France,c002,121419.0,5
Ukraine,c002,102491.0,6
Argentina,c002,66424.0,7
Australia,c002,60322.0,8
Germany,c002,59724.0,9
Kazakhstan,c002,40370.0,10
Poland,c002,32007.0,11
Lithuania,c002,24611.0,12
Romania,c002,20510.0,13
Bulgaria,c002,19995.0,14
Hungary,c002,19297.0,15
Turkey,c002,19072.0,16
Czech Republic,c002,15959.0,17
Latvia,c002,14695.0,18
Italy,c002,12995.0,19
India,c002,9085.0,20
France,c003,1127.0,1
Russian Federation,c003,715.0,2
Australia,c003,709.0,3
Ukraine,c003,624.0,4
Canada,c003,477.0,5
Germany,c003,406.0,6
Argentina,c003,389.0,7
United Kingdom,c003,245.0,8
Kazakhstan,c003,135.0,9
Denmark,c003,126.0,10
Hungary,c003,116.0,11
Romania,c003,105.0,12
Czech Republic,c003,80.0,13
United States of America,c003,79.0,14
Sweden,c003,76.0,15
Uruguay,c003,70.0,16
Lithuania,c003,58.0,17
Slovakia,c003,49.0,18
Poland,c003,47.0,19
Belgium,c003,47.0,20
Bangladesh,c004,4035171.0,1
United States of America,c004,582890.0,2
Argentina,c004,408785.0,3
Brazil,c004,381314.0,4
Ukraine,c004,241465.0,5
Romania,c004,55674.0,6
France,c004,48280.0,7
Hungary,c004,44925.0,8
Serbia,c004,40958.0,9
South Africa,c004,37421.0,10
Bulgaria,c004,28652.0,11
India,c004,26459.0,12
Russian Federation,c004,25721.0,13
Paraguay,c004,23462.0,14
Poland,c004,16326.0,15
Croatia,c004,12904.0,16
Canada,c004,12460.0,17
"China, mainland",c004,11113.0,18
Myanmar,c004,10348.0,19
Slovakia,c004,6501.0,20
Germany,c005,2828047.0,1
Poland,c005,1639520.0,2
Russian Federation,c005,1197160.0,3
Belarus,c005,887290.0,4
Denmark,c005,674173.0,5
"China, mainland",c005,421000.0,6
Spain,c005,353710.0,7
Canada,c005,286023.0,8
Argentina,c005,220999.0,9
Ukraine,c005,168958.0,10
United States of America,c005,156225.0,11
Latvia,c005,127881.0,12
Austria,c005,120007.0,13
France,c005,101516.0,14
Turkey,c005,95960.0,15
Hungary,c005,68247.0,16
Czech Republic,c005,64890.0,17
Lithuania,c005,64831.0,18
Sweden,c005,47123.0,19
Estonia,c005,44666.0,20
Russian Federation,c006,3863945.0,1
Canada,c006,2707425.0,2
Poland,c006,1483855.0,3
Spain,c006,1327958.0,4
