Country,Commodity,Export_Value,Rank
"China, mainland",c001,22525935.0,1
India,c001,16788167.0,2
Viet Nam,c001,11823932.0,3
Thailand,c001,8994767.0,4
Myanmar,c001,6393799.0,5
Bangladesh,c001,5836836.0,6
Indonesia,c001,5017883.0,7
Brazil,c001,3016862.0,8
Lao People's Democratic Republic,c001,1742744.0,9
Nepal,c001,1574150.0,10
Pakistan,c001,1553449.0,11
United States of America,c001,1549170.0,12
Cambodia,c001,1524470.0,13
Nigeria,c001,1217690.0,14
Guinea,c001,1181515.0,15
Peru,c001,1147881.0,16
Japan,c001,1027972.0,17
Republic of Korea,c001,987921.0,18
Philippines,c001,958924.0,19
Madagascar,c001,954791.0,20
Belarus,c002,1920706.0,1
Russian Federation,c002,21982.0,2
Canada,c002,15046.0,3
United States of America,c002,13988.0,4
France,c002,11738.0,5
Ukraine,c002,9911.0,6
Argentina,c002,6419.0,7
Australia,c002,5831.0,8
Germany,c002,5773.0,9
Kazakhstan,c002,3904.0,10
Poland,c002,3094.0,11
Lithuania,c002,2380.0,12
Romania,c002,1981.0,13
Bulgaria,c002,1932.0,14
Hungary,c002,1866.0,15
Turkey,c002,1843.0,16
Czech Republic,c002,1541.0,17
Latvia,c002,1419.0,18
Italy,c002,1256.0,19
India,c002,878.0,20
Belarus,c003,1104878.0,1
France,c003,23007.0,2
Russian Federation,c003,14580.0,3
Australia,c003,14459.0,4
Ukraine,c003,12712.0,5
Canada,c003,9724.0,6
Germany,c003,8274.0,7
Argentina,c003,7949.0,8
United Kingdom,c003,5012.0,9
Kazakhstan,c003,2750.0,10
Denmark,c003,2587.0,11
Hungary,c003,2383.0,12
Romania,c003,2147.0,13
Czech Republic,c003,1657.0,14
United States of America,c003,1611.0,15
Sweden,c003,1555.0,16
Uruguay,c003,1456.0,17
Lithuania,c003,1210.0,18
Slovakia,c003,1028.0,19
Poland,c003,983.0,20
Belarus,c004,1100123.0,1
United States of America,c004,32197.0,2
Argentina,c004,22581.0,3
Brazil,c004,21064.0,4
Ukraine,c004,13337.0,5
Romania,c004,3075.0,6
France,c004,2667.0,7
Hungary,c004,2482.0,8
Serbia,c004,2265.0,9
South Africa,c004,2068.0,10
Bulgaria,c004,1583.0,11
India,c004,1461.0,12
Russian Federation,c004,1420.0,13
Paraguay,c004,1295.0,14
