Country,Commodity,Export_Value,Rank
Brazil,c001,2789561.0,1
India,c001,101420.0,2
Viet Nam,c001,42033.0,3
Thailand,c001,37795.0,4
Pakistan,c001,27200.0,5
United States of America,c001,16639.0,6
"China, mainland",c001,16432.0,7
Myanmar,c001,12997.0,8
Uruguay,c001,6413.0,9
Paraguay,c001,5479.0,10
Cambodia,c001,5065.0,11
Italy,c001,4366.0,12
Guyana,c001,4083.0,13
United Republic of Tanzania,c001,2435.0,14
Argentina,c001,2283.0,15
Spain,c001,1463.0,16
"China, Taiwan Province of",c001,1427.0,17
Turkey,c001,990.0,18
Kazakhstan,c001,839.0,19
Russian Federation,c001,796.0,20
Brazil,c002,519401.0,1
Russian Federation,c002,75513.0,2
Canada,c002,51687.0,3
United States of America,c002,48047.0,4
France,c002,40327.0,5
Ukraine,c002,34041.0,6
Argentina,c002,22061.0,7
Australia,c002,20035.0,8
Germany,c002,19835.0,9
Kazakhstan,c002,13408.0,10
Poland,c002,10631.0,11
Lithuania,c002,8174.0,12
Romania,c002,6811.0,13
Bulgaria,c002,6639.0,14
Hungary,c002,6408.0,15
Turkey,c002,6334.0,16
Czech Republic,c002,5301.0,17
Latvia,c002,4880.0,18
Italy,c002,4314.0,19
India,c002,3017.0,20
France,c003,291152.0,1
Brazil,c003,285281.0,2
Russian Federation,c003,184494.0,3
Australia,c003,182967.0,4
Ukraine,c003,160872.0,5
Canada,c003,123069.0,6
Germany,c003,104694.0,7
Argentina,c003,100581.0,8
United Kingdom,c003,63427.0,9
Kazakhstan,c003,34780.0,10
Denmark,c003,32754.0,11
Hungary,c003,30165.0,12
Romania,c003,27174.0,13
Czech Republic,c003,20957.0,14
United States of America,c003,20381.0,15
Sweden,c003,19705.0,16
Uruguay,c003,18424.0,17
Lithuania,c003,15317.0,18
Slovakia,c003,13021.0,19
Poland,c003,12448.0,20
Brazil,c004,63624271.0,1
United States of America,c004,348538.0,2
Argentina,c004,244522.0,3
Ukraine,c004,144436.0,4
Romania,c004,33293.0,5
