Country,Commodity,Export_Value,Rank
India,c001,12209.0,1
Viet Nam,c001,5061.0,2
Thailand,c001,4550.0,3
Pakistan,c001,3274.0,4
United States of America,c001,2004.0,5
"China, mainland",c001,1979.0,6
Myanmar,c001,1564.0,7
Brazil,c001,912.0,8
Uruguay,c001,772.0,9
Paraguay,c001,660.0,10
Cambodia,c001,610.0,11
Italy,c001,525.0,12
Guyana,c001,492.0,13
United Republic of Tanzania,c001,294.0,14
Argentina,c001,275.0,15
Canada,c001,261.0,16
Spain,c001,176.0,17
"China, Taiwan Province of",c001,172.0,18
Turkey,c001,119.0,19
Kazakhstan,c001,101.0,20
Canada,c002,5546333.0,1
Russian Federation,c002,75195.0,2
United States of America,c002,47809.0,3
France,c002,40147.0,4
Ukraine,c002,33899.0,5
Argentina,c002,21971.0,6
Australia,c002,19952.0,7
Germany,c002,19737.0,8
Kazakhstan,c002,13350.0,9
Poland,c002,10584.0,10
Lithuania,c002,8140.0,11
Romania,c002,6782.0,12
Bulgaria,c002,6612.0,13
Hungary,c002,6383.0,14
Turkey,c002,6295.0,15
Czech Republic,c002,5278.0,16
Latvia,c002,4861.0,17
Italy,c002,4296.0,18
India,c002,3003.0,19
United Kingdom,c002,2951.0,20
Canada,c003,5408820.0,1
France,c003,17141.0,2
Russian Federation,c003,10863.0,3
Australia,c003,10773.0,4
Ukraine,c003,9473.0,5
Germany,c003,6161.0,6
Argentina,c003,5923.0,7
United Kingdom,c003,3735.0,8
Kazakhstan,c003,2048.0,9
Denmark,c003,1928.0,10
Hungary,c003,1776.0,11
Romania,c003,1599.0,12
Czech Republic,c003,1233.0,13
United States of America,c003,1201.0,14
Sweden,c003,1160.0,15
Uruguay,c003,1084.0,16
Lithuania,c003,902.0,17
Slovakia,c003,768.0,18
Poland,c003,731.0,19
Belgium,c003,731.0,20
Canada,c004,10581841.0,1
United States of America,c004,444280.0,2
Argentina,c004,311580.0,3
Brazil,c004,290639.0,4
Ukraine,c004,184050.0,5
Romania,c004,42436.0,6
France,c004,36798.0,7
Hungary,c004,34242.0,8
Serbia,c004,31220.0,9
South Africa,c004,28522.0,10
Bulgaria,c004,21840.0,11
India,c004,20166.0,12
Russian Federation,c004,19606.0,13
Paraguay,c004,17884.0,14
Poland,c004,12444.0,15
Croatia,c004,9836.0,16
"China, mainland",c004,8472.0,17
Myanmar,c004,7888.0,18
Slovakia,c004,4956.0,19
Turkey,c004,4480.0,20
Canada,c005,182636.0,1
Poland,c005,653.0,2
Germany,c005,217.0,3
Latvia,c005,80.0,4
Sweden,c005,28.0,5
Estonia,c005,23.0,6
Lithuania,c005,23.0,7
Czech Republic,c005,15.0,8
Slovakia,c005,14.0,9
Austria,c005,9.0,10
Denmark,c005,9.0,11
France,c005,9.0,12
Russian Federation,c005,6.0,13
Finland,c005,5.0,14
Hungary,c005,5.0,15
Spain,c005,4.0,16
Belarus,c005,2.0,17
Ukraine,c005,2.0,18
Canada,c006,1567739.0,1
Finland,c006,1223.0,2
Australia,c006,1023.0,3
Chile,c006,828.0,4
United Kingdom,c006,516.0,5
Sweden,c006,496.0,6
Poland,c006,416.0,7
Germany,c006,412.0,8
Latvia,c006,367.0,9
Russian Federation,c006,343.0,10
Lithuania,c006,256.0,11
Estonia,c006,191.0,12
France,c006,172.0,13
Spain,c006,150.0,14
Denmark,c006,126.0,15
Czech Republic,c006,107.0,16
United States of America,c006,87.0,17
Ukraine,c006,84.0,18
Bulgaria,c006,74.0,19
Ireland,c006,64.0,20
Ukraine,c007,2677.0,1
United States of America,c007,2286.0,2
India,c007,1753.0,3
Russian Federation,c007,969.0,4
France,c007,506.0,5
Myanmar,c007,278.0,6
Pakistan,c007,276.0,7
Uzbekistan,c007,207.0,8
Burkina Faso,c007,138.0,9
Austria,c007,135.0,10
"China, mainland",c007,94.0,11
Poland,c007,89.0,12
Australia,c007,81.0,13
Argentina,c007,69.0,14
Mali,c007,69.0,15
United Republic of Tanzania,c007,69.0,16
Kazakhstan,c007,66.0,17
Turkey,c007,59.0,18
Nigeria,c007,47.0,19
Uganda,c007,47.0,20
United States of America,c008,6751.0,1
Argentina,c008,473.0,2
Australia,c008,184.0,3
France,c008,171.0,4
Kenya,c008,66.0,5
Hungary,c008,61.0,6
Ukraine,c008,54.0,7
Burkina Faso,c008,42.0,8
India,c008,38.0,9
"China, mainland",c008,27.0,10
Uganda,c008,27.0,11
Russian Federation,c008,18.0,12
Bolivia (Plurinational State of),c008,12.0,13
Brazil,c008,11.0,14
Republic of Moldova,c008,11.0,15
United Republic of Tanzania,c008,11.0,16
Paraguay,c008,7.0,17
Romania,c008,7.0,18
South Africa,c008,7.0,19
Austria,c008,4.0,20
Canada,c009,92958.0,1
Poland,c009,3412.0,2
Germany,c009,758.0,3
Lithuania,c009,628.0,4
Thailand,c009,565.0,5
Russian Federation,c009,479.0,6
Turkey,c009,465.0,7
France,c009,451.0,8
Argentina,c009,353.0,9
Spain,c009,270.0,10
Czech Republic,c009,264.0,11
Belgium,c009,209.0,12
United States of America,c009,206.0,13
Denmark,c009,177.0,14
Peru,c009,154.0,15
Austria,c009,130.0,16
Italy,c009,130.0,17
Bolivia (Plurinational State of),c009,115.0,18
Bulgaria,c009,110.0,19
Kazakhstan,c009,103.0,20
Canada,c010,922273.0,1
Netherlands,c010,8755.0,2
Germany,c010,8483.0,3
United States of America,c010,6208.0,4
Belgium,c010,5844.0,5
France,c010,5375.0,6
Poland,c010,2149.0,7
Egypt,c010,1252.0,8
"China, mainland",c010,1143.0,9
Argentina,c010,939.0,10
India,c010,867.0,11
Pakistan,c010,765.0,12
Belarus,c010,744.0,13
United Kingdom,c010,614.0,14
Denmark,c010,588.0,15
Spain,c010,454.0,16
South Africa,c010,410.0,17
Turkey,c010,406.0,18
Iran (Islamic Republic of),c010,289.0,19
Kazakhstan,c010,267.0,20
Thailand,c011,6929.0,1
Viet Nam,c011,3317.0,2
Lao People's Democratic Republic,c011,694.0,3
Indonesia,c011,164.0,4
Cambodia,c011,109.0,5
Brazil,c011,50.0,6
Paraguay,c011,45.0,7
Costa Rica,c011,29.0,8
United Republic of Tanzania,c011,15.0,9
India,c011,13.0,10
Nicaragua,c011,13.0,11
Uganda,c011,11.0,12
Sri Lanka,c011,9.0,13
Peru,c011,7.0,14
Ghana,c011,5.0,15
Nigeria,c011,5.0,16
Cameroon,c011,4.0,17
"China, mainland",c011,4.0,18
Rwanda,c011,4.0,19
Fiji,c011,2.0,20
United States of America,c012,436.0,1
Egypt,c012,119.0,2
Viet Nam,c012,78.0,3
Spain,c012,76.0,4
Lao People's Democratic Republic,c012,74.0,5
"China, mainland",c012,38.0,6
Portugal,c012,28.0,7
Honduras,c012,23.0,8
Indonesia,c012,20.0,9
Brazil,c012,18.0,10
Peru,c012,18.0,11
Dominican Republic,c012,13.0,12
South Africa,c012,12.0,13
Mali,c012,10.0,14
Japan,c012,8.0,15
Mexico,c012,8.0,16
Israel,c012,5.0,17
Argentina,c012,2.0,18
Australia,c012,2.0,19
Costa Rica,c012,2.0,20
"China, mainland",c013,444.0,1
Indonesia,c013,157.0,2
Mexico,c013,94.0,3
Nicaragua,c013,40.0,4
Ethiopia,c013,40.0,5
Thailand,c013,36.0,6
Togo,c013,23.0,7
Côte d'Ivoire,c013,19.0,8
Lao People's Democratic Republic,c013,19.0,9
Costa Rica,c013,16.0,10
Ecuador,c013,16.0,11
Honduras,c013,11.0,12
India,c013,11.0,13
Spain,c013,11.0,14
Egypt,c013,8.0,15
Fiji,c013,8.0,16
Saint Vincent and the Grenadines,c013,8.0,17
Uganda,c013,8.0,18
Dominican Republic,c013,4.0,19
Jamaica,c013,4.0,20
Ghana,c014,2149.0,1
Côte d'Ivoire,c014,1096.0,2
Jamaica,c014,526.0,3
Colombia,c014,437.0,4
Brazil,c014,263.0,5
Japan,c014,263.0,6
Costa Rica,c014,131.0,7
Nigeria,c014,44.0,8
Togo,c014,44.0,9
RoW,c014,44.0,10
Myanmar,c015,271.0,1
Uganda,c015,173.0,2
Morocco,c015,68.0,3
Malaysia,c015,34.0,4
Thailand,c015,15.0,5
Costa Rica,c015,8.0,6
Viet Nam,c015,4.0,7
Canada,c016,778996.0,1
Canada,c017,15829.0,1
Myanmar,c017,743.0,2
Argentina,c017,267.0,3
United States of America,c017,255.0,4
"China, mainland",c017,170.0,5
Ethiopia,c017,93.0,6
Brazil,c017,90.0,7
Kyrgyzstan,c017,62.0,8
Nicaragua,c017,61.0,9
Uganda,c017,46.0,10
Turkey,c017,44.0,11
United Republic of Tanzania,c017,42.0,12
Australia,c017,36.0,13
Egypt,c017,31.0,14
India,c017,29.0,15
Indonesia,c017,21.0,16
Madagascar,c017,21.0,17
Mozambique,c017,18.0,18
Kenya,c017,15.0,19
Thailand,c017,13.0,20
Canada,c018,471618.0,1
Russian Federation,c018,2485.0,2
United States of America,c018,1643.0,3
Ukraine,c018,1321.0,4
France,c018,796.0,5
Lithuania,c018,483.0,6
Estonia,c018,239.0,7
Kazakhstan,c018,199.0,8
Argentina,c018,197.0,9
Australia,c018,179.0,10
Czech Republic,c018,89.0,11
Germany,c018,85.0,12
Latvia,c018,82.0,13
Sweden,c018,76.0,14
Malawi,c018,74.0,15
New Zealand,c018,59.0,16
Hungary,c018,57.0,17
United Kingdom,c018,40.0,18
Denmark,c018,37.0,19
Poland,c018,37.0,20
Canada,c019,409515.0,1
Australia,c019,5065.0,2
United States of America,c019,1877.0,3
Turkey,c019,1392.0,4
India,c019,1330.0,5
Russian Federation,c019,1231.0,6
United Republic of Tanzania,c019,1164.0,7
Lithuania,c019,512.0,8
Argentina,c019,478.0,9
Latvia,c019,318.0,10
Mexico,c019,313.0,11
Germany,c019,233.0,12
Ethiopia,c019,233.0,13
France,c019,226.0,14
United Kingdom,c019,214.0,15
"China, mainland",c019,176.0,16
Kazakhstan,c019,171.0,17
Kenya,c019,161.0,18
Poland,c019,127.0,19
United Arab Emirates,c019,110.0,20
United States of America,c020,193313.0,1
"China, mainland",c020,161059.0,2
Turkey,c020,62213.0,3
Côte d'Ivoire,c020,50672.0,4
India,c020,47394.0,5
Iran (Islamic Republic of),c020,39363.0,6
Spain,c020,32863.0,7
Indonesia,c020,26416.0,8
Benin,c020,23129.0,9
United Republic of Tanzania,c020,21426.0,10
Guinea-Bissau,c020,19644.0,11
Mexico,c020,17648.0,12
Nigeria,c020,16772.0,13
Viet Nam,c020,16376.0,14
Bangladesh,c020,16371.0,15
Burkina Faso,c020,15541.0,16
Chile,c020,13258.0,17
Philippines,c020,13015.0,18
Italy,c020,10687.0,19
Australia,c020,10222.0,20
Canada,c021,2122721.0,1
Brazil,c021,45489.0,2
United States of America,c021,40640.0,3
Paraguay,c021,4502.0,4
Argentina,c021,4019.0,5
Uruguay,c021,1222.0,6
Ukraine,c021,926.0,7
Russian Federation,c021,563.0,8
Croatia,c021,172.0,9
Serbia,c021,170.0,10
Romania,c021,63.0,11
Slovakia,c021,56.0,12
France,c021,54.0,13
India,c021,49.0,14
Ethiopia,c021,46.0,15
Austria,c021,41.0,16
Hungary,c021,35.0,17
"China, mainland",c021,34.0,18
Kazakhstan,c021,27.0,19
Mozambique,c021,23.0,20
"China, mainland",c022,8272004.0,1
India,c022,3180620.0,2
Nigeria,c022,2648499.0,3
Sudan,c022,1205009.0,4
Myanmar,c022,1203906.0,5
United States of America,c022,857113.0,6
Senegal,c022,789218.0,7
Chad,c022,696242.0,8
Argentina,c022,523376.0,9
Guinea,c022,486474.0,10
Cameroon,c022,391489.0,11
Brazil,c022,318424.0,12
Malawi,c022,301193.0,13
Burkina Faso,c022,239911.0,14
Niger,c022,224242.0,15
