Country,Commodity,Export_Value,Rank
Chile,c001,90343.0,1
India,c001,50971.0,2
Viet Nam,c001,21123.0,3
Thailand,c001,18995.0,4
Pakistan,c001,13671.0,5
United States of America,c001,8366.0,6
"China, mainland",c001,8263.0,7
Myanmar,c001,6531.0,8
Brazil,c001,3807.0,9
Uruguay,c001,3224.0,10
Paraguay,c001,2755.0,11
Cambodia,c001,2546.0,12
Italy,c001,2194.0,13
Guyana,c001,2050.0,14
United Republic of Tanzania,c001,1223.0,15
Argentina,c001,1145.0,16
Spain,c001,733.0,17
"China, Taiwan Province of",c001,717.0,18
Turkey,c001,499.0,19
Kazakhstan,c001,420.0,20
Chile,c002,280147.0,1
Russian Federation,c002,36939.0,2
Canada,c002,25283.0,3
United States of America,c002,23504.0,4
France,c002,19726.0,5
Ukraine,c002,16653.0,6
Argentina,c002,10791.0,7
Australia,c002,9801.0,8
Germany,c002,9704.0,9
Kazakhstan,c002,6559.0,10
Poland,c002,5199.0,11
Lithuania,c002,3998.0,12
Romania,c002,3333.0,13
Bulgaria,c002,3250.0,14
Hungary,c002,3135.0,15
Turkey,c002,3100.0,16
Czech Republic,c002,2593.0,17
Latvia,c002,2388.0,18
Italy,c002,2111.0,19
India,c002,1475.0,20
Chile,c003,130638.0,1
France,c003,15619.0,2
Russian Federation,c003,9897.0,3
Australia,c003,9814.0,4
Ukraine,c003,8631.0,5
Canada,c003,6603.0,6
Germany,c003,5616.0,7
Argentina,c003,5395.0,8
United Kingdom,c003,3402.0,9
Kazakhstan,c003,1866.0,10
Denmark,c003,1757.0,11
Hungary,c003,1618.0,12
Romania,c003,1459.0,13
Czech Republic,c003,1124.0,14
United States of America,c003,1092.0,15
Sweden,c003,1058.0,16
Uruguay,c003,988.0,17
Lithuania,c003,823.0,18
Slovakia,c003,698.0,19
Poland,c003,668.0,20
United States of America,c004,713639.0,1
Chile,c004,641606.0,2
Argentina,c004,500479.0,3
Brazil,c004,466844.0,4
Ukraine,c004,295627.0,5
Romania,c004,68162.0,6
France,c004,59109.0,7
Hungary,c004,55002.0,8
Serbia,c004,50146.0,9
South Africa,c004,45815.0,10
Bulgaria,c004,35079.0,11
India,c004,32392.0,12
Russian Federation,c004,31491.0,13
Paraguay,c004,28724.0,14
Poland,c004,19986.0,15
Croatia,c004,15799.0,16
Canada,c004,15255.0,17
"China, mainland",c004,13607.0,18
Myanmar,c004,12669.0,19
Slovakia,c004,7959.0,20
Germany,c005,2828047.0,1
Poland,c005,1639520.0,2
Russian Federation,c005,1197160.0,3
Belarus,c005,887290.0,4
Denmark,c005,674173.0,5
"China, mainland",c005,421000.0,6
Spain,c005,353710.0,7
Canada,c005,286023.0,8
Argentina,c005,220999.0,9
Ukraine,c005,168958.0,10
United States of America,c005,156225.0,11
Latvia,c005,127881.0,12
Austria,c005,120007.0,13
France,c005,101516.0,14
Turkey,c005,95960.0,15
Hungary,c005,68247.0,16
Czech Republic,c005,64890.0,17
Lithuania,c005,64831.0,18
Sweden,c005,47123.0,19
Estonia,c005,44666.0,20
Chile,c006,157698.0,1
Canada,c006,19104.0,2
Finland,c006,3470.0,3
Australia,c006,2899.0,4
United Kingdom,c006,1465.0,5
Sweden,c006,1410.0,6
Poland,c006,1182.0,7
Germany,c006,1179.0,8
Latvia,c006,1047.0,9
Russian Federation,c006,972.0,10
Lithuania,c006,728.0,11
Estonia,c006,537.0,12
France,c006,490.0,13
Spain,c006,427.0,14
Denmark,c006,355.0,15
Czech Republic,c006,304.0,16
United States of America,c006,258.0,17
Ukraine,c006,240.0,18
Bulgaria,c006,210.0,19
Ireland,c006,183.0,20
Ukraine,c007,267.0,1
United States of America,c007,228.0,2
India,c007,176.0,3
Russian Federation,c007,97.0,4
France,c007,50.0,5
Myanmar,c007,27.0,6
Pakistan,c007,27.0,7
Uzbekistan,c007,21.0,8
Austria,c007,13.0,9
Burkina Faso,c007,13.0,10
Australia,c007,9.0,11
"China, mainland",c007,9.0,12
Poland,c007,9.0,13
Argentina,c007,7.0,14
Kazakhstan,c007,7.0,15
Mali,c007,7.0,16
United Republic of Tanzania,c007,7.0,17
Turkey,c007,6.0,18
Nigeria,c007,4.0,19
Uganda,c007,4.0,20
United States of America,c008,12654.0,1
Argentina,c008,884.0,2
Australia,c008,347.0,3
France,c008,319.0,4
Kenya,c008,126.0,5
Hungary,c008,117.0,6
Ukraine,c008,99.0,7
Burkina Faso,c008,81.0,8
India,c008,69.0,9
"China, mainland",c008,51.0,10
Uganda,c008,50.0,11
Russian Federation,c008,33.0,12
Bolivia (Plurinational State of),c008,23.0,13
Brazil,c008,21.0,14
Republic of Moldova,c008,21.0,15
United Republic of Tanzania,c008,21.0,16
Paraguay,c008,13.0,17
South Africa,c008,12.0,18
Romania,c008,11.0,19
Austria,c008,8.0,20
Chile,c009,84819.0,1
Poland,c009,5000.0,2
Canada,c009,1453.0,3
Germany,c009,1113.0,4
Lithuania,c009,919.0,5
Thailand,c009,826.0,6
Russian Federation,c009,700.0,7
Turkey,c009,680.0,8
France,c009,660.0,9
Argentina,c009,515.0,10
Spain,c009,395.0,11
Czech Republic,c009,387.0,12
Belgium,c009,306.0,13
United States of America,c009,304.0,14
Denmark,c009,259.0,15
Peru,c009,224.0,16
Italy,c009,189.0,17
Austria,c009,188.0,18
Bolivia (Plurinational State of),c009,169.0,19
Bulgaria,c009,161.0,20
Chile,c010,253890.0,1
Netherlands,c010,5138.0,2
Germany,c010,4976.0,3
United States of America,c010,3645.0,4
Belgium,c010,3431.0,5
France,c010,3152.0,6
Canada,c010,2468.0,7
Poland,c010,1259.0,8
Egypt,c010,735.0,9
"China, mainland",c010,671.0,10
Argentina,c010,550.0,11
India,c010,508.0,12
Pakistan,c010,450.0,13
Belarus,c010,435.0,14
United Kingdom,c010,360.0,15
Denmark,c010,344.0,16
Spain,c010,266.0,17
South Africa,c010,240.0,18
Turkey,c010,238.0,19
Iran (Islamic Republic of),c010,171.0,20
Thailand,c011,22678995.0,1
Nigeria,c011,21039326.0,2
Ghana,c011,11579357.0,3
Brazil,c011,10573364.0,4
Viet Nam,c011,6840555.0,5
Malawi,c011,3715710.0,6
"China, mainland",c011,3520447.0,7
Democratic Republic of the Congo,c011,3335893.0,8
Cambodia,c011,3135737.0,9
Cameroon,c011,2740600.0,10
Côte d'Ivoire,c011,2245267.0,11
Paraguay,c011,2151278.0,12
Benin,c011,1889265.0,13
Angola,c011,1651695.0,14
Philippines,c011,1551750.0,15
Lao People's Democratic Republic,c011,1464794.0,16
United Republic of Tanzania,c011,1391993.0,17
Indonesia,c011,1041543.0,18
Mozambique,c011,1023788.0,19
Senegal,c011,815755.0,20
Chile,c012,3787.0,1
United States of America,c012,528.0,2
Egypt,c012,144.0,3
Viet Nam,c012,95.0,4
Spain,c012,91.0,5
Lao People's Democratic Republic,c012,90.0,6
"China, mainland",c012,46.0,7
Portugal,c012,34.0,8
Honduras,c012,29.0,9
Indonesia,c012,25.0,10
Brazil,c012,22.0,11
Peru,c012,22.0,12
Dominican Republic,c012,15.0,13
South Africa,c012,14.0,14
Japan,c012,11.0,15
Mali,c012,11.0,16
Mexico,c012,11.0,17
Israel,c012,5.0,18
Argentina,c012,2.0,19
Australia,c012,2.0,20
Lao People's Democratic Republic,c013,3577530.0,1
Nigeria,c013,961874.0,2
Cameroon,c013,915038.0,3
Ethiopia,c013,823441.0,4
Ghana,c013,403943.0,5
"China, mainland",c013,334663.0,6
Democratic Republic of the Congo,c013,217546.0,7
Madagascar,c013,113432.0,8
Namibia,c013,84362.0,9
Colombia,c013,72940.0,10
Peru,c013,67152.0,11
Cuba,c013,66876.0,12
Indonesia,c013,60145.0,13
Mexico,c013,58359.0,14
Papua New Guinea,c013,50001.0,15
Pakistan,c013,48395.0,16
Nicaragua,c013,47170.0,17
Guinea,c013,42963.0,18
Japan,c013,39204.0,19
Gabon,c013,38836.0,20
Nigeria,c014,25143059.0,1
Côte d'Ivoire,c014,2597759.0,2
Ghana,c014,2151594.0,3
Benin,c014,1395408.0,4
Togo,c014,216560.0,5
Chad,c014,157002.0,6
Cameroon,c014,139996.0,7
Brazil,c014,120704.0,8
Central African Republic,c014,81000.0,9
Gabon,c014,70738.0,10
Guinea,c014,62950.0,11
Colombia,c014,44500.0,12
