Country,Commodity,Export_Value,Rank
"China, mainland",c001,22040570.0,1
India,c001,149175.0,2
Viet Nam,c001,61823.0,3
Thailand,c001,55591.0,4
Pakistan,c001,40007.0,5
United States of America,c001,24470.0,6
Myanmar,c001,19116.0,7
Brazil,c001,11144.0,8
Uruguay,c001,9434.0,9
Paraguay,c001,8059.0,10
Cambodia,c001,7451.0,11
Italy,c001,6423.0,12
Guyana,c001,6003.0,13
United Republic of Tanzania,c001,3580.0,14
Argentina,c001,3359.0,15
Spain,c001,2151.0,16
"China, Taiwan Province of",c001,2099.0,17
Turkey,c001,1457.0,18
Kazakhstan,c001,1234.0,19
Russian Federation,c001,1169.0,20
"China, mainland",c002,46382189.0,1
Russian Federation,c002,494009.0,2
Canada,c002,338143.0,3
United States of America,c002,314320.0,4
France,c002,263824.0,5
Ukraine,c002,222699.0,6
Argentina,c002,144332.0,7
Australia,c002,131071.0,8
Germany,c002,129768.0,9
Kazakhstan,c002,87717.0,10
Poland,c002,69545.0,11
Lithuania,c002,53478.0,12
Romania,c002,44561.0,13
Bulgaria,c002,43446.0,14
Hungary,c002,41927.0,15
Turkey,c002,41441.0,16
Czech Republic,c002,34680.0,17
Latvia,c002,31928.0,18
Italy,c002,28236.0,19
India,c002,19736.0,20
"China, mainland",c003,1039561.0,1
France,c003,782727.0,2
Russian Federation,c003,495988.0,3
Australia,c003,491892.0,4
Ukraine,c003,432480.0,5
Canada,c003,330856.0,6
Germany,c003,281427.0,7
Argentina,c003,270403.0,8
United Kingdom,c003,170515.0,9
Kazakhstan,c003,93503.0,10
Denmark,c003,88051.0,11
Hungary,c003,81094.0,12
Romania,c003,73055.0,13
Czech Republic,c003,56338.0,14
United States of America,c003,54789.0,15
Sweden,c003,52979.0,16
Uruguay,c003,49532.0,17
Lithuania,c003,41177.0,18
Slovakia,c003,35008.0,19
Poland,c003,33463.0,20
"China, mainland",c004,206284138.0,1
United States of America,c004,2286489.0,2
Argentina,c004,1603547.0,3
Brazil,c004,1495771.0,4
Ukraine,c004,947202.0,5
Romania,c004,218393.0,6
France,c004,189387.0,7
Hungary,c004,176226.0,8
Serbia,c004,160664.0,9
