Country,Commodity,Export_Value,Rank
Côte d'Ivoire,c001,357338.0,1
India,c001,109507.0,2
Viet Nam,c001,45384.0,3
Thailand,c001,40809.0,4
Pakistan,c001,29368.0,5
United States of America,c001,17969.0,6
"China, mainland",c001,17749.0,7
Myanmar,c001,14033.0,8
Brazil,c001,8182.0,9
Uruguay,c001,6926.0,10
Paraguay,c001,5916.0,11
Cambodia,c001,5469.0,12
Italy,c001,4714.0,13
Guyana,c001,4407.0,14
United Republic of Tanzania,c001,2628.0,15
Argentina,c001,2464.0,16
Spain,c001,1578.0,17
"China, Taiwan Province of",c001,1540.0,18
Turkey,c001,1072.0,19
Kazakhstan,c001,906.0,20
"China, mainland",c002,46619235.0,1
Russian Federation,c002,38177076.0,2
France,c002,17390011.0,3
India,c002,16596724.0,4
United States of America,c002,14975432.0,5
Canada,c002,14816719.0,6
Germany,c002,12266647.0,7
Turkey,c002,11985297.0,8
Ukraine,c002,9961921.0,9
Australia,c002,7353382.0,10
United Kingdom,c002,6870013.0,11
Poland,c002,5456764.0,12
Argentina,c002,5162522.0,13
Kazakhstan,c002,5080736.0,14
Spain,c002,4965209.0,15
Denmark,c002,3494207.0,16
Pakistan,c002,3148248.0,17
Hungary,c002,2613653.0,18
Romania,c002,2544050.0,19
Czech Republic,c002,2516528.0,20
France,c003,5941.0,1
Russian Federation,c003,3765.0,2
Australia,c003,3734.0,3
Ukraine,c003,3283.0,4
Canada,c003,2511.0,5
Germany,c003,2136.0,6
Argentina,c003,2052.0,7
United Kingdom,c003,1294.0,8
Kazakhstan,c003,710.0,9
Denmark,c003,668.0,10
Hungary,c003,616.0,11
Romania,c003,555.0,12
Czech Republic,c003,428.0,13
United States of America,c003,416.0,14
Sweden,c003,402.0,15
Uruguay,c003,376.0,16
Lithuania,c003,313.0,17
Slovakia,c003,266.0,18
Poland,c003,254.0,19
Belgium,c003,254.0,20
Côte d'Ivoire,c004,437565.0,1
United States of America,c004,3217.0,2
Argentina,c004,2255.0,3
Brazil,c004,2103.0,4
Ukraine,c004,1331.0,5
Romania,c004,307.0,6
France,c004,265.0,7
Hungary,c004,246.0,8
Serbia,c004,225.0,9
South Africa,c004,205.0,10
Bulgaria,c004,157.0,11
India,c004,146.0,12
Russian Federation,c004,141.0,13
Paraguay,c004,129.0,14
Poland,c004,91.0,15
Croatia,c004,72.0,16
Canada,c004,68.0,17
"China, mainland",c004,62.0,18
Myanmar,c004,56.0,19
Slovakia,c004,35.0,20
Germany,c005,2828047.0,1
Poland,c005,1639520.0,2
Russian Federation,c005,1197160.0,3
Belarus,c005,887290.0,4
Denmark,c005,674173.0,5
"China, mainland",c005,421000.0,6
Spain,c005,353710.0,7
Canada,c005,286023.0,8
Argentina,c005,220999.0,9
Ukraine,c005,168958.0,10
United States of America,c005,156225.0,11
Latvia,c005,127881.0,12
Austria,c005,120007.0,13
France,c005,101516.0,14
Turkey,c005,95960.0,15
Hungary,c005,68247.0,16
Czech Republic,c005,64890.0,17
Lithuania,c005,64831.0,18
Sweden,c005,47123.0,19
Estonia,c005,44666.0,20
Russian Federation,c006,3863945.0,1
Canada,c006,2707425.0,2
Poland,c006,1483855.0,3
Spain,c006,1327958.0,4
Australia,c006,1004897.0,5
Finland,c006,829611.0,6
Sweden,c006,634473.0,7
Argentina,c006,550929.0,8
United Kingdom,c006,472876.0,9
"China, mainland",c006,436828.0,10
Ukraine,c006,427371.0,11
United States of America,c006,358808.0,12
Denmark,c006,347410.0,13
Belarus,c006,328425.0,14
Germany,c006,318260.0,15
France,c006,304269.0,16
Chile,c006,296623.0,17
Norway,c006,281980.0,18
Turkey,c006,251304.0,19
Lithuania,c006,223426.0,20
Côte d'Ivoire,c007,37910.0,1
Ukraine,c007,141.0,2
United States of America,c007,120.0,3
India,c007,93.0,4
Russian Federation,c007,52.0,5
France,c007,27.0,6
Myanmar,c007,15.0,7
Pakistan,c007,15.0,8
Uzbekistan,c007,11.0,9
Burkina Faso,c007,7.0,10
Austria,c007,6.0,11
"China, mainland",c007,5.0,12
Argentina,c007,4.0,13
Australia,c007,4.0,14
Kazakhstan,c007,4.0,15
Mali,c007,4.0,16
Poland,c007,4.0,17
United Republic of Tanzania,c007,4.0,18
Nigeria,c007,3.0,19
Turkey,c007,3.0,20
Côte d'Ivoire,c008,11953.0,1
Côte d'Ivoire,c009,19077.0,1
Poland,c009,3071.0,2
Canada,c009,894.0,3
Germany,c009,683.0,4
Lithuania,c009,564.0,5
Thailand,c009,509.0,6
Russian Federation,c009,431.0,7
Turkey,c009,418.0,8
France,c009,406.0,9
Argentina,c009,317.0,10
Spain,c009,243.0,11
Czech Republic,c009,237.0,12
Belgium,c009,186.0,13
United States of America,c009,185.0,14
Denmark,c009,158.0,15
Peru,c009,136.0,16
Austria,c009,116.0,17
Italy,c009,116.0,18
Bolivia (Plurinational State of),c009,103.0,19
Bulgaria,c009,99.0,20
Netherlands,c010,827.0,1
Germany,c010,801.0,2
United States of America,c010,587.0,3
Belgium,c010,552.0,4
France,c010,509.0,5
Canada,c010,397.0,6
Poland,c010,202.0,7
Egypt,c010,119.0,8
"China, mainland",c010,109.0,9
Argentina,c010,89.0,10
India,c010,81.0,11
Pakistan,c010,71.0,12
Belarus,c010,70.0,13
United Kingdom,c010,58.0,14
Denmark,c010,55.0,15
Spain,c010,43.0,16
South Africa,c010,40.0,17
Turkey,c010,40.0,18
Iran (Islamic Republic of),c010,26.0,19
Kazakhstan,c010,25.0,20
Côte d'Ivoire,c011,2244000.0,1
Côte d'Ivoire,c012,8854.0,1
United States of America,c012,64.0,2
Egypt,c012,17.0,3
Lao People's Democratic Republic,c012,11.0,4
Spain,c012,11.0,5
Viet Nam,c012,11.0,6
"China, mainland",c012,6.0,7
Portugal,c012,4.0,8
Brazil,c012,3.0,9
Honduras,c012,3.0,10
Indonesia,c012,3.0,11
Peru,c012,3.0,12
Dominican Republic,c012,2.0,13
South Africa,c012,2.0,14
Israel,c012,1.0,15
Japan,c012,1.0,16
Mali,c012,1.0,17
Mexico,c012,1.0,18
Côte d'Ivoire,c013,30000.0,1
Côte d'Ivoire,c014,2594000.0,1
Côte d'Ivoire,c015,1962000.0,1
Russian Federation,c016,39353891.0,1
Germany,c016,28206564.0,2
United States of America,c016,26460729.0,3
France,c016,25996243.0,4
Turkey,c016,21405334.0,5
Poland,c016,14719223.0,6
Egypt,c016,11805000.0,7
"China, mainland",c016,10029888.0,8
Ukraine,c016,9149999.0,9
Netherlands,c016,6806893.0,10
United Kingdom,c016,5635000.0,11
Iran (Islamic Republic of),c016,5420058.0,12
