Country,Commodity,Export_Value,Rank
Colombia,c001,559088.0,1
India,c001,17653.0,2
Viet Nam,c001,7315.0,3
Thailand,c001,6578.0,4
Pakistan,c001,4734.0,5
United States of America,c001,2896.0,6
"China, mainland",c001,2862.0,7
Myanmar,c001,2261.0,8
Brazil,c001,1319.0,9
Uruguay,c001,1117.0,10
Paraguay,c001,953.0,11
Cambodia,c001,881.0,12
Italy,c001,759.0,13
Guyana,c001,709.0,14
United Republic of Tanzania,c001,423.0,15
Argentina,c001,397.0,16
Spain,c001,255.0,17
"China, Taiwan Province of",c001,248.0,18
Turkey,c001,172.0,19
Kazakhstan,c001,146.0,20
Russian Federation,c002,25822.0,1
Canada,c002,17674.0,2
United States of America,c002,16429.0,3
France,c002,13790.0,4
Ukraine,c002,11640.0,5
Argentina,c002,7544.0,6
Australia,c002,6852.0,7
Germany,c002,6782.0,8
Kazakhstan,c002,4584.0,9
Poland,c002,3635.0,10
Lithuania,c002,2796.0,11
Romania,c002,2328.0,12
Bulgaria,c002,2272.0,13
Hungary,c002,2193.0,14
Turkey,c002,2166.0,15
Czech Republic,c002,1813.0,16
Latvia,c002,1669.0,17
Italy,c002,1476.0,18
India,c002,1031.0,19
United Kingdom,c002,1015.0,20
France,c003,39241.0,1
Russian Federation,c003,24866.0,2
Australia,c003,24660.0,3
Ukraine,c003,21681.0,4
Canada,c003,16587.0,5
Germany,c003,14111.0,6
Argentina,c003,13556.0,7
United Kingdom,c003,8549.0,8
Kazakhstan,c003,4688.0,9
Denmark,c003,4415.0,10
Hungary,c003,4065.0,11
Romania,c003,3662.0,12
Colombia,c003,3359.0,13
Czech Republic,c003,2824.0,14
United States of America,c003,2747.0,15
Sweden,c003,2657.0,16
Uruguay,c003,2483.0,17
Lithuania,c003,2064.0,18
Slovakia,c003,1755.0,19
Poland,c003,1678.0,20
United States of America,c004,1205796.0,1
Colombia,c004,1136139.0,2
Argentina,c004,845632.0,3
Brazil,c004,788805.0,4
Ukraine,c004,499509.0,5
Romania,c004,115171.0,6
France,c004,99872.0,7
Hungary,c004,92934.0,8
Serbia,c004,84729.0,9
South Africa,c004,77410.0,10
Bulgaria,c004,59269.0,11
India,c004,54731.0,12
Russian Federation,c004,53207.0,13
Paraguay,c004,48536.0,14
Poland,c004,33772.0,15
Croatia,c004,26695.0,16
Canada,c004,25775.0,17
"China, mainland",c004,22990.0,18
Myanmar,c004,21405.0,19
Slovakia,c004,13448.0,20
Poland,c005,546.0,1
Germany,c005,184.0,2
Latvia,c005,68.0,3
Canada,c005,63.0,4
Sweden,c005,22.0,5
Lithuania,c005,20.0,6
Estonia,c005,19.0,7
Czech Republic,c005,13.0,8
Slovakia,c005,12.0,9
Austria,c005,8.0,10
Denmark,c005,8.0,11
France,c005,8.0,12
Finland,c005,5.0,13
Hungary,c005,5.0,14
Russian Federation,c005,5.0,15
Spain,c005,4.0,16
Belarus,c005,3.0,17
Ukraine,c005,1.0,18
United States of America,c005,1.0,19
Russian Federation,c006,3863945.0,1
Canada,c006,2707425.0,2
Poland,c006,1483855.0,3
Spain,c006,1327958.0,4
Australia,c006,1004897.0,5
Finland,c006,829611.0,6
Sweden,c006,634473.0,7
Argentina,c006,550929.0,8
United Kingdom,c006,472876.0,9
"China, mainland",c006,436828.0,10
Ukraine,c006,427371.0,11
United States of America,c006,358808.0,12
Denmark,c006,347410.0,13
Belarus,c006,328425.0,14
Germany,c006,318260.0,15
France,c006,304269.0,16
Chile,c006,296623.0,17
Norway,c006,281980.0,18
Turkey,c006,251304.0,19
Lithuania,c006,223426.0,20
India,c007,2081585.0,1
"China, mainland",c007,1437741.0,2
Niger,c007,1051135.0,3
Senegal,c007,552999.0,4
Mali,c007,494798.0,5
United Republic of Tanzania,c007,300731.0,6
Sudan,c007,293821.0,7
Nigeria,c007,280651.0,8
Russian Federation,c007,235905.0,9
Ukraine,c007,228251.0,10
Guinea,c007,205705.0,11
United States of America,c007,187190.0,12
Pakistan,c007,147616.0,13
Burkina Faso,c007,144710.0,14
Myanmar,c007,125089.0,15
Chad,c007,110376.0,16
Ethiopia,c007,93143.0,17
Ghana,c007,58956.0,18
Uzbekistan,c007,55047.0,19
Kenya,c007,54306.0,20
Colombia,c008,5994.0,1
Colombia,c009,9821.0,1
Poland,c009,1906.0,2
Canada,c009,553.0,3
Germany,c009,424.0,4
Lithuania,c009,351.0,5
Thailand,c009,316.0,6
Russian Federation,c009,267.0,7
Turkey,c009,260.0,8
France,c009,251.0,9
Argentina,c009,196.0,10
Spain,c009,149.0,11
Czech Republic,c009,148.0,12
United States of America,c009,116.0,13
Belgium,c009,116.0,14
Denmark,c009,99.0,15
Peru,c009,86.0,16
Italy,c009,73.0,17
Austria,c009,72.0,18
Bolivia (Plurinational State of),c009,63.0,19
Bulgaria,c009,61.0,20
Colombia,c010,448492.0,1
Netherlands,c010,3229.0,2
Germany,c010,3127.0,3
United States of America,c010,2290.0,4
Belgium,c010,2156.0,5
France,c010,1981.0,6
Canada,c010,1551.0,7
Poland,c010,792.0,8
Egypt,c010,461.0,9
"China, mainland",c010,421.0,10
Argentina,c010,346.0,11
India,c010,319.0,12
Pakistan,c010,281.0,13
Belarus,c010,274.0,14
United Kingdom,c010,227.0,15
Denmark,c010,216.0,16
Spain,c010,167.0,17
South Africa,c010,152.0,18
Turkey,c010,149.0,19
Iran (Islamic Republic of),c010,107.0,20
Colombia,c011,225419.0,1
Thailand,c011,5804.0,2
Viet Nam,c011,2780.0,3
Lao People's Democratic Republic,c011,582.0,4
Indonesia,c011,136.0,5
Cambodia,c011,90.0,6
Brazil,c011,42.0,7
Paraguay,c011,36.0,8
Costa Rica,c011,24.0,9
United Republic of Tanzania,c011,13.0,10
India,c011,11.0,11
Nicaragua,c011,11.0,12
Uganda,c011,9.0,13
Sri Lanka,c011,7.0,14
Peru,c011,7.0,15
Ghana,c011,5.0,16
Nigeria,c011,5.0,17
"China, mainland",c011,4.0,18
Cameroon,c011,2.0,19
Rwanda,c011,2.0,20
"China, mainland",c012,22586277.0,1
Malawi,c012,6132732.0,2
Nigeria,c012,1067609.0,3
Viet Nam,c012,877188.0,4
United Republic of Tanzania,c012,666727.0,5
Madagascar,c012,558992.0,6
Brazil,c012,517879.0,7
Angola,c012,504690.0,8
Japan,c012,325318.0,9
Rwanda,c012,308768.0,10
United States of America,c012,302613.0,11
Mali,c012,213712.0,12
Egypt,c012,155700.0,13
"China, Taiwan Province of",c012,151412.0,14
Ethiopia,c012,148589.0,15
India,c012,115685.0,16
Democratic Republic of the Congo,c012,111999.0,17
Indonesia,c012,97442.0,18
Papua New Guinea,c012,96993.0,19
Uganda,c012,84819.0,20
Colombia,c013,72940.0,1
Colombia,c014,43000.0,1
Colombia,c015,25742000.0,1
Colombia,c016,3000.0,1
Colombia,c017,25891.0,1
Myanmar,c017,1983.0,2
Argentina,c017,709.0,3
United States of America,c017,681.0,4
Canada,c017,569.0,5
"China, mainland",c017,457.0,6
Ethiopia,c017,249.0,7
Brazil,c017,238.0,8
Kyrgyzstan,c017,164.0,9
Nicaragua,c017,162.0,10
Uganda,c017,121.0,11
Turkey,c017,117.0,12
United Republic of Tanzania,c017,111.0,13
Australia,c017,95.0,14
Egypt,c017,83.0,15
India,c017,77.0,16
Indonesia,c017,58.0,17
Madagascar,c017,58.0,18
Mozambique,c017,47.0,19
Kenya,c017,41.0,20
Colombia,c018,1987.0,1
Canada,c018,1229.0,2
Russian Federation,c018,232.0,3
United States of America,c018,155.0,4
Ukraine,c018,124.0,5
France,c018,75.0,6
Lithuania,c018,45.0,7
Estonia,c018,23.0,8
Argentina,c018,19.0,9
Kazakhstan,c018,19.0,10
Australia,c018,17.0,11
Germany,c018,8.0,12
Latvia,c018,8.0,13
Czech Republic,c018,8.0,14
Malawi,c018,7.0,15
Sweden,c018,7.0,16
Hungary,c018,5.0,17
New Zealand,c018,5.0,18
Denmark,c018,4.0,19
Poland,c018,4.0,20
Canada,c019,12615.0,1
Australia,c019,5565.0,2
Colombia,c019,3208.0,3
United States of America,c019,2067.0,4
Turkey,c019,1540.0,5
India,c019,1490.0,6
Russian Federation,c019,1350.0,7
United Republic of Tanzania,c019,1279.0,8
Lithuania,c019,562.0,9
Argentina,c019,525.0,10
Latvia,c019,348.0,11
Mexico,c019,344.0,12
Ethiopia,c019,258.0,13
Germany,c019,257.0,14
France,c019,248.0,15
United Kingdom,c019,236.0,16
"China, mainland",c019,194.0,17
Kazakhstan,c019,188.0,18
Kenya,c019,175.0,19
Poland,c019,140.0,20
United States of America,c020,193313.0,1
"China, mainland",c020,161059.0,2
Turkey,c020,62213.0,3
Côte d'Ivoire,c020,50672.0,4
India,c020,47394.0,5
Iran (Islamic Republic of),c020,39363.0,6
Spain,c020,32863.0,7
Indonesia,c020,26416.0,8
Benin,c020,23129.0,9
United Republic of Tanzania,c020,21426.0,10
Guinea-Bissau,c020,19644.0,11
Mexico,c020,17648.0,12
Nigeria,c020,16772.0,13
Viet Nam,c020,16376.0,14
Bangladesh,c020,16371.0,15
Burkina Faso,c020,15541.0,16
Chile,c020,13258.0,17
Philippines,c020,13015.0,18
Italy,c020,10687.0,19
Australia,c020,10222.0,20
Brazil,c021,209804.0,1
United States of America,c021,187433.0,2
Colombia,c021,128515.0,3
Paraguay,c021,20768.0,4
Argentina,c021,18543.0,5
Canada,c021,13251.0,6
Uruguay,c021,5641.0,7
Ukraine,c021,4269.0,8
Russian Federation,c021,2596.0,9
Croatia,c021,796.0,10
Serbia,c021,785.0,11
Romania,c021,296.0,12
Slovakia,c021,260.0,13
France,c021,241.0,14
India,c021,226.0,15
Ethiopia,c021,214.0,16
Austria,c021,194.0,17
Hungary,c021,164.0,18
"China, mainland",c021,156.0,19
Kazakhstan,c021,124.0,20
Colombia,c022,350.0,1
India,c022,320.0,2
Argentina,c022,297.0,3
United States of America,c022,246.0,4
"China, mainland",c022,206.0,5
Sudan,c022,146.0,6
Brazil,c022,116.0,7
Senegal,c022,114.0,8
Myanmar,c022,32.0,9
Nicaragua,c022,30.0,10
Malawi,c022,23.0,11
Viet Nam,c022,22.0,12
United Republic of Tanzania,c022,21.0,13
Benin,c022,12.0,14
Egypt,c022,12.0,15
Madagascar,c022,10.0,16
Uzbekistan,c022,5.0,17
Bolivia (Plurinational State of),c022,3.0,18
Lao People's Democratic Republic,c022,3.0,19
Mexico,c022,3.0,20
Romania,c023,305.0,1
Bulgaria,c023,128.0,2
"China, mainland",c023,105.0,3
Republic of Moldova,c023,84.0,4
France,c023,81.0,5
Hungary,c023,73.0,6
Kazakhstan,c023,51.0,7
Argentina,c023,46.0,8
Serbia,c023,31.0,9
Slovakia,c023,22.0,10
Turkey,c023,19.0,11
United States of America,c023,13.0,12
Croatia,c023,11.0,13
Canada,c023,8.0,14
Spain,c023,6.0,15
Greece,c023,4.0,16
Austria,c023,3.0,17
Lithuania,c023,2.0,18
Germany,c023,1.0,19
Mozambique,c023,1.0,20
Canada,c024,22423843.0,1
"China, mainland",c024,8862388.0,2
India,c024,8198610.0,3
Germany,c024,3651268.0,4
France,c024,3352801.0,5
Poland,c024,2858633.0,6
Russian Federation,c024,2603025.0,7
Australia,c024,2552004.0,8
Ukraine,c024,2447586.0,9
United States of America,c024,1669381.0,10
Czech Republic,c024,1241122.0,11
United Kingdom,c024,1160152.0,12
Lithuania,c024,961420.0,13
Hungary,c024,860039.0,14
Romania,c024,807390.0,15
Belarus,c024,747033.0,16
Denmark,c024,645504.0,17
Pakistan,c024,568434.0,18
Latvia,c024,474073.0,19
Slovakia,c024,431951.0,20
Colombia,c025,19034.0,1
Colombia,c026,27552.0,1
Indonesia,c026,720.0,2
Philippines,c026,331.0,3
Papua New Guinea,c026,77.0,4
Viet Nam,c026,74.0,5
Thailand,c026,73.0,6
Sri Lanka,c026,66.0,7
Dominican Republic,c026,22.0,8
Vanuatu,c026,21.0,9
Malaysia,c026,19.0,10
Ghana,c026,8.0,11
Mexico,c026,4.0,12
Costa Rica,c026,2.0,13
Guyana,c026,2.0,14
Côte d'Ivoire,c026,2.0,15
Nicaragua,c026,1.0,16
Venezuela (Bolivarian Republic of),c026,1.0,17
Sudan,c027,548439.0,1
United Republic of Tanzania,c027,474258.0,2
Myanmar,c027,362444.0,3
India,c027,353933.0,4
Nigeria,c027,281582.0,5
"China, mainland",c027,265195.0,6
Ethiopia,c027,166717.0,7
Central African Republic,c027,146000.0,8
Burkina Faso,c027,114979.0,9
Mozambique,c027,105488.0,10
Uganda,c027,92748.0,11
South Sudan,c027,82914.0,12
Chad,c027,72348.0,13
Mexico,c027,52800.0,14
Brazil,c027,50277.0,15
Pakistan,c027,38051.0,16
Bangladesh,c027,26078.0,17
Paraguay,c027,23221.0,18
Cameroon,c027,22507.0,19
Venezuela (Bolivarian Republic of),c027,22000.0,20
Colombia,c028,6166162.0,1
Spain,c029,7646702.0,1
Greece,c029,2107151.0,2
Italy,c029,2048434.0,3
Tunisia,c029,1968000.0,4
Morocco,c029,1393711.0,5
Turkey,c029,1286646.0,6
Algeria,c029,780459.0,7
Syrian Arab Republic,c029,664890.0,8
Portugal,c029,597363.0,9
Argentina,c029,251931.0,10
Egypt,c029,135208.0,11
Jordan,c029,132046.0,12
Chile,c029,114485.0,13
Albania,c029,100534.0,14
Lebanon,c029,90667.0,15
Libya,c029,89419.0,16
Israel,c029,75778.0,17
RoW,c029,72040.0,18
Iran (Islamic Republic of),c029,48000.0,19
Peru,c029,40037.0,20
India,c030,2592183.0,1
"China, mainland",c030,2413528.0,2
Kazakhstan,c030,1181143.0,3
Russian Federation,c030,882230.0,4
Pakistan,c030,636498.0,5
Canada,c030,610966.0,6
Nigeria,c030,604786.0,7
Ethiopia,c030,329438.0,8
Italy,c030,290482.0,9
Malaysia,c030,226542.0,10
United States of America,c030,223773.0,11
Indonesia,c030,197430.0,12
Mali,c030,176999.0,13
Burkina Faso,c030,146082.0,14
Mozambique,c030,104733.0,15
Thailand,c030,99735.0,16
Bolivia (Plurinational State of),c030,86714.0,17
Brazil,c030,85146.0,18
Sudan,c030,80594.0,19
Mexico,c030,79520.0,20
