Country,Commodity,Export_Value,Rank
India,c001,18432.0,1
Viet Nam,c001,7639.0,2
Thailand,c001,6870.0,3
Pakistan,c001,4944.0,4
United States of America,c001,3023.0,5
"China, mainland",c001,2988.0,6
Myanmar,c001,2362.0,7
Brazil,c001,1376.0,8
Uruguay,c001,1167.0,9
Paraguay,c001,996.0,10
Cambodia,c001,920.0,11
Italy,c001,793.0,12
Guyana,c001,741.0,13
United Republic of Tanzania,c001,442.0,14
Argentina,c001,416.0,15
Spain,c001,265.0,16
"China, Taiwan Province of",c001,259.0,17
Turkey,c001,180.0,18
Kazakhstan,c001,152.0,19
Russian Federation,c001,144.0,20
Czech Republic,c002,1562532.0,1
Russian Federation,c002,29095.0,2
Canada,c002,19912.0,3
United States of America,c002,18510.0,4
France,c002,15536.0,5
Ukraine,c002,13115.0,6
Argentina,c002,8499.0,7
Australia,c002,7719.0,8
Germany,c002,7642.0,9
Kazakhstan,c002,5165.0,10
Poland,c002,4095.0,11
Lithuania,c002,3149.0,12
Romania,c002,2623.0,13
Bulgaria,c002,2559.0,14
Hungary,c002,2471.0,15
Turkey,c002,2439.0,16
Latvia,c002,1881.0,17
Italy,c002,1662.0,18
India,c002,1161.0,19
United Kingdom,c002,1144.0,20
Czech Republic,c003,897883.0,1
France,c003,5962.0,2
Russian Federation,c003,3778.0,3
Australia,c003,3745.0,4
Ukraine,c003,3295.0,5
Canada,c003,2518.0,6
Germany,c003,2143.0,7
Argentina,c003,2060.0,8
United Kingdom,c003,1298.0,9
Kazakhstan,c003,712.0,10
Denmark,c003,670.0,11
Hungary,c003,617.0,12
Romania,c003,556.0,13
United States of America,c003,417.0,14
Sweden,c003,403.0,15
Uruguay,c003,376.0,16
Lithuania,c003,313.0,17
Slovakia,c003,267.0,18
Poland,c003,254.0,19
Belgium,c003,254.0,20
Czech Republic,c004,559885.0,1
United States of America,c004,40534.0,2
Argentina,c004,28426.0,3
Brazil,c004,26516.0,4
Ukraine,c004,16790.0,5
Romania,c004,3870.0,6
France,c004,3356.0,7
Hungary,c004,3123.0,8
Serbia,c004,2849.0,9
South Africa,c004,2602.0,10
Bulgaria,c004,1993.0,11
India,c004,1840.0,12
Russian Federation,c004,1789.0,13
Paraguay,c004,1632.0,14
Poland,c004,1137.0,15
Croatia,c004,896.0,16
Canada,c004,864.0,17
"China, mainland",c004,773.0,18
Myanmar,c004,717.0,19
Slovakia,c004,451.0,20
Czech Republic,c005,43798.0,1
Poland,c005,1424.0,2
Germany,c005,479.0,3
Latvia,c005,175.0,4
Canada,c005,167.0,5
Sweden,c005,59.0,6
Lithuania,c005,54.0,7
Estonia,c005,51.0,8
Slovakia,c005,28.0,9
Austria,c005,22.0,10
Denmark,c005,21.0,11
France,c005,21.0,12
Russian Federation,c005,12.0,13
Hungary,c005,10.0,14
Finland,c005,9.0,15
Spain,c005,8.0,16
Belarus,c005,7.0,17
Ukraine,c005,5.0,18
United States of America,c005,3.0,19
Italy,c005,1.0,20
Czech Republic,c006,108723.0,1
Canada,c006,11809.0,2
Finland,c006,2142.0,3
Australia,c006,1793.0,4
Chile,c006,1454.0,5
United Kingdom,c006,907.0,6
Sweden,c006,871.0,7
Poland,c006,730.0,8
Germany,c006,728.0,9
Latvia,c006,648.0,10
Russian Federation,c006,601.0,11
Lithuania,c006,450.0,12
Estonia,c006,332.0,13
France,c006,303.0,14
Spain,c006,264.0,15
Denmark,c006,219.0,16
United States of America,c006,159.0,17
Ukraine,c006,148.0,18
Bulgaria,c006,130.0,19
Ireland,c006,112.0,20
Czech Republic,c007,262.0,1
Ukraine,c007,196.0,2
United States of America,c007,169.0,3
India,c007,130.0,4
Russian Federation,c007,72.0,5
France,c007,39.0,6
Myanmar,c007,20.0,7
Pakistan,c007,20.0,8
Uzbekistan,c007,14.0,9
Burkina Faso,c007,10.0,10
Austria,c007,9.0,11
"China, mainland",c007,7.0,12
Poland,c007,7.0,13
Australia,c007,6.0,14
Argentina,c007,5.0,15
Kazakhstan,c007,5.0,16
Mali,c007,5.0,17
United Republic of Tanzania,c007,5.0,18
Turkey,c007,4.0,19
Nigeria,c007,3.0,20
United States of America,c008,5650230.0,1
Mexico,c008,4602643.0,2
Brazil,c008,2765373.0,3
Argentina,c008,1568238.0,4
"China, mainland",c008,1157842.0,5
Sudan,c008,958600.0,6
Bolivia (Plurinational State of),c008,916807.0,7
India,c008,885616.0,8
Nigeria,c008,718536.0,9
United Republic of Tanzania,c008,686113.0,10
Burkina Faso,c008,621026.0,11
Mali,c008,565306.0,12
Niger,c008,548230.0,13
Cameroon,c008,445189.0,14
France,c008,433698.0,15
Australia,c008,423036.0,16
Egypt,c008,400915.0,17
Ethiopia,c008,366054.0,18
Italy,c008,364603.0,19
Senegal,c008,178000.0,20
Czech Republic,c009,191027.0,1
Poland,c009,1575.0,2
Canada,c009,458.0,3
Germany,c009,351.0,4
Lithuania,c009,290.0,5
Thailand,c009,260.0,6
Russian Federation,c009,220.0,7
Turkey,c009,215.0,8
France,c009,210.0,9
Argentina,c009,161.0,10
Spain,c009,124.0,11
Belgium,c009,96.0,12
United States of America,c009,95.0,13
Denmark,c009,82.0,14
Peru,c009,71.0,15
Italy,c009,60.0,16
Austria,c009,59.0,17
Bolivia (Plurinational State of),c009,54.0,18
Bulgaria,c009,51.0,19
Kazakhstan,c009,48.0,20
Czech Republic,c010,180841.0,1
Netherlands,c010,10978.0,2
Germany,c010,10634.0,3
United States of America,c010,7789.0,4
Belgium,c010,7329.0,5
France,c010,6736.0,6
Canada,c010,5273.0,7
Poland,c010,2691.0,8
Egypt,c010,1570.0,9
"China, mainland",c010,1434.0,10
Argentina,c010,1177.0,11
India,c010,1087.0,12
Pakistan,c010,959.0,13
Belarus,c010,931.0,14
United Kingdom,c010,769.0,15
Denmark,c010,735.0,16
Spain,c010,569.0,17
South Africa,c010,515.0,18
Turkey,c010,508.0,19
Iran (Islamic Republic of),c010,361.0,20
Thailand,c011,22678995.0,1
Nigeria,c011,21039326.0,2
Ghana,c011,11579357.0,3
Brazil,c011,10573364.0,4
Viet Nam,c011,6840555.0,5
Malawi,c011,3715710.0,6
"China, mainland",c011,3520447.0,7
Democratic Republic of the Congo,c011,3335893.0,8
Cambodia,c011,3135737.0,9
Cameroon,c011,2740600.0,10
Côte d'Ivoire,c011,2245267.0,11
Paraguay,c011,2151278.0,12
Benin,c011,1889265.0,13
Angola,c011,1651695.0,14
Philippines,c011,1551750.0,15
Lao People's Democratic Republic,c011,1464794.0,16
United Republic of Tanzania,c011,1391993.0,17
Indonesia,c011,1041543.0,18
Mozambique,c011,1023788.0,19
Senegal,c011,815755.0,20
United States of America,c012,874.0,1
Egypt,c012,237.0,2
Viet Nam,c012,155.0,3
Spain,c012,150.0,4
Lao People's Democratic Republic,c012,147.0,5
"China, mainland",c012,76.0,6
Portugal,c012,55.0,7
Honduras,c012,46.0,8
Indonesia,c012,40.0,9
Brazil,c012,37.0,10
Peru,c012,37.0,11
Dominican Republic,c012,27.0,12
South Africa,c012,22.0,13
Mali,c012,19.0,14
Japan,c012,15.0,15
Mexico,c012,15.0,16
Israel,c012,9.0,17
Argentina,c012,2.0,18
Australia,c012,2.0,19
Costa Rica,c012,2.0,20
Lao People's Democratic Republic,c013,3577530.0,1
Nigeria,c013,961874.0,2
Cameroon,c013,915038.0,3
Ethiopia,c013,823441.0,4
Ghana,c013,403943.0,5
"China, mainland",c013,334663.0,6
Democratic Republic of the Congo,c013,217546.0,7
Madagascar,c013,113432.0,8
Namibia,c013,84362.0,9
Colombia,c013,72940.0,10
Peru,c013,67152.0,11
Cuba,c013,66876.0,12
Indonesia,c013,60145.0,13
Mexico,c013,58359.0,14
Papua New Guinea,c013,50001.0,15
Pakistan,c013,48395.0,16
Nicaragua,c013,47170.0,17
Guinea,c013,42963.0,18
Japan,c013,39204.0,19
Gabon,c013,38836.0,20
Nigeria,c014,25143059.0,1
Côte d'Ivoire,c014,2597759.0,2
Ghana,c014,2151594.0,3
Benin,c014,1395408.0,4
Togo,c014,216560.0,5
Chad,c014,157002.0,6
Cameroon,c014,139996.0,7
Brazil,c014,120704.0,8
Central African Republic,c014,81000.0,9
Gabon,c014,70738.0,10
