Country,Commodity,Export_Value,Rank
India,c001,976.0,1
Viet Nam,c001,404.0,2
Thailand,c001,363.0,3
Pakistan,c001,261.0,4
United States of America,c001,160.0,5
"China, mainland",c001,158.0,6
Myanmar,c001,125.0,7
Germany,c001,90.0,8
Brazil,c001,73.0,9
Uruguay,c001,62.0,10
Paraguay,c001,52.0,11
Cambodia,c001,50.0,12
Italy,c001,43.0,13
Guyana,c001,40.0,14
United Republic of Tanzania,c001,23.0,15
Argentina,c001,22.0,16
Spain,c001,15.0,17
"China, Taiwan Province of",c001,13.0,18
Turkey,c001,10.0,19
Kazakhstan,c001,8.0,20
Germany,c002,8839272.0,1
Russian Federation,c002,570625.0,2
Canada,c002,390553.0,3
United States of America,c002,362948.0,4
France,c002,304707.0,5
Ukraine,c002,257247.0,6
Argentina,c002,166722.0,7
Australia,c002,151395.0,8
Kazakhstan,c002,101321.0,9
Poland,c002,80325.0,10
Lithuania,c002,61774.0,11
Romania,c002,51472.0,12
Bulgaria,c002,50183.0,13
Hungary,c002,48430.0,14
Turkey,c002,47823.0,15
Czech Republic,c002,40058.0,16
Latvia,c002,36884.0,17
Italy,c002,32607.0,18
India,c002,22798.0,19
United Kingdom,c002,22402.0,20
Germany,c003,8291124.0,1
France,c003,259255.0,2
Russian Federation,c003,164277.0,3
Australia,c003,162929.0,4
Ukraine,c003,143251.0,5
Canada,c003,109586.0,6
Argentina,c003,89565.0,7
United Kingdom,c003,56478.0,8
Kazakhstan,c003,30970.0,9
Denmark,c003,29165.0,10
Hungary,c003,26859.0,11
Romania,c003,24192.0,12
Czech Republic,c003,18661.0,13
United States of America,c003,18144.0,14
Sweden,c003,17550.0,15
Uruguay,c003,16407.0,16
Lithuania,c003,13639.0,17
Slovakia,c003,11593.0,18
Poland,c003,11082.0,19
Belgium,c003,11067.0,20
Germany,c004,3364110.0,1
United States of America,c004,1070635.0,2
Argentina,c004,750851.0,3
Brazil,c004,700385.0,4
Ukraine,c004,443522.0,5
Romania,c004,102260.0,6
France,c004,88680.0,7
Hungary,c004,82518.0,8
Serbia,c004,75229.0,9
South Africa,c004,68733.0,10
Bulgaria,c004,52629.0,11
India,c004,48596.0,12
Russian Federation,c004,47244.0,13
Paraguay,c004,43095.0,14
Poland,c004,29985.0,15
Croatia,c004,23704.0,16
Canada,c004,22887.0,17
"China, mainland",c004,20413.0,18
Myanmar,c004,19006.0,19
Slovakia,c004,11940.0,20
Germany,c005,2680744.0,1
Poland,c005,442767.0,2
Latvia,c005,54727.0,3
Canada,c005,52073.0,4
Sweden,c005,18462.0,5
Lithuania,c005,16682.0,6
Estonia,c005,15944.0,7
Czech Republic,c005,10633.0,8
Slovakia,c005,9261.0,9
Austria,c005,6847.0,10
Denmark,c005,6734.0,11
France,c005,6707.0,12
Russian Federation,c005,4079.0,13
Hungary,c005,3115.0,14
Finland,c005,3033.0,15
Spain,c005,2730.0,16
Belarus,c005,2374.0,17
Ukraine,c005,1693.0,18
United States of America,c005,1001.0,19
Italy,c005,657.0,20
Germany,c006,254188.0,1
Canada,c006,108855.0,2
Finland,c006,19762.0,3
Australia,c006,16519.0,4
Chile,c006,13415.0,5
United Kingdom,c006,8354.0,6
Sweden,c006,8029.0,7
Poland,c006,6741.0,8
Latvia,c006,5966.0,9
Russian Federation,c006,5537.0,10
Lithuania,c006,4147.0,11
Estonia,c006,3068.0,12
France,c006,2792.0,13
Spain,c006,2436.0,14
Denmark,c006,2030.0,15
Czech Republic,c006,1734.0,16
United States of America,c006,1472.0,17
Ukraine,c006,1366.0,18
Bulgaria,c006,1197.0,19
Ireland,c006,1046.0,20
Ukraine,c007,3211.0,1
United States of America,c007,2742.0,2
India,c007,2104.0,3
Russian Federation,c007,1163.0,4
France,c007,606.0,5
Myanmar,c007,332.0,6
Pakistan,c007,331.0,7
Uzbekistan,c007,249.0,8
Burkina Faso,c007,167.0,9
Austria,c007,161.0,10
"China, mainland",c007,110.0,11
Poland,c007,106.0,12
Australia,c007,98.0,13
Argentina,c007,83.0,14
Mali,c007,83.0,15
United Republic of Tanzania,c007,83.0,16
Kazakhstan,c007,82.0,17
Turkey,c007,71.0,18
Nigeria,c007,56.0,19
Uganda,c007,56.0,20
United States of America,c008,4219.0,1
Argentina,c008,295.0,2
Australia,c008,117.0,3
France,c008,106.0,4
Kenya,c008,43.0,5
