Country,Commodity,Export_Value,Rank
India,c001,4939.0,1
Viet Nam,c001,2046.0,2
Thailand,c001,1841.0,3
Pakistan,c001,1324.0,4
United States of America,c001,810.0,5
"China, mainland",c001,801.0,6
Myanmar,c001,632.0,7
Brazil,c001,369.0,8
Uruguay,c001,311.0,9
Paraguay,c001,267.0,10
Cambodia,c001,246.0,11
Italy,c001,212.0,12
Guyana,c001,199.0,13
United Republic of Tanzania,c001,119.0,14
Argentina,c001,111.0,15
Spain,c001,72.0,16
"China, Taiwan Province of",c001,71.0,17
Turkey,c001,48.0,18
Kazakhstan,c001,41.0,19
Russian Federation,c001,39.0,20
Denmark,c002,3189518.0,1
Russian Federation,c002,85933.0,2
Canada,c002,58819.0,3
United States of America,c002,54675.0,4
France,c002,45895.0,5
Ukraine,c002,38739.0,6
Argentina,c002,25105.0,7
Australia,c002,22800.0,8
Germany,c002,22573.0,9
Kazakhstan,c002,15259.0,10
Poland,c002,12099.0,11
Lithuania,c002,9303.0,12
Romania,c002,7752.0,13
Bulgaria,c002,7558.0,14
Hungary,c002,7292.0,15
Turkey,c002,7209.0,16
Czech Republic,c002,6031.0,17
Latvia,c002,5553.0,18
Italy,c002,4913.0,19
India,c002,3433.0,20
Denmark,c003,3309015.0,1
France,c003,14084.0,2
Russian Federation,c003,8925.0,3
Australia,c003,8850.0,4
Ukraine,c003,7782.0,5
Canada,c003,5952.0,6
Germany,c003,5065.0,7
Argentina,c003,4865.0,8
United Kingdom,c003,3069.0,9
Kazakhstan,c003,1684.0,10
Hungary,c003,1460.0,11
Romania,c003,1314.0,12
Czech Republic,c003,1014.0,13
United States of America,c003,985.0,14
Sweden,c003,952.0,15
Uruguay,c003,891.0,16
Lithuania,c003,741.0,17
Slovakia,c003,631.0,18
Poland,c003,603.0,19
Belgium,c003,602.0,20
United States of America,c004,43737.0,1
Argentina,c004,30673.0,2
Brazil,c004,28610.0,3
Denmark,c004,25429.0,4
Ukraine,c004,18118.0,5
Romania,c004,4176.0,6
France,c004,3622.0,7
Hungary,c004,3372.0,8
Serbia,c004,3073.0,9
South Africa,c004,2807.0,10
Bulgaria,c004,2149.0,11
India,c004,1986.0,12
Russian Federation,c004,1930.0,13
Paraguay,c004,1761.0,14
Poland,c004,1226.0,15
Croatia,c004,968.0,16
Canada,c004,935.0,17
"China, mainland",c004,834.0,18
Myanmar,c004,775.0,19
Slovakia,c004,487.0,20
Denmark,c005,660870.0,1
Poland,c005,4785.0,2
Germany,c005,1611.0,3
Latvia,c005,592.0,4
Canada,c005,562.0,5
Sweden,c005,199.0,6
Lithuania,c005,181.0,7
Estonia,c005,172.0,8
Czech Republic,c005,116.0,9
Slovakia,c005,100.0,10
Austria,c005,73.0,11
France,c005,72.0,12
Russian Federation,c005,43.0,13
Finland,c005,34.0,14
Hungary,c005,34.0,15
Spain,c005,29.0,16
Belarus,c005,24.0,17
Ukraine,c005,18.0,18
United States of America,c005,10.0,19
Italy,c005,6.0,20
Denmark,c006,326457.0,1
Canada,c006,22179.0,2
Finland,c006,4027.0,3
Australia,c006,3367.0,4
Chile,c006,2734.0,5
United Kingdom,c006,1702.0,6
Sweden,c006,1636.0,7
Poland,c006,1373.0,8
Germany,c006,1370.0,9
Latvia,c006,1215.0,10
Russian Federation,c006,1127.0,11
Lithuania,c006,845.0,12
Estonia,c006,625.0,13
France,c006,568.0,14
Spain,c006,496.0,15
Czech Republic,c006,352.0,16
United States of America,c006,302.0,17
Ukraine,c006,279.0,18
Bulgaria,c006,245.0,19
Ireland,c006,212.0,20
India,c007,2081585.0,1
"China, mainland",c007,1437741.0,2
Niger,c007,1051135.0,3
Senegal,c007,552999.0,4
Mali,c007,494798.0,5
United Republic of Tanzania,c007,300731.0,6
Sudan,c007,293821.0,7
Nigeria,c007,280651.0,8
Russian Federation,c007,235905.0,9
Ukraine,c007,228251.0,10
Guinea,c007,205705.0,11
