Country,Commodity,Export_Value,Rank
Dominican Republic,c001,193980.0,1
India,c001,3846.0,2
Viet Nam,c001,1593.0,3
Thailand,c001,1434.0,4
Pakistan,c001,1032.0,5
United States of America,c001,630.0,6
"China, mainland",c001,624.0,7
Myanmar,c001,494.0,8
Brazil,c001,288.0,9
Uruguay,c001,244.0,10
Paraguay,c001,208.0,11
Cambodia,c001,192.0,12
Italy,c001,166.0,13
Guyana,c001,154.0,14
United Republic of Tanzania,c001,93.0,15
Argentina,c001,87.0,16
Spain,c001,56.0,17
"China, Taiwan Province of",c001,54.0,18
Turkey,c001,37.0,19
Kazakhstan,c001,31.0,20
Russian Federation,c002,1964.0,1
Canada,c002,1344.0,2
United States of America,c002,1249.0,3
France,c002,1049.0,4
Ukraine,c002,886.0,5
Argentina,c002,575.0,6
Australia,c002,521.0,7
Germany,c002,516.0,8
Kazakhstan,c002,349.0,9
Poland,c002,276.0,10
Lithuania,c002,212.0,11
Romania,c002,177.0,12
Bulgaria,c002,172.0,13
Hungary,c002,166.0,14
Turkey,c002,164.0,15
Czech Republic,c002,138.0,16
Latvia,c002,127.0,17
Italy,c002,112.0,18
India,c002,77.0,19
United Kingdom,c002,76.0,20
France,c003,19832.0,1
Russian Federation,c003,12567.0,2
Australia,c003,12463.0,3
Ukraine,c003,10958.0,4
Canada,c003,8383.0,5
Germany,c003,7131.0,6
Argentina,c003,6851.0,7
United Kingdom,c003,4320.0,8
Kazakhstan,c003,2369.0,9
Denmark,c003,2231.0,10
Hungary,c003,2055.0,11
Romania,c003,1851.0,12
Czech Republic,c003,1427.0,13
United States of America,c003,1388.0,14
Sweden,c003,1342.0,15
Uruguay,c003,1255.0,16
Lithuania,c003,1043.0,17
Slovakia,c003,887.0,18
Poland,c003,848.0,19
Belgium,c003,847.0,20
United States of America,c004,284534.0,1
Argentina,c004,199546.0,2
Brazil,c004,186136.0,3
Dominican Republic,c004,126500.0,4
Ukraine,c004,117871.0,5
Romania,c004,27177.0,6
France,c004,23567.0,7
Hungary,c004,21931.0,8
Serbia,c004,19995.0,9
South Africa,c004,18266.0,10
Bulgaria,c004,13986.0,11
India,c004,12916.0,12
Russian Federation,c004,12555.0,13
Paraguay,c004,11453.0,14
Poland,c004,7969.0,15
Croatia,c004,6299.0,16
Canada,c004,6082.0,17
"China, mainland",c004,5424.0,18
Myanmar,c004,5050.0,19
Slovakia,c004,3173.0,20
Germany,c005,2828047.0,1
Poland,c005,1639520.0,2
Russian Federation,c005,1197160.0,3
Belarus,c005,887290.0,4
Denmark,c005,674173.0,5
"China, mainland",c005,421000.0,6
Spain,c005,353710.0,7
Canada,c005,286023.0,8
Argentina,c005,220999.0,9
Ukraine,c005,168958.0,10
United States of America,c005,156225.0,11
Latvia,c005,127881.0,12
Austria,c005,120007.0,13
France,c005,101516.0,14
Turkey,c005,95960.0,15
Hungary,c005,68247.0,16
Czech Republic,c005,64890.0,17
Lithuania,c005,64831.0,18
Sweden,c005,47123.0,19
Estonia,c005,44666.0,20
Russian Federation,c006,3863945.0,1
