Country,Commodity,Export_Value,Rank
"China, mainland",c001,22525935.0,1
India,c001,16788167.0,2
Viet Nam,c001,11823932.0,3
Thailand,c001,8994767.0,4
Myanmar,c001,6393799.0,5
Bangladesh,c001,5836836.0,6
Indonesia,c001,5017883.0,7
Brazil,c001,3016862.0,8
Lao People's Democratic Republic,c001,1742744.0,9
Nepal,c001,1574150.0,10
Pakistan,c001,1553449.0,11
United States of America,c001,1549170.0,12
Cambodia,c001,1524470.0,13
Nigeria,c001,1217690.0,14
Guinea,c001,1181515.0,15
Peru,c001,1147881.0,16
Japan,c001,1027972.0,17
Republic of Korea,c001,987921.0,18
Philippines,c001,958924.0,19
Madagascar,c001,954791.0,20
Algeria,c002,600469.0,1
Russian Federation,c002,172665.0,2
Canada,c002,118187.0,3
United States of America,c002,109862.0,4
France,c002,92211.0,5
Ukraine,c002,77838.0,6
Argentina,c002,50447.0,7
Australia,c002,45812.0,8
Germany,c002,45359.0,9
Kazakhstan,c002,30658.0,10
Poland,c002,24307.0,11
Lithuania,c002,18693.0,12
Romania,c002,15577.0,13
Bulgaria,c002,15183.0,14
Hungary,c002,14655.0,15
Turkey,c002,14485.0,16
Czech Republic,c002,12122.0,17
Latvia,c002,11159.0,18
Italy,c002,9869.0,19
India,c002,6899.0,20
Algeria,c003,851744.0,1
France,c003,114913.0,2
Russian Federation,c003,72818.0,3
Australia,c003,72217.0,4
Ukraine,c003,63492.0,5
Canada,c003,48576.0,6
Germany,c003,41320.0,7
Argentina,c003,39697.0,8
United Kingdom,c003,25034.0,9
Kazakhstan,c003,13728.0,10
Denmark,c003,12927.0,11
Hungary,c003,11905.0,12
Romania,c003,10725.0,13
Czech Republic,c003,8271.0,14
United States of America,c003,8045.0,15
Sweden,c003,7778.0,16
Uruguay,c003,7272.0,17
Lithuania,c003,6045.0,18
Slovakia,c003,5141.0,19
Poland,c003,4912.0,20
United States of America,c004,1189843.0,1
Argentina,c004,834444.0,2
Brazil,c004,778370.0,3
Ukraine,c004,492902.0,4
Romania,c004,113647.0,5
France,c004,98555.0,6
Hungary,c004,91705.0,7
Serbia,c004,83606.0,8
South Africa,c004,76387.0,9
Bulgaria,c004,58488.0,10
India,c004,54006.0,11
Russian Federation,c004,52502.0,12
Paraguay,c004,47895.0,13
Poland,c004,33324.0,14
