Country,Commodity,Export_Value,Rank
Spain,c001,141227.0,1
India,c001,20030.0,2
Viet Nam,c001,8303.0,3
Thailand,c001,7466.0,4
Pakistan,c001,5373.0,5
United States of America,c001,3286.0,6
"China, mainland",c001,3246.0,7
Myanmar,c001,2566.0,8
Brazil,c001,1497.0,9
Uruguay,c001,1267.0,10
Paraguay,c001,1084.0,11
Cambodia,c001,1002.0,12
Italy,c001,861.0,13
Guyana,c001,805.0,14
United Republic of Tanzania,c001,480.0,15
Argentina,c001,450.0,16
"China, Taiwan Province of",c001,282.0,17
Turkey,c001,195.0,18
Kazakhstan,c001,166.0,19
Russian Federation,c001,157.0,20
Spain,c002,4542409.0,1
Russian Federation,c002,442479.0,2
Canada,c002,302871.0,3
United States of America,c002,281524.0,4
France,c002,236303.0,5
Ukraine,c002,199471.0,6
Argentina,c002,129277.0,7
Australia,c002,117397.0,8
Germany,c002,116228.0,9
Kazakhstan,c002,78568.0,10
Poland,c002,62291.0,11
Lithuania,c002,47899.0,12
Romania,c002,39913.0,13
Bulgaria,c002,38912.0,14
Hungary,c002,37554.0,15
Turkey,c002,37116.0,16
Czech Republic,c002,31061.0,17
Latvia,c002,28599.0,18
Italy,c002,25291.0,19
India,c002,17678.0,20
Spain,c003,10633757.0,1
France,c003,90773.0,2
Russian Federation,c003,57520.0,3
Australia,c003,57045.0,4
Ukraine,c003,50154.0,5
Canada,c003,38371.0,6
Germany,c003,32639.0,7
Argentina,c003,31358.0,8
United Kingdom,c003,19774.0,9
Kazakhstan,c003,10845.0,10
Denmark,c003,10212.0,11
Hungary,c003,9404.0,12
Romania,c003,8472.0,13
Czech Republic,c003,6533.0,14
United States of America,c003,6354.0,15
Sweden,c003,6145.0,16
Uruguay,c003,5744.0,17
Lithuania,c003,4774.0,18
Slovakia,c003,4061.0,19
Poland,c003,3881.0,20
Spain,c004,4225266.0,1
United States of America,c004,2151056.0,2
Argentina,c004,1508556.0,3
Brazil,c004,1407172.0,4
Ukraine,c004,891093.0,5
Romania,c004,205458.0,6
France,c004,178169.0,7
Hungary,c004,165789.0,8
Serbia,c004,151150.0,9
South Africa,c004,138094.0,10
Bulgaria,c004,105735.0,11
India,c004,97636.0,12
Russian Federation,c004,94918.0,13
Paraguay,c004,86586.0,14
Poland,c004,60245.0,15
Croatia,c004,47625.0,16
Canada,c004,45980.0,17
"China, mainland",c004,41013.0,18
Myanmar,c004,38188.0,19
Slovakia,c004,23989.0,20
Spain,c005,349351.0,1
Poland,c005,172776.0,2
Germany,c005,58250.0,3
Latvia,c005,21367.0,4
Canada,c005,20319.0,5
Sweden,c005,7204.0,6
Lithuania,c005,6511.0,7
Estonia,c005,6223.0,8
Czech Republic,c005,4151.0,9
Slovakia,c005,3613.0,10
Austria,c005,2673.0,11
Denmark,c005,2628.0,12
France,c005,2618.0,13
Russian Federation,c005,1593.0,14
Hungary,c005,1215.0,15
Finland,c005,1183.0,16
