Country,Commodity,Export_Value,Rank
India,c001,54498.0,1
Viet Nam,c001,22585.0,2
Thailand,c001,20310.0,3
Pakistan,c001,14617.0,4
France,c001,14248.0,5
United States of America,c001,8942.0,6
"China, mainland",c001,8833.0,7
Myanmar,c001,6983.0,8
Brazil,c001,4072.0,9
Uruguay,c001,3446.0,10
Paraguay,c001,2945.0,11
Cambodia,c001,2723.0,12
Italy,c001,2346.0,13
Guyana,c001,2192.0,14
United Republic of Tanzania,c001,1307.0,15
Argentina,c001,1225.0,16
Spain,c001,783.0,17
"China, Taiwan Province of",c001,767.0,18
Turkey,c001,532.0,19
Kazakhstan,c001,452.0,20
France,c002,10199802.0,1
Russian Federation,c002,154977.0,2
Canada,c002,106067.0,3
United States of America,c002,98552.0,4
Ukraine,c002,69865.0,5
Argentina,c002,45280.0,6
Australia,c002,41116.0,7
Germany,c002,40687.0,8
Kazakhstan,c002,27516.0,9
Poland,c002,21816.0,10
Lithuania,c002,16779.0,11
Romania,c002,13979.0,12
Bulgaria,c002,13629.0,13
Hungary,c002,13152.0,14
Turkey,c002,12980.0,15
Czech Republic,c002,10880.0,16
Latvia,c002,10018.0,17
Italy,c002,8854.0,18
India,c002,6192.0,19
United Kingdom,c002,6082.0,20
France,c003,2960805.0,1
Russian Federation,c003,4793.0,2
Australia,c003,4752.0,3
Ukraine,c003,4178.0,4
Canada,c003,3197.0,5
Germany,c003,2716.0,6
Argentina,c003,2614.0,7
United Kingdom,c003,1645.0,8
Kazakhstan,c003,902.0,9
Denmark,c003,850.0,10
Hungary,c003,782.0,11
Romania,c003,704.0,12
Czech Republic,c003,545.0,13
United States of America,c003,530.0,14
Sweden,c003,511.0,15
Uruguay,c003,478.0,16
Lithuania,c003,397.0,17
Slovakia,c003,337.0,18
Poland,c003,322.0,19
Belgium,c003,322.0,20
France,c004,7192762.0,1
United States of America,c004,154236.0,2
Argentina,c004,108173.0,3
Brazil,c004,100897.0,4
Ukraine,c004,63897.0,5
Romania,c004,14733.0,6
Hungary,c004,11887.0,7
Serbia,c004,10836.0,8
South Africa,c004,9903.0,9
Bulgaria,c004,7582.0,10
India,c004,7002.0,11
Russian Federation,c004,6806.0,12
Paraguay,c004,6208.0,13
Poland,c004,4319.0,14
Croatia,c004,3415.0,15
Canada,c004,3297.0,16
"China, mainland",c004,2942.0,17
Myanmar,c004,2738.0,18
Slovakia,c004,1719.0,19
Turkey,c004,1555.0,20
France,c005,88282.0,1
Poland,c005,5888.0,2
Germany,c005,1985.0,3
