Country,Commodity,Export_Value,Rank
India,c001,208074.0,1
Viet Nam,c001,86234.0,2
Thailand,c001,77540.0,3
Pakistan,c001,55803.0,4
United States of America,c001,34142.0,5
"China, mainland",c001,33727.0,6
Myanmar,c001,26664.0,7
Brazil,c001,15545.0,8
Uruguay,c001,13159.0,9
Paraguay,c001,11242.0,10
Cambodia,c001,10394.0,11
Italy,c001,8956.0,12
Guyana,c001,8374.0,13
United Republic of Tanzania,c001,4996.0,14
Argentina,c001,4682.0,15
Spain,c001,2999.0,16
"China, Taiwan Province of",c001,2928.0,17
Turkey,c001,2035.0,18
Kazakhstan,c001,1722.0,19
Russian Federation,c001,1633.0,20
United Kingdom,c002,6354966.0,1
Russian Federation,c002,502267.0,2
Canada,c002,343793.0,3
United States of America,c002,319564.0,4
France,c002,268232.0,5
Ukraine,c002,226425.0,6
Argentina,c002,146747.0,7
Australia,c002,133263.0,8
Germany,c002,131932.0,9
Kazakhstan,c002,89185.0,10
Poland,c002,70707.0,11
Lithuania,c002,54373.0,12
Romania,c002,45309.0,13
Bulgaria,c002,44170.0,14
Hungary,c002,42630.0,15
Turkey,c002,42130.0,16
Czech Republic,c002,35261.0,17
Latvia,c002,32464.0,18
Italy,c002,28708.0,19
India,c002,20065.0,20
United Kingdom,c003,6145707.0,1
France,c003,27207.0,2
Russian Federation,c003,17240.0,3
Australia,c003,17099.0,4
Ukraine,c003,15033.0,5
Canada,c003,11500.0,6
Germany,c003,9779.0,7
Argentina,c003,9400.0,8
Kazakhstan,c003,3251.0,9
Denmark,c003,3060.0,10
Hungary,c003,2817.0,11
Romania,c003,2540.0,12
Czech Republic,c003,1958.0,13
United States of America,c003,1903.0,14
Sweden,c003,1841.0,15
Uruguay,c003,1721.0,16
Lithuania,c003,1430.0,17
Slovakia,c003,1217.0,18
Poland,c003,1163.0,19
Belgium,c003,1160.0,20
United States of America,c004,651795.0,1
Argentina,c004,457108.0,2
Brazil,c004,426390.0,3
Ukraine,c004,270010.0,4
Romania,c004,62256.0,5
France,c004,53988.0,6
Hungary,c004,50236.0,7
