Country,Commodity,Export_Value,Rank
Greece,c001,34400.0,1
India,c001,1813.0,2
Viet Nam,c001,752.0,3
Thailand,c001,676.0,4
Pakistan,c001,486.0,5
United States of America,c001,298.0,6
"China, mainland",c001,293.0,7
Myanmar,c001,233.0,8
Brazil,c001,133.0,9
Uruguay,c001,115.0,10
Paraguay,c001,96.0,11
Cambodia,c001,89.0,12
Italy,c001,78.0,13
Guyana,c001,71.0,14
United Republic of Tanzania,c001,42.0,15
Argentina,c001,40.0,16
Spain,c001,26.0,17
"China, Taiwan Province of",c001,26.0,18
Turkey,c001,17.0,19
Kazakhstan,c001,15.0,20
Greece,c002,376153.0,1
Russian Federation,c002,64083.0,2
Canada,c002,43862.0,3
United States of America,c002,40773.0,4
France,c002,34221.0,5
Ukraine,c002,28889.0,6
Argentina,c002,18723.0,7
Australia,c002,17005.0,8
Germany,c002,16834.0,9
Kazakhstan,c002,11382.0,10
Poland,c002,9022.0,11
Lithuania,c002,6936.0,12
Romania,c002,5780.0,13
Bulgaria,c002,5633.0,14
Hungary,c002,5439.0,15
Turkey,c002,5376.0,16
Czech Republic,c002,4497.0,17
Latvia,c002,4141.0,18
Italy,c002,3664.0,19
India,c002,2560.0,20
Greece,c003,369756.0,1
France,c003,14154.0,2
Russian Federation,c003,8969.0,3
Australia,c003,8894.0,4
Ukraine,c003,7819.0,5
Canada,c003,5982.0,6
Germany,c003,5089.0,7
Argentina,c003,4890.0,8
United Kingdom,c003,3084.0,9
Kazakhstan,c003,1691.0,10
Denmark,c003,1591.0,11
Hungary,c003,1467.0,12
Romania,c003,1321.0,13
Czech Republic,c003,1018.0,14
United States of America,c003,990.0,15
Sweden,c003,958.0,16
Uruguay,c003,895.0,17
Lithuania,c003,745.0,18
Slovakia,c003,634.0,19
Poland,c003,607.0,20
Greece,c004,1139930.0,1
United States of America,c004,202896.0,2
Argentina,c004,142291.0,3
Brazil,c004,132729.0,4
Ukraine,c004,84050.0,5
Romania,c004,19377.0,6
France,c004,16807.0,7
Hungary,c004,15639.0,8
Serbia,c004,14258.0,9
South Africa,c004,13027.0,10
Bulgaria,c004,9975.0,11
India,c004,9209.0,12
Russian Federation,c004,8953.0,13
Paraguay,c004,8167.0,14
Poland,c004,5683.0,15
Croatia,c004,4492.0,16
Canada,c004,4337.0,17
"China, mainland",c004,3869.0,18
Myanmar,c004,3604.0,19
Slovakia,c004,2262.0,20
Greece,c005,16029.0,1
Poland,c005,487.0,2
Germany,c005,164.0,3
Latvia,c005,59.0,4
Canada,c005,56.0,5
Sweden,c005,20.0,6
Estonia,c005,18.0,7
Lithuania,c005,18.0,8
Czech Republic,c005,12.0,9
Slovakia,c005,11.0,10
Austria,c005,7.0,11
Denmark,c005,6.0,12
France,c005,6.0,13
Russian Federation,c005,4.0,14
Belarus,c005,3.0,15
Finland,c005,3.0,16
Hungary,c005,3.0,17
Spain,c005,3.0,18
Ukraine,c005,1.0,19
Greece,c006,69259.0,1
Canada,c006,8366.0,2
Finland,c006,1520.0,3
Australia,c006,1269.0,4
Chile,c006,1031.0,5
United Kingdom,c006,642.0,6
Sweden,c006,618.0,7
Poland,c006,520.0,8
Germany,c006,518.0,9
Latvia,c006,457.0,10
Russian Federation,c006,426.0,11
Lithuania,c006,318.0,12
Estonia,c006,237.0,13
France,c006,213.0,14
Spain,c006,187.0,15
Denmark,c006,155.0,16
Czech Republic,c006,135.0,17
United States of America,c006,116.0,18
Ukraine,c006,105.0,19
Bulgaria,c006,92.0,20
Ukraine,c007,235.0,1
United States of America,c007,201.0,2
India,c007,154.0,3
Greece,c007,110.0,4
Russian Federation,c007,87.0,5
France,c007,44.0,6
Myanmar,c007,24.0,7
Pakistan,c007,24.0,8
Uzbekistan,c007,18.0,9
Austria,c007,12.0,10
Burkina Faso,c007,12.0,11
Australia,c007,7.0,12
"China, mainland",c007,7.0,13
Poland,c007,7.0,14
Argentina,c007,6.0,15
Kazakhstan,c007,6.0,16
Mali,c007,6.0,17
United Republic of Tanzania,c007,6.0,18
Nigeria,c007,4.0,19
Turkey,c007,4.0,20
Greece,c008,6962.0,1
Greece,c009,64113.0,1
Poland,c009,14955.0,2
Canada,c009,4346.0,3
Germany,c009,3328.0,4
Lithuania,c009,2753.0,5
Thailand,c009,2475.0,6
Russian Federation,c009,2095.0,7
Turkey,c009,2039.0,8
France,c009,1977.0,9
Argentina,c009,1543.0,10
Spain,c009,1184.0,11
Czech Republic,c009,1159.0,12
Belgium,c009,917.0,13
United States of America,c009,910.0,14
Denmark,c009,776.0,15
Peru,c009,670.0,16
Italy,c009,566.0,17
Austria,c009,564.0,18
Bolivia (Plurinational State of),c009,504.0,19
Bulgaria,c009,485.0,20
Greece,c010,92055.0,1
Netherlands,c010,8800.0,2
Germany,c010,8525.0,3
United States of America,c010,6244.0,4
Belgium,c010,5875.0,5
France,c010,5399.0,6
Canada,c010,4226.0,7
Poland,c010,2159.0,8
Egypt,c010,1258.0,9
"China, mainland",c010,1150.0,10
Argentina,c010,943.0,11
India,c010,870.0,12
Pakistan,c010,768.0,13
Belarus,c010,746.0,14
United Kingdom,c010,615.0,15
Denmark,c010,590.0,16
Spain,c010,456.0,17
South Africa,c010,412.0,18
Turkey,c010,410.0,19
Iran (Islamic Republic of),c010,289.0,20
Thailand,c011,603.0,1
Viet Nam,c011,288.0,2
Lao People's Democratic Republic,c011,59.0,3
Indonesia,c011,14.0,4
Cambodia,c011,9.0,5
Brazil,c011,4.0,6
Paraguay,c011,4.0,7
Costa Rica,c011,3.0,8
United Republic of Tanzania,c011,1.0,9
"China, mainland",c012,22586277.0,1
Malawi,c012,6132732.0,2
Nigeria,c012,1067609.0,3
Viet Nam,c012,877188.0,4
United Republic of Tanzania,c012,666727.0,5
Madagascar,c012,558992.0,6
Brazil,c012,517879.0,7
Angola,c012,504690.0,8
Japan,c012,325318.0,9
Rwanda,c012,308768.0,10
United States of America,c012,302613.0,11
Mali,c012,213712.0,12
Egypt,c012,155700.0,13
"China, Taiwan Province of",c012,151412.0,14
Ethiopia,c012,148589.0,15
India,c012,115685.0,16
Democratic Republic of the Congo,c012,111999.0,17
Indonesia,c012,97442.0,18
Papua New Guinea,c012,96993.0,19
Uganda,c012,84819.0,20
Lao People's Democratic Republic,c013,3577530.0,1
Nigeria,c013,961874.0,2
Cameroon,c013,915038.0,3
Ethiopia,c013,823441.0,4
Ghana,c013,403943.0,5
"China, mainland",c013,334663.0,6
Democratic Republic of the Congo,c013,217546.0,7
Madagascar,c013,113432.0,8
Namibia,c013,84362.0,9
Colombia,c013,72940.0,10
Peru,c013,67152.0,11
Cuba,c013,66876.0,12
Indonesia,c013,60145.0,13
Mexico,c013,58359.0,14
Papua New Guinea,c013,50001.0,15
Pakistan,c013,48395.0,16
Nicaragua,c013,47170.0,17
Guinea,c013,42963.0,18
Japan,c013,39204.0,19
Gabon,c013,38836.0,20
Nigeria,c014,25143059.0,1
Côte d'Ivoire,c014,2597759.0,2
Ghana,c014,2151594.0,3
Benin,c014,1395408.0,4
Togo,c014,216560.0,5
Chad,c014,157002.0,6
Cameroon,c014,139996.0,7
Brazil,c014,120704.0,8
Central African Republic,c014,81000.0,9
Gabon,c014,70738.0,10
Guinea,c014,62950.0,11
Colombia,c014,44500.0,12
Papua New Guinea,c014,28000.0,13
Jamaica,c014,26804.0,14
Haiti,c014,24620.0,15
Japan,c014,21788.0,16
Democratic Republic of the Congo,c014,19873.0,17
Burkina Faso,c014,15999.0,18
Mali,c014,13152.0,19
Rwanda,c014,13001.0,20
Brazil,c015,738261328.0,1
India,c015,350428918.0,2
"China, mainland",c015,108182821.0,3
Pakistan,c015,79820778.0,4
Thailand,c015,71579466.0,5
Mexico,c015,50672847.0,6
United States of America,c015,32756709.0,7
Indonesia,c015,29299999.0,8
Australia,c015,28722750.0,9
Guatemala,c015,27661587.0,10
Colombia,c015,25742000.0,11
Philippines,c015,24384000.0,12
South Africa,c015,18220000.0,13
Argentina,c015,17500000.0,14
Cuba,c015,13189803.0,15
Egypt,c015,12405000.0,16
Myanmar,c015,11548011.0,17
Viet Nam,c015,11088286.0,18
Peru,c015,10469000.0,19
Bolivia (Plurinational State of),c015,8376707.0,20
Greece,c016,81911.0,1
Myanmar,c017,1583450.0,1
India,c017,883259.0,2
"China, mainland",c017,571819.0,3
Brazil,c017,280293.0,4
Belarus,c017,236939.0,5
United Republic of Tanzania,c017,196279.0,6
Mozambique,c017,186464.0,7
Kenya,c017,145808.0,8
Togo,c017,136037.0,9
Angola,c017,119039.0,10
Burundi,c017,118777.0,11
Argentina,c017,116582.0,12
Mexico,c017,114832.0,13
Malawi,c017,106391.0,14
Mali,c017,97000.0,15
Kazakhstan,c017,94426.0,16
United States of America,c017,91399.0,17
Cameroon,c017,77177.0,18
Uganda,c017,67809.0,19
Canada,c017,66521.0,20
Greece,c018,13306.0,1
Canada,c018,398.0,2
Russian Federation,c018,74.0,3
United States of America,c018,49.0,4
Ukraine,c018,40.0,5
France,c018,23.0,6
Lithuania,c018,14.0,7
Estonia,c018,7.0,8
Argentina,c018,6.0,9
Kazakhstan,c018,6.0,10
Australia,c018,5.0,11
Germany,c018,2.0,12
Latvia,c018,2.0,13
Malawi,c018,2.0,14
Czech Republic,c018,2.0,15
Sweden,c018,2.0,16
Hungary,c018,1.0,17
New Zealand,c018,1.0,18
United Kingdom,c018,1.0,19
Greece,c019,144043.0,1
Canada,c019,7450.0,2
Australia,c019,3287.0,3
United States of America,c019,1220.0,4
Turkey,c019,911.0,5
India,c019,882.0,6
Russian Federation,c019,798.0,7
United Republic of Tanzania,c019,755.0,8
Lithuania,c019,332.0,9
Argentina,c019,310.0,10
Latvia,c019,208.0,11
Mexico,c019,205.0,12
Ethiopia,c019,153.0,13
Germany,c019,152.0,14
France,c019,145.0,15
United Kingdom,c019,139.0,16
"China, mainland",c019,114.0,17
Kazakhstan,c019,111.0,18
Kenya,c019,105.0,19
Poland,c019,82.0,20
Greece,c020,4530.0,1
United States of America,c020,312.0,2
Côte d'Ivoire,c020,189.0,3
Turkey,c020,121.0,4
Viet Nam,c020,94.0,5
United Republic of Tanzania,c020,81.0,6
"China, mainland",c020,68.0,7
Spain,c020,66.0,8
India,c020,44.0,9
Chile,c020,43.0,10
Indonesia,c020,39.0,11
Australia,c020,36.0,12
Mexico,c020,33.0,13
Iran (Islamic Republic of),c020,31.0,14
Nigeria,c020,28.0,15
Guinea-Bissau,c020,25.0,16
Ghana,c020,24.0,17
Benin,c020,22.0,18
Italy,c020,19.0,19
Mozambique,c020,19.0,20
Brazil,c021,123630.0,1
United States of America,c021,110447.0,2
Greece,c021,22072.0,3
Paraguay,c021,12238.0,4
Argentina,c021,10926.0,5
Canada,c021,7808.0,6
Uruguay,c021,3325.0,7
Ukraine,c021,2515.0,8
Russian Federation,c021,1527.0,9
Croatia,c021,470.0,10
Serbia,c021,462.0,11
Romania,c021,175.0,12
Slovakia,c021,153.0,13
France,c021,142.0,14
India,c021,133.0,15
Ethiopia,c021,125.0,16
Austria,c021,114.0,17
Hungary,c021,97.0,18
"China, mainland",c021,92.0,19
Kazakhstan,c021,72.0,20
Greece,c022,2208.0,1
