Country,Commodity,Export_Value,Rank
India,c001,2537.0,1
Viet Nam,c001,1050.0,2
Guatemala,c001,987.0,3
Thailand,c001,944.0,4
Pakistan,c001,679.0,5
United States of America,c001,417.0,6
"China, mainland",c001,411.0,7
Myanmar,c001,325.0,8
Brazil,c001,189.0,9
Uruguay,c001,160.0,10
Paraguay,c001,137.0,11
Cambodia,c001,128.0,12
Italy,c001,109.0,13
Guyana,c001,103.0,14
United Republic of Tanzania,c001,61.0,15
Argentina,c001,58.0,16
Spain,c001,36.0,17
"China, Taiwan Province of",c001,36.0,18
Turkey,c001,25.0,19
Kazakhstan,c001,20.0,20
Russian Federation,c002,11149.0,1
Canada,c002,7633.0,2
United States of America,c002,7094.0,3
France,c002,5954.0,4
Ukraine,c002,5027.0,5
Argentina,c002,3257.0,6
Australia,c002,2958.0,7
Germany,c002,2928.0,8
Kazakhstan,c002,1981.0,9
Poland,c002,1571.0,10
Lithuania,c002,1207.0,11
Romania,c002,1006.0,12
Bulgaria,c002,981.0,13
Hungary,c002,945.0,14
Turkey,c002,935.0,15
Czech Republic,c002,782.0,16
Latvia,c002,721.0,17
Italy,c002,638.0,18
India,c002,446.0,19
United Kingdom,c002,437.0,20
France,c003,382.0,1
Russian Federation,c003,242.0,2
Australia,c003,240.0,3
Ukraine,c003,212.0,4
Canada,c003,161.0,5
Germany,c003,137.0,6
Argentina,c003,132.0,7
United Kingdom,c003,83.0,8
Kazakhstan,c003,46.0,9
Denmark,c003,43.0,10
Hungary,c003,40.0,11
Romania,c003,36.0,12
Czech Republic,c003,27.0,13
United States of America,c003,26.0,14
Sweden,c003,25.0,15
Uruguay,c003,24.0,16
Lithuania,c003,20.0,17
Slovakia,c003,17.0,18
Poland,c003,16.0,19
Belgium,c003,16.0,20
Guatemala,c004,1176085.0,1
United States of America,c004,237962.0,2
Argentina,c004,166882.0,3
Brazil,c004,155670.0,4
Ukraine,c004,98578.0,5
Romania,c004,22729.0,6
France,c004,19711.0,7
Hungary,c004,18340.0,8
Serbia,c004,16719.0,9
South Africa,c004,15277.0,10
Bulgaria,c004,11698.0,11
India,c004,10800.0,12
Russian Federation,c004,10499.0,13
Paraguay,c004,9580.0,14
Poland,c004,6664.0,15
Croatia,c004,5265.0,16
Canada,c004,5087.0,17
"China, mainland",c004,4537.0,18
Myanmar,c004,4224.0,19
Slovakia,c004,2652.0,20
Germany,c005,2828047.0,1
Poland,c005,1639520.0,2
Russian Federation,c005,1197160.0,3
Belarus,c005,887290.0,4
Denmark,c005,674173.0,5
"China, mainland",c005,421000.0,6
Spain,c005,353710.0,7
Canada,c005,286023.0,8
Argentina,c005,220999.0,9
Ukraine,c005,168958.0,10
United States of America,c005,156225.0,11
Latvia,c005,127881.0,12
