Country,Commodity,Export_Value,Rank
"China, mainland",c001,22525935.0,1
India,c001,16788167.0,2
Viet Nam,c001,11823932.0,3
Thailand,c001,8994767.0,4
Myanmar,c001,6393799.0,5
Bangladesh,c001,5836836.0,6
Indonesia,c001,5017883.0,7
Brazil,c001,3016862.0,8
Lao People's Democratic Republic,c001,1742744.0,9
Nepal,c001,1574150.0,10
Pakistan,c001,1553449.0,11
United States of America,c001,1549170.0,12
Cambodia,c001,1524470.0,13
Nigeria,c001,1217690.0,14
Guinea,c001,1181515.0,15
Peru,c001,1147881.0,16
Japan,c001,1027972.0,17
Republic of Korea,c001,987921.0,18
Philippines,c001,958924.0,19
Madagascar,c001,954791.0,20
Croatia,c002,180241.0,1
Russian Federation,c002,11755.0,2
Canada,c002,8047.0,3
United States of America,c002,7480.0,4
France,c002,6278.0,5
Ukraine,c002,5298.0,6
Argentina,c002,3435.0,7
Australia,c002,3119.0,8
Germany,c002,3088.0,9
Kazakhstan,c002,2087.0,10
Poland,c002,1653.0,11
Lithuania,c002,1273.0,12
Romania,c002,1061.0,13
Bulgaria,c002,1035.0,14
Hungary,c002,999.0,15
Turkey,c002,987.0,16
Czech Republic,c002,825.0,17
Latvia,c002,758.0,18
Italy,c002,671.0,19
India,c002,468.0,20
Croatia,c003,143442.0,1
France,c003,4421.0,2
Russian Federation,c003,2801.0,3
Australia,c003,2777.0,4
Ukraine,c003,2442.0,5
Canada,c003,1870.0,6
Germany,c003,1589.0,7
Argentina,c003,1527.0,8
United Kingdom,c003,963.0,9
Kazakhstan,c003,528.0,10
Denmark,c003,499.0,11
Hungary,c003,458.0,12
Romania,c003,413.0,13
Czech Republic,c003,318.0,14
United States of America,c003,309.0,15
Sweden,c003,299.0,16
Uruguay,c003,279.0,17
Lithuania,c003,233.0,18
Slovakia,c003,197.0,19
Poland,c003,189.0,20
Croatia,c004,1236287.0,1
United States of America,c004,14953.0,2
Argentina,c004,10487.0,3
Brazil,c004,9781.0,4
Ukraine,c004,6194.0,5
Romania,c004,1427.0,6
France,c004,1240.0,7
Hungary,c004,1153.0,8
Serbia,c004,1051.0,9
South Africa,c004,959.0,10
Bulgaria,c004,735.0,11
India,c004,679.0,12
Russian Federation,c004,660.0,13
Paraguay,c004,602.0,14
Poland,c004,417.0,15
Canada,c004,318.0,16
