Country,Commodity,Export_Value,Rank
India,c001,8366.0,1
Haiti,c001,5325.0,2
Viet Nam,c001,3467.0,3
Thailand,c001,3117.0,4
Pakistan,c001,2244.0,5
United States of America,c001,1374.0,6
"China, mainland",c001,1355.0,7
Myanmar,c001,1072.0,8
Brazil,c001,624.0,9
Uruguay,c001,529.0,10
Paraguay,c001,452.0,11
Cambodia,c001,417.0,12
Italy,c001,360.0,13
Guyana,c001,337.0,14
United Republic of Tanzania,c001,200.0,15
Argentina,c001,189.0,16
Spain,c001,121.0,17
"China, Taiwan Province of",c001,117.0,18
Turkey,c001,82.0,19
Kazakhstan,c001,69.0,20
Russian Federation,c002,6345.0,1
Canada,c002,4342.0,2
United States of America,c002,4036.0,3
France,c002,3389.0,4
Ukraine,c002,2859.0,5
Argentina,c002,1854.0,6
Australia,c002,1683.0,7
Germany,c002,1667.0,8
Kazakhstan,c002,1128.0,9
Poland,c002,893.0,10
Lithuania,c002,687.0,11
Romania,c002,571.0,12
Bulgaria,c002,558.0,13
Hungary,c002,538.0,14
Turkey,c002,532.0,15
Czech Republic,c002,446.0,16
Latvia,c002,411.0,17
Italy,c002,363.0,18
India,c002,253.0,19
United Kingdom,c002,249.0,20
France,c003,812.0,1
Russian Federation,c003,514.0,2
Australia,c003,510.0,3
Ukraine,c003,448.0,4
Canada,c003,343.0,5
Germany,c003,291.0,6
Argentina,c003,280.0,7
United Kingdom,c003,177.0,8
Kazakhstan,c003,97.0,9
Denmark,c003,92.0,10
Hungary,c003,84.0,11
Romania,c003,76.0,12
Czech Republic,c003,58.0,13
United States of America,c003,57.0,14
Sweden,c003,55.0,15
Uruguay,c003,51.0,16
Lithuania,c003,43.0,17
Slovakia,c003,36.0,18
Poland,c003,34.0,19
Belgium,c003,34.0,20
Haiti,c004,23092.0,1
United States of America,c004,2913.0,2
Argentina,c004,2044.0,3
Brazil,c004,1907.0,4
Ukraine,c004,1207.0,5
Romania,c004,278.0,6
France,c004,241.0,7
Hungary,c004,225.0,8
Serbia,c004,204.0,9
South Africa,c004,186.0,10
Bulgaria,c004,142.0,11
India,c004,132.0,12
Russian Federation,c004,128.0,13
Paraguay,c004,117.0,14
Poland,c004,81.0,15
Croatia,c004,65.0,16
Canada,c004,61.0,17
"China, mainland",c004,56.0,18
Myanmar,c004,53.0,19
Slovakia,c004,33.0,20
Germany,c005,2828047.0,1
Poland,c005,1639520.0,2
Russian Federation,c005,1197160.0,3
Belarus,c005,887290.0,4
Denmark,c005,674173.0,5
"China, mainland",c005,421000.0,6
Spain,c005,353710.0,7
Canada,c005,286023.0,8
Argentina,c005,220999.0,9
Ukraine,c005,168958.0,10
United States of America,c005,156225.0,11
Latvia,c005,127881.0,12
Austria,c005,120007.0,13
France,c005,101516.0,14
Turkey,c005,95960.0,15
Hungary,c005,68247.0,16
Czech Republic,c005,64890.0,17
Lithuania,c005,64831.0,18
Sweden,c005,47123.0,19
Estonia,c005,44666.0,20
Russian Federation,c006,3863945.0,1
Canada,c006,2707425.0,2
Poland,c006,1483855.0,3
Spain,c006,1327958.0,4
Australia,c006,1004897.0,5
Finland,c006,829611.0,6
Sweden,c006,634473.0,7
Argentina,c006,550929.0,8
United Kingdom,c006,472876.0,9
"China, mainland",c006,436828.0,10
Ukraine,c006,427371.0,11
United States of America,c006,358808.0,12
Denmark,c006,347410.0,13
Belarus,c006,328425.0,14
Germany,c006,318260.0,15
France,c006,304269.0,16
Chile,c006,296623.0,17
Norway,c006,281980.0,18
Turkey,c006,251304.0,19
Lithuania,c006,223426.0,20
India,c007,2081585.0,1
"China, mainland",c007,1437741.0,2
Niger,c007,1051135.0,3
Senegal,c007,552999.0,4
Mali,c007,494798.0,5
United Republic of Tanzania,c007,300731.0,6
Sudan,c007,293821.0,7
Nigeria,c007,280651.0,8
Russian Federation,c007,235905.0,9
Ukraine,c007,228251.0,10
Guinea,c007,205705.0,11
United States of America,c007,187190.0,12
Pakistan,c007,147616.0,13
Burkina Faso,c007,144710.0,14
Myanmar,c007,125089.0,15
Chad,c007,110376.0,16
Ethiopia,c007,93143.0,17
Ghana,c007,58956.0,18
Uzbekistan,c007,55047.0,19
Kenya,c007,54306.0,20
Haiti,c008,3333.0,1
United States of America,c008,563.0,2
Argentina,c008,40.0,3
Australia,c008,16.0,4
France,c008,15.0,5
Hungary,c008,5.0,6
Kenya,c008,5.0,7
India,c008,4.0,8
Ukraine,c008,4.0,9
Burkina Faso,c008,4.0,10
"China, mainland",c008,3.0,11
Uganda,c008,3.0,12
Bolivia (Plurinational State of),c008,1.0,13
Russian Federation,c008,1.0,14
Poland,c009,8350897.0,1
Germany,c009,2276712.0,2
France,c009,2006143.0,3
Belarus,c009,1549796.0,4
"China, mainland",c009,1527161.0,5
Spain,c009,1260269.0,6
Russian Federation,c009,897105.0,7
Lithuania,c009,597095.0,8
Turkey,c009,539734.0,9
Hungary,c009,498892.0,10
Canada,c009,472574.0,11
Ethiopia,c009,433131.0,12
Austria,c009,390099.0,13
Kazakhstan,c009,384368.0,14
Thailand,c009,327800.0,15
Czech Republic,c009,292489.0,16
Romania,c009,254244.0,17
Sweden,c009,239393.0,18
Argentina,c009,199000.0,19
Belgium,c009,175233.0,20
Haiti,c010,7518.0,1
Germany,c010,52.0,2
Netherlands,c010,52.0,3
United States of America,c010,38.0,4
Belgium,c010,36.0,5
France,c010,32.0,6
Canada,c010,25.0,7
Poland,c010,12.0,8
Egypt,c010,8.0,9
"China, mainland",c010,7.0,10
Argentina,c010,5.0,11
Belarus,c010,5.0,12
India,c010,5.0,13
Pakistan,c010,5.0,14
United Kingdom,c010,3.0,15
Denmark,c010,2.0,16
South Africa,c010,2.0,17
Spain,c010,2.0,18
Turkey,c010,2.0,19
Austria,c010,1.0,20
Haiti,c011,208447.0,1
Haiti,c012,21891.0,1
Haiti,c013,12000.0,1
Haiti,c014,24620.0,1
Haiti,c015,1387783.0,1
Russian Federation,c016,39353891.0,1
Germany,c016,28206564.0,2
United States of America,c016,26460729.0,3
France,c016,25996243.0,4
Turkey,c016,21405334.0,5
Poland,c016,14719223.0,6
Egypt,c016,11805000.0,7
"China, mainland",c016,10029888.0,8
Ukraine,c016,9149999.0,9
Netherlands,c016,6806893.0,10
United Kingdom,c016,5635000.0,11
Iran (Islamic Republic of),c016,5420058.0,12
Belgium,c016,4816410.0,13
Belarus,c016,4526922.0,14
Japan,c016,3889223.0,15
Czech Republic,c016,3601236.0,16
Morocco,c016,3083052.0,17
Denmark,c016,2438616.0,18
Austria,c016,2116000.0,19
Spain,c016,2037889.0,20
Haiti,c017,23220.0,1
Myanmar,c017,1961.0,2
Argentina,c017,702.0,3
