Country,Commodity,Export_Value,Rank
India,c001,1996.0,1
Hungary,c001,1043.0,2
Viet Nam,c001,826.0,3
Thailand,c001,743.0,4
Pakistan,c001,536.0,5
United States of America,c001,327.0,6
"China, mainland",c001,323.0,7
Myanmar,c001,256.0,8
Brazil,c001,149.0,9
Uruguay,c001,126.0,10
Paraguay,c001,106.0,11
Cambodia,c001,100.0,12
Italy,c001,86.0,13
Guyana,c001,80.0,14
United Republic of Tanzania,c001,47.0,15
Argentina,c001,44.0,16
Spain,c001,30.0,17
"China, Taiwan Province of",c001,28.0,18
Turkey,c001,19.0,19
Kazakhstan,c001,16.0,20
Hungary,c002,1459667.0,1
Russian Federation,c002,22373.0,2
Canada,c002,15313.0,3
United States of America,c002,14233.0,4
France,c002,11946.0,5
Ukraine,c002,10086.0,6
Argentina,c002,6537.0,7
Australia,c002,5937.0,8
Germany,c002,5874.0,9
Kazakhstan,c002,3973.0,10
Poland,c002,3150.0,11
Lithuania,c002,2423.0,12
Romania,c002,2019.0,13
Bulgaria,c002,1970.0,14
Turkey,c002,1878.0,15
Czech Republic,c002,1570.0,16
Latvia,c002,1445.0,17
Italy,c002,1277.0,18
India,c002,894.0,19
United Kingdom,c002,878.0,20
Hungary,c003,714616.0,1
France,c003,4708.0,2
Russian Federation,c003,2982.0,3
Australia,c003,2958.0,4
Ukraine,c003,2602.0,5
Canada,c003,1991.0,6
Germany,c003,1694.0,7
Argentina,c003,1628.0,8
United Kingdom,c003,1024.0,9
Kazakhstan,c003,562.0,10
Denmark,c003,529.0,11
Romania,c003,440.0,12
Czech Republic,c003,339.0,13
United States of America,c003,329.0,14
Sweden,c003,320.0,15
Uruguay,c003,298.0,16
Lithuania,c003,246.0,17
Slovakia,c003,210.0,18
Poland,c003,201.0,19
Belgium,c003,201.0,20
Hungary,c004,5220608.0,1
United States of America,c004,48436.0,2
Argentina,c004,33970.0,3
Brazil,c004,31685.0,4
Ukraine,c004,20065.0,5
Romania,c004,4626.0,6
France,c004,4012.0,7
Serbia,c004,3404.0,8
South Africa,c004,3110.0,9
Bulgaria,c004,2380.0,10
India,c004,2197.0,11
Russian Federation,c004,2137.0,12
Paraguay,c004,1949.0,13
Poland,c004,1356.0,14
Croatia,c004,1070.0,15
Canada,c004,1035.0,16
"China, mainland",c004,922.0,17
Myanmar,c004,861.0,18
Slovakia,c004,540.0,19
Turkey,c004,487.0,20
Hungary,c005,62088.0,1
Poland,c005,3241.0,2
Germany,c005,1090.0,3
Latvia,c005,400.0,4
Canada,c005,382.0,5
Sweden,c005,134.0,6
Lithuania,c005,121.0,7
Estonia,c005,117.0,8
Czech Republic,c005,77.0,9
Slovakia,c005,68.0,10
Austria,c005,50.0,11
Denmark,c005,50.0,12
France,c005,50.0,13
Russian Federation,c005,30.0,14
Finland,c005,22.0,15
Spain,c005,20.0,16
Belarus,c005,17.0,17
Ukraine,c005,11.0,18
United States of America,c005,6.0,19
Italy,c005,4.0,20
Hungary,c006,64445.0,1
Canada,c006,4136.0,2
Finland,c006,750.0,3
Australia,c006,627.0,4
Chile,c006,508.0,5
United Kingdom,c006,317.0,6
Sweden,c006,305.0,7
Poland,c006,257.0,8
Germany,c006,255.0,9
Latvia,c006,227.0,10
Russian Federation,c006,211.0,11
Lithuania,c006,157.0,12
Estonia,c006,117.0,13
France,c006,106.0,14
Spain,c006,92.0,15
Denmark,c006,76.0,16
Czech Republic,c006,65.0,17
United States of America,c006,56.0,18
Ukraine,c006,51.0,19
Bulgaria,c006,46.0,20
Hungary,c007,1609.0,1
Ukraine,c007,640.0,2
United States of America,c007,547.0,3
India,c007,418.0,4
Russian Federation,c007,233.0,5
France,c007,120.0,6
Myanmar,c007,66.0,7
Pakistan,c007,66.0,8
Uzbekistan,c007,50.0,9
Burkina Faso,c007,34.0,10
Austria,c007,33.0,11
"China, mainland",c007,23.0,12
Poland,c007,21.0,13
Australia,c007,19.0,14
Argentina,c007,16.0,15
Kazakhstan,c007,16.0,16
Mali,c007,16.0,17
United Republic of Tanzania,c007,16.0,18
Turkey,c007,13.0,19
Nigeria,c007,10.0,20
Hungary,c008,46575.0,1
United States of America,c008,363.0,2
Argentina,c008,25.0,3
Australia,c008,9.0,4
France,c008,8.0,5
Kenya,c008,4.0,6
India,c008,2.0,7
Ukraine,c008,2.0,8
Burkina Faso,c008,2.0,9
"China, mainland",c008,1.0,10
Uganda,c008,1.0,11
Hungary,c009,469877.0,1
Poland,c009,660.0,2
Canada,c009,193.0,3
