Country,Commodity,Export_Value,Rank
Indonesia,c001,5017883.0,1
India,c001,16268.0,2
Viet Nam,c001,6742.0,3
Thailand,c001,6063.0,4
Pakistan,c001,4363.0,5
United States of America,c001,2670.0,6
"China, mainland",c001,2637.0,7
Myanmar,c001,2085.0,8
Brazil,c001,1214.0,9
Uruguay,c001,1028.0,10
Paraguay,c001,878.0,11
Cambodia,c001,811.0,12
Italy,c001,698.0,13
Guyana,c001,654.0,14
United Republic of Tanzania,c001,389.0,15
Argentina,c001,365.0,16
Spain,c001,234.0,17
"China, Taiwan Province of",c001,228.0,18
Turkey,c001,160.0,19
Kazakhstan,c001,133.0,20
Russian Federation,c002,1028.0,1
Canada,c002,704.0,2
United States of America,c002,655.0,3
France,c002,548.0,4
Ukraine,c002,464.0,5
Argentina,c002,301.0,6
Australia,c002,271.0,7
Germany,c002,269.0,8
Kazakhstan,c002,184.0,9
Poland,c002,144.0,10
Lithuania,c002,111.0,11
Romania,c002,92.0,12
Bulgaria,c002,90.0,13
Hungary,c002,87.0,14
Turkey,c002,86.0,15
Czech Republic,c002,71.0,16
Latvia,c002,66.0,17
Italy,c002,57.0,18
India,c002,41.0,19
United Kingdom,c002,40.0,20
France,c003,8279.0,1
Russian Federation,c003,5246.0,2
Australia,c003,5203.0,3
Ukraine,c003,4574.0,4
Canada,c003,3499.0,5
Germany,c003,2976.0,6
Argentina,c003,2860.0,7
Indonesia,c003,2692.0,8
United Kingdom,c003,1803.0,9
Kazakhstan,c003,988.0,10
Denmark,c003,931.0,11
Hungary,c003,858.0,12
Romania,c003,772.0,13
Czech Republic,c003,596.0,14
United States of America,c003,580.0,15
Sweden,c003,561.0,16
Uruguay,c003,524.0,17
Lithuania,c003,435.0,18
Slovakia,c003,370.0,19
Poland,c003,354.0,20
Indonesia,c004,4586949.0,1
United States of America,c004,107588.0,2
Argentina,c004,75451.0,3
Brazil,c004,70380.0,4
Ukraine,c004,44569.0,5
Romania,c004,10276.0,6
France,c004,8913.0,7
Hungary,c004,8293.0,8
Serbia,c004,7560.0,9
South Africa,c004,6906.0,10
Bulgaria,c004,5288.0,11
India,c004,4883.0,12
Russian Federation,c004,4748.0,13
Paraguay,c004,4331.0,14
Poland,c004,3013.0,15
Croatia,c004,2381.0,16
Canada,c004,2301.0,17
"China, mainland",c004,2051.0,18
Myanmar,c004,1908.0,19
Slovakia,c004,1200.0,20
Germany,c005,2828047.0,1
Poland,c005,1639520.0,2
Russian Federation,c005,1197160.0,3
Belarus,c005,887290.0,4
Denmark,c005,674173.0,5
"China, mainland",c005,421000.0,6
Spain,c005,353710.0,7
Canada,c005,286023.0,8
Argentina,c005,220999.0,9
Ukraine,c005,168958.0,10
United States of America,c005,156225.0,11
Latvia,c005,127881.0,12
Austria,c005,120007.0,13
France,c005,101516.0,14
