Country,Commodity,Export_Value,Rank
India,c001,13644486.0,1
Viet Nam,c001,97.0,2
Thailand,c001,87.0,3
Pakistan,c001,63.0,4
"China, mainland",c001,37.0,5
United States of America,c001,37.0,6
Myanmar,c001,29.0,7
Brazil,c001,17.0,8
Uruguay,c001,14.0,9
Cambodia,c001,11.0,10
Paraguay,c001,11.0,11
Italy,c001,10.0,12
Guyana,c001,9.0,13
Argentina,c001,5.0,14
United Republic of Tanzania,c001,5.0,15
Spain,c001,3.0,16
"China, Taiwan Province of",c001,3.0,17
Turkey,c001,2.0,18
Greece,c001,1.0,19
Kazakhstan,c001,1.0,20
India,c002,16052818.0,1
Russian Federation,c002,4408.0,2
Canada,c002,3018.0,3
United States of America,c002,2803.0,4
France,c002,2354.0,5
Ukraine,c002,1988.0,6
Argentina,c002,1287.0,7
Australia,c002,1169.0,8
Germany,c002,1157.0,9
Kazakhstan,c002,783.0,10
Poland,c002,620.0,11
Lithuania,c002,477.0,12
Romania,c002,398.0,13
Bulgaria,c002,388.0,14
Hungary,c002,374.0,15
Turkey,c002,370.0,16
Czech Republic,c002,308.0,17
Latvia,c002,286.0,18
Italy,c002,253.0,19
United Kingdom,c002,174.0,20
India,c003,595599.0,1
France,c003,4582.0,2
Russian Federation,c003,2904.0,3
Australia,c003,2880.0,4
Ukraine,c003,2532.0,5
Canada,c003,1938.0,6
Germany,c003,1649.0,7
Argentina,c003,1583.0,8
United Kingdom,c003,999.0,9
Kazakhstan,c003,547.0,10
Denmark,c003,515.0,11
Hungary,c003,474.0,12
Romania,c003,428.0,13
Czech Republic,c003,328.0,14
United States of America,c003,321.0,15
Sweden,c003,311.0,16
Uruguay,c003,290.0,17
Lithuania,c003,241.0,18
Slovakia,c003,207.0,19
Poland,c003,196.0,20
India,c004,18845644.0,1
United States of America,c004,51406.0,2
Argentina,c004,36052.0,3
Brazil,c004,33629.0,4
Ukraine,c004,21297.0,5
Romania,c004,4910.0,6
France,c004,4258.0,7
Hungary,c004,3961.0,8
Serbia,c004,3611.0,9
South Africa,c004,3300.0,10
Bulgaria,c004,2527.0,11
Russian Federation,c004,2267.0,12
Paraguay,c004,2070.0,13
Poland,c004,1439.0,14
Croatia,c004,1137.0,15
Canada,c004,1097.0,16
"China, mainland",c004,979.0,17
Myanmar,c004,910.0,18
Slovakia,c004,573.0,19
Turkey,c004,519.0,20
Germany,c005,2828047.0,1
Poland,c005,1639520.0,2
Russian Federation,c005,1197160.0,3
Belarus,c005,887290.0,4
Denmark,c005,674173.0,5
"China, mainland",c005,421000.0,6
Spain,c005,353710.0,7
Canada,c005,286023.0,8
Argentina,c005,220999.0,9
Ukraine,c005,168958.0,10
United States of America,c005,156225.0,11
Latvia,c005,127881.0,12
Austria,c005,120007.0,13
France,c005,101516.0,14
Turkey,c005,95960.0,15
Hungary,c005,68247.0,16
Czech Republic,c005,64890.0,17
Lithuania,c005,64831.0,18
Sweden,c005,47123.0,19
Estonia,c005,44666.0,20
Canada,c006,13986.0,1
Finland,c006,2540.0,2
Australia,c006,2122.0,3
Chile,c006,1724.0,4
United Kingdom,c006,1073.0,5
Sweden,c006,1032.0,6
Poland,c006,866.0,7
Germany,c006,864.0,8
Latvia,c006,765.0,9
Russian Federation,c006,712.0,10
Lithuania,c006,532.0,11
Estonia,c006,393.0,12
France,c006,358.0,13
Spain,c006,312.0,14
Denmark,c006,261.0,15
Czech Republic,c006,223.0,16
United States of America,c006,190.0,17
Ukraine,c006,175.0,18
Bulgaria,c006,154.0,19
Ireland,c006,134.0,20
India,c007,2029263.0,1
India,c008,870693.0,1
Poland,c009,8350897.0,1
Germany,c009,2276712.0,2
France,c009,2006143.0,3
Belarus,c009,1549796.0,4
"China, mainland",c009,1527161.0,5
Spain,c009,1260269.0,6
Russian Federation,c009,897105.0,7
Lithuania,c009,597095.0,8
Turkey,c009,539734.0,9
Hungary,c009,498892.0,10
Canada,c009,472574.0,11
Ethiopia,c009,433131.0,12
Austria,c009,390099.0,13
Kazakhstan,c009,384368.0,14
Thailand,c009,327800.0,15
Czech Republic,c009,292489.0,16
Romania,c009,254244.0,17
Sweden,c009,239393.0,18
Argentina,c009,199000.0,19
Belgium,c009,175233.0,20
India,c010,15917348.0,1
Netherlands,c010,1048.0,2
Germany,c010,1013.0,3
United States of America,c010,743.0,4
Belgium,c010,699.0,5
France,c010,644.0,6
Canada,c010,505.0,7
Poland,c010,256.0,8
Egypt,c010,150.0,9
"China, mainland",c010,137.0,10
Argentina,c010,111.0,11
Pakistan,c010,92.0,12
Belarus,c010,89.0,13
United Kingdom,c010,73.0,14
Denmark,c010,70.0,15
Spain,c010,54.0,16
South Africa,c010,49.0,17
Turkey,c010,48.0,18
Iran (Islamic Republic of),c010,34.0,19
Israel,c010,31.0,20
India,c011,312345.0,1
Thailand,c011,984.0,2
Viet Nam,c011,472.0,3
Lao People's Democratic Republic,c011,99.0,4
Indonesia,c011,23.0,5
Cambodia,c011,16.0,6
Brazil,c011,7.0,7
Paraguay,c011,6.0,8
Costa Rica,c011,3.0,9
Nicaragua,c011,2.0,10
United Republic of Tanzania,c011,2.0,11
Sri Lanka,c011,1.0,12
"China, mainland",c011,1.0,13
Ghana,c011,1.0,14
Nigeria,c011,1.0,15
Peru,c011,1.0,16
Uganda,c011,1.0,17
India,c012,115076.0,1
Lao People's Democratic Republic,c013,3577530.0,1
Nigeria,c013,961874.0,2
Cameroon,c013,915038.0,3
Ethiopia,c013,823441.0,4
Ghana,c013,403943.0,5
"China, mainland",c013,334663.0,6
Democratic Republic of the Congo,c013,217546.0,7
Madagascar,c013,113432.0,8
Namibia,c013,84362.0,9
