Country,Commodity,Export_Value,Rank
India,c001,1534.0,1
Viet Nam,c001,635.0,2
Thailand,c001,572.0,3
Pakistan,c001,411.0,4
United States of America,c001,252.0,5
"China, mainland",c001,249.0,6
Myanmar,c001,197.0,7
Brazil,c001,114.0,8
Uruguay,c001,98.0,9
Paraguay,c001,83.0,10
Cambodia,c001,77.0,11
Italy,c001,66.0,12
Guyana,c001,61.0,13
United Republic of Tanzania,c001,37.0,14
Argentina,c001,34.0,15
Spain,c001,22.0,16
"China, Taiwan Province of",c001,22.0,17
Turkey,c001,15.0,18
Kazakhstan,c001,13.0,19
Russian Federation,c001,12.0,20
Ireland,c002,366222.0,1
Russian Federation,c002,251705.0,2
Canada,c002,172289.0,3
United States of America,c002,160153.0,4
France,c002,134421.0,5
Ukraine,c002,113470.0,6
Argentina,c002,73538.0,7
Australia,c002,66782.0,8
Germany,c002,66119.0,9
Kazakhstan,c002,44693.0,10
Poland,c002,35435.0,11
Lithuania,c002,27247.0,12
Romania,c002,22705.0,13
Bulgaria,c002,22135.0,14
Hungary,c002,21362.0,15
Turkey,c002,21115.0,16
Czech Republic,c002,17669.0,17
Latvia,c002,16268.0,18
Italy,c002,14388.0,19
India,c002,10058.0,20
Ireland,c003,1426785.0,1
France,c003,45389.0,2
Russian Federation,c003,28761.0,3
Australia,c003,28525.0,4
Ukraine,c003,25081.0,5
Canada,c003,19186.0,6
Germany,c003,16320.0,7
Argentina,c003,15681.0,8
United Kingdom,c003,9888.0,9
Kazakhstan,c003,5422.0,10
Denmark,c003,5106.0,11
Hungary,c003,4703.0,12
Romania,c003,4236.0,13
Czech Republic,c003,3268.0,14
United States of America,c003,3177.0,15
Sweden,c003,3073.0,16
Uruguay,c003,2873.0,17
Lithuania,c003,2389.0,18
Slovakia,c003,2030.0,19
Poland,c003,1938.0,20
United States of America,c004,331843.0,1
Argentina,c004,232724.0,2
Brazil,c004,217085.0,3
Ukraine,c004,137468.0,4
Romania,c004,31696.0,5
France,c004,27485.0,6
Hungary,c004,25576.0,7
Serbia,c004,23317.0,8
South Africa,c004,21303.0,9
Bulgaria,c004,16312.0,10
India,c004,15062.0,11
Russian Federation,c004,14643.0,12
Paraguay,c004,13357.0,13
Poland,c004,9294.0,14
Croatia,c004,7347.0,15
Canada,c004,7093.0,16
"China, mainland",c004,6328.0,17
Myanmar,c004,5891.0,18
Slovakia,c004,3701.0,19
Turkey,c004,3347.0,20
Germany,c005,2828047.0,1
Poland,c005,1639520.0,2
Russian Federation,c005,1197160.0,3
Belarus,c005,887290.0,4
Denmark,c005,674173.0,5
"China, mainland",c005,421000.0,6
Spain,c005,353710.0,7
Canada,c005,286023.0,8
Argentina,c005,220999.0,9
Ukraine,c005,168958.0,10
United States of America,c005,156225.0,11
Latvia,c005,127881.0,12
Austria,c005,120007.0,13
France,c005,101516.0,14
Turkey,c005,95960.0,15
Hungary,c005,68247.0,16
Czech Republic,c005,64890.0,17
Lithuania,c005,64831.0,18
Sweden,c005,47123.0,19
Estonia,c005,44666.0,20
Ireland,c006,110818.0,1
Canada,c006,4439.0,2
Finland,c006,807.0,3
Australia,c006,672.0,4
Chile,c006,548.0,5
United Kingdom,c006,339.0,6
Sweden,c006,327.0,7
Poland,c006,274.0,8
Germany,c006,273.0,9
Latvia,c006,243.0,10
Russian Federation,c006,226.0,11
Lithuania,c006,170.0,12
Estonia,c006,125.0,13
France,c006,114.0,14
Spain,c006,100.0,15
Denmark,c006,84.0,16
Czech Republic,c006,71.0,17
United States of America,c006,61.0,18
Ukraine,c006,55.0,19
Bulgaria,c006,49.0,20
India,c007,2081585.0,1
"China, mainland",c007,1437741.0,2
Niger,c007,1051135.0,3
Senegal,c007,552999.0,4
Mali,c007,494798.0,5
United Republic of Tanzania,c007,300731.0,6
Sudan,c007,293821.0,7
Nigeria,c007,280651.0,8
Russian Federation,c007,235905.0,9
Ukraine,c007,228251.0,10
Guinea,c007,205705.0,11
United States of America,c007,187190.0,12
Pakistan,c007,147616.0,13
Burkina Faso,c007,144710.0,14
Myanmar,c007,125089.0,15
Chad,c007,110376.0,16
Ethiopia,c007,93143.0,17
Ghana,c007,58956.0,18
Uzbekistan,c007,55047.0,19
Kenya,c007,54306.0,20
United States of America,c008,5650230.0,1
Mexico,c008,4602643.0,2
Brazil,c008,2765373.0,3
Argentina,c008,1568238.0,4
"China, mainland",c008,1157842.0,5
Sudan,c008,958600.0,6
Bolivia (Plurinational State of),c008,916807.0,7
India,c008,885616.0,8
Nigeria,c008,718536.0,9
United Republic of Tanzania,c008,686113.0,10
Burkina Faso,c008,621026.0,11
Mali,c008,565306.0,12
Niger,c008,548230.0,13
Cameroon,c008,445189.0,14
France,c008,433698.0,15
Australia,c008,423036.0,16
Egypt,c008,400915.0,17
Ethiopia,c008,366054.0,18
Italy,c008,364603.0,19
Senegal,c008,178000.0,20
Poland,c009,17910.0,1
Canada,c009,5202.0,2
Germany,c009,3987.0,3
Lithuania,c009,3299.0,4
Thailand,c009,2964.0,5
Russian Federation,c009,2508.0,6
Turkey,c009,2441.0,7
France,c009,2368.0,8
Ireland,c009,2080.0,9
Argentina,c009,1848.0,10
Spain,c009,1417.0,11
Czech Republic,c009,1389.0,12
Belgium,c009,1099.0,13
United States of America,c009,1090.0,14
Denmark,c009,930.0,15
Peru,c009,803.0,16
Italy,c009,680.0,17
Austria,c009,677.0,18
Bolivia (Plurinational State of),c009,603.0,19
Bulgaria,c009,578.0,20
Ireland,c010,85087.0,1
Netherlands,c010,10497.0,2
Germany,c010,10168.0,3
United States of America,c010,7447.0,4
Belgium,c010,7008.0,5
France,c010,6441.0,6
Canada,c010,5042.0,7
Poland,c010,2574.0,8
Egypt,c010,1501.0,9
"China, mainland",c010,1370.0,10
Argentina,c010,1124.0,11
India,c010,1040.0,12
Pakistan,c010,918.0,13
Belarus,c010,892.0,14
United Kingdom,c010,736.0,15
Denmark,c010,702.0,16
Spain,c010,544.0,17
South Africa,c010,492.0,18
Turkey,c010,485.0,19
Iran (Islamic Republic of),c010,347.0,20
