Country,Commodity,Export_Value,Rank
Iran (Islamic Republic of),c001,452583.0,1
India,c001,102569.0,2
Viet Nam,c001,42509.0,3
Thailand,c001,38226.0,4
Pakistan,c001,27507.0,5
United States of America,c001,16830.0,6
"China, mainland",c001,16624.0,7
Myanmar,c001,13144.0,8
Brazil,c001,7663.0,9
Uruguay,c001,6488.0,10
Paraguay,c001,5540.0,11
Cambodia,c001,5123.0,12
Italy,c001,4415.0,13
Guyana,c001,4128.0,14
United Republic of Tanzania,c001,2463.0,15
Argentina,c001,2306.0,16
Spain,c001,1479.0,17
"China, Taiwan Province of",c001,1442.0,18
Turkey,c001,1003.0,19
Kazakhstan,c001,850.0,20
Iran (Islamic Republic of),c002,1458429.0,1
Russian Federation,c002,56672.0,2
Canada,c002,38791.0,3
United States of America,c002,36058.0,4
France,c002,30266.0,5
Ukraine,c002,25547.0,6
Argentina,c002,16557.0,7
Australia,c002,15035.0,8
Germany,c002,14886.0,9
Kazakhstan,c002,10063.0,10
Poland,c002,7979.0,11
Lithuania,c002,6134.0,12
Romania,c002,5113.0,13
Bulgaria,c002,4984.0,14
Hungary,c002,4808.0,15
Turkey,c002,4753.0,16
Czech Republic,c002,3978.0,17
Latvia,c002,3662.0,18
Italy,c002,3241.0,19
India,c002,2265.0,20
Iran (Islamic Republic of),c003,2798175.0,1
France,c003,337529.0,2
Russian Federation,c003,213882.0,3
Australia,c003,212112.0,4
Ukraine,c003,186495.0,5
Canada,c003,142671.0,6
Germany,c003,121370.0,7
Argentina,c003,116602.0,8
United Kingdom,c003,73529.0,9
Kazakhstan,c003,40320.0,10
Denmark,c003,37971.0,11
Hungary,c003,34971.0,12
Romania,c003,31506.0,13
Czech Republic,c003,24294.0,14
United States of America,c003,23628.0,15
Sweden,c003,22846.0,16
Uruguay,c003,21360.0,17
Lithuania,c003,17756.0,18
Slovakia,c003,15097.0,19
Poland,c003,14429.0,20
United States of America,c004,2569970.0,1
Argentina,c004,1802338.0,2
Brazil,c004,1681218.0,3
Ukraine,c004,1064628.0,4
Iran (Islamic Republic of),c004,448117.0,5
Romania,c004,245469.0,6
France,c004,212868.0,7
Hungary,c004,198076.0,8
Serbia,c004,180582.0,9
South Africa,c004,164989.0,10
Bulgaria,c004,126325.0,11
India,c004,116651.0,12
Russian Federation,c004,113401.0,13
Paraguay,c004,103448.0,14
Poland,c004,71978.0,15
Croatia,c004,56898.0,16
Canada,c004,54936.0,17
"China, mainland",c004,49001.0,18
Myanmar,c004,45623.0,19
Slovakia,c004,28661.0,20
Germany,c005,2828047.0,1
Poland,c005,1639520.0,2
Russian Federation,c005,1197160.0,3
Belarus,c005,887290.0,4
Denmark,c005,674173.0,5
"China, mainland",c005,421000.0,6
Spain,c005,353710.0,7
Canada,c005,286023.0,8
Argentina,c005,220999.0,9
Ukraine,c005,168958.0,10
United States of America,c005,156225.0,11
Latvia,c005,127881.0,12
Austria,c005,120007.0,13
France,c005,101516.0,14
Turkey,c005,95960.0,15
Hungary,c005,68247.0,16
Czech Republic,c005,64890.0,17
Lithuania,c005,64831.0,18
Sweden,c005,47123.0,19
Estonia,c005,44666.0,20
Russian Federation,c006,3863945.0,1
Canada,c006,2707425.0,2
Poland,c006,1483855.0,3
Spain,c006,1327958.0,4
