Country,Commodity,Export_Value,Rank
Iraq,c001,9995.0,1
India,c001,7039.0,2
Viet Nam,c001,2917.0,3
Thailand,c001,2623.0,4
Pakistan,c001,1888.0,5
United States of America,c001,1155.0,6
"China, mainland",c001,1141.0,7
Myanmar,c001,902.0,8
Brazil,c001,526.0,9
Uruguay,c001,445.0,10
Paraguay,c001,380.0,11
Cambodia,c001,352.0,12
Italy,c001,303.0,13
Guyana,c001,284.0,14
United Republic of Tanzania,c001,169.0,15
Argentina,c001,158.0,16
Spain,c001,101.0,17
"China, Taiwan Province of",c001,99.0,18
Turkey,c001,69.0,19
Kazakhstan,c001,59.0,20
Iraq,c002,2176917.0,1
Russian Federation,c002,105677.0,2
Canada,c002,72337.0,3
United States of America,c002,67241.0,4
France,c002,56436.0,5
Ukraine,c002,47641.0,6
Argentina,c002,30876.0,7
Australia,c002,28037.0,8
Germany,c002,27760.0,9
Kazakhstan,c002,18765.0,10
Poland,c002,14878.0,11
Lithuania,c002,11441.0,12
Romania,c002,9533.0,13
Bulgaria,c002,9294.0,14
Hungary,c002,8969.0,15
Turkey,c002,8865.0,16
Czech Republic,c002,7419.0,17
Latvia,c002,6832.0,18
Italy,c002,6041.0,19
India,c002,4223.0,20
Iraq,c003,863819.0,1
France,c003,4462.0,2
Russian Federation,c003,2827.0,3
Australia,c003,2804.0,4
Ukraine,c003,2465.0,5
Canada,c003,1886.0,6
Germany,c003,1605.0,7
Argentina,c003,1542.0,8
United Kingdom,c003,972.0,9
Kazakhstan,c003,532.0,10
Denmark,c003,503.0,11
Hungary,c003,462.0,12
Romania,c003,416.0,13
Czech Republic,c003,320.0,14
United States of America,c003,312.0,15
Sweden,c003,302.0,16
Uruguay,c003,283.0,17
Lithuania,c003,234.0,18
Slovakia,c003,199.0,19
Poland,c003,190.0,20
Iraq,c004,291716.0,1
United States of America,c004,150216.0,2
Argentina,c004,105348.0,3
Brazil,c004,98268.0,4
Ukraine,c004,62228.0,5
Romania,c004,14348.0,6
France,c004,12443.0,7
Hungary,c004,11577.0,8
Serbia,c004,10555.0,9
South Africa,c004,9643.0,10
Bulgaria,c004,7384.0,11
India,c004,6818.0,12
Russian Federation,c004,6629.0,13
Paraguay,c004,6046.0,14
Poland,c004,4206.0,15
Croatia,c004,3326.0,16
Canada,c004,3209.0,17
"China, mainland",c004,2863.0,18
Myanmar,c004,2667.0,19
Slovakia,c004,1676.0,20
Germany,c005,2828047.0,1
Poland,c005,1639520.0,2
Russian Federation,c005,1197160.0,3
Belarus,c005,887290.0,4
Denmark,c005,674173.0,5
"China, mainland",c005,421000.0,6
Spain,c005,353710.0,7
Canada,c005,286023.0,8
Argentina,c005,220999.0,9
Ukraine,c005,168958.0,10
United States of America,c005,156225.0,11
Latvia,c005,127881.0,12
Austria,c005,120007.0,13
France,c005,101516.0,14
Turkey,c005,95960.0,15
Hungary,c005,68247.0,16
Czech Republic,c005,64890.0,17
Lithuania,c005,64831.0,18
Sweden,c005,47123.0,19
Estonia,c005,44666.0,20
Russian Federation,c006,3863945.0,1
Canada,c006,2707425.0,2
Poland,c006,1483855.0,3
Spain,c006,1327958.0,4
Australia,c006,1004897.0,5
Finland,c006,829611.0,6
Sweden,c006,634473.0,7
Argentina,c006,550929.0,8
United Kingdom,c006,472876.0,9
"China, mainland",c006,436828.0,10
Ukraine,c006,427371.0,11
United States of America,c006,358808.0,12
Denmark,c006,347410.0,13
Belarus,c006,328425.0,14
Germany,c006,318260.0,15
France,c006,304269.0,16
Chile,c006,296623.0,17
Norway,c006,281980.0,18
Turkey,c006,251304.0,19
Lithuania,c006,223426.0,20
Ukraine,c007,3258.0,1
United States of America,c007,2782.0,2
Iraq,c007,2665.0,3
India,c007,2135.0,4
Russian Federation,c007,1179.0,5
France,c007,615.0,6
Myanmar,c007,338.0,7
Pakistan,c007,338.0,8
Uzbekistan,c007,253.0,9
Burkina Faso,c007,169.0,10
Austria,c007,164.0,11
"China, mainland",c007,113.0,12
Poland,c007,109.0,13
Australia,c007,100.0,14
Argentina,c007,84.0,15
Mali,c007,84.0,16
United Republic of Tanzania,c007,84.0,17
Kazakhstan,c007,83.0,18
Turkey,c007,73.0,19
Nigeria,c007,57.0,20
Iraq,c008,2768.0,1
United States of America,c008,584.0,2
Argentina,c008,42.0,3
Australia,c008,15.0,4
France,c008,14.0,5
Kenya,c008,6.0,6
Hungary,c008,4.0,7
Ukraine,c008,4.0,8
Burkina Faso,c008,3.0,9
India,c008,2.0,10
Bolivia (Plurinational State of),c008,1.0,11
Brazil,c008,1.0,12
"China, mainland",c008,1.0,13
Republic of Moldova,c008,1.0,14
Russian Federation,c008,1.0,15
United Republic of Tanzania,c008,1.0,16
Uganda,c008,1.0,17
Poland,c009,214.0,1
Canada,c009,62.0,2
Germany,c009,48.0,3
Lithuania,c009,39.0,4
Thailand,c009,36.0,5
Russian Federation,c009,30.0,6
Turkey,c009,30.0,7
France,c009,27.0,8
Argentina,c009,22.0,9
Czech Republic,c009,16.0,10
Spain,c009,16.0,11
United States of America,c009,12.0,12
Belgium,c009,12.0,13
Denmark,c009,11.0,14
Peru,c009,9.0,15
Austria,c009,8.0,16
Bolivia (Plurinational State of),c009,8.0,17
Italy,c009,8.0,18
Bulgaria,c009,7.0,19
"China, mainland",c009,6.0,20
Iraq,c010,170439.0,1
Netherlands,c010,13565.0,2
Germany,c010,13139.0,3
United States of America,c010,9627.0,4
Belgium,c010,9058.0,5
France,c010,8323.0,6
Canada,c010,6515.0,7
Poland,c010,3327.0,8
Egypt,c010,1940.0,9
"China, mainland",c010,1773.0,10
Argentina,c010,1452.0,11
India,c010,1342.0,12
Pakistan,c010,1185.0,13
Belarus,c010,1150.0,14
United Kingdom,c010,950.0,15
Denmark,c010,909.0,16
Spain,c010,705.0,17
South Africa,c010,636.0,18
Turkey,c010,627.0,19
Iran (Islamic Republic of),c010,446.0,20
Thailand,c011,22678995.0,1
Nigeria,c011,21039326.0,2
Ghana,c011,11579357.0,3
Brazil,c011,10573364.0,4
Viet Nam,c011,6840555.0,5
Malawi,c011,3715710.0,6
"China, mainland",c011,3520447.0,7
Democratic Republic of the Congo,c011,3335893.0,8
Cambodia,c011,3135737.0,9
Cameroon,c011,2740600.0,10
Côte d'Ivoire,c011,2245267.0,11
Paraguay,c011,2151278.0,12
Benin,c011,1889265.0,13
Angola,c011,1651695.0,14
Philippines,c011,1551750.0,15
Lao People's Democratic Republic,c011,1464794.0,16
United Republic of Tanzania,c011,1391993.0,17
Indonesia,c011,1041543.0,18
Mozambique,c011,1023788.0,19
Senegal,c011,815755.0,20
"China, mainland",c012,22586277.0,1
Malawi,c012,6132732.0,2
Nigeria,c012,1067609.0,3
Viet Nam,c012,877188.0,4
United Republic of Tanzania,c012,666727.0,5
Madagascar,c012,558992.0,6
Brazil,c012,517879.0,7
Angola,c012,504690.0,8
Japan,c012,325318.0,9
Rwanda,c012,308768.0,10
United States of America,c012,302613.0,11
Mali,c012,213712.0,12
Egypt,c012,155700.0,13
"China, Taiwan Province of",c012,151412.0,14
Ethiopia,c012,148589.0,15
India,c012,115685.0,16
Democratic Republic of the Congo,c012,111999.0,17
Indonesia,c012,97442.0,18
Papua New Guinea,c012,96993.0,19
Uganda,c012,84819.0,20
