Country,Commodity,Export_Value,Rank
Italy,c001,133142.0,1
India,c001,8809.0,2
Viet Nam,c001,3653.0,3
Thailand,c001,3284.0,4
Pakistan,c001,2363.0,5
United States of America,c001,1445.0,6
"China, mainland",c001,1427.0,7
Myanmar,c001,1129.0,8
Brazil,c001,659.0,9
Uruguay,c001,557.0,10
Paraguay,c001,475.0,11
Cambodia,c001,439.0,12
Guyana,c001,355.0,13
United Republic of Tanzania,c001,211.0,14
Argentina,c001,196.0,15
Spain,c001,128.0,16
"China, Taiwan Province of",c001,123.0,17
Turkey,c001,86.0,18
Kazakhstan,c001,74.0,19
Russian Federation,c001,69.0,20
Italy,c002,1299256.0,1
Russian Federation,c002,257910.0,2
Canada,c002,176530.0,3
United States of America,c002,164082.0,4
France,c002,137732.0,5
Ukraine,c002,116267.0,6
Argentina,c002,75355.0,7
Australia,c002,68427.0,8
Germany,c002,67740.0,9
Kazakhstan,c002,45793.0,10
Poland,c002,36307.0,11
Lithuania,c002,27919.0,12
Romania,c002,23265.0,13
Bulgaria,c002,22683.0,14
Hungary,c002,21890.0,15
Turkey,c002,21629.0,16
Czech Republic,c002,18106.0,17
Latvia,c002,16670.0,18
India,c002,10302.0,19
United Kingdom,c002,10126.0,20
Italy,c003,1003290.0,1
France,c003,114740.0,2
Russian Federation,c003,72706.0,3
Australia,c003,72104.0,4
Ukraine,c003,63395.0,5
Canada,c003,48500.0,6
Germany,c003,41259.0,7
Argentina,c003,39638.0,8
United Kingdom,c003,24997.0,9
Kazakhstan,c003,13707.0,10
Denmark,c003,12907.0,11
Hungary,c003,11889.0,12
Romania,c003,10709.0,13
Czech Republic,c003,8258.0,14
United States of America,c003,8032.0,15
Sweden,c003,7768.0,16
Uruguay,c003,7262.0,17
Lithuania,c003,6034.0,18
Slovakia,c003,5131.0,19
Poland,c003,4905.0,20
Italy,c004,6708263.0,1
United States of America,c004,1805489.0,2
Argentina,c004,1266202.0,3
Brazil,c004,1181111.0,4
Ukraine,c004,747935.0,5
