Country,Commodity,Export_Value,Rank
Japan,c001,1027972.0,1
India,c001,27493.0,2
Viet Nam,c001,11394.0,3
Thailand,c001,10246.0,4
Pakistan,c001,7374.0,5
United States of America,c001,4512.0,6
"China, mainland",c001,4456.0,7
Myanmar,c001,3522.0,8
Brazil,c001,2054.0,9
Uruguay,c001,1738.0,10
Paraguay,c001,1486.0,11
Cambodia,c001,1373.0,12
Italy,c001,1185.0,13
Guyana,c001,1108.0,14
United Republic of Tanzania,c001,659.0,15
Argentina,c001,619.0,16
Spain,c001,395.0,17
"China, Taiwan Province of",c001,385.0,18
Turkey,c001,270.0,19
Kazakhstan,c001,228.0,20
Russian Federation,c002,260651.0,1
Japan,c002,252830.0,2
Canada,c002,178413.0,3
United States of America,c002,165845.0,4
France,c002,139200.0,5
Ukraine,c002,117502.0,6
Argentina,c002,76153.0,7
Australia,c002,69157.0,8
Germany,c002,68469.0,9
Kazakhstan,c002,46282.0,10
Poland,c002,36693.0,11
Lithuania,c002,28216.0,12
Romania,c002,23513.0,13
Bulgaria,c002,22922.0,14
Hungary,c002,22123.0,15
Turkey,c002,21868.0,16
Czech Republic,c002,18298.0,17
Latvia,c002,16847.0,18
Italy,c002,14899.0,19
India,c002,10414.0,20
France,c003,323602.0,1
Japan,c003,250356.0,2
Russian Federation,c003,205055.0,3
Australia,c003,203360.0,4
Ukraine,c003,178799.0,5
Canada,c003,136785.0,6
Germany,c003,116362.0,7
Argentina,c003,111793.0,8
United Kingdom,c003,70496.0,9
Kazakhstan,c003,38656.0,10
Denmark,c003,36405.0,11
Hungary,c003,33526.0,12
Romania,c003,30204.0,13
Czech Republic,c003,23292.0,14
United States of America,c003,22653.0,15
Sweden,c003,21902.0,16
Uruguay,c003,20478.0,17
Lithuania,c003,17022.0,18
Slovakia,c003,14472.0,19
Poland,c003,13834.0,20
United States of America,c004,3982860.0,1
Argentina,c004,2793206.0,2
Brazil,c004,2605500.0,3
Ukraine,c004,1649927.0,4
Romania,c004,380423.0,5
France,c004,329895.0,6
Hungary,c004,306973.0,7
Serbia,c004,279862.0,8
South Africa,c004,255695.0,9
Bulgaria,c004,195778.0,10
India,c004,180780.0,11
Russian Federation,c004,175747.0,12
Paraguay,c004,160321.0,13
Poland,c004,111548.0,14
Croatia,c004,88181.0,15
Canada,c004,85136.0,16
"China, mainland",c004,75939.0,17
Myanmar,c004,70704.0,18
Slovakia,c004,44416.0,19
Turkey,c004,40168.0,20
Poland,c005,10921.0,1
Germany,c005,3683.0,2
Latvia,c005,1350.0,3
Canada,c005,1284.0,4
Sweden,c005,456.0,5
Lithuania,c005,413.0,6
Estonia,c005,394.0,7
Czech Republic,c005,262.0,8
Slovakia,c005,228.0,9
Austria,c005,168.0,10
Denmark,c005,166.0,11
France,c005,165.0,12
Russian Federation,c005,101.0,13
Hungary,c005,76.0,14
Finland,c005,75.0,15
Spain,c005,67.0,16
Belarus,c005,58.0,17
Ukraine,c005,42.0,18
United States of America,c005,26.0,19
Italy,c005,17.0,20
Canada,c006,21168.0,1
Finland,c006,3844.0,2
Australia,c006,3212.0,3
Chile,c006,2608.0,4
United Kingdom,c006,1625.0,5
Sweden,c006,1562.0,6
Poland,c006,1310.0,7
Germany,c006,1307.0,8
Latvia,c006,1161.0,9
Russian Federation,c006,1078.0,10
Lithuania,c006,807.0,11
Estonia,c006,596.0,12
France,c006,543.0,13
Spain,c006,474.0,14
Denmark,c006,396.0,15
Czech Republic,c006,336.0,16
United States of America,c006,288.0,17
Ukraine,c006,265.0,18
Bulgaria,c006,232.0,19
Ireland,c006,203.0,20
Ukraine,c007,480.0,1
United States of America,c007,412.0,2
India,c007,315.0,3
Russian Federation,c007,174.0,4
France,c007,91.0,5
Japan,c007,52.0,6
Myanmar,c007,49.0,7
Pakistan,c007,49.0,8
Uzbekistan,c007,38.0,9
Burkina Faso,c007,26.0,10
Austria,c007,24.0,11
"China, mainland",c007,17.0,12
Australia,c007,16.0,13
Poland,c007,16.0,14
Argentina,c007,12.0,15
Kazakhstan,c007,12.0,16
Mali,c007,12.0,17
United Republic of Tanzania,c007,12.0,18
Turkey,c007,11.0,19
Nigeria,c007,9.0,20
United States of America,c008,322384.0,1
Argentina,c008,22558.0,2
Japan,c008,10999.0,3
Australia,c008,8858.0,4
France,c008,8128.0,5
Kenya,c008,3196.0,6
Hungary,c008,2958.0,7
Ukraine,c008,2545.0,8
Burkina Faso,c008,2056.0,9
India,c008,1762.0,10
"China, mainland",c008,1296.0,11
Uganda,c008,1290.0,12
Russian Federation,c008,832.0,13
Bolivia (Plurinational State of),c008,585.0,14
Brazil,c008,539.0,15
Republic of Moldova,c008,539.0,16
United Republic of Tanzania,c008,533.0,17
Paraguay,c008,342.0,18
South Africa,c008,320.0,19
Romania,c008,293.0,20
Japan,c009,11040.0,1
Poland,c009,2152.0,2
Canada,c009,627.0,3
Germany,c009,480.0,4
Lithuania,c009,396.0,5
Thailand,c009,356.0,6
Russian Federation,c009,303.0,7
Turkey,c009,293.0,8
France,c009,285.0,9
Argentina,c009,222.0,10
Spain,c009,171.0,11
Czech Republic,c009,168.0,12
Belgium,c009,132.0,13
United States of America,c009,131.0,14
Denmark,c009,111.0,15
Peru,c009,97.0,16
Italy,c009,82.0,17
Austria,c009,81.0,18
Bolivia (Plurinational State of),c009,71.0,19
Bulgaria,c009,71.0,20
Japan,c010,294133.0,1
Netherlands,c010,15195.0,2
Germany,c010,14717.0,3
United States of America,c010,10782.0,4
Belgium,c010,10145.0,5
France,c010,9323.0,6
Canada,c010,7299.0,7
Poland,c010,3725.0,8
Egypt,c010,2172.0,9
"China, mainland",c010,1985.0,10
Argentina,c010,1628.0,11
India,c010,1505.0,12
Pakistan,c010,1328.0,13
Belarus,c010,1287.0,14
United Kingdom,c010,1065.0,15
Denmark,c010,1017.0,16
Spain,c010,788.0,17
South Africa,c010,715.0,18
Turkey,c010,704.0,19
Iran (Islamic Republic of),c010,499.0,20
Thailand,c011,61153.0,1
Viet Nam,c011,29282.0,2
Lao People's Democratic Republic,c011,6129.0,3
Indonesia,c011,1432.0,4
Cambodia,c011,957.0,5
Brazil,c011,440.0,6
Paraguay,c011,392.0,7
Costa Rica,c011,252.0,8
United Republic of Tanzania,c011,137.0,9
Nicaragua,c011,118.0,10
India,c011,117.0,11
Uganda,c011,97.0,12
Sri Lanka,c011,75.0,13
Peru,c011,70.0,14
Ghana,c011,48.0,15
