Country,Commodity,Export_Value,Rank
Cambodia,c001,1367514.0,1
India,c001,1085.0,2
Viet Nam,c001,451.0,3
Thailand,c001,404.0,4
Pakistan,c001,291.0,5
United States of America,c001,179.0,6
"China, mainland",c001,176.0,7
Myanmar,c001,140.0,8
Brazil,c001,81.0,9
Uruguay,c001,68.0,10
Paraguay,c001,57.0,11
Italy,c001,47.0,12
Guyana,c001,43.0,13
United Republic of Tanzania,c001,27.0,14
Argentina,c001,24.0,15
Spain,c001,15.0,16
"China, Taiwan Province of",c001,14.0,17
Turkey,c001,11.0,18
Kazakhstan,c001,8.0,19
Greece,c001,7.0,20
Russian Federation,c002,4032.0,1
Canada,c002,2761.0,2
United States of America,c002,2566.0,3
France,c002,2153.0,4
Ukraine,c002,1817.0,5
Argentina,c002,1178.0,6
Australia,c002,1071.0,7
Germany,c002,1060.0,8
Kazakhstan,c002,716.0,9
Poland,c002,568.0,10
Lithuania,c002,436.0,11
Romania,c002,364.0,12
Bulgaria,c002,355.0,13
Hungary,c002,342.0,14
Turkey,c002,338.0,15
Cambodia,c002,315.0,16
Czech Republic,c002,284.0,17
Latvia,c002,262.0,18
Italy,c002,230.0,19
India,c002,162.0,20
France,c003,47908.0,1
Cambodia,c003,32327.0,2
Russian Federation,c003,30358.0,3
Australia,c003,30107.0,4
Ukraine,c003,26470.0,5
Canada,c003,20250.0,6
Germany,c003,17227.0,7
Argentina,c003,16550.0,8
United Kingdom,c003,10437.0,9
Kazakhstan,c003,5723.0,10
Denmark,c003,5389.0,11
Hungary,c003,4963.0,12
Romania,c003,4472.0,13
Czech Republic,c003,3448.0,14
United States of America,c003,3354.0,15
Sweden,c003,3243.0,16
Uruguay,c003,3032.0,17
Lithuania,c003,2520.0,18
Slovakia,c003,2143.0,19
Poland,c003,2048.0,20
Cambodia,c004,742500.0,1
United States of America,c004,137328.0,2
Argentina,c004,96309.0,3
Brazil,c004,89839.0,4
Ukraine,c004,56890.0,5
Romania,c004,13118.0,6
France,c004,11375.0,7
Hungary,c004,10585.0,8
Serbia,c004,9650.0,9
South Africa,c004,8817.0,10
Bulgaria,c004,6751.0,11
India,c004,6233.0,12
Russian Federation,c004,6061.0,13
Paraguay,c004,5529.0,14
Poland,c004,3847.0,15
Croatia,c004,3040.0,16
Canada,c004,2936.0,17
"China, mainland",c004,2617.0,18
Myanmar,c004,2439.0,19
Slovakia,c004,1532.0,20
Germany,c005,2828047.0,1
Poland,c005,1639520.0,2
Russian Federation,c005,1197160.0,3
Belarus,c005,887290.0,4
Denmark,c005,674173.0,5
"China, mainland",c005,421000.0,6
Spain,c005,353710.0,7
Canada,c005,286023.0,8
Argentina,c005,220999.0,9
Ukraine,c005,168958.0,10
United States of America,c005,156225.0,11
Latvia,c005,127881.0,12
Austria,c005,120007.0,13
France,c005,101516.0,14
Turkey,c005,95960.0,15
Hungary,c005,68247.0,16
Czech Republic,c005,64890.0,17
Lithuania,c005,64831.0,18
Sweden,c005,47123.0,19
Estonia,c005,44666.0,20
Russian Federation,c006,3863945.0,1
Canada,c006,2707425.0,2
Poland,c006,1483855.0,3
Spain,c006,1327958.0,4
Australia,c006,1004897.0,5
Finland,c006,829611.0,6
Sweden,c006,634473.0,7
Argentina,c006,550929.0,8
United Kingdom,c006,472876.0,9
"China, mainland",c006,436828.0,10
Ukraine,c006,427371.0,11
United States of America,c006,358808.0,12
Denmark,c006,347410.0,13
Belarus,c006,328425.0,14
Germany,c006,318260.0,15
France,c006,304269.0,16
Chile,c006,296623.0,17
Norway,c006,281980.0,18
Turkey,c006,251304.0,19
Lithuania,c006,223426.0,20
India,c007,2081585.0,1
"China, mainland",c007,1437741.0,2
Niger,c007,1051135.0,3
Senegal,c007,552999.0,4
Mali,c007,494798.0,5
United Republic of Tanzania,c007,300731.0,6
Sudan,c007,293821.0,7
Nigeria,c007,280651.0,8
Russian Federation,c007,235905.0,9
Ukraine,c007,228251.0,10
Guinea,c007,205705.0,11
United States of America,c007,187190.0,12
Pakistan,c007,147616.0,13
Burkina Faso,c007,144710.0,14
Myanmar,c007,125089.0,15
Chad,c007,110376.0,16
Ethiopia,c007,93143.0,17
Ghana,c007,58956.0,18
Uzbekistan,c007,55047.0,19
Kenya,c007,54306.0,20
United States of America,c008,5650230.0,1
Mexico,c008,4602643.0,2
Brazil,c008,2765373.0,3
Argentina,c008,1568238.0,4
"China, mainland",c008,1157842.0,5
Sudan,c008,958600.0,6
Bolivia (Plurinational State of),c008,916807.0,7
India,c008,885616.0,8
Nigeria,c008,718536.0,9
United Republic of Tanzania,c008,686113.0,10
Burkina Faso,c008,621026.0,11
Mali,c008,565306.0,12
Niger,c008,548230.0,13
Cameroon,c008,445189.0,14
France,c008,433698.0,15
Australia,c008,423036.0,16
Egypt,c008,400915.0,17
Ethiopia,c008,366054.0,18
Italy,c008,364603.0,19
Senegal,c008,178000.0,20
Poland,c009,8350897.0,1
Germany,c009,2276712.0,2
France,c009,2006143.0,3
Belarus,c009,1549796.0,4
"China, mainland",c009,1527161.0,5
Spain,c009,1260269.0,6
Russian Federation,c009,897105.0,7
Lithuania,c009,597095.0,8
Turkey,c009,539734.0,9
Hungary,c009,498892.0,10
Canada,c009,472574.0,11
Ethiopia,c009,433131.0,12
Austria,c009,390099.0,13
Kazakhstan,c009,384368.0,14
Thailand,c009,327800.0,15
Czech Republic,c009,292489.0,16
Romania,c009,254244.0,17
Sweden,c009,239393.0,18
Argentina,c009,199000.0,19
Belgium,c009,175233.0,20
"China, mainland",c010,20017472.0,1
India,c010,16014152.0,2
Ukraine,c010,14661424.0,3
Russian Federation,c010,9319851.0,4
Belarus,c010,3619017.0,5
France,c010,3452719.0,6
Germany,c010,3044953.0,7
Peru,c010,2603977.0,8
United States of America,c010,2454050.0,9
Poland,c010,2414438.0,10
Egypt,c010,2096586.0,11
Netherlands,c010,2002202.0,12
Denmark,c010,1943597.0,13
Kazakhstan,c010,1838419.0,14
Algeria,c010,1494366.0,15
United Kingdom,c010,1464793.0,16
Canada,c010,1388250.0,17
Bangladesh,c010,1207512.0,18
Belgium,c010,1153463.0,19
Pakistan,c010,957886.0,20
Cambodia,c011,2943564.0,1
Thailand,c011,176.0,2
Viet Nam,c011,86.0,3
Lao People's Democratic Republic,c011,18.0,4
Indonesia,c011,3.0,5
Cambodia,c012,3000.0,1
Cambodia,c013,3000.0,1
Nigeria,c014,25143059.0,1
Côte d'Ivoire,c014,2597759.0,2
Ghana,c014,2151594.0,3
Benin,c014,1395408.0,4
Togo,c014,216560.0,5
Chad,c014,157002.0,6
Cameroon,c014,139996.0,7
Brazil,c014,120704.0,8
Central African Republic,c014,81000.0,9
Gabon,c014,70738.0,10
Guinea,c014,62950.0,11
Colombia,c014,44500.0,12
