Country,Commodity,Export_Value,Rank
Republic of Korea,c001,978662.0,1
India,c001,45683.0,2
Viet Nam,c001,18933.0,3
Thailand,c001,17024.0,4
Pakistan,c001,12252.0,5
United States of America,c001,7497.0,6
"China, mainland",c001,7405.0,7
Myanmar,c001,5854.0,8
Brazil,c001,3414.0,9
Uruguay,c001,2891.0,10
Paraguay,c001,2468.0,11
Cambodia,c001,2283.0,12
Italy,c001,1967.0,13
Guyana,c001,1838.0,14
United Republic of Tanzania,c001,1097.0,15
Argentina,c001,1028.0,16
Spain,c001,659.0,17
"China, Taiwan Province of",c001,644.0,18
Turkey,c001,448.0,19
Kazakhstan,c001,378.0,20
Russian Federation,c002,372066.0,1
Canada,c002,254677.0,2
United States of America,c002,236735.0,3
France,c002,198702.0,4
Ukraine,c002,167728.0,5
Argentina,c002,108704.0,6
Australia,c002,98716.0,7
Germany,c002,97736.0,8
Kazakhstan,c002,66065.0,9
Poland,c002,52377.0,10
Lithuania,c002,40278.0,11
Romania,c002,33564.0,12
Bulgaria,c002,32720.0,13
Republic of Korea,c002,32120.0,14
Hungary,c002,31579.0,15
Turkey,c002,31214.0,16
Czech Republic,c002,26119.0,17
Latvia,c002,24048.0,18
Italy,c002,21268.0,19
India,c002,14865.0,20
Republic of Korea,c003,173199.0,1
France,c003,35010.0,2
Russian Federation,c003,22185.0,3
Australia,c003,22002.0,4
Ukraine,c003,19344.0,5
Canada,c003,14799.0,6
Germany,c003,12589.0,7
Argentina,c003,12095.0,8
United Kingdom,c003,7626.0,9
Kazakhstan,c003,4182.0,10
Denmark,c003,3938.0,11
Hungary,c003,3627.0,12
Romania,c003,3267.0,13
Czech Republic,c003,2519.0,14
United States of America,c003,2451.0,15
Sweden,c003,2370.0,16
Uruguay,c003,2216.0,17
Lithuania,c003,1842.0,18
Slovakia,c003,1566.0,19
Poland,c003,1495.0,20
United States of America,c004,2946713.0,1
Argentina,c004,2066549.0,2
Brazil,c004,1927675.0,3
Ukraine,c004,1220697.0,4
Romania,c004,281453.0,5
France,c004,244073.0,6
Hungary,c004,227112.0,7
Serbia,c004,207055.0,8
South Africa,c004,189177.0,9
Bulgaria,c004,144845.0,10
India,c004,133751.0,11
Russian Federation,c004,130028.0,12
Paraguay,c004,118612.0,13
Republic of Korea,c004,90637.0,14
Poland,c004,82531.0,15
Croatia,c004,65238.0,16
Canada,c004,62989.0,17
"China, mainland",c004,56185.0,18
Myanmar,c004,52310.0,19
Slovakia,c004,32861.0,20
Poland,c005,2177.0,1
Germany,c005,735.0,2
Latvia,c005,270.0,3
Canada,c005,256.0,4
Sweden,c005,90.0,5
Lithuania,c005,82.0,6
Estonia,c005,78.0,7
Czech Republic,c005,52.0,8
Slovakia,c005,46.0,9
Austria,c005,35.0,10
Denmark,c005,33.0,11
France,c005,33.0,12
Russian Federation,c005,20.0,13
Hungary,c005,16.0,14
Finland,c005,15.0,15
Spain,c005,14.0,16
Belarus,c005,11.0,17
Ukraine,c005,9.0,18
United States of America,c005,5.0,19
Italy,c005,3.0,20
Canada,c006,12516.0,1
Finland,c006,2271.0,2
Australia,c006,1900.0,3
Chile,c006,1542.0,4
United Kingdom,c006,960.0,5
Sweden,c006,922.0,6
Poland,c006,775.0,7
