Country,Commodity,Export_Value,Rank
Morocco,c001,1691.0,1
India,c001,788.0,2
Viet Nam,c001,328.0,3
Thailand,c001,294.0,4
Pakistan,c001,212.0,5
United States of America,c001,129.0,6
"China, mainland",c001,127.0,7
Myanmar,c001,102.0,8
Brazil,c001,59.0,9
Uruguay,c001,49.0,10
Paraguay,c001,43.0,11
Cambodia,c001,38.0,12
Italy,c001,33.0,13
Guyana,c001,31.0,14
United Republic of Tanzania,c001,19.0,15
Argentina,c001,17.0,16
Spain,c001,11.0,17
"China, Taiwan Province of",c001,10.0,18
Turkey,c001,8.0,19
Kazakhstan,c001,6.0,20
Morocco,c002,2419936.0,1
Russian Federation,c002,559402.0,2
Canada,c002,382907.0,3
United States of America,c002,355934.0,4
France,c002,298749.0,5
Ukraine,c002,252181.0,6
Argentina,c002,163437.0,7
Australia,c002,148420.0,8
Germany,c002,146949.0,9
Kazakhstan,c002,99328.0,10
Poland,c002,78750.0,11
Lithuania,c002,60557.0,12
Romania,c002,50462.0,13
Bulgaria,c002,49195.0,14
Hungary,c002,47477.0,15
Turkey,c002,46930.0,16
Czech Republic,c002,39272.0,17
Latvia,c002,36156.0,18
Italy,c002,31976.0,19
India,c002,22349.0,20
Morocco,c003,268666.0,1
France,c003,81421.0,2
Russian Federation,c003,51594.0,3
Australia,c003,51166.0,4
Ukraine,c003,44986.0,5
Canada,c003,34415.0,6
Germany,c003,29277.0,7
Argentina,c003,28129.0,8
United Kingdom,c003,17738.0,9
Kazakhstan,c003,9725.0,10
Denmark,c003,9161.0,11
Hungary,c003,8435.0,12
Romania,c003,7599.0,13
Czech Republic,c003,5861.0,14
United States of America,c003,5700.0,15
Sweden,c003,5512.0,16
Uruguay,c003,5153.0,17
Lithuania,c003,4283.0,18
Slovakia,c003,3642.0,19
Poland,c003,3481.0,20
United States of America,c004,265705.0,1
Argentina,c004,186342.0,2
Brazil,c004,173820.0,3
Ukraine,c004,110070.0,4
Romania,c004,25379.0,5
France,c004,22008.0,6
Hungary,c004,20478.0,7
Serbia,c004,18673.0,8
South Africa,c004,17058.0,9
Bulgaria,c004,13061.0,10
India,c004,12062.0,11
