Country,Commodity,Export_Value,Rank
Mexico,c001,246644.0,1
India,c001,161337.0,2
Viet Nam,c001,66864.0,3
Thailand,c001,60125.0,4
Pakistan,c001,43269.0,5
United States of America,c001,26472.0,6
"China, mainland",c001,26151.0,7
Myanmar,c001,20673.0,8
Brazil,c001,12054.0,9
Uruguay,c001,10204.0,10
Paraguay,c001,8716.0,11
Cambodia,c001,8059.0,12
Italy,c001,6944.0,13
Guyana,c001,6493.0,14
United Republic of Tanzania,c001,3872.0,15
Argentina,c001,3631.0,16
Spain,c001,2327.0,17
"China, Taiwan Province of",c001,2272.0,18
Turkey,c001,1579.0,19
Kazakhstan,c001,1336.0,20
Mexico,c002,340096.0,1
Russian Federation,c002,64541.0,2
Canada,c002,44179.0,3
United States of America,c002,41064.0,4
France,c002,34467.0,5
Ukraine,c002,29095.0,6
Argentina,c002,18856.0,7
Australia,c002,17123.0,8
Germany,c002,16953.0,9
Kazakhstan,c002,11461.0,10
Poland,c002,9086.0,11
Lithuania,c002,6987.0,12
Romania,c002,5822.0,13
Bulgaria,c002,5677.0,14
Hungary,c002,5479.0,15
Turkey,c002,5415.0,16
Czech Republic,c002,4531.0,17
Latvia,c002,4174.0,18
Italy,c002,3690.0,19
India,c002,2579.0,20
Mexico,c003,945754.0,1
France,c003,104753.0,2
Russian Federation,c003,66379.0,3
Australia,c003,65829.0,4
Ukraine,c003,57878.0,5
Canada,c003,44278.0,6
Germany,c003,37668.0,7
Argentina,c003,36187.0,8
United Kingdom,c003,22820.0,9
Kazakhstan,c003,12513.0,10
Denmark,c003,11784.0,11
Hungary,c003,10852.0,12
Romania,c003,9777.0,13
Czech Republic,c003,7539.0,14
United States of America,c003,7333.0,15
Sweden,c003,7090.0,16
Uruguay,c003,6629.0,17
Lithuania,c003,5510.0,18
Slovakia,c003,4685.0,19
Poland,c003,4478.0,20
Mexico,c004,16339583.0,1
United States of America,c004,2356344.0,2
Argentina,c004,1652529.0,3
Brazil,c004,1541466.0,4
Ukraine,c004,976136.0,5
Romania,c004,225065.0,6
France,c004,195172.0,7
Hungary,c004,181612.0,8
Serbia,c004,165573.0,9
South Africa,c004,151275.0,10
Bulgaria,c004,115826.0,11
India,c004,106956.0,12
Russian Federation,c004,103974.0,13
Paraguay,c004,94850.0,14
Poland,c004,65995.0,15
Croatia,c004,52169.0,16
Canada,c004,50370.0,17
"China, mainland",c004,44927.0,18
Myanmar,c004,41832.0,19
Slovakia,c004,26278.0,20
Germany,c005,2828047.0,1
Poland,c005,1639520.0,2
Russian Federation,c005,1197160.0,3
Belarus,c005,887290.0,4
Denmark,c005,674173.0,5
