Country,Commodity,Export_Value,Rank
Malaysia,c001,82429.0,1
India,c001,21516.0,2
Viet Nam,c001,8918.0,3
Thailand,c001,8018.0,4
Pakistan,c001,5771.0,5
United States of America,c001,3531.0,6
"China, mainland",c001,3487.0,7
Myanmar,c001,2758.0,8
Brazil,c001,1607.0,9
Uruguay,c001,1360.0,10
Paraguay,c001,1162.0,11
Cambodia,c001,1075.0,12
Italy,c001,926.0,13
Guyana,c001,865.0,14
United Republic of Tanzania,c001,516.0,15
Argentina,c001,484.0,16
Spain,c001,310.0,17
"China, Taiwan Province of",c001,302.0,18
Turkey,c001,210.0,19
Kazakhstan,c001,178.0,20
Russian Federation,c002,98679.0,1
Canada,c002,67544.0,2
United States of America,c002,62785.0,3
France,c002,52699.0,4
Ukraine,c002,44485.0,5
Argentina,c002,28830.0,6
Australia,c002,26183.0,7
Germany,c002,25920.0,8
Kazakhstan,c002,17520.0,9
Poland,c002,13892.0,10
Lithuania,c002,10684.0,11
Romania,c002,8902.0,12
Bulgaria,c002,8679.0,13
Hungary,c002,8376.0,14
Turkey,c002,8279.0,15
Malaysia,c002,6957.0,16
Czech Republic,c002,6927.0,17
Latvia,c002,6378.0,18
Italy,c002,5640.0,19
India,c002,3942.0,20
France,c003,4649.0,1
Russian Federation,c003,2946.0,2
Australia,c003,2922.0,3
Ukraine,c003,2569.0,4
Canada,c003,1965.0,5
Germany,c003,1672.0,6
Argentina,c003,1606.0,7
Malaysia,c003,1047.0,8
United Kingdom,c003,1013.0,9
Kazakhstan,c003,555.0,10
Denmark,c003,523.0,11
Hungary,c003,482.0,12
Romania,c003,434.0,13
Czech Republic,c003,335.0,14
United States of America,c003,325.0,15
Sweden,c003,315.0,16
Uruguay,c003,294.0,17
Lithuania,c003,245.0,18
Slovakia,c003,208.0,19
Poland,c003,199.0,20
United States of America,c004,1064614.0,1
Argentina,c004,746621.0,2
Brazil,c004,696447.0,3
Ukraine,c004,441025.0,4
