Country,Commodity,Export_Value,Rank
Nigeria,c001,1217690.0,1
India,c001,1780.0,2
Viet Nam,c001,738.0,3
Thailand,c001,663.0,4
Pakistan,c001,477.0,5
United States of America,c001,292.0,6
"China, mainland",c001,289.0,7
Myanmar,c001,228.0,8
Brazil,c001,133.0,9
Uruguay,c001,112.0,10
Paraguay,c001,97.0,11
Cambodia,c001,89.0,12
Italy,c001,76.0,13
Guyana,c001,71.0,14
United Republic of Tanzania,c001,42.0,15
Argentina,c001,40.0,16
Spain,c001,25.0,17
"China, Taiwan Province of",c001,25.0,18
Turkey,c001,17.0,19
Kazakhstan,c001,15.0,20
Russian Federation,c002,22984.0,1
Canada,c002,15732.0,2
United States of America,c002,14624.0,3
France,c002,12275.0,4
Ukraine,c002,10361.0,5
Argentina,c002,6715.0,6
Australia,c002,6099.0,7
Germany,c002,6037.0,8
Kazakhstan,c002,4081.0,9
Poland,c002,3235.0,10
Lithuania,c002,2488.0,11
Romania,c002,2074.0,12
Bulgaria,c002,2021.0,13
Hungary,c002,1951.0,14
Turkey,c002,1928.0,15
Czech Republic,c002,1614.0,16
Latvia,c002,1486.0,17
Nigeria,c002,1456.0,18
Italy,c002,1314.0,19
India,c002,918.0,20
France,c003,5266.0,1
Nigeria,c003,3967.0,2
Russian Federation,c003,3339.0,3
Australia,c003,3311.0,4
Ukraine,c003,2910.0,5
Canada,c003,2225.0,6
Germany,c003,1894.0,7
Argentina,c003,1820.0,8
United Kingdom,c003,1146.0,9
Kazakhstan,c003,628.0,10
Denmark,c003,591.0,11
Hungary,c003,546.0,12
Romania,c003,491.0,13
Czech Republic,c003,379.0,14
United States of America,c003,369.0,15
Sweden,c003,356.0,16
Uruguay,c003,332.0,17
Lithuania,c003,276.0,18
Slovakia,c003,235.0,19
Poland,c003,225.0,20
Nigeria,c004,4839334.0,1
United States of America,c004,35209.0,2
Argentina,c004,24695.0,3
Brazil,c004,23034.0,4
Ukraine,c004,14586.0,5
Romania,c004,3363.0,6
France,c004,2917.0,7
Hungary,c004,2714.0,8
Serbia,c004,2474.0,9
South Africa,c004,2260.0,10
Bulgaria,c004,1732.0,11
India,c004,1598.0,12
Russian Federation,c004,1553.0,13
Paraguay,c004,1417.0,14
Poland,c004,986.0,15
Croatia,c004,780.0,16
Canada,c004,753.0,17
"China, mainland",c004,672.0,18
Myanmar,c004,625.0,19
Slovakia,c004,392.0,20
Germany,c005,2828047.0,1
Poland,c005,1639520.0,2
Russian Federation,c005,1197160.0,3
Belarus,c005,887290.0,4
Denmark,c005,674173.0,5
"China, mainland",c005,421000.0,6
Spain,c005,353710.0,7
Canada,c005,286023.0,8
Argentina,c005,220999.0,9
Ukraine,c005,168958.0,10
United States of America,c005,156225.0,11
Latvia,c005,127881.0,12
Austria,c005,120007.0,13
France,c005,101516.0,14
Turkey,c005,95960.0,15
Hungary,c005,68247.0,16
Czech Republic,c005,64890.0,17
Lithuania,c005,64831.0,18
Sweden,c005,47123.0,19
Estonia,c005,44666.0,20
Canada,c006,896.0,1
Finland,c006,162.0,2
Australia,c006,136.0,3
Chile,c006,111.0,4
United Kingdom,c006,69.0,5
Sweden,c006,66.0,6
Germany,c006,55.0,7
Poland,c006,55.0,8
Latvia,c006,48.0,9
Russian Federation,c006,44.0,10
Lithuania,c006,33.0,11
Estonia,c006,25.0,12
France,c006,23.0,13
Spain,c006,18.0,14
Denmark,c006,17.0,15
Czech Republic,c006,14.0,16
United States of America,c006,12.0,17
Bulgaria,c006,10.0,18
Ukraine,c006,10.0,19
Ireland,c006,8.0,20
Nigeria,c007,279285.0,1
Nigeria,c008,717309.0,1
United States of America,c008,275.0,2
Argentina,c008,19.0,3
Australia,c008,9.0,4
France,c008,8.0,5
Hungary,c008,2.0,6
Kenya,c008,2.0,7
India,c008,1.0,8
Ukraine,c008,1.0,9
Burkina Faso,c008,1.0,10
Nigeria,c009,14798.0,1
Poland,c009,40.0,2
Canada,c009,11.0,3
Germany,c009,8.0,4
Lithuania,c009,7.0,5
Russian Federation,c009,6.0,6
Thailand,c009,6.0,7
France,c009,5.0,8
Turkey,c009,5.0,9
Argentina,c009,4.0,10
Spain,c009,3.0,11
Denmark,c009,2.0,12
Czech Republic,c009,2.0,13
United States of America,c009,2.0,14
Belgium,c009,2.0,15
Austria,c009,1.0,16
Bolivia (Plurinational State of),c009,1.0,17
Brazil,c009,1.0,18
Bulgaria,c009,1.0,19
"China, mainland",c009,1.0,20
Nigeria,c010,345751.0,1
Netherlands,c010,585.0,2
Germany,c010,566.0,3
United States of America,c010,415.0,4
Belgium,c010,391.0,5
France,c010,360.0,6
Canada,c010,279.0,7
Poland,c010,143.0,8
Egypt,c010,83.0,9
"China, mainland",c010,76.0,10
Argentina,c010,62.0,11
India,c010,58.0,12
Pakistan,c010,50.0,13
Belarus,c010,49.0,14
United Kingdom,c010,41.0,15
Denmark,c010,38.0,16
Spain,c010,30.0,17
South Africa,c010,27.0,18
Turkey,c010,26.0,19
Iran (Islamic Republic of),c010,20.0,20
Nigeria,c011,21029739.0,1
Thailand,c011,149.0,2
Viet Nam,c011,69.0,3
Lao People's Democratic Republic,c011,14.0,4
Indonesia,c011,4.0,5
Cambodia,c011,1.0,6
Nigeria,c012,1067000.0,1
Nigeria,c013,961874.0,1
"China, mainland",c013,56.0,2
Indonesia,c013,20.0,3
Mexico,c013,12.0,4
Nicaragua,c013,5.0,5
Ethiopia,c013,5.0,6
Thailand,c013,4.0,7
Togo,c013,3.0,8
Costa Rica,c013,2.0,9
Ecuador,c013,2.0,10
Côte d'Ivoire,c013,2.0,11
Lao People's Democratic Republic,c013,2.0,12
Spain,c013,2.0,13
Egypt,c013,1.0,14
Fiji,c013,1.0,15
Honduras,c013,1.0,16
India,c013,1.0,17
Saint Vincent and the Grenadines,c013,1.0,18
Uganda,c013,1.0,19
Nigeria,c014,25142907.0,1
Nigeria,c015,723930.0,1
Russian Federation,c016,39353891.0,1
Germany,c016,28206564.0,2
United States of America,c016,26460729.0,3
France,c016,25996243.0,4
Turkey,c016,21405334.0,5
Poland,c016,14719223.0,6
Egypt,c016,11805000.0,7
"China, mainland",c016,10029888.0,8
Ukraine,c016,9149999.0,9
Netherlands,c016,6806893.0,10
United Kingdom,c016,5635000.0,11
Iran (Islamic Republic of),c016,5420058.0,12
Belgium,c016,4816410.0,13
Belarus,c016,4526922.0,14
Japan,c016,3889223.0,15
Czech Republic,c016,3601236.0,16
Morocco,c016,3083052.0,17
Denmark,c016,2438616.0,18
Austria,c016,2116000.0,19
Spain,c016,2037889.0,20
Myanmar,c017,1583450.0,1
India,c017,883259.0,2
"China, mainland",c017,571819.0,3
Brazil,c017,280293.0,4
Belarus,c017,236939.0,5
United Republic of Tanzania,c017,196279.0,6
Mozambique,c017,186464.0,7
Kenya,c017,145808.0,8
Togo,c017,136037.0,9
Angola,c017,119039.0,10
Burundi,c017,118777.0,11
Argentina,c017,116582.0,12
Mexico,c017,114832.0,13
Malawi,c017,106391.0,14
Mali,c017,97000.0,15
Kazakhstan,c017,94426.0,16
United States of America,c017,91399.0,17
Cameroon,c017,77177.0,18
Uganda,c017,67809.0,19
Canada,c017,66521.0,20
Canada,c018,2153815.0,1
