Country,Commodity,Export_Value,Rank
Nepal,c001,1574150.0,1
India,c001,124407.0,2
Viet Nam,c001,51559.0,3
Thailand,c001,46362.0,4
Pakistan,c001,33365.0,5
United States of America,c001,20414.0,6
"China, mainland",c001,20165.0,7
Myanmar,c001,15943.0,8
Brazil,c001,9293.0,9
Uruguay,c001,7868.0,10
Paraguay,c001,6721.0,11
Cambodia,c001,6214.0,12
Italy,c001,5356.0,13
Guyana,c001,5004.0,14
United Republic of Tanzania,c001,2988.0,15
Argentina,c001,2799.0,16
Spain,c001,1794.0,17
"China, Taiwan Province of",c001,1751.0,18
Turkey,c001,1217.0,19
Kazakhstan,c001,1029.0,20
Nepal,c002,542651.0,1
Russian Federation,c002,14675.0,2
Canada,c002,10045.0,3
United States of America,c002,9337.0,4
France,c002,7837.0,5
Ukraine,c002,6615.0,6
Argentina,c002,4286.0,7
Australia,c002,3893.0,8
Germany,c002,3855.0,9
Kazakhstan,c002,2606.0,10
Poland,c002,2066.0,11
Lithuania,c002,1588.0,12
Romania,c002,1323.0,13
Bulgaria,c002,1289.0,14
Hungary,c002,1245.0,15
Turkey,c002,1230.0,16
Czech Republic,c002,1030.0,17
Latvia,c002,949.0,18
Italy,c002,839.0,19
India,c002,586.0,20
Nepal,c003,28825.0,1
France,c003,1860.0,2
Russian Federation,c003,1177.0,3
Australia,c003,1169.0,4
Ukraine,c003,1029.0,5
Canada,c003,787.0,6
Germany,c003,668.0,7
Argentina,c003,643.0,8
United Kingdom,c003,405.0,9
Kazakhstan,c003,222.0,10
Denmark,c003,209.0,11
Hungary,c003,192.0,12
Romania,c003,172.0,13
Czech Republic,c003,134.0,14
United States of America,c003,129.0,15
Sweden,c003,126.0,16
Uruguay,c003,116.0,17
Lithuania,c003,98.0,18
Slovakia,c003,82.0,19
Poland,c003,79.0,20
Nepal,c004,1698394.0,1
United States of America,c004,94513.0,2
Argentina,c004,66283.0,3
Brazil,c004,61828.0,4
Ukraine,c004,39152.0,5
Romania,c004,9027.0,6
France,c004,7828.0,7
Hungary,c004,7284.0,8
Serbia,c004,6641.0,9
South Africa,c004,6068.0,10
Bulgaria,c004,4645.0,11
India,c004,4291.0,12
Russian Federation,c004,4171.0,13
Paraguay,c004,3804.0,14
Poland,c004,2647.0,15
Croatia,c004,2094.0,16
Canada,c004,2022.0,17
"China, mainland",c004,1802.0,18
Myanmar,c004,1677.0,19
Slovakia,c004,1053.0,20
Germany,c005,2828047.0,1
Poland,c005,1639520.0,2
Russian Federation,c005,1197160.0,3
Belarus,c005,887290.0,4
Denmark,c005,674173.0,5
"China, mainland",c005,421000.0,6
Spain,c005,353710.0,7
Canada,c005,286023.0,8
Argentina,c005,220999.0,9
Ukraine,c005,168958.0,10
United States of America,c005,156225.0,11
Latvia,c005,127881.0,12
Austria,c005,120007.0,13
France,c005,101516.0,14
Turkey,c005,95960.0,15
Hungary,c005,68247.0,16
Czech Republic,c005,64890.0,17
Lithuania,c005,64831.0,18
Sweden,c005,47123.0,19
Estonia,c005,44666.0,20
Russian Federation,c006,3863945.0,1
Canada,c006,2707425.0,2
Poland,c006,1483855.0,3
Spain,c006,1327958.0,4
Australia,c006,1004897.0,5
Finland,c006,829611.0,6
Sweden,c006,634473.0,7
Argentina,c006,550929.0,8
United Kingdom,c006,472876.0,9
"China, mainland",c006,436828.0,10
Ukraine,c006,427371.0,11
United States of America,c006,358808.0,12
Denmark,c006,347410.0,13
Belarus,c006,328425.0,14
Germany,c006,318260.0,15
France,c006,304269.0,16
Chile,c006,296623.0,17
Norway,c006,281980.0,18
Turkey,c006,251304.0,19
Lithuania,c006,223426.0,20
Nepal,c007,34810.0,1
Ukraine,c007,586.0,2
United States of America,c007,500.0,3
India,c007,384.0,4
Russian Federation,c007,212.0,5
France,c007,111.0,6
Myanmar,c007,61.0,7
Pakistan,c007,61.0,8
Uzbekistan,c007,45.0,9
Austria,c007,30.0,10
Burkina Faso,c007,30.0,11
"China, mainland",c007,20.0,12
Poland,c007,19.0,13
Australia,c007,18.0,14
Argentina,c007,15.0,15
Mali,c007,15.0,16
United Republic of Tanzania,c007,15.0,17
Kazakhstan,c007,14.0,18
Turkey,c007,13.0,19
Nigeria,c007,10.0,20
United States of America,c008,5650230.0,1
Mexico,c008,4602643.0,2
Brazil,c008,2765373.0,3
Argentina,c008,1568238.0,4
"China, mainland",c008,1157842.0,5
Sudan,c008,958600.0,6
Bolivia (Plurinational State of),c008,916807.0,7
India,c008,885616.0,8
Nigeria,c008,718536.0,9
United Republic of Tanzania,c008,686113.0,10
Burkina Faso,c008,621026.0,11
Mali,c008,565306.0,12
Niger,c008,548230.0,13
Cameroon,c008,445189.0,14
France,c008,433698.0,15
Australia,c008,423036.0,16
Egypt,c008,400915.0,17
Ethiopia,c008,366054.0,18
Italy,c008,364603.0,19
Senegal,c008,178000.0,20
Poland,c009,82415.0,1
Nepal,c009,24651.0,2
Canada,c009,23945.0,3
Germany,c009,18342.0,4
Lithuania,c009,15174.0,5
Thailand,c009,13644.0,6
Russian Federation,c009,11543.0,7
Turkey,c009,11233.0,8
France,c009,10892.0,9
Argentina,c009,8506.0,10
Spain,c009,6519.0,11
Czech Republic,c009,6391.0,12
Belgium,c009,5056.0,13
United States of America,c009,5010.0,14
Denmark,c009,4275.0,15
Peru,c009,3698.0,16
Italy,c009,3126.0,17
Austria,c009,3112.0,18
Bolivia (Plurinational State of),c009,2774.0,19
Bulgaria,c009,2668.0,20
Nepal,c010,657548.0,1
Netherlands,c010,9342.0,2
Germany,c010,9050.0,3
United States of America,c010,6630.0,4
Belgium,c010,6239.0,5
France,c010,5733.0,6
Canada,c010,4488.0,7
Poland,c010,2291.0,8
Egypt,c010,1335.0,9
"China, mainland",c010,1220.0,10
Argentina,c010,1001.0,11
India,c010,924.0,12
Pakistan,c010,816.0,13
Belarus,c010,791.0,14
United Kingdom,c010,655.0,15
Denmark,c010,626.0,16
Spain,c010,483.0,17
South Africa,c010,438.0,18
Turkey,c010,433.0,19
Iran (Islamic Republic of),c010,307.0,20
Thailand,c011,22678995.0,1
Nigeria,c011,21039326.0,2
Ghana,c011,11579357.0,3
Brazil,c011,10573364.0,4
Viet Nam,c011,6840555.0,5
Malawi,c011,3715710.0,6
"China, mainland",c011,3520447.0,7
Democratic Republic of the Congo,c011,3335893.0,8
Cambodia,c011,3135737.0,9
Cameroon,c011,2740600.0,10
Côte d'Ivoire,c011,2245267.0,11
Paraguay,c011,2151278.0,12
Benin,c011,1889265.0,13
Angola,c011,1651695.0,14
Philippines,c011,1551750.0,15
Lao People's Democratic Republic,c011,1464794.0,16
United Republic of Tanzania,c011,1391993.0,17
Indonesia,c011,1041543.0,18
Mozambique,c011,1023788.0,19
Senegal,c011,815755.0,20
"China, mainland",c012,22586277.0,1
Malawi,c012,6132732.0,2
Nigeria,c012,1067609.0,3
Viet Nam,c012,877188.0,4
United Republic of Tanzania,c012,666727.0,5
Madagascar,c012,558992.0,6
Brazil,c012,517879.0,7
Angola,c012,504690.0,8
Japan,c012,325318.0,9
Rwanda,c012,308768.0,10
United States of America,c012,302613.0,11
Mali,c012,213712.0,12
Egypt,c012,155700.0,13
"China, Taiwan Province of",c012,151412.0,14
Ethiopia,c012,148589.0,15
India,c012,115685.0,16
Democratic Republic of the Congo,c012,111999.0,17
Indonesia,c012,97442.0,18
Papua New Guinea,c012,96993.0,19
Uganda,c012,84819.0,20
Nepal,c013,24000.0,1
Nigeria,c014,25143059.0,1
Côte d'Ivoire,c014,2597759.0,2
Ghana,c014,2151594.0,3
