Country,Commodity,Export_Value,Rank
Pakistan,c001,710345.0,1
India,c001,173.0,2
Viet Nam,c001,70.0,3
Thailand,c001,64.0,4
"China, mainland",c001,27.0,5
United States of America,c001,27.0,6
Myanmar,c001,22.0,7
Brazil,c001,13.0,8
Uruguay,c001,11.0,9
Cambodia,c001,8.0,10
Paraguay,c001,8.0,11
Italy,c001,7.0,12
Guyana,c001,6.0,13
Argentina,c001,4.0,14
United Republic of Tanzania,c001,4.0,15
Greece,c001,2.0,16
Kazakhstan,c001,2.0,17
Lao People's Democratic Republic,c001,2.0,18
Russian Federation,c001,2.0,19
Spain,c001,2.0,20
Pakistan,c002,3133499.0,1
Russian Federation,c002,44187.0,2
Canada,c002,30246.0,3
United States of America,c002,28117.0,4
France,c002,23599.0,5
Ukraine,c002,19919.0,6
Argentina,c002,12909.0,7
Australia,c002,11724.0,8
Germany,c002,11608.0,9
Kazakhstan,c002,7846.0,10
Poland,c002,6221.0,11
Lithuania,c002,4783.0,12
Romania,c002,3985.0,13
Bulgaria,c002,3885.0,14
Hungary,c002,3751.0,15
Turkey,c002,3707.0,16
Czech Republic,c002,3102.0,17
Latvia,c002,2857.0,18
Italy,c002,2526.0,19
India,c002,1764.0,20
Pakistan,c003,10388.0,1
France,c003,292.0,2
Russian Federation,c003,185.0,3
Australia,c003,184.0,4
Ukraine,c003,161.0,5
Canada,c003,122.0,6
Germany,c003,105.0,7
Argentina,c003,101.0,8
United Kingdom,c003,63.0,9
Kazakhstan,c003,35.0,10
Denmark,c003,33.0,11
Hungary,c003,30.0,12
Romania,c003,28.0,13
Czech Republic,c003,20.0,14
Sweden,c003,19.0,15
United States of America,c003,19.0,16
Uruguay,c003,18.0,17
Lithuania,c003,17.0,18
Poland,c003,12.0,19
Slovakia,c003,12.0,20
Pakistan,c004,5012728.0,1
United States of America,c004,4422.0,2
Argentina,c004,3102.0,3
Brazil,c004,2893.0,4
Ukraine,c004,1831.0,5
Romania,c004,421.0,6
France,c004,364.0,7
Hungary,c004,340.0,8
Serbia,c004,308.0,9
South Africa,c004,283.0,10
Bulgaria,c004,216.0,11
India,c004,201.0,12
Russian Federation,c004,194.0,13
Paraguay,c004,178.0,14
Poland,c004,123.0,15
Croatia,c004,97.0,16
Canada,c004,94.0,17
"China, mainland",c004,83.0,18
Myanmar,c004,78.0,19
Slovakia,c004,49.0,20
Germany,c005,2828047.0,1
Poland,c005,1639520.0,2
Russian Federation,c005,1197160.0,3
Belarus,c005,887290.0,4
Denmark,c005,674173.0,5
"China, mainland",c005,421000.0,6
Spain,c005,353710.0,7
Canada,c005,286023.0,8
Argentina,c005,220999.0,9
Ukraine,c005,168958.0,10
United States of America,c005,156225.0,11
Latvia,c005,127881.0,12
Austria,c005,120007.0,13
France,c005,101516.0,14
Turkey,c005,95960.0,15
Hungary,c005,68247.0,16
Czech Republic,c005,64890.0,17
Lithuania,c005,64831.0,18
Sweden,c005,47123.0,19
Estonia,c005,44666.0,20
Canada,c006,1897.0,1
Finland,c006,345.0,2
Australia,c006,288.0,3
Chile,c006,232.0,4
United Kingdom,c006,145.0,5
Sweden,c006,141.0,6
Germany,c006,118.0,7
Poland,c006,118.0,8
Latvia,c006,104.0,9
Russian Federation,c006,96.0,10
Lithuania,c006,72.0,11
Estonia,c006,52.0,12
France,c006,49.0,13
Spain,c006,43.0,14
Denmark,c006,35.0,15
Czech Republic,c006,29.0,16
United States of America,c006,26.0,17
Ukraine,c006,23.0,18
Bulgaria,c006,21.0,19
Ireland,c006,18.0,20
Pakistan,c007,139395.0,1
Ukraine,c007,139.0,2
United States of America,c007,117.0,3
India,c007,90.0,4
Russian Federation,c007,49.0,5
France,c007,26.0,6
Myanmar,c007,14.0,7
Uzbekistan,c007,11.0,8
Austria,c007,7.0,9
Burkina Faso,c007,7.0,10
Argentina,c007,4.0,11
Australia,c007,4.0,12
"China, mainland",c007,4.0,13
Kazakhstan,c007,4.0,14
Mali,c007,4.0,15
Poland,c007,4.0,16
United Republic of Tanzania,c007,4.0,17
Nigeria,c007,2.0,18
Turkey,c007,2.0,19
Uganda,c007,2.0,20
Pakistan,c008,15841.0,1
United States of America,c008,835.0,2
Argentina,c008,58.0,3
Australia,c008,22.0,4
France,c008,21.0,5
Hungary,c008,8.0,6
Kenya,c008,8.0,7
Ukraine,c008,7.0,8
Burkina Faso,c008,6.0,9
"China, mainland",c008,4.0,10
India,c008,4.0,11
Uganda,c008,4.0,12
Russian Federation,c008,1.0,13
Pakistan,c009,9629.0,1
Poland,c009,61.0,2
Canada,c009,18.0,3
Germany,c009,13.0,4
Lithuania,c009,11.0,5
Thailand,c009,11.0,6
Russian Federation,c009,9.0,7
Turkey,c009,9.0,8
France,c009,8.0,9
Argentina,c009,6.0,10
Spain,c009,6.0,11
Czech Republic,c009,5.0,12
Denmark,c009,4.0,13
United States of America,c009,4.0,14
Belgium,c009,4.0,15
Austria,c009,2.0,16
Bolivia (Plurinational State of),c009,2.0,17
Bulgaria,c009,2.0,18
"China, mainland",c009,2.0,19
Italy,c009,2.0,20
Pakistan,c010,872502.0,1
Netherlands,c010,1761.0,2
Germany,c010,1707.0,3
United States of America,c010,1250.0,4
Belgium,c010,1177.0,5
France,c010,1081.0,6
Canada,c010,847.0,7
Poland,c010,431.0,8
Egypt,c010,252.0,9
"China, mainland",c010,230.0,10
Argentina,c010,189.0,11
India,c010,174.0,12
Belarus,c010,150.0,13
United Kingdom,c010,124.0,14
Denmark,c010,117.0,15
Spain,c010,90.0,16
South Africa,c010,83.0,17
Turkey,c010,81.0,18
Iran (Islamic Republic of),c010,57.0,19
Kazakhstan,c010,53.0,20
Thailand,c011,606.0,1
Viet Nam,c011,290.0,2
Lao People's Democratic Republic,c011,61.0,3
Indonesia,c011,14.0,4
Cambodia,c011,9.0,5
Brazil,c011,4.0,6
Paraguay,c011,4.0,7
Costa Rica,c011,2.0,8
Sri Lanka,c011,1.0,9
India,c011,1.0,10
Nicaragua,c011,1.0,11
Peru,c011,1.0,12
United Republic of Tanzania,c011,1.0,13
Uganda,c011,1.0,14
Pakistan,c012,1983.0,1
Pakistan,c013,48395.0,1
Ghana,c014,845.0,1
Côte d'Ivoire,c014,430.0,2
Jamaica,c014,207.0,3
Colombia,c014,172.0,4
Brazil,c014,102.0,5
Japan,c014,102.0,6
Costa Rica,c014,52.0,7
Nigeria,c014,17.0,8
Togo,c014,17.0,9
RoW,c014,17.0,10
Pakistan,c015,79820778.0,1
Pakistan,c016,12799.0,1
Pakistan,c017,26382.0,1
Myanmar,c017,6588.0,2
Argentina,c017,2359.0,3
United States of America,c017,2268.0,4
Canada,c017,1886.0,5
"China, mainland",c017,1516.0,6
Ethiopia,c017,830.0,7
Brazil,c017,792.0,8
Kyrgyzstan,c017,547.0,9
Nicaragua,c017,537.0,10
Uganda,c017,402.0,11
Turkey,c017,388.0,12
United Republic of Tanzania,c017,374.0,13
Australia,c017,317.0,14
Egypt,c017,274.0,15
India,c017,258.0,16
Indonesia,c017,190.0,17
Madagascar,c017,190.0,18
Mozambique,c017,158.0,19
Kenya,c017,134.0,20
Canada,c018,57703.0,1
Russian Federation,c018,10908.0,2
United States of America,c018,7227.0,3
Ukraine,c018,5798.0,4
Pakistan,c018,3734.0,5
France,c018,3498.0,6
Lithuania,c018,2119.0,7
Estonia,c018,1049.0,8
Kazakhstan,c018,872.0,9
Argentina,c018,860.0,10
Australia,c018,787.0,11
Czech Republic,c018,390.0,12
Germany,c018,373.0,13
Latvia,c018,364.0,14
Sweden,c018,327.0,15
Malawi,c018,322.0,16
New Zealand,c018,262.0,17
Hungary,c018,252.0,18
United Kingdom,c018,175.0,19
Poland,c018,165.0,20
Pakistan,c019,194476.0,1
Canada,c019,68996.0,2
Australia,c019,30434.0,3
United States of America,c019,11308.0,4
Turkey,c019,8426.0,5
India,c019,8152.0,6
Russian Federation,c019,7387.0,7
United Republic of Tanzania,c019,6996.0,8
Lithuania,c019,3075.0,9
Argentina,c019,2878.0,10
Latvia,c019,1908.0,11
Mexico,c019,1880.0,12
Ethiopia,c019,1408.0,13
Germany,c019,1405.0,14
France,c019,1355.0,15
United Kingdom,c019,1290.0,16
"China, mainland",c019,1061.0,17
Kazakhstan,c019,1029.0,18
Kenya,c019,966.0,19
Poland,c019,767.0,20
Pakistan,c020,1619.0,1
United States of America,c020,81.0,2
Côte d'Ivoire,c020,49.0,3
Turkey,c020,31.0,4
Viet Nam,c020,24.0,5
United Republic of Tanzania,c020,21.0,6
