Country,Commodity,Export_Value,Rank
Peru,c001,1139438.0,1
India,c001,48532.0,2
Viet Nam,c001,20112.0,3
Thailand,c001,18085.0,4
Pakistan,c001,13016.0,5
United States of America,c001,7962.0,6
"China, mainland",c001,7867.0,7
Myanmar,c001,6218.0,8
Brazil,c001,3626.0,9
Uruguay,c001,3067.0,10
Paraguay,c001,2622.0,11
Cambodia,c001,2424.0,12
Italy,c001,2090.0,13
Guyana,c001,1953.0,14
United Republic of Tanzania,c001,1166.0,15
Argentina,c001,1091.0,16
Spain,c001,701.0,17
"China, Taiwan Province of",c001,682.0,18
Turkey,c001,473.0,19
Kazakhstan,c001,402.0,20
Russian Federation,c002,42359.0,1
Canada,c002,28992.0,2
United States of America,c002,26953.0,3
Peru,c002,23182.0,4
France,c002,22622.0,5
Ukraine,c002,19095.0,6
Argentina,c002,12376.0,7
Australia,c002,11237.0,8
Germany,c002,11127.0,9
Kazakhstan,c002,7520.0,10
Poland,c002,5963.0,11
Lithuania,c002,4588.0,12
Romania,c002,3821.0,13
Bulgaria,c002,3724.0,14
Hungary,c002,3594.0,15
Turkey,c002,3552.0,16
Czech Republic,c002,2972.0,17
Latvia,c002,2738.0,18
Italy,c002,2420.0,19
India,c002,1694.0,20
Peru,c003,143069.0,1
France,c003,18718.0,2
Russian Federation,c003,11861.0,3
Australia,c003,11762.0,4
Ukraine,c003,10342.0,5
Canada,c003,7912.0,6
Germany,c003,6732.0,7
Argentina,c003,6468.0,8
United Kingdom,c003,4078.0,9
Kazakhstan,c003,2236.0,10
Denmark,c003,2105.0,11
Hungary,c003,1939.0,12
Romania,c003,1745.0,13
Czech Republic,c003,1346.0,14
United States of America,c003,1310.0,15
Sweden,c003,1265.0,16
Uruguay,c003,1183.0,17
Lithuania,c003,984.0,18
Slovakia,c003,836.0,19
Poland,c003,800.0,20
Peru,c004,1418169.0,1
United States of America,c004,850439.0,2
Argentina,c004,596419.0,3
Brazil,c004,556339.0,4
Ukraine,c004,352299.0,5
Romania,c004,81228.0,6
France,c004,70442.0,7
Hungary,c004,65545.0,8
Serbia,c004,59759.0,9
South Africa,c004,54596.0,10
Bulgaria,c004,41803.0,11
India,c004,38602.0,12
Russian Federation,c004,37526.0,13
Paraguay,c004,34232.0,14
Poland,c004,23820.0,15
