Country,Commodity,Export_Value,Rank
Philippines,c001,958924.0,1
India,c001,49711.0,2
Viet Nam,c001,20602.0,3
Thailand,c001,18525.0,4
Pakistan,c001,13332.0,5
United States of America,c001,8157.0,6
"China, mainland",c001,8057.0,7
Myanmar,c001,6371.0,8
Brazil,c001,3713.0,9
Uruguay,c001,3144.0,10
Paraguay,c001,2685.0,11
Cambodia,c001,2482.0,12
Italy,c001,2139.0,13
Guyana,c001,1999.0,14
United Republic of Tanzania,c001,1194.0,15
Argentina,c001,1118.0,16
Spain,c001,717.0,17
"China, Taiwan Province of",c001,699.0,18
Turkey,c001,486.0,19
Kazakhstan,c001,411.0,20
Russian Federation,c002,382643.0,1
Canada,c002,261918.0,2
United States of America,c002,243465.0,3
France,c002,204348.0,4
Ukraine,c002,172495.0,5
Philippines,c002,133027.0,6
Argentina,c002,111795.0,7
Australia,c002,101523.0,8
Germany,c002,100514.0,9
Kazakhstan,c002,67944.0,10
Poland,c002,53866.0,11
Lithuania,c002,41423.0,12
Romania,c002,34517.0,13
Bulgaria,c002,33651.0,14
Hungary,c002,32476.0,15
Turkey,c002,32100.0,16
Czech Republic,c002,26861.0,17
Latvia,c002,24731.0,18
Italy,c002,21873.0,19
India,c002,15288.0,20
France,c003,69790.0,1
Russian Federation,c003,44222.0,2
Australia,c003,43857.0,3
Ukraine,c003,38560.0,4
Canada,c003,29499.0,5
Germany,c003,25096.0,6
Argentina,c003,24109.0,7
United Kingdom,c003,15204.0,8
Kazakhstan,c003,8336.0,9
Denmark,c003,7850.0,10
Hungary,c003,7230.0,11
Romania,c003,6515.0,12
Czech Republic,c003,5023.0,13
United States of America,c003,4887.0,14
Sweden,c003,4724.0,15
Uruguay,c003,4417.0,16
Lithuania,c003,3671.0,17
Slovakia,c003,3122.0,18
Poland,c003,2982.0,19
Belgium,c003,2981.0,20
Philippines,c004,5114677.0,1
United States of America,c004,147716.0,2
Argentina,c004,103594.0,3
Brazil,c004,96633.0,4
Ukraine,c004,61192.0,5
Romania,c004,14109.0,6
France,c004,12235.0,7
Hungary,c004,11386.0,8
Serbia,c004,10380.0,9
South Africa,c004,9484.0,10
Bulgaria,c004,7260.0,11
India,c004,6705.0,12
Russian Federation,c004,6518.0,13
Paraguay,c004,5946.0,14
Poland,c004,4138.0,15
Croatia,c004,3272.0,16
Canada,c004,3157.0,17
"China, mainland",c004,2816.0,18
Myanmar,c004,2624.0,19
