Country,Commodity,Export_Value,Rank
India,c001,75284.0,1
Viet Nam,c001,31201.0,2
Thailand,c001,28056.0,3
Pakistan,c001,20191.0,4
United States of America,c001,12353.0,5
"China, mainland",c001,12203.0,6
Myanmar,c001,9647.0,7
Brazil,c001,5626.0,8
Uruguay,c001,4760.0,9
Paraguay,c001,4067.0,10
Cambodia,c001,3760.0,11
Italy,c001,3240.0,12
Guyana,c001,3028.0,13
United Republic of Tanzania,c001,1807.0,14
Argentina,c001,1693.0,15
Spain,c001,1086.0,16
"China, Taiwan Province of",c001,1060.0,17
Turkey,c001,737.0,18
Kazakhstan,c001,624.0,19
Russian Federation,c001,591.0,20
Poland,c002,3552806.0,1
Russian Federation,c002,94018.0,2
Canada,c002,64352.0,3
United States of America,c002,59813.0,4
France,c002,50210.0,5
Ukraine,c002,42384.0,6
Argentina,c002,27471.0,7
Australia,c002,24944.0,8
Germany,c002,24694.0,9
Kazakhstan,c002,16695.0,10
Lithuania,c002,10179.0,11
Romania,c002,8482.0,12
Bulgaria,c002,8270.0,13
Hungary,c002,7979.0,14
Turkey,c002,7884.0,15
Czech Republic,c002,6600.0,16
Latvia,c002,6078.0,17
Italy,c002,5372.0,18
India,c002,3757.0,19
United Kingdom,c002,3692.0,20
Poland,c003,2691739.0,1
France,c003,77225.0,2
Russian Federation,c003,48933.0,3
Australia,c003,48530.0,4
Ukraine,c003,42669.0,5
Canada,c003,32643.0,6
Germany,c003,27767.0,7
Argentina,c003,26679.0,8
United Kingdom,c003,16823.0,9
Kazakhstan,c003,9226.0,10
Denmark,c003,8689.0,11
Hungary,c003,8001.0,12
Romania,c003,7209.0,13
Czech Republic,c003,5558.0,14
United States of America,c003,5405.0,15
Sweden,c003,5226.0,16
Uruguay,c003,4888.0,17
Lithuania,c003,4062.0,18
Slovakia,c003,3454.0,19
Belgium,c003,3298.0,20
Poland,c004,4169065.0,1
United States of America,c004,96485.0,2
Argentina,c004,67665.0,3
Brazil,c004,63118.0,4
Ukraine,c004,39970.0,5
Romania,c004,9217.0,6
France,c004,7992.0,7
Hungary,c004,7436.0,8
Serbia,c004,6780.0,9
South Africa,c004,6194.0,10
Bulgaria,c004,4743.0,11
India,c004,4379.0,12
Russian Federation,c004,4257.0,13
Paraguay,c004,3884.0,14
Croatia,c004,2136.0,15
Canada,c004,2063.0,16
"China, mainland",c004,1840.0,17
Myanmar,c004,1712.0,18
Slovakia,c004,1076.0,19
Turkey,c004,972.0,20
Poland,c005,761638.0,1
Germany,c005,614.0,2
Latvia,c005,247.0,3
Canada,c005,236.0,4
Sweden,c005,83.0,5
Lithuania,c005,75.0,6
Estonia,c005,72.0,7
Czech Republic,c005,48.0,8
Slovakia,c005,42.0,9
Austria,c005,31.0,10
Denmark,c005,31.0,11
France,c005,31.0,12
Russian Federation,c005,18.0,13
Finland,c005,15.0,14
Hungary,c005,15.0,15
Spain,c005,12.0,16
Belarus,c005,10.0,17
Ukraine,c005,8.0,18
United States of America,c005,6.0,19
Italy,c005,2.0,20
Poland,c006,1414497.0,1
Canada,c006,26121.0,2
Finland,c006,4742.0,3
Australia,c006,3963.0,4
Chile,c006,3218.0,5
United Kingdom,c006,2005.0,6
Sweden,c006,1927.0,7
Germany,c006,1612.0,8
Latvia,c006,1431.0,9
Russian Federation,c006,1330.0,10
Lithuania,c006,996.0,11
Estonia,c006,737.0,12
France,c006,670.0,13
Spain,c006,584.0,14
Denmark,c006,487.0,15
Czech Republic,c006,417.0,16
United States of America,c006,354.0,17
Ukraine,c006,327.0,18
Bulgaria,c006,286.0,19
Ireland,c006,251.0,20
Poland,c007,3050.0,1
Ukraine,c007,258.0,2
United States of America,c007,220.0,3
India,c007,168.0,4
Russian Federation,c007,93.0,5
France,c007,49.0,6
Myanmar,c007,26.0,7
Pakistan,c007,26.0,8
Uzbekistan,c007,21.0,9
Austria,c007,13.0,10
