Country,Commodity,Export_Value,Rank
Portugal,c001,1433.0,1
India,c001,932.0,2
Viet Nam,c001,386.0,3
Thailand,c001,347.0,4
Pakistan,c001,250.0,5
United States of America,c001,153.0,6
"China, mainland",c001,151.0,7
Myanmar,c001,119.0,8
Brazil,c001,69.0,9
Uruguay,c001,59.0,10
Paraguay,c001,51.0,11
Cambodia,c001,46.0,12
Italy,c001,40.0,13
Guyana,c001,38.0,14
United Republic of Tanzania,c001,22.0,15
Argentina,c001,21.0,16
Spain,c001,14.0,17
"China, Taiwan Province of",c001,13.0,18
Turkey,c001,9.0,19
Kazakhstan,c001,7.0,20
Russian Federation,c002,97647.0,1
Canada,c002,66837.0,2
United States of America,c002,62129.0,3
France,c002,52147.0,4
Ukraine,c002,44018.0,5
Argentina,c002,28528.0,6
Australia,c002,25907.0,7
Germany,c002,25650.0,8
Portugal,c002,25377.0,9
Kazakhstan,c002,17340.0,10
Poland,c002,13747.0,11
Lithuania,c002,10572.0,12
Romania,c002,8808.0,13
Bulgaria,c002,8588.0,14
Hungary,c002,8288.0,15
Turkey,c002,8192.0,16
Czech Republic,c002,6855.0,17
Latvia,c002,6312.0,18
Italy,c002,5582.0,19
India,c002,3902.0,20
France,c003,63316.0,1
Portugal,c003,51289.0,2
Russian Federation,c003,40120.0,3
Australia,c003,39789.0,4
Ukraine,c003,34984.0,5
Canada,c003,26762.0,6
Germany,c003,22768.0,7
Argentina,c003,21873.0,8
United Kingdom,c003,13794.0,9
Kazakhstan,c003,7565.0,10
Denmark,c003,7122.0,11
Hungary,c003,6561.0,12
Romania,c003,5909.0,13
Czech Republic,c003,4557.0,14
United States of America,c003,4431.0,15
Sweden,c003,4285.0,16
Uruguay,c003,4006.0,17
Lithuania,c003,3329.0,18
Slovakia,c003,2832.0,19
Poland,c003,2706.0,20
Portugal,c004,650510.0,1
United States of America,c004,565054.0,2
Argentina,c004,396276.0,3
Brazil,c004,369645.0,4
Ukraine,c004,234078.0,5
Romania,c004,53970.0,6
France,c004,46800.0,7
Hungary,c004,43551.0,8
Serbia,c004,39704.0,9
South Africa,c004,36276.0,10
Bulgaria,c004,27776.0,11
India,c004,25646.0,12
Russian Federation,c004,24932.0,13
Paraguay,c004,22745.0,14
Poland,c004,15826.0,15
Croatia,c004,12511.0,16
Canada,c004,12079.0,17
"China, mainland",c004,10773.0,18
Myanmar,c004,10029.0,19
Slovakia,c004,6302.0,20
Portugal,c005,2308.0,1
Poland,c005,1470.0,2
Germany,c005,496.0,3
Latvia,c005,181.0,4
Canada,c005,173.0,5
Sweden,c005,61.0,6
Lithuania,c005,55.0,7
Estonia,c005,53.0,8
Czech Republic,c005,35.0,9
Slovakia,c005,31.0,10
Austria,c005,23.0,11
Denmark,c005,22.0,12
France,c005,22.0,13
Russian Federation,c005,14.0,14
Finland,c005,10.0,15
Hungary,c005,10.0,16
Spain,c005,9.0,17
Belarus,c005,8.0,18
Ukraine,c005,5.0,19
United States of America,c005,4.0,20
Portugal,c006,33115.0,1
Canada,c006,9099.0,2
Finland,c006,1652.0,3
Australia,c006,1380.0,4
Chile,c006,1120.0,5
United Kingdom,c006,698.0,6
Sweden,c006,671.0,7
Poland,c006,564.0,8
Germany,c006,561.0,9
Latvia,c006,499.0,10
Russian Federation,c006,464.0,11
Lithuania,c006,345.0,12
Estonia,c006,258.0,13
France,c006,233.0,14
Spain,c006,203.0,15
Denmark,c006,170.0,16
Czech Republic,c006,144.0,17
United States of America,c006,122.0,18
Ukraine,c006,114.0,19
Bulgaria,c006,100.0,20
Ukraine,c007,1337.0,1
United States of America,c007,1142.0,2
India,c007,875.0,3
Russian Federation,c007,484.0,4
France,c007,253.0,5
Myanmar,c007,137.0,6
Pakistan,c007,137.0,7
Uzbekistan,c007,104.0,8
Burkina Faso,c007,69.0,9
Austria,c007,67.0,10
"China, mainland",c007,45.0,11
Poland,c007,44.0,12
Australia,c007,41.0,13
Argentina,c007,34.0,14
Mali,c007,34.0,15
United Republic of Tanzania,c007,34.0,16
Kazakhstan,c007,33.0,17
