Country,Commodity,Export_Value,Rank
"China, mainland",c001,22525935.0,1
India,c001,16788167.0,2
Viet Nam,c001,11823932.0,3
Thailand,c001,8994767.0,4
Myanmar,c001,6393799.0,5
Bangladesh,c001,5836836.0,6
Indonesia,c001,5017883.0,7
Brazil,c001,3016862.0,8
Lao People's Democratic Republic,c001,1742744.0,9
Nepal,c001,1574150.0,10
Pakistan,c001,1553449.0,11
United States of America,c001,1549170.0,12
Cambodia,c001,1524470.0,13
Nigeria,c001,1217690.0,14
Guinea,c001,1181515.0,15
Peru,c001,1147881.0,16
Japan,c001,1027972.0,17
Republic of Korea,c001,987921.0,18
Philippines,c001,958924.0,19
Madagascar,c001,954791.0,20
Russian Federation,c002,158187.0,1
Canada,c002,108277.0,2
United States of America,c002,100650.0,3
France,c002,84481.0,4
Ukraine,c002,71310.0,5
Argentina,c002,46216.0,6
Australia,c002,41971.0,7
Germany,c002,41555.0,8
Kazakhstan,c002,28089.0,9
Poland,c002,22269.0,10
Lithuania,c002,17124.0,11
Qatar,c002,14495.0,12
Romania,c002,14269.0,13
Bulgaria,c002,13911.0,14
Hungary,c002,13425.0,15
Turkey,c002,13271.0,16
Czech Republic,c002,11106.0,17
Latvia,c002,10226.0,18
Italy,c002,9043.0,19
India,c002,6318.0,20
France,c003,40991.0,1
Russian Federation,c003,25974.0,2
Australia,c003,25760.0,3
Ukraine,c003,22649.0,4
Canada,c003,17327.0,5
Germany,c003,14741.0,6
Argentina,c003,14160.0,7
United Kingdom,c003,8930.0,8
Kazakhstan,c003,4897.0,9
Denmark,c003,4611.0,10
Hungary,c003,4247.0,11
Romania,c003,3826.0,12
Czech Republic,c003,2951.0,13
United States of America,c003,2871.0,14
Sweden,c003,2774.0,15
Uruguay,c003,2593.0,16
Lithuania,c003,2157.0,17
Slovakia,c003,1833.0,18
Poland,c003,1754.0,19
Belgium,c003,1752.0,20
United States of America,c004,15541.0,1
Argentina,c004,10899.0,2
Brazil,c004,10166.0,3
Ukraine,c004,6438.0,4
Romania,c004,1486.0,5
France,c004,1287.0,6
Hungary,c004,1198.0,7
Serbia,c004,1092.0,8
South Africa,c004,998.0,9
Bulgaria,c004,763.0,10
India,c004,706.0,11
Russian Federation,c004,686.0,12
Paraguay,c004,626.0,13
Qatar,c004,599.0,14
Poland,c004,435.0,15
