Country,Commodity,Export_Value,Rank
India,c001,1295.0,1
Romania,c001,1118.0,2
Viet Nam,c001,536.0,3
Thailand,c001,483.0,4
Pakistan,c001,346.0,5
United States of America,c001,212.0,6
"China, mainland",c001,209.0,7
Myanmar,c001,167.0,8
Brazil,c001,97.0,9
Uruguay,c001,82.0,10
Paraguay,c001,70.0,11
Cambodia,c001,65.0,12
Italy,c001,55.0,13
Guyana,c001,52.0,14
Argentina,c001,30.0,15
United Republic of Tanzania,c001,30.0,16
Spain,c001,18.0,17
"China, Taiwan Province of",c001,18.0,18
Turkey,c001,12.0,19
Greece,c001,10.0,20
Romania,c002,1321463.0,1
Russian Federation,c002,65506.0,2
Canada,c002,44839.0,3
United States of America,c002,41675.0,4
France,c002,34981.0,5
Ukraine,c002,29532.0,6
Argentina,c002,19140.0,7
Australia,c002,17380.0,8
Germany,c002,17206.0,9
Kazakhstan,c002,11632.0,10
Poland,c002,9223.0,11
Lithuania,c002,7089.0,12
Bulgaria,c002,5761.0,13
Hungary,c002,5560.0,14
Turkey,c002,5493.0,15
Czech Republic,c002,4599.0,16
Latvia,c002,4235.0,17
Italy,c002,3745.0,18
India,c002,2617.0,19
United Kingdom,c002,2574.0,20
Romania,c003,322234.0,1
France,c003,45374.0,2
Russian Federation,c003,28749.0,3
Australia,c003,28511.0,4
Ukraine,c003,25070.0,5
Canada,c003,19177.0,6
Germany,c003,16310.0,7
Argentina,c003,15674.0,8
United Kingdom,c003,9883.0,9
Kazakhstan,c003,5419.0,10
Denmark,c003,5105.0,11
Hungary,c003,4702.0,12
Czech Republic,c003,3267.0,13
United States of America,c003,3176.0,14
Sweden,c003,3071.0,15
Uruguay,c003,2872.0,16
Lithuania,c003,2386.0,17
Slovakia,c003,2028.0,18
Poland,c003,1940.0,19
Belgium,c003,1939.0,20
Romania,c004,4986784.0,1
United States of America,c004,177444.0,2
Argentina,c004,124451.0,3
Brazil,c004,116079.0,4
Ukraine,c004,73513.0,5
France,c004,14698.0,6
Hungary,c004,13677.0,7
Serbia,c004,12468.0,8
South Africa,c004,11392.0,9
Bulgaria,c004,8722.0,10
India,c004,8053.0,11
Russian Federation,c004,7831.0,12
Paraguay,c004,7143.0,13
Poland,c004,4970.0,14
Croatia,c004,3928.0,15
Canada,c004,3792.0,16
"China, mainland",c004,3381.0,17
Myanmar,c004,3150.0,18
Slovakia,c004,1979.0,19
Turkey,c004,1788.0,20
Romania,c005,7087.0,1
Poland,c005,534.0,2
Germany,c005,179.0,3
Latvia,c005,66.0,4
Canada,c005,61.0,5
Sweden,c005,23.0,6
Estonia,c005,19.0,7
Lithuania,c005,19.0,8
Czech Republic,c005,13.0,9
Slovakia,c005,9.0,10
Austria,c005,8.0,11
Denmark,c005,8.0,12
France,c005,8.0,13
Russian Federation,c005,6.0,14
Belarus,c005,1.0,15
Finland,c005,1.0,16
Hungary,c005,1.0,17
Spain,c005,1.0,18
Ukraine,c005,1.0,19
Romania,c006,187635.0,1
Canada,c006,7270.0,2
Finland,c006,1320.0,3
Australia,c006,1103.0,4
Chile,c006,896.0,5
United Kingdom,c006,558.0,6
Sweden,c006,538.0,7
Germany,c006,449.0,8
Poland,c006,449.0,9
Latvia,c006,398.0,10
Russian Federation,c006,369.0,11
Lithuania,c006,275.0,12
Estonia,c006,204.0,13
France,c006,186.0,14
Spain,c006,162.0,15
Denmark,c006,135.0,16
Czech Republic,c006,115.0,17
United States of America,c006,97.0,18
Ukraine,c006,89.0,19
Bulgaria,c006,78.0,20
India,c007,2081585.0,1
"China, mainland",c007,1437741.0,2
Niger,c007,1051135.0,3
Senegal,c007,552999.0,4
Mali,c007,494798.0,5
United Republic of Tanzania,c007,300731.0,6
Sudan,c007,293821.0,7
Nigeria,c007,280651.0,8
Russian Federation,c007,235905.0,9
Ukraine,c007,228251.0,10
Guinea,c007,205705.0,11
United States of America,c007,187190.0,12
Pakistan,c007,147616.0,13
Burkina Faso,c007,144710.0,14
Myanmar,c007,125089.0,15
Chad,c007,110376.0,16
Ethiopia,c007,93143.0,17
Ghana,c007,58956.0,18
Uzbekistan,c007,55047.0,19
Kenya,c007,54306.0,20
Romania,c008,28955.0,1
Romania,c009,241784.0,1
Poland,c009,2429.0,2
Canada,c009,705.0,3
Germany,c009,542.0,4
Lithuania,c009,447.0,5
Thailand,c009,404.0,6
Russian Federation,c009,341.0,7
Turkey,c009,330.0,8
France,c009,320.0,9
Argentina,c009,250.0,10
Spain,c009,193.0,11
Czech Republic,c009,188.0,12
Belgium,c009,147.0,13
United States of America,c009,146.0,14
Denmark,c009,126.0,15
Peru,c009,108.0,16
Italy,c009,91.0,17
Austria,c009,90.0,18
Bolivia (Plurinational State of),c009,82.0,19
Bulgaria,c009,79.0,20
Romania,c010,528560.0,1
Netherlands,c010,15039.0,2
Germany,c010,14568.0,3
United States of America,c010,10671.0,4
Belgium,c010,10041.0,5
France,c010,9227.0,6
Canada,c010,7224.0,7
Poland,c010,3687.0,8
Egypt,c010,2151.0,9
"China, mainland",c010,1963.0,10
Argentina,c010,1611.0,11
India,c010,1489.0,12
Pakistan,c010,1315.0,13
Belarus,c010,1274.0,14
United Kingdom,c010,1053.0,15
Denmark,c010,1005.0,16
Spain,c010,778.0,17
South Africa,c010,705.0,18
Turkey,c010,695.0,19
Iran (Islamic Republic of),c010,495.0,20
Thailand,c011,22678995.0,1
Nigeria,c011,21039326.0,2
Ghana,c011,11579357.0,3
Brazil,c011,10573364.0,4
Viet Nam,c011,6840555.0,5
Malawi,c011,3715710.0,6
"China, mainland",c011,3520447.0,7
Democratic Republic of the Congo,c011,3335893.0,8
Cambodia,c011,3135737.0,9
Cameroon,c011,2740600.0,10
Côte d'Ivoire,c011,2245267.0,11
Paraguay,c011,2151278.0,12
Benin,c011,1889265.0,13
Angola,c011,1651695.0,14
Philippines,c011,1551750.0,15
Lao People's Democratic Republic,c011,1464794.0,16
United Republic of Tanzania,c011,1391993.0,17
Indonesia,c011,1041543.0,18
Mozambique,c011,1023788.0,19
Senegal,c011,815755.0,20
United States of America,c012,435.0,1
Egypt,c012,117.0,2
Viet Nam,c012,76.0,3
Spain,c012,75.0,4
Lao People's Democratic Republic,c012,73.0,5
"China, mainland",c012,37.0,6
Portugal,c012,27.0,7
Honduras,c012,22.0,8
Indonesia,c012,19.0,9
Brazil,c012,18.0,10
Peru,c012,18.0,11
Dominican Republic,c012,13.0,12
South Africa,c012,12.0,13
Mali,c012,10.0,14
Japan,c012,9.0,15
Mexico,c012,9.0,16
Israel,c012,4.0,17
Argentina,c012,1.0,18
Australia,c012,1.0,19
Costa Rica,c012,1.0,20
Lao People's Democratic Republic,c013,3577530.0,1
Nigeria,c013,961874.0,2
Cameroon,c013,915038.0,3
Ethiopia,c013,823441.0,4
Ghana,c013,403943.0,5
"China, mainland",c013,334663.0,6
Democratic Republic of the Congo,c013,217546.0,7
Madagascar,c013,113432.0,8
Namibia,c013,84362.0,9
Colombia,c013,72940.0,10
Peru,c013,67152.0,11
Cuba,c013,66876.0,12
Indonesia,c013,60145.0,13
Mexico,c013,58359.0,14
Papua New Guinea,c013,50001.0,15
Pakistan,c013,48395.0,16
Nicaragua,c013,47170.0,17
Guinea,c013,42963.0,18
Japan,c013,39204.0,19
Gabon,c013,38836.0,20
Nigeria,c014,25143059.0,1
Côte d'Ivoire,c014,2597759.0,2
Ghana,c014,2151594.0,3
Benin,c014,1395408.0,4
Togo,c014,216560.0,5
Chad,c014,157002.0,6
Cameroon,c014,139996.0,7
Brazil,c014,120704.0,8
Central African Republic,c014,81000.0,9
Gabon,c014,70738.0,10
Guinea,c014,62950.0,11
Colombia,c014,44500.0,12
Papua New Guinea,c014,28000.0,13
Jamaica,c014,26804.0,14
Haiti,c014,24620.0,15
Japan,c014,21788.0,16
Democratic Republic of the Congo,c014,19873.0,17
Burkina Faso,c014,15999.0,18
Mali,c014,13152.0,19
Rwanda,c014,13001.0,20
Brazil,c015,738261328.0,1
India,c015,350428918.0,2
"China, mainland",c015,108182821.0,3
Pakistan,c015,79820778.0,4
Thailand,c015,71579466.0,5
Mexico,c015,50672847.0,6
United States of America,c015,32756709.0,7
Indonesia,c015,29299999.0,8
Australia,c015,28722750.0,9
Guatemala,c015,27661587.0,10
Colombia,c015,25742000.0,11
Philippines,c015,24384000.0,12
South Africa,c015,18220000.0,13
Argentina,c015,17500000.0,14
Cuba,c015,13189803.0,15
Egypt,c015,12405000.0,16
Myanmar,c015,11548011.0,17
Viet Nam,c015,11088286.0,18
Peru,c015,10469000.0,19
Bolivia (Plurinational State of),c015,8376707.0,20
Romania,c016,717923.0,1
Myanmar,c017,1583450.0,1
India,c017,883259.0,2
"China, mainland",c017,571819.0,3
Brazil,c017,280293.0,4
Belarus,c017,236939.0,5
United Republic of Tanzania,c017,196279.0,6
Mozambique,c017,186464.0,7
Kenya,c017,145808.0,8
Togo,c017,136037.0,9
Angola,c017,119039.0,10
Burundi,c017,118777.0,11
Argentina,c017,116582.0,12
Mexico,c017,114832.0,13
Malawi,c017,106391.0,14
Mali,c017,97000.0,15
Kazakhstan,c017,94426.0,16
United States of America,c017,91399.0,17
Cameroon,c017,77177.0,18
Uganda,c017,67809.0,19
Canada,c017,66521.0,20
Romania,c018,76420.0,1
Canada,c018,2742.0,2
Russian Federation,c018,518.0,3
United States of America,c018,342.0,4
Ukraine,c018,276.0,5
France,c018,166.0,6
Lithuania,c018,99.0,7
Estonia,c018,50.0,8
Argentina,c018,42.0,9
Kazakhstan,c018,42.0,10
Australia,c018,37.0,11
Czech Republic,c018,19.0,12
Germany,c018,18.0,13
Latvia,c018,18.0,14
Malawi,c018,15.0,15
Sweden,c018,15.0,16
Hungary,c018,13.0,17
New Zealand,c018,13.0,18
United Kingdom,c018,8.0,19
Denmark,c018,6.0,20
Romania,c019,8274.0,1
Canada,c019,1110.0,2
Australia,c019,491.0,3
United States of America,c019,181.0,4
Turkey,c019,136.0,5
India,c019,129.0,6
Russian Federation,c019,118.0,7
United Republic of Tanzania,c019,112.0,8
Lithuania,c019,49.0,9
Argentina,c019,46.0,10
Latvia,c019,32.0,11
Mexico,c019,32.0,12
Ethiopia,c019,22.0,13
France,c019,21.0,14
Germany,c019,21.0,15
United Kingdom,c019,21.0,16
"China, mainland",c019,16.0,17
Kazakhstan,c019,16.0,18
Kenya,c019,14.0,19
Poland,c019,13.0,20
Romania,c020,1854.0,1
United States of America,c020,243.0,2
Côte d'Ivoire,c020,147.0,3
Turkey,c020,94.0,4
Viet Nam,c020,73.0,5
United Republic of Tanzania,c020,63.0,6
"China, mainland",c020,53.0,7
Spain,c020,52.0,8
India,c020,34.0,9
Chile,c020,33.0,10
Indonesia,c020,30.0,11
Australia,c020,28.0,12
Mexico,c020,26.0,13
Iran (Islamic Republic of),c020,24.0,14
Nigeria,c020,21.0,15
Guinea-Bissau,c020,20.0,16
Ghana,c020,19.0,17
Benin,c020,17.0,18
Italy,c020,15.0,19
Mozambique,c020,15.0,20
Romania,c021,223498.0,1
Brazil,c021,66357.0,2
United States of America,c021,59280.0,3
Paraguay,c021,6569.0,4
Argentina,c021,5864.0,5
Canada,c021,4191.0,6
Uruguay,c021,1785.0,7
Ukraine,c021,1351.0,8
Russian Federation,c021,822.0,9
Croatia,c021,251.0,10
Serbia,c021,247.0,11
Slovakia,c021,83.0,12
France,c021,77.0,13
India,c021,71.0,14
Ethiopia,c021,68.0,15
Austria,c021,60.0,16
Hungary,c021,50.0,17
"China, mainland",c021,48.0,18
Kazakhstan,c021,38.0,19
Mozambique,c021,35.0,20
"China, mainland",c022,8272004.0,1
India,c022,3180620.0,2
Nigeria,c022,2648499.0,3
Sudan,c022,1205009.0,4
Myanmar,c022,1203906.0,5
United States of America,c022,857113.0,6
Senegal,c022,789218.0,7
Chad,c022,696242.0,8
Argentina,c022,523376.0,9
Guinea,c022,486474.0,10
Cameroon,c022,391489.0,11
Brazil,c022,318424.0,12
Malawi,c022,301193.0,13
Burkina Faso,c022,239911.0,14
Niger,c022,224242.0,15
Mali,c022,207512.0,16
Ghana,c022,202499.0,17
Viet Nam,c022,180163.0,18
Central African Republic,c022,163737.0,19
United Republic of Tanzania,c022,163215.0,20
Romania,c023,1177419.0,1
Bulgaria,c023,14081.0,2
"China, mainland",c023,11588.0,3
Republic of Moldova,c023,9215.0,4
France,c023,8903.0,5
Hungary,c023,8004.0,6
Kazakhstan,c023,5733.0,7
Argentina,c023,5023.0,8
Serbia,c023,3475.0,9
Slovakia,c023,2430.0,10
Turkey,c023,2085.0,11
United States of America,c023,1469.0,12
Croatia,c023,1275.0,13
Canada,c023,872.0,14
Spain,c023,659.0,15
Greece,c023,510.0,16
Austria,c023,239.0,17
Lithuania,c023,194.0,18
Mozambique,c023,92.0,19
Germany,c023,86.0,20
Romania,c024,343528.0,1
Canada,c024,19396.0,2
Ukraine,c024,3687.0,3
Australia,c024,2719.0,4
Russian Federation,c024,1189.0,5
Hungary,c024,1099.0,6
