Country,Commodity,Export_Value,Rank
Russian Federation,c001,71648.0,1
India,c001,7511.0,2
Viet Nam,c001,3112.0,3
Thailand,c001,2800.0,4
Pakistan,c001,2012.0,5
United States of America,c001,1231.0,6
"China, mainland",c001,1217.0,7
Myanmar,c001,961.0,8
Brazil,c001,561.0,9
Uruguay,c001,474.0,10
Paraguay,c001,406.0,11
Cambodia,c001,376.0,12
Italy,c001,324.0,13
Guyana,c001,301.0,14
United Republic of Tanzania,c001,179.0,15
Argentina,c001,170.0,16
Spain,c001,107.0,17
"China, Taiwan Province of",c001,106.0,18
Turkey,c001,74.0,19
Kazakhstan,c001,63.0,20
Russian Federation,c002,24592773.0,1
Canada,c002,23687.0,2
United States of America,c002,22000.0,3
France,c002,18478.0,4
Ukraine,c002,15604.0,5
Argentina,c002,10115.0,6
Australia,c002,9183.0,7
Germany,c002,9084.0,8
Kazakhstan,c002,6144.0,9
Poland,c002,4872.0,10
Lithuania,c002,3747.0,11
Romania,c002,3121.0,12
Bulgaria,c002,3043.0,13
Hungary,c002,2937.0,14
Turkey,c002,2896.0,15
Czech Republic,c002,2428.0,16
Latvia,c002,2237.0,17
Italy,c002,1977.0,18
India,c002,1382.0,19
United Kingdom,c002,1359.0,20
Russian Federation,c003,15378252.0,1
France,c003,28918.0,2
Australia,c003,18175.0,3
Ukraine,c003,15979.0,4
Canada,c003,12227.0,5
Germany,c003,10389.0,6
Argentina,c003,9991.0,7
United Kingdom,c003,6301.0,8
Kazakhstan,c003,3454.0,9
Denmark,c003,3254.0,10
Hungary,c003,2995.0,11
Romania,c003,2698.0,12
Czech Republic,c003,2081.0,13
United States of America,c003,2027.0,14
Sweden,c003,1958.0,15
Uruguay,c003,1831.0,16
Lithuania,c003,1521.0,17
Slovakia,c003,1292.0,18
Poland,c003,1237.0,19
Belgium,c003,1234.0,20
Russian Federation,c004,11800272.0,1
United States of America,c004,13482.0,2
Argentina,c004,9455.0,3
Brazil,c004,8819.0,4
Ukraine,c004,5583.0,5
Romania,c004,1289.0,6
France,c004,1118.0,7
Hungary,c004,1041.0,8
Serbia,c004,946.0,9
South Africa,c004,867.0,10
Bulgaria,c004,661.0,11
India,c004,611.0,12
Paraguay,c004,541.0,13
Poland,c004,378.0,14
Croatia,c004,298.0,15
Canada,c004,288.0,16
"China, mainland",c004,257.0,17
Myanmar,c004,239.0,18
Slovakia,c004,150.0,19
Turkey,c004,135.0,20
Russian Federation,c005,1189254.0,1
Poland,c005,21397.0,2
Germany,c005,7213.0,3
Latvia,c005,2646.0,4
Canada,c005,2516.0,5
Sweden,c005,892.0,6
Lithuania,c005,806.0,7
Estonia,c005,772.0,8
Czech Republic,c005,515.0,9
Slovakia,c005,447.0,10
Austria,c005,330.0,11
Denmark,c005,325.0,12
France,c005,324.0,13
Hungary,c005,150.0,14
Finland,c005,147.0,15
Spain,c005,132.0,16
Belarus,c005,115.0,17
Ukraine,c005,82.0,18
United States of America,c005,48.0,19
Italy,c005,31.0,20
Russian Federation,c006,3805939.0,1
Canada,c006,5903.0,2
