Country,Commodity,Export_Value,Rank
India,c001,998.0,1
Viet Nam,c001,414.0,2
Thailand,c001,372.0,3
Pakistan,c001,267.0,4
United States of America,c001,164.0,5
"China, mainland",c001,161.0,6
Myanmar,c001,128.0,7
Brazil,c001,74.0,8
Uruguay,c001,63.0,9
Paraguay,c001,54.0,10
Cambodia,c001,49.0,11
Italy,c001,44.0,12
Guyana,c001,40.0,13
United Republic of Tanzania,c001,24.0,14
Argentina,c001,22.0,15
Spain,c001,16.0,16
"China, Taiwan Province of",c001,15.0,17
Turkey,c001,9.0,18
Kazakhstan,c001,7.0,19
Greece,c001,6.0,20
Russian Federation,c002,569129.0,1
Canada,c002,389565.0,2
United States of America,c002,362122.0,3
Saudi Arabia,c002,322754.0,4
France,c002,303943.0,5
Ukraine,c002,256566.0,6
Argentina,c002,166280.0,7
Australia,c002,151001.0,8
Germany,c002,149503.0,9
Kazakhstan,c002,101057.0,10
Poland,c002,80120.0,11
Lithuania,c002,61611.0,12
Romania,c002,51341.0,13
Bulgaria,c002,50052.0,14
Hungary,c002,48304.0,15
Turkey,c002,47746.0,16
Czech Republic,c002,39953.0,17
Latvia,c002,36786.0,18
Italy,c002,32531.0,19
India,c002,22739.0,20
France,c003,527219.0,1
Saudi Arabia,c003,421076.0,2
Russian Federation,c003,334082.0,3
Australia,c003,331320.0,4
Ukraine,c003,291304.0,5
Canada,c003,222854.0,6
Germany,c003,189580.0,7
Argentina,c003,182132.0,8
United Kingdom,c003,114853.0,9
Kazakhstan,c003,62978.0,10
Denmark,c003,59308.0,11
Hungary,c003,54622.0,12
Romania,c003,49209.0,13
Czech Republic,c003,37949.0,14
United States of America,c003,36905.0,15
Sweden,c003,35683.0,16
Uruguay,c003,33364.0,17
Lithuania,c003,27736.0,18
Slovakia,c003,23580.0,19
Poland,c003,22540.0,20
United States of America,c004,612269.0,1
Argentina,c004,429387.0,2
Brazil,c004,400532.0,3
Ukraine,c004,253638.0,4
Romania,c004,58481.0,5
France,c004,50714.0,6
Hungary,c004,47189.0,7
Saudi Arabia,c004,45441.0,8
Serbia,c004,43022.0,9
South Africa,c004,39309.0,10
Bulgaria,c004,30096.0,11
India,c004,27792.0,12
Russian Federation,c004,27016.0,13
Paraguay,c004,24645.0,14
Poland,c004,17149.0,15
Croatia,c004,13556.0,16
Canada,c004,13088.0,17
"China, mainland",c004,11673.0,18
Myanmar,c004,10869.0,19
Slovakia,c004,6828.0,20
Germany,c005,2828047.0,1
Poland,c005,1639520.0,2
Russian Federation,c005,1197160.0,3
Belarus,c005,887290.0,4
Denmark,c005,674173.0,5
"China, mainland",c005,421000.0,6
Spain,c005,353710.0,7
Canada,c005,286023.0,8
Argentina,c005,220999.0,9
Ukraine,c005,168958.0,10
United States of America,c005,156225.0,11
Latvia,c005,127881.0,12
Austria,c005,120007.0,13
France,c005,101516.0,14
Turkey,c005,95960.0,15
Hungary,c005,68247.0,16
Czech Republic,c005,64890.0,17
Lithuania,c005,64831.0,18
Sweden,c005,47123.0,19
Estonia,c005,44666.0,20
Russian Federation,c006,3863945.0,1
Canada,c006,2707425.0,2
Poland,c006,1483855.0,3
Spain,c006,1327958.0,4
Australia,c006,1004897.0,5
Finland,c006,829611.0,6
Sweden,c006,634473.0,7
Argentina,c006,550929.0,8
United Kingdom,c006,472876.0,9
"China, mainland",c006,436828.0,10
Ukraine,c006,427371.0,11
United States of America,c006,358808.0,12
Denmark,c006,347410.0,13
Belarus,c006,328425.0,14
Germany,c006,318260.0,15
France,c006,304269.0,16
Chile,c006,296623.0,17
Norway,c006,281980.0,18
Turkey,c006,251304.0,19
Lithuania,c006,223426.0,20
