Country,Commodity,Export_Value,Rank
India,c001,514.0,1
Sudan,c001,468.0,2
Viet Nam,c001,212.0,3
Thailand,c001,192.0,4
Pakistan,c001,138.0,5
"China, mainland",c001,84.0,6
United States of America,c001,84.0,7
Myanmar,c001,66.0,8
Brazil,c001,38.0,9
Uruguay,c001,32.0,10
Paraguay,c001,28.0,11
Cambodia,c001,26.0,12
Italy,c001,22.0,13
Guyana,c001,20.0,14
Argentina,c001,12.0,15
United Republic of Tanzania,c001,12.0,16
Spain,c001,8.0,17
"China, Taiwan Province of",c001,8.0,18
Turkey,c001,6.0,19
Greece,c001,4.0,20
Sudan,c002,11612.0,1
Russian Federation,c002,5692.0,2
Canada,c002,3896.0,3
United States of America,c002,3621.0,4
France,c002,3039.0,5
Ukraine,c002,2566.0,6
Argentina,c002,1663.0,7
Australia,c002,1510.0,8
Germany,c002,1496.0,9
Kazakhstan,c002,1011.0,10
Poland,c002,802.0,11
Lithuania,c002,616.0,12
Romania,c002,513.0,13
Bulgaria,c002,501.0,14
Hungary,c002,484.0,15
Turkey,c002,478.0,16
Czech Republic,c002,399.0,17
Latvia,c002,368.0,18
Italy,c002,325.0,19
India,c002,227.0,20
Russian Federation,c003,19051434.0,1
Spain,c003,10755352.0,2
Germany,c003,10292628.0,3
France,c003,8778872.0,4
Canada,c003,7864047.0,5
Australia,c003,7834754.0,6
Turkey,c003,7756301.0,7
United Kingdom,c003,7408863.0,8
Ukraine,c003,6346832.0,9
Denmark,c003,3962774.0,10
Poland,c003,2937469.0,11
Iran (Islamic Republic of),c003,2802838.0,12
Argentina,c003,2696455.0,13
Syrian Arab Republic,c003,2226863.0,14
Kazakhstan,c003,2166083.0,15
Ireland,c003,1481561.0,16
Hungary,c003,1317670.0,17
Czech Republic,c003,1316766.0,18
United States of America,c003,1280064.0,19
Finland,c003,1261060.0,20
Sudan,c004,8499.0,1
United States of America,c004,5164.0,2
Argentina,c004,3623.0,3
Brazil,c004,3379.0,4
Ukraine,c004,2140.0,5
Romania,c004,493.0,6
France,c004,427.0,7
Hungary,c004,398.0,8
Serbia,c004,363.0,9
South Africa,c004,330.0,10
Bulgaria,c004,253.0,11
India,c004,234.0,12
Russian Federation,c004,227.0,13
Paraguay,c004,207.0,14
Poland,c004,145.0,15
Croatia,c004,114.0,16
Canada,c004,110.0,17
"China, mainland",c004,100.0,18
Myanmar,c004,92.0,19
Slovakia,c004,58.0,20
Germany,c005,2828047.0,1
Poland,c005,1639520.0,2
Russian Federation,c005,1197160.0,3
Belarus,c005,887290.0,4
Denmark,c005,674173.0,5
"China, mainland",c005,421000.0,6
Spain,c005,353710.0,7
Canada,c005,286023.0,8
Argentina,c005,220999.0,9
Ukraine,c005,168958.0,10
United States of America,c005,156225.0,11
Latvia,c005,127881.0,12
Austria,c005,120007.0,13
France,c005,101516.0,14
Turkey,c005,95960.0,15
Hungary,c005,68247.0,16
Czech Republic,c005,64890.0,17
Lithuania,c005,64831.0,18
Sweden,c005,47123.0,19
Estonia,c005,44666.0,20
Russian Federation,c006,3863945.0,1
Canada,c006,2707425.0,2
Poland,c006,1483855.0,3
Spain,c006,1327958.0,4
Australia,c006,1004897.0,5
Finland,c006,829611.0,6
Sweden,c006,634473.0,7
Argentina,c006,550929.0,8
United Kingdom,c006,472876.0,9
"China, mainland",c006,436828.0,10
Ukraine,c006,427371.0,11
United States of America,c006,358808.0,12
Denmark,c006,347410.0,13
Belarus,c006,328425.0,14
Germany,c006,318260.0,15
France,c006,304269.0,16
Chile,c006,296623.0,17
Norway,c006,281980.0,18
Turkey,c006,251304.0,19
Lithuania,c006,223426.0,20
Sudan,c007,293821.0,1
Sudan,c008,958208.0,1
United States of America,c008,18617.0,2
Argentina,c008,1303.0,3
Australia,c008,511.0,4
France,c008,469.0,5
Kenya,c008,185.0,6
Hungary,c008,170.0,7
Ukraine,c008,146.0,8
Burkina Faso,c008,118.0,9
India,c008,101.0,10
"China, mainland",c008,75.0,11
Uganda,c008,75.0,12
Russian Federation,c008,47.0,13
Bolivia (Plurinational State of),c008,33.0,14
Brazil,c008,31.0,15
Republic of Moldova,c008,31.0,16
United Republic of Tanzania,c008,31.0,17
Paraguay,c008,20.0,18
South Africa,c008,18.0,19
Romania,c008,17.0,20
Poland,c009,8350897.0,1
Germany,c009,2276712.0,2
France,c009,2006143.0,3
Belarus,c009,1549796.0,4
"China, mainland",c009,1527161.0,5
Spain,c009,1260269.0,6
Russian Federation,c009,897105.0,7
Lithuania,c009,597095.0,8
Turkey,c009,539734.0,9
Hungary,c009,498892.0,10
Canada,c009,472574.0,11
Ethiopia,c009,433131.0,12
Austria,c009,390099.0,13
Kazakhstan,c009,384368.0,14
Thailand,c009,327800.0,15
Czech Republic,c009,292489.0,16
Romania,c009,254244.0,17
Sweden,c009,239393.0,18
Argentina,c009,199000.0,19
Belgium,c009,175233.0,20
Sudan,c010,28528.0,1
Netherlands,c010,78.0,2
Germany,c010,76.0,3
United States of America,c010,55.0,4
Belgium,c010,52.0,5
France,c010,48.0,6
Canada,c010,38.0,7
Poland,c010,19.0,8
Egypt,c010,11.0,9
"China, mainland",c010,10.0,10
Argentina,c010,8.0,11
India,c010,8.0,12
Belarus,c010,7.0,13
Pakistan,c010,7.0,14
Denmark,c010,5.0,15
United Kingdom,c010,5.0,16
South Africa,c010,4.0,17
Spain,c010,4.0,18
Turkey,c010,4.0,19
Iran (Islamic Republic of),c010,3.0,20
Thailand,c011,22678995.0,1
Nigeria,c011,21039326.0,2
Ghana,c011,11579357.0,3
Brazil,c011,10573364.0,4
Viet Nam,c011,6840555.0,5
Malawi,c011,3715710.0,6
"China, mainland",c011,3520447.0,7
Democratic Republic of the Congo,c011,3335893.0,8
Cambodia,c011,3135737.0,9
Cameroon,c011,2740600.0,10
Côte d'Ivoire,c011,2245267.0,11
Paraguay,c011,2151278.0,12
Benin,c011,1889265.0,13
Angola,c011,1651695.0,14
Philippines,c011,1551750.0,15
Lao People's Democratic Republic,c011,1464794.0,16
United Republic of Tanzania,c011,1391993.0,17
Indonesia,c011,1041543.0,18
Mozambique,c011,1023788.0,19
Senegal,c011,815755.0,20
Sudan,c012,16000.0,1
Lao People's Democratic Republic,c013,3577530.0,1
Nigeria,c013,961874.0,2
Cameroon,c013,915038.0,3
Ethiopia,c013,823441.0,4
Ghana,c013,403943.0,5
"China, mainland",c013,334663.0,6
Democratic Republic of the Congo,c013,217546.0,7
Madagascar,c013,113432.0,8
Namibia,c013,84362.0,9
Colombia,c013,72940.0,10
Peru,c013,67152.0,11
Cuba,c013,66876.0,12
Indonesia,c013,60145.0,13
Mexico,c013,58359.0,14
Papua New Guinea,c013,50001.0,15
Pakistan,c013,48395.0,16
Nicaragua,c013,47170.0,17
Guinea,c013,42963.0,18
Japan,c013,39204.0,19
Gabon,c013,38836.0,20
Sudan,c014,10000.0,1
Sudan,c015,4973000.0,1
