Country,Commodity,Export_Value,Rank
Senegal,c001,372211.0,1
India,c001,145910.0,2
Viet Nam,c001,60472.0,3
Thailand,c001,54375.0,4
Pakistan,c001,39131.0,5
United States of America,c001,23940.0,6
"China, mainland",c001,23650.0,7
Myanmar,c001,18698.0,8
Brazil,c001,10901.0,9
Uruguay,c001,9229.0,10
Paraguay,c001,7884.0,11
Cambodia,c001,7289.0,12
Italy,c001,6280.0,13
Guyana,c001,5871.0,14
United Republic of Tanzania,c001,3502.0,15
Argentina,c001,3282.0,16
Spain,c001,2105.0,17
"China, Taiwan Province of",c001,2054.0,18
Turkey,c001,1428.0,19
Kazakhstan,c001,1208.0,20
Russian Federation,c002,58499.0,1
Canada,c002,40042.0,2
United States of America,c002,37223.0,3
France,c002,31241.0,4
Ukraine,c002,26371.0,5
Argentina,c002,17092.0,6
Australia,c002,15522.0,7
Germany,c002,15367.0,8
Kazakhstan,c002,10388.0,9
Poland,c002,8236.0,10
Lithuania,c002,6333.0,11
Romania,c002,5277.0,12
Bulgaria,c002,5143.0,13
Hungary,c002,4966.0,14
Turkey,c002,4908.0,15
Czech Republic,c002,4105.0,16
Latvia,c002,3782.0,17
Senegal,c002,3415.0,18
Italy,c002,3344.0,19
India,c002,2338.0,20
France,c003,592.0,1
Russian Federation,c003,375.0,2
Australia,c003,372.0,3
Ukraine,c003,327.0,4
Canada,c003,250.0,5
Germany,c003,213.0,6
Argentina,c003,205.0,7
United Kingdom,c003,129.0,8
Kazakhstan,c003,71.0,9
Denmark,c003,67.0,10
Hungary,c003,61.0,11
Romania,c003,55.0,12
Czech Republic,c003,43.0,13
United States of America,c003,41.0,14
Sweden,c003,40.0,15
Uruguay,c003,37.0,16
Lithuania,c003,31.0,17
Slovakia,c003,26.0,18
Poland,c003,25.0,19
Belgium,c003,25.0,20
Senegal,c004,217670.0,1
United States of America,c004,25118.0,2
Argentina,c004,17615.0,3
Brazil,c004,16432.0,4
Ukraine,c004,10407.0,5
Romania,c004,2400.0,6
France,c004,2080.0,7
Hungary,c004,1936.0,8
Serbia,c004,1765.0,9
South Africa,c004,1614.0,10
Bulgaria,c004,1234.0,11
India,c004,1140.0,12
Russian Federation,c004,1108.0,13
Paraguay,c004,1012.0,14
Poland,c004,702.0,15
Croatia,c004,557.0,16
Canada,c004,537.0,17
"China, mainland",c004,479.0,18
Myanmar,c004,446.0,19
Slovakia,c004,281.0,20
Germany,c005,2828047.0,1
Poland,c005,1639520.0,2
Russian Federation,c005,1197160.0,3
Belarus,c005,887290.0,4
Denmark,c005,674173.0,5
"China, mainland",c005,421000.0,6
Spain,c005,353710.0,7
Canada,c005,286023.0,8
Argentina,c005,220999.0,9
Ukraine,c005,168958.0,10
United States of America,c005,156225.0,11
Latvia,c005,127881.0,12
Austria,c005,120007.0,13
France,c005,101516.0,14
Turkey,c005,95960.0,15
Hungary,c005,68247.0,16
Czech Republic,c005,64890.0,17
Lithuania,c005,64831.0,18
Sweden,c005,47123.0,19
Estonia,c005,44666.0,20
Russian Federation,c006,3863945.0,1
Canada,c006,2707425.0,2
Poland,c006,1483855.0,3
Spain,c006,1327958.0,4
Australia,c006,1004897.0,5
Finland,c006,829611.0,6
Sweden,c006,634473.0,7
Argentina,c006,550929.0,8
United Kingdom,c006,472876.0,9
"China, mainland",c006,436828.0,10
Ukraine,c006,427371.0,11
United States of America,c006,358808.0,12
Denmark,c006,347410.0,13
Belarus,c006,328425.0,14
Germany,c006,318260.0,15
France,c006,304269.0,16
Chile,c006,296623.0,17
Norway,c006,281980.0,18
Turkey,c006,251304.0,19
Lithuania,c006,223426.0,20
Senegal,c007,552999.0,1
Senegal,c008,178000.0,1
Senegal,c009,2467.0,1
Poland,c009,163.0,2
Canada,c009,48.0,3
Germany,c009,36.0,4
Lithuania,c009,30.0,5
Thailand,c009,27.0,6
Russian Federation,c009,23.0,7
France,c009,22.0,8
Turkey,c009,22.0,9
Argentina,c009,18.0,10
Czech Republic,c009,12.0,11
Spain,c009,12.0,12
United States of America,c009,9.0,13
Belgium,c009,9.0,14
Denmark,c009,8.0,15
Peru,c009,7.0,16
Austria,c009,6.0,17
Italy,c009,6.0,18
Bolivia (Plurinational State of),c009,5.0,19
Bulgaria,c009,5.0,20
Senegal,c010,60072.0,1
Netherlands,c010,4291.0,2
Germany,c010,4155.0,3
United States of America,c010,3044.0,4
Belgium,c010,2866.0,5
France,c010,2633.0,6
Canada,c010,2061.0,7
Poland,c010,1053.0,8
Egypt,c010,614.0,9
"China, mainland",c010,561.0,10
Argentina,c010,459.0,11
India,c010,426.0,12
Pakistan,c010,375.0,13
Belarus,c010,364.0,14
United Kingdom,c010,299.0,15
Denmark,c010,285.0,16
Spain,c010,224.0,17
South Africa,c010,201.0,18
Turkey,c010,199.0,19
Iran (Islamic Republic of),c010,141.0,20
Senegal,c011,815755.0,1
Thailand,c011,753.0,2
Viet Nam,c011,360.0,3
Lao People's Democratic Republic,c011,76.0,4
Indonesia,c011,17.0,5
Cambodia,c011,11.0,6
Brazil,c011,5.0,7
Paraguay,c011,5.0,8
Costa Rica,c011,3.0,9
United Republic of Tanzania,c011,1.0,10
Senegal,c012,46001.0,1
Lao People's Democratic Republic,c013,3577530.0,1
Nigeria,c013,961874.0,2
Cameroon,c013,915038.0,3
Ethiopia,c013,823441.0,4
Ghana,c013,403943.0,5
"China, mainland",c013,334663.0,6
Democratic Republic of the Congo,c013,217546.0,7
Madagascar,c013,113432.0,8
Namibia,c013,84362.0,9
Colombia,c013,72940.0,10
Peru,c013,67152.0,11
Cuba,c013,66876.0,12
Indonesia,c013,60145.0,13
Mexico,c013,58359.0,14
Papua New Guinea,c013,50001.0,15
Pakistan,c013,48395.0,16
