Country,Commodity,Export_Value,Rank
Sierra Leone,c001,157834.0,1
India,c001,32208.0,2
Viet Nam,c001,13348.0,3
Thailand,c001,12002.0,4
Pakistan,c001,8638.0,5
United States of America,c001,5285.0,6
"China, mainland",c001,5220.0,7
Myanmar,c001,4126.0,8
Brazil,c001,2407.0,9
Uruguay,c001,2038.0,10
Paraguay,c001,1741.0,11
Cambodia,c001,1608.0,12
Italy,c001,1386.0,13
Guyana,c001,1294.0,14
United Republic of Tanzania,c001,774.0,15
Argentina,c001,724.0,16
Spain,c001,464.0,17
"China, Taiwan Province of",c001,453.0,18
Turkey,c001,317.0,19
Kazakhstan,c001,266.0,20
"China, mainland",c002,46619235.0,1
Russian Federation,c002,38177076.0,2
France,c002,17390011.0,3
India,c002,16596724.0,4
United States of America,c002,14975432.0,5
Canada,c002,14816719.0,6
Germany,c002,12266647.0,7
Turkey,c002,11985297.0,8
Ukraine,c002,9961921.0,9
Australia,c002,7353382.0,10
United Kingdom,c002,6870013.0,11
Poland,c002,5456764.0,12
Argentina,c002,5162522.0,13
Kazakhstan,c002,5080736.0,14
Spain,c002,4965209.0,15
Denmark,c002,3494207.0,16
Pakistan,c002,3148248.0,17
Hungary,c002,2613653.0,18
Romania,c002,2544050.0,19
Czech Republic,c002,2516528.0,20
France,c003,352.0,1
Russian Federation,c003,223.0,2
Australia,c003,221.0,3
Ukraine,c003,194.0,4
Canada,c003,149.0,5
Germany,c003,127.0,6
Argentina,c003,122.0,7
United Kingdom,c003,77.0,8
Kazakhstan,c003,42.0,9
Denmark,c003,40.0,10
Hungary,c003,36.0,11
Romania,c003,33.0,12
Czech Republic,c003,25.0,13
United States of America,c003,25.0,14
Sweden,c003,24.0,15
Uruguay,c003,22.0,16
Lithuania,c003,19.0,17
Slovakia,c003,16.0,18
Poland,c003,15.0,19
Belgium,c003,15.0,20
Sierra Leone,c004,4730.0,1
United States of America,c004,45.0,2
Argentina,c004,30.0,3
Brazil,c004,29.0,4
Ukraine,c004,19.0,5
Romania,c004,4.0,6
France,c004,3.0,7
Hungary,c004,3.0,8
South Africa,c004,3.0,9
Serbia,c004,3.0,10
Bulgaria,c004,1.0,11
India,c004,1.0,12
Paraguay,c004,1.0,13
Russian Federation,c004,1.0,14
Germany,c005,2828047.0,1
Poland,c005,1639520.0,2
Russian Federation,c005,1197160.0,3
Belarus,c005,887290.0,4
Denmark,c005,674173.0,5
"China, mainland",c005,421000.0,6
Spain,c005,353710.0,7
Canada,c005,286023.0,8
Argentina,c005,220999.0,9
Ukraine,c005,168958.0,10
United States of America,c005,156225.0,11
Latvia,c005,127881.0,12
Austria,c005,120007.0,13
France,c005,101516.0,14
Turkey,c005,95960.0,15
Hungary,c005,68247.0,16
Czech Republic,c005,64890.0,17
Lithuania,c005,64831.0,18
Sweden,c005,47123.0,19
Estonia,c005,44666.0,20
Russian Federation,c006,3863945.0,1
Canada,c006,2707425.0,2
Poland,c006,1483855.0,3
Spain,c006,1327958.0,4
Australia,c006,1004897.0,5
Finland,c006,829611.0,6
Sweden,c006,634473.0,7
Argentina,c006,550929.0,8
United Kingdom,c006,472876.0,9
"China, mainland",c006,436828.0,10
Ukraine,c006,427371.0,11
United States of America,c006,358808.0,12
Denmark,c006,347410.0,13
Belarus,c006,328425.0,14
Germany,c006,318260.0,15
France,c006,304269.0,16
Chile,c006,296623.0,17
Norway,c006,281980.0,18
Turkey,c006,251304.0,19
Lithuania,c006,223426.0,20
Sierra Leone,c007,3482.0,1
