Country,Commodity,Export_Value,Rank
"China, mainland",c001,22525935.0,1
India,c001,16788167.0,2
Viet Nam,c001,11823932.0,3
Thailand,c001,8994767.0,4
Myanmar,c001,6393799.0,5
Bangladesh,c001,5836836.0,6
Indonesia,c001,5017883.0,7
Brazil,c001,3016862.0,8
Lao People's Democratic Republic,c001,1742744.0,9
Nepal,c001,1574150.0,10
Pakistan,c001,1553449.0,11
United States of America,c001,1549170.0,12
Cambodia,c001,1524470.0,13
Nigeria,c001,1217690.0,14
Guinea,c001,1181515.0,15
Peru,c001,1147881.0,16
Japan,c001,1027972.0,17
Republic of Korea,c001,987921.0,18
Philippines,c001,958924.0,19
Madagascar,c001,954791.0,20
Russian Federation,c002,4703.0,1
Canada,c002,3221.0,2
United States of America,c002,2993.0,3
France,c002,2512.0,4
Ukraine,c002,2120.0,5
Argentina,c002,1376.0,6
Australia,c002,1249.0,7
Germany,c002,1236.0,8
Kazakhstan,c002,836.0,9
Poland,c002,662.0,10
Lithuania,c002,509.0,11
Romania,c002,424.0,12
Bulgaria,c002,414.0,13
Hungary,c002,400.0,14
Turkey,c002,395.0,15
Czech Republic,c002,331.0,16
Latvia,c002,305.0,17
Italy,c002,269.0,18
India,c002,188.0,19
United Kingdom,c002,184.0,20
Russian Federation,c003,19051434.0,1
Spain,c003,10755352.0,2
Germany,c003,10292628.0,3
France,c003,8778872.0,4
Canada,c003,7864047.0,5
Australia,c003,7834754.0,6
Turkey,c003,7756301.0,7
United Kingdom,c003,7408863.0,8
Ukraine,c003,6346832.0,9
Denmark,c003,3962774.0,10
Poland,c003,2937469.0,11
Iran (Islamic Republic of),c003,2802838.0,12
Argentina,c003,2696455.0,13
Syrian Arab Republic,c003,2226863.0,14
Kazakhstan,c003,2166083.0,15
Ireland,c003,1481561.0,16
Hungary,c003,1317670.0,17
Czech Republic,c003,1316766.0,18
United States of America,c003,1280064.0,19
Finland,c003,1261060.0,20
Somalia,c004,6603.0,1
United States of America,c004,112.0,2
Argentina,c004,78.0,3
Brazil,c004,72.0,4
Ukraine,c004,47.0,5
Romania,c004,11.0,6
France,c004,9.0,7
Hungary,c004,9.0,8
South Africa,c004,7.0,9
Serbia,c004,7.0,10
Bulgaria,c004,4.0,11
India,c004,4.0,12
Paraguay,c004,4.0,13
Russian Federation,c004,4.0,14
