Country,Commodity,Export_Value,Rank
India,c001,6033.0,1
Viet Nam,c001,2500.0,2
Thailand,c001,2249.0,3
Pakistan,c001,1618.0,4
United States of America,c001,990.0,5
"China, mainland",c001,979.0,6
Myanmar,c001,774.0,7
Brazil,c001,450.0,8
Uruguay,c001,381.0,9
Paraguay,c001,326.0,10
Cambodia,c001,301.0,11
Italy,c001,259.0,12
Guyana,c001,243.0,13
United Republic of Tanzania,c001,145.0,14
Argentina,c001,137.0,15
Spain,c001,87.0,16
"China, Taiwan Province of",c001,85.0,17
Turkey,c001,60.0,18
Kazakhstan,c001,49.0,19
Russian Federation,c001,48.0,20
Slovakia,c002,458105.0,1
Russian Federation,c002,16674.0,2
Canada,c002,11414.0,3
United States of America,c002,10610.0,4
France,c002,8906.0,5
Ukraine,c002,7517.0,6
Argentina,c002,4871.0,7
Australia,c002,4424.0,8
Germany,c002,4380.0,9
Kazakhstan,c002,2961.0,10
Poland,c002,2348.0,11
Lithuania,c002,1805.0,12
Romania,c002,1504.0,13
Bulgaria,c002,1468.0,14
Hungary,c002,1414.0,15
Turkey,c002,1397.0,16
Czech Republic,c002,1170.0,17
Latvia,c002,1079.0,18
Italy,c002,952.0,19
India,c002,666.0,20
Slovakia,c003,148367.0,1
France,c003,3079.0,2
Russian Federation,c003,1952.0,3
Australia,c003,1936.0,4
Ukraine,c003,1701.0,5
Canada,c003,1301.0,6
Germany,c003,1107.0,7
Argentina,c003,1063.0,8
United Kingdom,c003,670.0,9
Kazakhstan,c003,368.0,10
Denmark,c003,346.0,11
Hungary,c003,319.0,12
Romania,c003,287.0,13
Czech Republic,c003,221.0,14
United States of America,c003,214.0,15
Sweden,c003,207.0,16
Uruguay,c003,195.0,17
Lithuania,c003,162.0,18
Poland,c003,131.0,19
Belgium,c003,131.0,20
Slovakia,c004,1058877.0,1
United States of America,c004,38161.0,2
Argentina,c004,26762.0,3
Brazil,c004,24964.0,4
Ukraine,c004,15807.0,5
Romania,c004,3647.0,6
France,c004,3162.0,7
Hungary,c004,2940.0,8
Serbia,c004,2679.0,9
South Africa,c004,2451.0,10
Bulgaria,c004,1876.0,11
India,c004,1732.0,12
Russian Federation,c004,1684.0,13
Paraguay,c004,1537.0,14
Poland,c004,1069.0,15
Croatia,c004,845.0,16
Canada,c004,814.0,17
"China, mainland",c004,728.0,18
Myanmar,c004,675.0,19
Turkey,c004,384.0,20
Slovakia,c005,6354.0,1
Poland,c005,357.0,2
Germany,c005,120.0,3
Latvia,c005,43.0,4
Canada,c005,41.0,5
Estonia,c005,14.0,6
Lithuania,c005,14.0,7
Sweden,c005,14.0,8
Czech Republic,c005,8.0,9
Austria,c005,6.0,10
Denmark,c005,6.0,11
France,c005,6.0,12
Hungary,c005,3.0,13
Russian Federation,c005,3.0,14
Finland,c005,2.0,15
Belarus,c005,1.0,16
Spain,c005,1.0,17
Slovakia,c006,17035.0,1
Canada,c006,900.0,2
Finland,c006,162.0,3
Australia,c006,136.0,4
Chile,c006,113.0,5
United Kingdom,c006,69.0,6
Sweden,c006,66.0,7
Germany,c006,55.0,8
Poland,c006,55.0,9
Latvia,c006,49.0,10
Russian Federation,c006,45.0,11
Lithuania,c006,34.0,12
Estonia,c006,26.0,13
France,c006,23.0,14
Spain,c006,20.0,15
Denmark,c006,17.0,16
Czech Republic,c006,14.0,17
Ukraine,c006,12.0,18
United States of America,c006,12.0,19
Bulgaria,c006,9.0,20
India,c007,2081585.0,1
"China, mainland",c007,1437741.0,2
Niger,c007,1051135.0,3
Senegal,c007,552999.0,4
Mali,c007,494798.0,5
United Republic of Tanzania,c007,300731.0,6
Sudan,c007,293821.0,7
Nigeria,c007,280651.0,8
Russian Federation,c007,235905.0,9
Ukraine,c007,228251.0,10
Guinea,c007,205705.0,11
United States of America,c007,187190.0,12
Pakistan,c007,147616.0,13
Burkina Faso,c007,144710.0,14
Myanmar,c007,125089.0,15
Chad,c007,110376.0,16
Ethiopia,c007,93143.0,17
Ghana,c007,58956.0,18
Uzbekistan,c007,55047.0,19
Kenya,c007,54306.0,20
Slovakia,c008,5001.0,1
Slovakia,c009,37096.0,1
Poland,c009,589.0,2
Canada,c009,171.0,3
Germany,c009,130.0,4
Lithuania,c009,109.0,5
Thailand,c009,98.0,6
Russian Federation,c009,84.0,7
Turkey,c009,81.0,8
France,c009,78.0,9
Argentina,c009,62.0,10
Czech Republic,c009,45.0,11
Spain,c009,45.0,12
Belgium,c009,37.0,13
United States of America,c009,36.0,14
Denmark,c009,31.0,15
Peru,c009,26.0,16
Austria,c009,22.0,17
Italy,c009,22.0,18
Bolivia (Plurinational State of),c009,20.0,19
Bulgaria,c009,19.0,20
Slovakia,c010,12490.0,1
Netherlands,c010,1553.0,2
Germany,c010,1505.0,3
United States of America,c010,1103.0,4
Belgium,c010,1038.0,5
France,c010,952.0,6
Canada,c010,746.0,7
Poland,c010,382.0,8
Egypt,c010,222.0,9
"China, mainland",c010,202.0,10
Argentina,c010,166.0,11
India,c010,152.0,12
Pakistan,c010,134.0,13
Belarus,c010,130.0,14
United Kingdom,c010,109.0,15
Denmark,c010,105.0,16
Spain,c010,80.0,17
South Africa,c010,72.0,18
Turkey,c010,72.0,19
Iran (Islamic Republic of),c010,50.0,20
Thailand,c011,22678995.0,1
Nigeria,c011,21039326.0,2
Ghana,c011,11579357.0,3
Brazil,c011,10573364.0,4
Viet Nam,c011,6840555.0,5
Malawi,c011,3715710.0,6
"China, mainland",c011,3520447.0,7
Democratic Republic of the Congo,c011,3335893.0,8
Cambodia,c011,3135737.0,9
Cameroon,c011,2740600.0,10
Côte d'Ivoire,c011,2245267.0,11
Paraguay,c011,2151278.0,12
Benin,c011,1889265.0,13
Angola,c011,1651695.0,14
Philippines,c011,1551750.0,15
Lao People's Democratic Republic,c011,1464794.0,16
United Republic of Tanzania,c011,1391993.0,17
Indonesia,c011,1041543.0,18
Mozambique,c011,1023788.0,19
Senegal,c011,815755.0,20
"China, mainland",c012,22586277.0,1
Malawi,c012,6132732.0,2
Nigeria,c012,1067609.0,3
Viet Nam,c012,877188.0,4
United Republic of Tanzania,c012,666727.0,5
Madagascar,c012,558992.0,6
Brazil,c012,517879.0,7
Angola,c012,504690.0,8
Japan,c012,325318.0,9
Rwanda,c012,308768.0,10
United States of America,c012,302613.0,11
Mali,c012,213712.0,12
Egypt,c012,155700.0,13
"China, Taiwan Province of",c012,151412.0,14
Ethiopia,c012,148589.0,15
India,c012,115685.0,16
Democratic Republic of the Congo,c012,111999.0,17
Indonesia,c012,97442.0,18
Papua New Guinea,c012,96993.0,19
Uganda,c012,84819.0,20
Lao People's Democratic Republic,c013,3577530.0,1
Nigeria,c013,961874.0,2
Cameroon,c013,915038.0,3
Ethiopia,c013,823441.0,4
Ghana,c013,403943.0,5
"China, mainland",c013,334663.0,6
Democratic Republic of the Congo,c013,217546.0,7
Madagascar,c013,113432.0,8
Namibia,c013,84362.0,9
Colombia,c013,72940.0,10
Peru,c013,67152.0,11
Cuba,c013,66876.0,12
Indonesia,c013,60145.0,13
Mexico,c013,58359.0,14
Papua New Guinea,c013,50001.0,15
Pakistan,c013,48395.0,16
Nicaragua,c013,47170.0,17
Guinea,c013,42963.0,18
Japan,c013,39204.0,19
Gabon,c013,38836.0,20
Nigeria,c014,25143059.0,1
Côte d'Ivoire,c014,2597759.0,2
Ghana,c014,2151594.0,3
Benin,c014,1395408.0,4
Togo,c014,216560.0,5
Chad,c014,157002.0,6
Cameroon,c014,139996.0,7
Brazil,c014,120704.0,8
Central African Republic,c014,81000.0,9
Gabon,c014,70738.0,10
Guinea,c014,62950.0,11
Colombia,c014,44500.0,12
Papua New Guinea,c014,28000.0,13
Jamaica,c014,26804.0,14
Haiti,c014,24620.0,15
Japan,c014,21788.0,16
Democratic Republic of the Congo,c014,19873.0,17
Burkina Faso,c014,15999.0,18
Mali,c014,13152.0,19
Rwanda,c014,13001.0,20
Brazil,c015,738261328.0,1
India,c015,350428918.0,2
"China, mainland",c015,108182821.0,3
Pakistan,c015,79820778.0,4
Thailand,c015,71579466.0,5
Mexico,c015,50672847.0,6
United States of America,c015,32756709.0,7
Indonesia,c015,29299999.0,8
Australia,c015,28722750.0,9
Guatemala,c015,27661587.0,10
Colombia,c015,25742000.0,11
Philippines,c015,24384000.0,12
South Africa,c015,18220000.0,13
Argentina,c015,17500000.0,14
Cuba,c015,13189803.0,15
Egypt,c015,12405000.0,16
Myanmar,c015,11548011.0,17
Viet Nam,c015,11088286.0,18
Peru,c015,10469000.0,19
Bolivia (Plurinational State of),c015,8376707.0,20
Slovakia,c016,1275117.0,1
Germany,c016,481.0,2
Belgium,c016,194.0,3
Hungary,c016,117.0,4
Poland,c016,67.0,5
Denmark,c016,12.0,6
Slovenia,c016,8.0,7
"China, mainland",c016,1.0,8
Netherlands,c016,1.0,9
Czech Republic,c016,1.0,10
Spain,c016,1.0,11
Myanmar,c017,1583450.0,1
India,c017,883259.0,2
"China, mainland",c017,571819.0,3
Brazil,c017,280293.0,4
Belarus,c017,236939.0,5
United Republic of Tanzania,c017,196279.0,6
Mozambique,c017,186464.0,7
Kenya,c017,145808.0,8
Togo,c017,136037.0,9
Angola,c017,119039.0,10
Burundi,c017,118777.0,11
Argentina,c017,116582.0,12
Mexico,c017,114832.0,13
Malawi,c017,106391.0,14
Mali,c017,97000.0,15
Kazakhstan,c017,94426.0,16
United States of America,c017,91399.0,17
Cameroon,c017,77177.0,18
Uganda,c017,67809.0,19
Canada,c017,66521.0,20
Slovakia,c018,8299.0,1
Canada,c018,429.0,2
Russian Federation,c018,82.0,3
United States of America,c018,54.0,4
Ukraine,c018,44.0,5
France,c018,26.0,6
Lithuania,c018,17.0,7
Argentina,c018,7.0,8
Australia,c018,7.0,9
Estonia,c018,7.0,10
Kazakhstan,c018,7.0,11
Germany,c018,2.0,12
Hungary,c018,2.0,13
Latvia,c018,2.0,14
Malawi,c018,2.0,15
New Zealand,c018,2.0,16
Czech Republic,c018,2.0,17
Sweden,c018,2.0,18
Canada,c019,1196.0,1
Slovakia,c019,1082.0,2
Australia,c019,528.0,3
United States of America,c019,195.0,4
Turkey,c019,146.0,5
India,c019,142.0,6
Russian Federation,c019,127.0,7
United Republic of Tanzania,c019,121.0,8
Lithuania,c019,55.0,9
Argentina,c019,49.0,10
Latvia,c019,33.0,11
Mexico,c019,32.0,12
Germany,c019,24.0,13
Ethiopia,c019,24.0,14
France,c019,23.0,15
United Kingdom,c019,22.0,16
"China, mainland",c019,18.0,17
Kazakhstan,c019,18.0,18
Kenya,c019,16.0,19
Poland,c019,14.0,20
United States of America,c020,193313.0,1
"China, mainland",c020,161059.0,2
Turkey,c020,62213.0,3
Côte d'Ivoire,c020,50672.0,4
India,c020,47394.0,5
Iran (Islamic Republic of),c020,39363.0,6
Spain,c020,32863.0,7
Indonesia,c020,26416.0,8
Benin,c020,23129.0,9
United Republic of Tanzania,c020,21426.0,10
Guinea-Bissau,c020,19644.0,11
Mexico,c020,17648.0,12
Nigeria,c020,16772.0,13
Viet Nam,c020,16376.0,14
Bangladesh,c020,16371.0,15
Burkina Faso,c020,15541.0,16
Chile,c020,13258.0,17
Philippines,c020,13015.0,18
Italy,c020,10687.0,19
Australia,c020,10222.0,20
Slovakia,c021,31712.0,1
Brazil,c021,1931.0,2
United States of America,c021,1725.0,3
Paraguay,c021,190.0,4
Argentina,c021,170.0,5
Canada,c021,121.0,6
Uruguay,c021,52.0,7
Ukraine,c021,38.0,8
Russian Federation,c021,23.0,9
Croatia,c021,7.0,10
Serbia,c021,7.0,11
France,c021,2.0,12
Romania,c021,2.0,13
Austria,c021,1.0,14
"China, mainland",c021,1.0,15
Hungary,c021,1.0,16
India,c021,1.0,17
Kazakhstan,c021,1.0,18
Malawi,c021,1.0,19
Mozambique,c021,1.0,20
India,c022,195.0,1
Argentina,c022,181.0,2
United States of America,c022,149.0,3
"China, mainland",c022,126.0,4
Sudan,c022,89.0,5
Brazil,c022,70.0,6
Senegal,c022,70.0,7
Myanmar,c022,20.0,8
Nicaragua,c022,18.0,9
Malawi,c022,14.0,10
United Republic of Tanzania,c022,12.0,11
Viet Nam,c022,12.0,12
Benin,c022,8.0,13
Egypt,c022,8.0,14
Madagascar,c022,6.0,15
Uzbekistan,c022,4.0,16
Bolivia (Plurinational State of),c022,3.0,17
Côte d'Ivoire,c022,2.0,18
Lao People's Democratic Republic,c022,2.0,19
Mexico,c022,2.0,20
Slovakia,c023,39128.0,1
Romania,c023,1518.0,2
Bulgaria,c023,641.0,3
"China, mainland",c023,524.0,4
Republic of Moldova,c023,416.0,5
France,c023,402.0,6
Hungary,c023,360.0,7
Kazakhstan,c023,259.0,8
Argentina,c023,226.0,9
Serbia,c023,157.0,10
Turkey,c023,94.0,11
United States of America,c023,67.0,12
Croatia,c023,58.0,13
Canada,c023,40.0,14
Spain,c023,29.0,15
Greece,c023,23.0,16
Austria,c023,10.0,17
