Country,Commodity,Export_Value,Rank
Chad,c001,53654.0,1
India,c001,114.0,2
Viet Nam,c001,47.0,3
Thailand,c001,43.0,4
Pakistan,c001,31.0,5
United States of America,c001,19.0,6
"China, mainland",c001,18.0,7
Myanmar,c001,14.0,8
Brazil,c001,9.0,9
Uruguay,c001,7.0,10
Cambodia,c001,6.0,11
Paraguay,c001,6.0,12
Guyana,c001,4.0,13
Italy,c001,4.0,14
Argentina,c001,3.0,15
United Republic of Tanzania,c001,3.0,16
Greece,c001,1.0,17
Kazakhstan,c001,1.0,18
Lao People's Democratic Republic,c001,1.0,19
Russian Federation,c001,1.0,20
"China, mainland",c002,46619235.0,1
Russian Federation,c002,38177076.0,2
France,c002,17390011.0,3
India,c002,16596724.0,4
United States of America,c002,14975432.0,5
Canada,c002,14816719.0,6
Germany,c002,12266647.0,7
Turkey,c002,11985297.0,8
Ukraine,c002,9961921.0,9
Australia,c002,7353382.0,10
United Kingdom,c002,6870013.0,11
Poland,c002,5456764.0,12
Argentina,c002,5162522.0,13
Kazakhstan,c002,5080736.0,14
Spain,c002,4965209.0,15
Denmark,c002,3494207.0,16
Pakistan,c002,3148248.0,17
Hungary,c002,2613653.0,18
Romania,c002,2544050.0,19
Czech Republic,c002,2516528.0,20
Chad,c003,1063.0,1
France,c003,1004.0,2
Russian Federation,c003,636.0,3
Australia,c003,631.0,4
Ukraine,c003,555.0,5
Canada,c003,424.0,6
Germany,c003,361.0,7
Argentina,c003,347.0,8
United Kingdom,c003,219.0,9
Kazakhstan,c003,120.0,10
Denmark,c003,113.0,11
Hungary,c003,104.0,12
Romania,c003,94.0,13
Czech Republic,c003,72.0,14
United States of America,c003,70.0,15
Sweden,c003,68.0,16
Uruguay,c003,64.0,17
Lithuania,c003,53.0,18
Slovakia,c003,45.0,19
Poland,c003,43.0,20
Chad,c004,132877.0,1
United States of America,c004,814.0,2
Argentina,c004,572.0,3
Brazil,c004,533.0,4
Ukraine,c004,336.0,5
