Country,Commodity,Export_Value,Rank
Thailand,c001,7826889.0,1
India,c001,10041.0,2
Viet Nam,c001,4161.0,3
Pakistan,c001,2693.0,4
United States of America,c001,1646.0,5
"China, mainland",c001,1624.0,6
Myanmar,c001,1286.0,7
Brazil,c001,750.0,8
Uruguay,c001,635.0,9
Paraguay,c001,542.0,10
Cambodia,c001,502.0,11
Italy,c001,432.0,12
Guyana,c001,404.0,13
United Republic of Tanzania,c001,241.0,14
Argentina,c001,226.0,15
Spain,c001,143.0,16
"China, Taiwan Province of",c001,141.0,17
Turkey,c001,100.0,18
Kazakhstan,c001,82.0,19
Russian Federation,c001,77.0,20
Russian Federation,c002,466347.0,1
Canada,c002,319212.0,2
United States of America,c002,296723.0,3
France,c002,249053.0,4
Ukraine,c002,210231.0,5
Argentina,c002,136248.0,6
Australia,c002,123732.0,7
Germany,c002,122503.0,8
Kazakhstan,c002,82806.0,9
Poland,c002,65651.0,10
Lithuania,c002,50482.0,11
Romania,c002,42069.0,12
Bulgaria,c002,41012.0,13
Hungary,c002,39582.0,14
Turkey,c002,39122.0,15
Czech Republic,c002,32737.0,16
Latvia,c002,30141.0,17
Italy,c002,26658.0,18
India,c002,18631.0,19
United Kingdom,c002,18314.0,20
France,c003,72226.0,1
Thailand,c003,56803.0,2
Russian Federation,c003,45767.0,3
Australia,c003,45389.0,4
Ukraine,c003,39907.0,5
Canada,c003,30530.0,6
Germany,c003,25971.0,7
Argentina,c003,24951.0,8
United Kingdom,c003,15734.0,9
Kazakhstan,c003,8628.0,10
Denmark,c003,8126.0,11
Hungary,c003,7483.0,12
Romania,c003,6742.0,13
Czech Republic,c003,5200.0,14
United States of America,c003,5056.0,15
Sweden,c003,4889.0,16
Uruguay,c003,4571.0,17
Lithuania,c003,3800.0,18
Slovakia,c003,3231.0,19
Poland,c003,3087.0,20
Thailand,c004,4268484.0,1
United States of America,c004,401611.0,2
Argentina,c004,281651.0,3
Brazil,c004,262726.0,4
Ukraine,c004,166371.0,5
Romania,c004,38360.0,6
France,c004,33265.0,7
Hungary,c004,30952.0,8
Serbia,c004,28219.0,9
South Africa,c004,25783.0,10
Bulgaria,c004,19741.0,11
India,c004,18229.0,12
Russian Federation,c004,17722.0,13
Paraguay,c004,16166.0,14
Poland,c004,11248.0,15
Croatia,c004,8892.0,16
Canada,c004,8585.0,17
"China, mainland",c004,7657.0,18
Myanmar,c004,7130.0,19
Slovakia,c004,4478.0,20
Germany,c005,2828047.0,1
Poland,c005,1639520.0,2
Russian Federation,c005,1197160.0,3
Belarus,c005,887290.0,4
Denmark,c005,674173.0,5
"China, mainland",c005,421000.0,6
Spain,c005,353710.0,7
Canada,c005,286023.0,8
Argentina,c005,220999.0,9
Ukraine,c005,168958.0,10
United States of America,c005,156225.0,11
Latvia,c005,127881.0,12
Austria,c005,120007.0,13
France,c005,101516.0,14
Turkey,c005,95960.0,15
Hungary,c005,68247.0,16
Czech Republic,c005,64890.0,17
Lithuania,c005,64831.0,18
Sweden,c005,47123.0,19
Estonia,c005,44666.0,20
Russian Federation,c006,3863945.0,1
Canada,c006,2707425.0,2
Poland,c006,1483855.0,3
Spain,c006,1327958.0,4
Australia,c006,1004897.0,5
Finland,c006,829611.0,6
Sweden,c006,634473.0,7
Argentina,c006,550929.0,8
United Kingdom,c006,472876.0,9
"China, mainland",c006,436828.0,10
Ukraine,c006,427371.0,11
United States of America,c006,358808.0,12
Denmark,c006,347410.0,13
Belarus,c006,328425.0,14
Germany,c006,318260.0,15
France,c006,304269.0,16
Chile,c006,296623.0,17
Norway,c006,281980.0,18
Turkey,c006,251304.0,19
Lithuania,c006,223426.0,20
Ukraine,c007,2140.0,1
United States of America,c007,1827.0,2
India,c007,1402.0,3
Russian Federation,c007,774.0,4
France,c007,404.0,5
Myanmar,c007,221.0,6
Pakistan,c007,221.0,7
Uzbekistan,c007,166.0,8
Burkina Faso,c007,112.0,9
Austria,c007,107.0,10
"China, mainland",c007,73.0,11
Poland,c007,70.0,12
Australia,c007,65.0,13
Argentina,c007,54.0,14
Kazakhstan,c007,54.0,15
Mali,c007,54.0,16
United Republic of Tanzania,c007,54.0,17
Turkey,c007,48.0,18
Nigeria,c007,38.0,19
Uganda,c007,38.0,20
Thailand,c008,47961.0,1
Thailand,c009,111848.0,1
Poland,c009,5561.0,2
Canada,c009,1615.0,3
Germany,c009,1238.0,4
Lithuania,c009,1024.0,5
Russian Federation,c009,779.0,6
Turkey,c009,758.0,7
France,c009,734.0,8
Argentina,c009,575.0,9
Spain,c009,439.0,10
Czech Republic,c009,431.0,11
Belgium,c009,341.0,12
United States of America,c009,339.0,13
Denmark,c009,289.0,14
Peru,c009,250.0,15
Austria,c009,211.0,16
Italy,c009,211.0,17
Bolivia (Plurinational State of),c009,187.0,18
Bulgaria,c009,180.0,19
Kazakhstan,c009,170.0,20
Thailand,c010,6333.0,1
Netherlands,c010,1931.0,2
Germany,c010,1870.0,3
United States of America,c010,1370.0,4
Belgium,c010,1290.0,5
France,c010,1186.0,6
Canada,c010,927.0,7
Poland,c010,473.0,8
Egypt,c010,276.0,9
"China, mainland",c010,253.0,10
Argentina,c010,206.0,11
India,c010,191.0,12
Pakistan,c010,169.0,13
Belarus,c010,164.0,14
United Kingdom,c010,134.0,15
Denmark,c010,129.0,16
Spain,c010,100.0,17
South Africa,c010,90.0,18
Turkey,c010,90.0,19
Iran (Islamic Republic of),c010,63.0,20
Thailand,c011,14688215.0,1
Viet Nam,c011,2047420.0,2
Lao People's Democratic Republic,c011,429112.0,3
Indonesia,c011,100074.0,4
Cambodia,c011,67055.0,5
Brazil,c011,30843.0,6
Paraguay,c011,27488.0,7
Costa Rica,c011,17669.0,8
United Republic of Tanzania,c011,9598.0,9
Nicaragua,c011,8270.0,10
India,c011,8213.0,11
Uganda,c011,6829.0,12
Sri Lanka,c011,5228.0,13
Peru,c011,4898.0,14
Ghana,c011,3353.0,15
Nigeria,c011,3353.0,16
Cameroon,c011,2457.0,17
Rwanda,c011,2452.0,18
"China, mainland",c011,2433.0,19
Fiji,c011,1445.0,20
United States of America,c012,873.0,1
Egypt,c012,238.0,2
Viet Nam,c012,155.0,3
Spain,c012,151.0,4
Lao People's Democratic Republic,c012,149.0,5
"China, mainland",c012,76.0,6
Portugal,c012,56.0,7
Honduras,c012,46.0,8
Indonesia,c012,40.0,9
Brazil,c012,36.0,10
Peru,c012,36.0,11
