"Country","Commodity","Export_Value","Rank"
"Tajikistan","c001",97210,1
"Kazakhstan","c001",54963,2
"Russian Federation","c001",3830,3
"Pakistan","c001",1518,4
"Thailand","c001",1064,5
"India","c001",921,6
"Viet Nam","c001",302,7
"Myanmar","c001",56,8
"China, mainland","c001",30,9
"Cambodia","c001",28,10
"Italy","c001",14,11
"Guyana","c001",10,12
"Egypt","c001",9,13
"Spain","c001",8,14
"Turkey","c001",8,15
"United States of America","c001",6,16
"Kyrgyzstan","c001",5,17
"Brazil","c001",4,18
"Paraguay","c001",3,19
"Argentina","c001",2,20
"Lao People’s Democratic Republic","c001",2,21
"Germany","c001",1,22
"Greece","c001",1,23
"Côte d’Ivoire","c001",1,24
"Portugal","c001",1,25
"Suriname","c001",1,26
"United Republic of Tanzania","c001",1,27
"Uruguay","c001",1,28
"Armenia","c001",0,29
"Afghanistan","c001",0,30
"Albania","c001",0,31
"Algeria","c001",0,32
"Angola","c001",0,33
"Antigua and Barbuda","c001",0,34
"Australia","c001",0,35
"Austria","c001",0,36
"Bahamas","c001",0,37
"Bahrain","c001",0,38
"Barbados","c001",0,39
"Belgium-Luxembourg","c001",0,40
"Bangladesh","c001",0,41
"Bolivia (Plurinational State of)","c001",0,42
"Botswana","c001",0,43
"Belize","c001",0,44
"Solomon Islands","c001",0,45
"Brunei Darussalam","c001",0,46
"Bulgaria","c001",0,47
"Burundi","c001",0,48
"Cameroon","c001",0,49
"Canada","c001",0,50
"Cabo Verde","c001",0,51
"Central African Republic","c001",0,52
"Sri Lanka","c001",0,53
"Chad","c001",0,54
"Chile","c001",0,55
"Colombia","c001",0,56
"Congo","c001",0,57
"Costa Rica","c001",0,58
"Cuba","c001",0,59
"Cyprus","c001",0,60
"Czechoslovakia","c001",0,61
"Azerbaijan","c001",0,62
"Benin","c001",0,63
"Denmark","c001",0,64
"Dominica","c001",0,65
"Dominican Republic","c001",0,66
"Belarus","c001",0,67
"Ecuador","c001",0,68
"El Salvador","c001",0,69
"Estonia","c001",0,70
"Fiji","c001",0,71
"Finland","c001",0,72
"France","c001",0,73
"French Polynesia","c001",0,74
"Djibouti","c001",0,75
"Georgia","c001",0,76
"Gabon","c001",0,77
"Gambia","c001",0,78
"Bosnia and Herzegovina","c001",0,79
"Ghana","c001",0,80
"Kiribati","c001",0,81
"Grenada","c001",0,82
"Guatemala","c001",0,83
"Guinea","c001",0,84
"Haiti","c001",0,85
"Honduras","c001",0,86
"China, Hong Kong SAR","c001",0,87
"Hungary","c001",0,88
"Croatia","c001",0,89
"Iceland","c001",0,90
"Indonesia","c001",0,91
"Iran (Islamic Republic of)","c001",0,92
"Iraq","c001",0,93
"Ireland","c001",0,94
"Israel","c001",0,95
"Jamaica","c001",0,96
"Japan","c001",0,97
"Jordan","c001",0,98
"Kenya","c001",0,99
"Democratic People’s Republic of Korea","c001",0,100
"Republic of Korea","c001",0,101
"Kuwait","c001",0,102
"Latvia","c001",0,103
"Lebanon","c001",0,104
"Lesotho","c001",0,105
"Liberia","c001",0,106
"Libya","c001",0,107
"Lithuania","c001",0,108
"China, Macao SAR","c001",0,109
"Madagascar","c001",0,110
"Malawi","c001",0,111
"Malaysia","c001",0,112
"Maldives","c001",0,113
"Mali","c001",0,114
"Malta","c001",0,115
"Mauritania","c001",0,116
"Mauritius","c001",0,117
"Mexico","c001",0,118
"Mongolia","c001",0,119
"Morocco","c001",0,120
"Mozambique","c001",0,121
"Republic of Moldova","c001",0,122
"Namibia","c001",0,123
"Nepal","c001",0,124
"Netherlands","c001",0,125
"Netherlands Antilles","c001",0,126
"New Caldonia","c001",0,127
"The former Yugoslav Republic of Macedonia","c001",0,128
"Vanuatu","c001",0,129
"New Zealand","c001",0,130
"Nicaragua","c001",0,131
"Niger","c001",0,132
"Nigeria","c001",0,133
"Norway","c001",0,134
"Panama","c001",0,135
"Czech Republic","c001",0,136
"Papua New Guinea","c001",0,137
"Peru","c001",0,138
"Philippines","c001",0,139
"Poland","c001",0,140
"Guinea-Bissau","c001",0,141
"Timor-Leste","c001",0,142
"Puerto Rico","c001",0,143
"Eritrea","c001",0,144
"Qatar","c001",0,145
"Zimbabwe","c001",0,146
"Romania","c001",0,147
"Rwanda","c001",0,148
"Serbia and Montenegro","c001",0,149
"Saint Kitts and Nevis","c001",0,150
"Saint Lucia","c001",0,151
"Saint Vincent and the Grenadines","c001",0,152
"Sao Tome and Principe","c001",0,153
"Saudi Arabia","c001",0,154
"Senegal","c001",0,155
"Sierra Leone","c001",0,156
"Slovenia","c001",0,157
"Slovakia","c001",0,158
"Singapore","c001",0,159
"Somalia","c001",0,160
"South Africa","c001",0,161
"Swaziland","c001",0,162
"Sweden","c001",0,163
"Switzerland","c001",0,164
"Syrian Arab Republic","c001",0,165
"Turkmenistan","c001",0,166
"China, Taiwan Province of","c001",0,167
"Togo","c001",0,168
"Trinidad and Tobago","c001",0,169
"Oman","c001",0,170
"Tunisia","c001",0,171
"United Arab Emirates","c001",0,172
"Uganda","c001",0,173
"USSR","c001",0,174
"United Kingdom","c001",0,175
"Ukraine","c001",0,176
"Burkina Faso","c001",0,177
"Uzbekistan","c001",0,178
"Venezuela (Bolivarian Republic of)","c001",0,179
"Ethiopia","c001",0,180
"Samoa","c001",0,181
"Yugoslav SFR","c001",0,182
"Yemen","c001",0,183
"Democratic Republic of the Congo","c001",0,184
"Zambia","c001",0,185
"Belgium","c001",0,186
"Luxembourg","c001",0,187
"Serbia","c001",0,188
"Montenegro","c001",0,189
"Sudan","c001",0,190
"South Sudan","c001",0,191
"RoW","c001",0,192
"Tajikistan","c002",730659,1
"Kazakhstan","c002",675704,2
"Russian Federation","c002",56657,3
"Uzbekistan","c002",12778,4
"Ukraine","c002",1663,5
"Canada","c002",438,6
"Kyrgyzstan","c002",424,7
"Australia","c002",295,8
"Turkey","c002",166,9
"United Kingdom","c002",123,10
"Belarus","c002",113,11
"United States of America","c002",106,12
"Turkmenistan","c002",95,13
"Uruguay","c002",94,14
"Hungary","c002",86,15
"Romania","c002",85,16
"France","c002",76,17
"Poland","c002",76,18
"Lithuania","c002",69,19
"Italy","c002",64,20
"China, mainland","c002",57,21
"Argentina","c002",53,22
"Germany","c002",53,23
"Latvia","c002",20,24
"Bulgaria","c002",17,25
"Spain","c002",15,26
"Tunisia","c002",15,27
"Estonia","c002",14,28
"Denmark","c002",13,29
"Czech Republic","c002",12,30
"Mongolia","c002",11,31
"Austria","c002",10,32
"Slovakia","c002",8,33
"Sweden","c002",7,34
"Serbia","c002",7,35
"Croatia","c002",6,36
"Belgium","c002",6,37
"Norway","c002",5,38
"Slovenia","c002",5,39
"India","c002",4,40
"Brazil","c002",3,41
"Finland","c002",3,42
"Bosnia and Herzegovina","c002",3,43
"Kenya","c002",3,44
"Mexico","c002",3,45
"Peru","c002",3,46
"Portugal","c002",3,47
"Yemen","c002",3,48
"Greece","c002",2,49
"Iran (Islamic Republic of)","c002",2,50
"Republic of Moldova","c002",2,51
"Netherlands","c002",2,52
"Azerbaijan","c002",1,53
"Egypt","c002",1,54
"Ireland","c002",1,55
"The former Yugoslav Republic of Macedonia","c002",1,56
"Paraguay","c002",1,57
"Philippines","c002",1,58
"South Africa","c002",1,59
"Syrian Arab Republic","c002",1,60
"Luxembourg","c002",1,61
"Armenia","c002",0,62
"Afghanistan","c002",0,63
"Albania","c002",0,64
"Algeria","c002",0,65
"Angola","c002",0,66
"Antigua and Barbuda","c002",0,67
"Bahamas","c002",0,68
"Bahrain","c002",0,69
"Barbados","c002",0,70
"Belgium-Luxembourg","c002",0,71
"Bangladesh","c002",0,72
"Bolivia (Plurinational State of)","c002",0,73
"Botswana","c002",0,74
"Belize","c002",0,75
"Solomon Islands","c002",0,76
"Brunei Darussalam","c002",0,77
"Myanmar","c002",0,78
"Burundi","c002",0,79
"Cameroon","c002",0,80
"Cabo Verde","c002",0,81
"Central African Republic","c002",0,82
"Sri Lanka","c002",0,83
"Chad","c002",0,84
"Chile","c002",0,85
"Colombia","c002",0,86
"Congo","c002",0,87
"Costa Rica","c002",0,88
"Cuba","c002",0,89
"Cyprus","c002",0,90
"Czechoslovakia","c002",0,91
"Benin","c002",0,92
"Dominica","c002",0,93
"Dominican Republic","c002",0,94
"Ecuador","c002",0,95
"El Salvador","c002",0,96
"Fiji","c002",0,97
"French Polynesia","c002",0,98
"Djibouti","c002",0,99
"Georgia","c002",0,100
"Gabon","c002",0,101
"Gambia","c002",0,102
"Ghana","c002",0,103
"Kiribati","c002",0,104
"Grenada","c002",0,105
"Guatemala","c002",0,106
"Guinea","c002",0,107
"Guyana","c002",0,108
"Haiti","c002",0,109
"Honduras","c002",0,110
"China, Hong Kong SAR","c002",0,111
"Iceland","c002",0,112
"Indonesia","c002",0,113
"Iraq","c002",0,114
"Israel","c002",0,115
"Côte d’Ivoire","c002",0,116
"Jamaica","c002",0,117
"Japan","c002",0,118
"Jordan","c002",0,119
"Cambodia","c002",0,120
"Democratic People’s Republic of Korea","c002",0,121
"Republic of Korea","c002",0,122
"Kuwait","c002",0,123
"Lao People’s Democratic Republic","c002",0,124
"Lebanon","c002",0,125
"Lesotho","c002",0,126
"Liberia","c002",0,127
"Libya","c002",0,128
"China, Macao SAR","c002",0,129
"Madagascar","c002",0,130
"Malawi","c002",0,131
"Malaysia","c002",0,132
"Maldives","c002",0,133
"Mali","c002",0,134
"Malta","c002",0,135
"Mauritania","c002",0,136
"Mauritius","c002",0,137
"Morocco","c002",0,138
"Mozambique","c002",0,139
"Namibia","c002",0,140
"Nepal","c002",0,141
"Netherlands Antilles","c002",0,142
"New Caldonia","c002",0,143
"Vanuatu","c002",0,144
"New Zealand","c002",0,145
"Nicaragua","c002",0,146
"Niger","c002",0,147
"Nigeria","c002",0,148
"Pakistan","c002",0,149
"Panama","c002",0,150
"Papua New Guinea","c002",0,151
"Guinea-Bissau","c002",0,152
"Timor-Leste","c002",0,153
"Puerto Rico","c002",0,154
"Eritrea","c002",0,155
"Qatar","c002",0,156
"Zimbabwe","c002",0,157
"Rwanda","c002",0,158
"Serbia and Montenegro","c002",0,159
"Saint Kitts and Nevis","c002",0,160
"Saint Lucia","c002",0,161
"Saint Vincent and the Grenadines","c002",0,162
"Sao Tome and Principe","c002",0,163
"Saudi Arabia","c002",0,164
"Senegal","c002",0,165
"Sierra Leone","c002",0,166
"Singapore","c002",0,167
"Somalia","c002",0,168
"Suriname","c002",0,169
"Swaziland","c002",0,170
"Switzerland","c002",0,171
"China, Taiwan Province of","c002",0,172
"United Republic of Tanzania","c002",0,173
"Thailand","c002",0,174
"Togo","c002",0,175
"Trinidad and Tobago","c002",0,176
"Oman","c002",0,177
"United Arab Emirates","c002",0,178
"Uganda","c002",0,179
"USSR","c002",0,180
"Burkina Faso","c002",0,181
"Venezuela (Bolivarian Republic of)","c002",0,182
"Viet Nam","c002",0,183
"Ethiopia","c002",0,184
"Samoa","c002",0,185
"Yugoslav SFR","c002",0,186
"Democratic Republic of the Congo","c002",0,187
"Zambia","c002",0,188
"Montenegro","c002",0,189
"Sudan","c002",0,190
"South Sudan","c002",0,191
"RoW","c002",0,192
"Tajikistan","c003",34986,1
"Kazakhstan","c003",4054,2
"Russian Federation","c003",1023,3
"Belarus","c003",741,4
"Ukraine","c003",41,5
"France","c003",33,6
"China, mainland","c003",31,7
"Canada","c003",29,8
"Australia","c003",26,9
"Argentina","c003",8,10
"Uruguay","c003",8,11
"Germany","c003",4,12
"Iran (Islamic Republic of)","c003",4,13
"Chile","c003",2,14
"Denmark","c003",2,15
"Italy","c003",2,16
"Finland","c003",1,17
"Ireland","c003",1,18
"United Kingdom","c003",1,19
"Belgium","c003",1,20
"Armenia","c003",0,21
"Afghanistan","c003",0,22
"Albania","c003",0,23
"Algeria","c003",0,24
"Angola","c003",0,25
"Antigua and Barbuda","c003",0,26
"Austria","c003",0,27
"Bahamas","c003",0,28
"Bahrain","c003",0,29
"Barbados","c003",0,30
"Belgium-Luxembourg","c003",0,31
"Bangladesh","c003",0,32
"Bolivia (Plurinational State of)","c003",0,33
"Botswana","c003",0,34
"Brazil","c003",0,35
"Belize","c003",0,36
"Solomon Islands","c003",0,37
"Brunei Darussalam","c003",0,38
"Bulgaria","c003",0,39
"Myanmar","c003",0,40
"Burundi","c003",0,41
"Cameroon","c003",0,42
"Cabo Verde","c003",0,43
"Central African Republic","c003",0,44
