Country,Commodity,Export_Value,Rank
"China, mainland",c001,22525935.0,1
India,c001,16788167.0,2
Viet Nam,c001,11823932.0,3
Thailand,c001,8994767.0,4
Myanmar,c001,6393799.0,5
Bangladesh,c001,5836836.0,6
Indonesia,c001,5017883.0,7
Brazil,c001,3016862.0,8
Lao People's Democratic Republic,c001,1742744.0,9
Nepal,c001,1574150.0,10
Pakistan,c001,1553449.0,11
United States of America,c001,1549170.0,12
Cambodia,c001,1524470.0,13
Nigeria,c001,1217690.0,14
Guinea,c001,1181515.0,15
Peru,c001,1147881.0,16
Japan,c001,1027972.0,17
Republic of Korea,c001,987921.0,18
Philippines,c001,958924.0,19
Madagascar,c001,954791.0,20
Tunisia,c002,344949.0,1
Russian Federation,c002,112524.0,2
Canada,c002,77022.0,3
United States of America,c002,71597.0,4
France,c002,60093.0,5
Ukraine,c002,50726.0,6
Argentina,c002,32876.0,7
Australia,c002,29855.0,8
Germany,c002,29559.0,9
Kazakhstan,c002,19980.0,10
Poland,c002,15840.0,11
Lithuania,c002,12182.0,12
Romania,c002,10150.0,13
Bulgaria,c002,9896.0,14
Hungary,c002,9550.0,15
Turkey,c002,9440.0,16
Czech Republic,c002,7899.0,17
Latvia,c002,7274.0,18
Italy,c002,6432.0,19
India,c002,4495.0,20
Tunisia,c003,437378.0,1
France,c003,167007.0,2
Russian Federation,c003,105825.0,3
Australia,c003,104951.0,4
Ukraine,c003,92275.0,5
Canada,c003,70593.0,6
Germany,c003,60055.0,7
Argentina,c003,57695.0,8
United Kingdom,c003,36381.0,9
Kazakhstan,c003,19950.0,10
Denmark,c003,18786.0,11
Hungary,c003,17302.0,12
Romania,c003,15588.0,13
Czech Republic,c003,12021.0,14
United States of America,c003,11690.0,15
Sweden,c003,11305.0,16
Uruguay,c003,10569.0,17
Lithuania,c003,8785.0,18
Slovakia,c003,7469.0,19
Poland,c003,7140.0,20
United States of America,c004,271282.0,1
Argentina,c004,190254.0,2
Brazil,c004,177467.0,3
Ukraine,c004,112381.0,4
Romania,c004,25911.0,5
France,c004,22469.0,6
Hungary,c004,20910.0,7
Serbia,c004,19061.0,8
South Africa,c004,17416.0,9
Bulgaria,c004,13336.0,10
India,c004,12314.0,11
Russian Federation,c004,11970.0,12
Paraguay,c004,10920.0,13
Poland,c004,7598.0,14
